Altersgruppe, Meldedatum, value, difference, trend
5-14, 2020-03-03, , , 
5-14, 2020-03-04, , , 
5-14, 2020-03-05, , , 
5-14, 2020-03-06, , , 
5-14, 2020-03-07, 0.0393, , 
5-14, 2020-03-08, 0.0393, , 
5-14, 2020-03-09, 0.0393, , 
5-14, 2020-03-10, 0.0393, , 
5-14, 2020-03-11, 0.0524, , 
5-14, 2020-03-12, 0.0524, , 
5-14, 2020-03-13, 0.0655, , 
5-14, 2020-03-14, 0.0262, , 
5-14, 2020-03-15, 0.0262, -0.0262, -0.029
5-14, 2020-03-16, 0.0262, -0.0262, -0.029
5-14, 2020-03-17, 0.0524, -0.0131, -0.0145
5-14, 2020-03-18, 0.0524, -0.0262, -0.029
5-14, 2020-03-19, 0.0524, -0.0262, -0.029
5-14, 2020-03-20, 0.0524, -0.0393, -0.0435
5-14, 2020-03-21, 0.0655, 0.0131, 0.0108
5-14, 2020-03-22, 0.0655, 0.0262, 0.0215
5-14, 2020-03-23, 0.0786, 0.0131, 0.0108
5-14, 2020-03-24, 0.0786, 0.0131, 0.0108
5-14, 2020-03-25, 0.1179, 0.0524, 0.043
5-14, 2020-03-26, 0.1966, 0.0786, 0.0645
5-14, 2020-03-27, 0.1966, 0.1179, 0.0968
5-14, 2020-03-28, 0.1834, 0.1179, 0.0968
5-14, 2020-03-29, 0.2097, 0.1179, 0.0968
5-14, 2020-03-30, 0.2097, 0.1048, 0.086
5-14, 2020-03-31, 0.2097, 0.1048, 0.086
5-14, 2020-04-01, 0.1703, 0.0131, 0.0108
5-14, 2020-04-02, 0.0917, -0.0655, -0.0725
5-14, 2020-04-03, 0.0786, -0.0655, -0.0725
5-14, 2020-04-04, 0.1572, -0.0524, -0.058
5-14, 2020-04-05, 0.1834, -0.0393, -0.0435
5-14, 2020-04-06, 0.2228, 0.0524, 0.043
5-14, 2020-04-07, 0.2359, 0.0131, 0.0108
5-14, 2020-04-08, 0.2359, 0.0393, 0.0323
5-14, 2020-04-09, 0.2752, 0.1834, 0.1505
5-14, 2020-04-10, 0.2883, 0.1441, 0.1183
5-14, 2020-04-11, 0.2097, 0.0524, 0.043
5-14, 2020-04-12, 0.1572, -0.0131, -0.0145
5-14, 2020-04-13, 0.1048, -0.1179, -0.1304
5-14, 2020-04-14, 0.0655, -0.1048, -0.1159
5-14, 2020-04-15, 0.0917, -0.0917, -0.1014
5-14, 2020-04-16, 0.0655, -0.1834, -0.2029
5-14, 2020-04-17, 0.0917, -0.1572, -0.1739
5-14, 2020-04-18, 0.131, -0.0524, -0.058
5-14, 2020-04-19, 0.1572, , 
5-14, 2020-04-20, 0.1572, 0.0393, 0.0323
5-14, 2020-04-21, 0.1966, 0.0917, 0.0753
5-14, 2020-04-22, 0.2097, 0.1048, 0.086
5-14, 2020-04-23, 0.2359, 0.131, 0.1075
5-14, 2020-04-24, 0.2097, 0.1179, 0.0968
5-14, 2020-04-25, 0.2097, 0.0524, 0.043
5-14, 2020-04-26, 0.1834, 0.0393, 0.0323
5-14, 2020-04-27, 0.1966, 0.0393, 0.0323
5-14, 2020-04-28, 0.1703, -0.0131, -0.0145
5-14, 2020-04-29, 0.1179, -0.0524, -0.058
5-14, 2020-04-30, 0.0917, -0.0917, -0.1014
5-14, 2020-05-01, 0.131, -0.0917, -0.1014
5-14, 2020-05-02, 0.1048, -0.0655, -0.0725
5-14, 2020-05-03, 0.1048, -0.0655, -0.0725
5-14, 2020-05-04, 0.1048, -0.0524, -0.058
5-14, 2020-05-05, 0.0917, -0.0524, -0.058
5-14, 2020-05-06, 0.0917, -0.0131, -0.0145
5-14, 2020-05-07, 0.0917, -0.0131, -0.0145
5-14, 2020-05-08, 0.0786, -0.0393, -0.0435
5-14, 2020-05-09, 0.0917, -0.0262, -0.029
5-14, 2020-05-10, 0.1048, -0.0262, -0.029
5-14, 2020-05-11, 0.0917, -0.0524, -0.058
5-14, 2020-05-12, 0.1048, -0.0262, -0.029
5-14, 2020-05-13, 0.1441, -0.0131, -0.0145
5-14, 2020-05-14, 0.1703, , 
5-14, 2020-05-15, 0.1441, 0.0131, 0.0108
5-14, 2020-05-16, 0.1834, 0.0131, 0.0108
5-14, 2020-05-17, 0.2097, 0.0131, 0.0108
5-14, 2020-05-18, 0.2359, 0.0786, 0.0645
5-14, 2020-05-19, 0.2228, 0.0786, 0.0645
5-14, 2020-05-20, 0.1834, 0.0393, 0.0323
5-14, 2020-05-21, 0.1703, 0.0393, 0.0323
5-14, 2020-05-22, 0.1572, 0.0524, 0.043
5-14, 2020-05-23, 0.0917, 0.0131, 0.0108
5-14, 2020-05-24, 0.0524, -0.0262, -0.029
5-14, 2020-05-25, 0.0262, -0.1048, -0.1159
5-14, 2020-05-26, 0.0262, -0.1048, -0.1159
5-14, 2020-05-27, 0.0262, -0.0786, -0.087
5-14, 2020-05-28, , , 
5-14, 2020-05-29, , , 
5-14, 2020-05-30, , , 
5-14, 2020-05-31, , , 
5-14, 2020-06-01, , , 
5-14, 2020-06-02, 0.0131, , 
5-14, 2020-06-03, 0.0131, -0.0917, -0.1014
5-14, 2020-06-04, 0.0131, -0.0786, -0.087
5-14, 2020-06-05, 0.0262, -0.0393, -0.0435
5-14, 2020-06-06, 0.0262, , 
5-14, 2020-06-07, 0.0262, 0.0262, 0.0215
5-14, 2020-06-08, 0.0655, 0.0262, 0.0215
5-14, 2020-06-09, 0.0524, 0.0131, 0.0108
5-14, 2020-06-10, 0.0786, 0.0524, 0.043
5-14, 2020-06-11, 0.0786, 0.0262, 0.0215
5-14, 2020-06-12, 0.0786, 0.0131, 0.0108
5-14, 2020-06-13, 0.0917, 0.0262, 0.0215
5-14, 2020-06-14, 0.0917, 0.0262, 0.0215
5-14, 2020-06-15, 0.0655, -0.0262, -0.029
5-14, 2020-06-16, 0.0655, , 
5-14, 2020-06-17, 0.0393, -0.0393, -0.0435
5-14, 2020-06-18, 0.0393, -0.0262, -0.029
5-14, 2020-06-19, 0.0524, -0.0262, -0.029
5-14, 2020-06-20, 0.0393, -0.0393, -0.0435
5-14, 2020-06-21, 0.0524, -0.0393, -0.0435
5-14, 2020-06-22, 0.0393, -0.0131, -0.0145
5-14, 2020-06-23, 0.0655, -0.0262, -0.029
5-14, 2020-06-24, 0.1048, 0.0262, 0.0215
5-14, 2020-06-25, 0.1048, 0.0262, 0.0215
5-14, 2020-06-26, 0.0786, 0.0131, 0.0108
5-14, 2020-06-27, 0.0786, 0.0262, 0.0215
5-14, 2020-06-28, 0.0655, 0.0131, 0.0108
5-14, 2020-06-29, 0.0917, 0.0262, 0.0215
5-14, 2020-06-30, 0.0786, , 
5-14, 2020-07-01, 0.0393, -0.0262, -0.029
5-14, 2020-07-02, 0.0655, 0.0131, 0.0108
5-14, 2020-07-03, 0.0655, 0.0393, 0.0323
5-14, 2020-07-04, 0.0655, 0.0393, 0.0323
5-14, 2020-07-05, 0.0655, 0.0524, 0.043
5-14, 2020-07-06, 0.0524, 0.0131, 0.0108
5-14, 2020-07-07, 0.0393, 0.0393, 0.0323
5-14, 2020-07-08, 0.0524, 0.0262, 0.0215
5-14, 2020-07-09, 0.0393, -0.0393, -0.0435
5-14, 2020-07-10, 0.0393, -0.0393, -0.0435
5-14, 2020-07-11, 0.0524, -0.0393, -0.0435
5-14, 2020-07-12, 0.0655, -0.0393, -0.0435
