Altersgruppe, Meldedatum, value, difference, trend
>=80, 2020-03-03, 0.0164, , 
>=80, 2020-03-04, 0.0164, , 
>=80, 2020-03-05, 0.0327, , 
>=80, 2020-03-06, 0.0654, , 
>=80, 2020-03-07, 0.1473, , 
>=80, 2020-03-08, 0.1473, , 
>=80, 2020-03-09, 0.18, , 
>=80, 2020-03-10, 0.2782, , 
>=80, 2020-03-11, 0.3927, , 
>=80, 2020-03-12, 0.4418, , 
>=80, 2020-03-13, 0.5563, , 
>=80, 2020-03-14, 0.7363, , 
>=80, 2020-03-15, 0.9326, 0.3763, 0.0197
>=80, 2020-03-16, 1.2599, 0.589, 0.0308
>=80, 2020-03-17, 1.5708, 0.6218, 0.0325
>=80, 2020-03-18, 2.258, 0.5236, 0.0274
>=80, 2020-03-19, 3.2233, 0.7854, 0.0411
>=80, 2020-03-20, 4.156, 1.309, 0.0685
>=80, 2020-03-21, 5.465, 1.5053, 0.0788
>=80, 2020-03-22, 7.003, 1.7998, 0.0942
>=80, 2020-03-23, 7.7884, 2.3562, 0.1233
>=80, 2020-03-24, 9.1137, 3.6324, 0.1901
>=80, 2020-03-25, 10.8645, 4.4996, 0.2354
>=80, 2020-03-26, 13.0243, 5.0232, 0.2628
>=80, 2020-03-27, 15.5113, 5.6286, 0.2945
>=80, 2020-03-28, 17.6384, 6.7085, 0.351
>=80, 2020-03-29, 19.2256, 6.594, 0.345
>=80, 2020-03-30, 20.5673, 7.4121, 0.3878
>=80, 2020-03-31, 22.8907, 7.6248, 0.399
>=80, 2020-04-01, 25.705, 8.7538, 0.458
>=80, 2020-04-02, 27.8484, 8.9992, 0.4709
>=80, 2020-04-03, 29.3538, 8.7374, 0.4572
>=80, 2020-04-04, 30.7936, 8.1484, 0.4264
>=80, 2020-04-05, 31.2845, 8.9992, 0.4709
>=80, 2020-04-06, 31.4154, 7.8702, 0.4118
>=80, 2020-04-07, 31.5626, 6.1031, 0.3193
>=80, 2020-04-08, 31.3336, 3.5342, 0.1849
>=80, 2020-04-09, 31.17, 2.1271, 0.1113
>=80, 2020-04-10, 30.9082, 1.3253, 0.0693
>=80, 2020-04-11, 28.8956, -0.1963, -0.014
>=80, 2020-04-12, 28.4375, -1.8817, -0.1343
>=80, 2020-04-13, 28.4047, -2.2089, -0.1577
>=80, 2020-04-14, 26.8176, -2.6507, -0.1893
>=80, 2020-04-15, 25.0832, -2.9943, -0.2138
>=80, 2020-04-16, 24.2651, -3.0434, -0.2173
>=80, 2020-04-17, 22.7434, -3.9433, -0.2815
>=80, 2020-04-18, 22.7107, -2.9779, -0.2126
>=80, 2020-04-19, 21.549, -2.6343, -0.1881
>=80, 2020-04-20, 20.4854, -2.9616, -0.2114
>=80, 2020-04-21, 20.6, -2.3234, -0.1659
>=80, 2020-04-22, 19.6673, -1.3744, -0.0981
>=80, 2020-04-23, 17.9984, -2.1762, -0.1554
>=80, 2020-04-24, 16.7058, -2.0453, -0.146
>=80, 2020-04-25, 15.315, -3.1906, -0.2278
>=80, 2020-04-26, 14.4314, -3.7142, -0.2652
>=80, 2020-04-27, 13.597, -3.976, -0.2839
>=80, 2020-04-28, 11.8789, -5.1704, -0.3692
>=80, 2020-04-29, 11.2245, -6.0376, -0.4311
>=80, 2020-04-30, 9.7519, -5.7922, -0.4136
>=80, 2020-05-01, 9.0483, -5.1541, -0.368
>=80, 2020-05-02, 8.1484, -4.7778, -0.3411
>=80, 2020-05-03, 7.4121, -4.4342, -0.3166
>=80, 2020-05-04, 7.0194, -4.2051, -0.3002
>=80, 2020-05-05, 6.7903, -3.1906, -0.2278
>=80, 2020-05-06, 6.1031, -2.8307, -0.2021
>=80, 2020-05-07, 6.1522, -1.9307, -0.1379
>=80, 2020-05-08, 5.874, -1.8489, -0.132
>=80, 2020-05-09, 5.874, -1.2272, -0.0876
>=80, 2020-05-10, 5.7104, -1.0308, -0.0736
>=80, 2020-05-11, 5.7268, -0.7527, -0.0537
>=80, 2020-05-12, 5.7758, -0.589, -0.0421
>=80, 2020-05-13, 5.3832, -0.18, -0.0129
>=80, 2020-05-14, 4.8268, -0.6381, -0.0456
>=80, 2020-05-15, 4.4832, -1.0799, -0.0771
>=80, 2020-05-16, 4.3033, -1.2599, -0.09
>=80, 2020-05-17, 4.3033, -0.8999, -0.0643
>=80, 2020-05-18, 4.0742, -1.0963, -0.0783
>=80, 2020-05-19, 3.5506, -1.2599, -0.09
>=80, 2020-05-20, 3.616, -1.3744, -0.0981
>=80, 2020-05-21, 3.2561, -0.9163, -0.0654
>=80, 2020-05-22, 2.847, -0.9163, -0.0654
