Meldedatum, region, region_id, value, difference, frozen, trend, Lower, Prediction, Upper
2020-03-03, Berlin, 11, , , , , , , 
2020-03-04, Berlin, 11, 0.1088, , 0.0544, , , , 
2020-03-05, Berlin, 11, 0.1088, , 0.0816, , , , 
2020-03-06, Berlin, 11, 0.1088, , 0.0816, , , , 
2020-03-07, Berlin, 11, 0.1088, , 0.0816, , , , 
2020-03-08, Berlin, 11, 0.1088, , 0.0816, , , , 
2020-03-09, Berlin, 11, 0.1088, , 0.0816, , , , 
2020-03-10, Berlin, 11, 0.1903, , 0.0816, , , , 
2020-03-11, Berlin, 11, 0.1088, , 0.0544, , , , 
2020-03-12, Berlin, 11, 0.1903, 0.0272, 0.1088, 0.0116, , , 
2020-03-13, Berlin, 11, 0.2719, 0.1088, 0.1903, 0.0465, , , 
2020-03-14, Berlin, 11, 0.4623, 0.1903, 0.2719, 0.0814, , , 
2020-03-15, Berlin, 11, 0.4623, 0.2447, 0.3263, 0.1047, , , 
2020-03-16, Berlin, 11, 0.5167, 0.2719, 0.3535, 0.1163, , , 
2020-03-17, Berlin, 11, 0.571, 0.2991, 0.3807, 0.1279, , , 
2020-03-18, Berlin, 11, 0.6798, 0.3807, 0.4351, 0.1628, , , 
2020-03-19, Berlin, 11, 0.8974, 0.4079, 0.5167, 0.1744, , , 
2020-03-20, Berlin, 11, 1.1965, 0.3263, 0.5167, 0.1395, , , 
2020-03-21, Berlin, 11, 1.2237, 0.2175, 0.4895, 0.093, , , 
2020-03-22, Berlin, 11, 1.5228, 0.2719, 0.5982, 0.1163, , , 
2020-03-23, Berlin, 11, 1.6044, 0.2719, 0.6254, 0.1163, , , 
2020-03-24, Berlin, 11, 1.8219, 0.3263, 0.707, 0.1395, , , 
2020-03-25, Berlin, 11, 2.3658, 0.571, 1.0061, 0.2442, , , 
2020-03-26, Berlin, 11, 2.7465, 0.7886, 1.3052, 0.3372, , , 
2020-03-27, Berlin, 11, 3.2903, 1.4412, 1.9579, 0.6163, , , 
2020-03-28, Berlin, 11, 3.9701, 1.7403, 2.2298, 0.7442, , , 
2020-03-29, Berlin, 11, 4.3236, 1.7675, 2.3658, 0.7558, , , 
2020-03-30, Berlin, 11, 4.6771, 1.9307, 2.5561, 0.8256, , , 
2020-03-31, Berlin, 11, 5.4113, 2.1482, 2.8552, 0.9186, , , 
2020-04-01, Berlin, 11, 6.0096, 2.1482, 3.1543, 0.9186, , , 
