Meldedatum, region, region_id, value, difference, frozen, trend, Lower, Prediction, Upper
2020-03-03, Sachsen, 14, , , , , , , 
2020-03-04, Sachsen, 14, , , , , , , 
2020-03-05, Sachsen, 14, , , , , , , 
2020-03-06, Sachsen, 14, , , , , , , 
2020-03-07, Sachsen, 14, 0.0247, , , , , , 
2020-03-08, Sachsen, 14, 0.0247, , , , , , 
2020-03-09, Sachsen, 14, 0.0495, , 0.0247, , , , 
2020-03-10, Sachsen, 14, 0.0742, , 0.0247, , , , 
2020-03-11, Sachsen, 14, 0.1237, , , , , , 
2020-03-12, Sachsen, 14, 0.2226, , 0.0495, , , , 
2020-03-13, Sachsen, 14, 0.2473, , 0.0742, , , , 
2020-03-14, Sachsen, 14, 0.3463, , 0.0742, , , , 
2020-03-15, Sachsen, 14, 0.371, , 0.0989, , , , 
2020-03-16, Sachsen, 14, 0.3957, , 0.0742, , , , 
2020-03-17, Sachsen, 14, 0.4205, 0.1237, 0.1484, 0.0135, , , 
2020-03-18, Sachsen, 14, 0.4947, 0.0989, 0.1237, 0.0108, , , 
2020-03-19, Sachsen, 14, 0.6926, 0.1237, 0.1731, 0.0135, , , 
2020-03-20, Sachsen, 14, 0.9646, 0.1731, 0.2473, 0.0189, , , 
2020-03-21, Sachsen, 14, 1.0636, 0.2721, 0.3463, 0.0297, , , 
2020-03-22, Sachsen, 14, 1.3109, 0.3463, 0.4452, 0.0378, , , 
2020-03-23, Sachsen, 14, 1.3604, 0.3957, 0.4699, 0.0432, , , 
2020-03-24, Sachsen, 14, 1.6572, 0.4205, 0.5689, 0.0459, , , 
2020-03-25, Sachsen, 14, 2.2013, 0.742, 0.8657, 0.0811, , , 
2020-03-26, Sachsen, 14, 2.5476, 0.9152, 1.0883, 0.1, , , 
2020-03-27, Sachsen, 14, 2.9681, 1.1872, 1.4346, 0.1297, , , 
2020-03-28, Sachsen, 14, 3.4875, 1.3109, 1.6572, 0.1432, , , 
2020-03-29, Sachsen, 14, 3.8833, 1.6077, 2.0529, 0.1757, , , 
2020-03-30, Sachsen, 14, 4.1553, 1.7561, 2.2261, 0.1919, , , 
2020-03-31, Sachsen, 14, 4.65, 2.2013, 2.7702, 0.2405, , , 
2020-04-01, Sachsen, 14, 4.9221, 2.0035, 2.8692, 0.2189, , , 
2020-04-02, Sachsen, 14, 4.8974, 2.1519, 3.2402, 0.2351, , , 
2020-04-03, Sachsen, 14, 5.1942, 1.7561, 3.1907, 0.1919, , , 
2020-04-04, Sachsen, 14, 5.491, 1.5335, 3.1907, 0.1676, , , 
2020-04-05, Sachsen, 14, 5.491, 1.212, 3.2649, 0.1324, , , 
2020-04-06, Sachsen, 14, 5.3673, 1.113, 3.3391, 0.1216, , , 
2020-04-07, Sachsen, 14, 4.9963, 0.2226, 2.9928, 0.0243, , , 
2020-04-08, Sachsen, 14, 4.5016, 0.0742, 2.9434, 0.0081, , , 
2020-04-09, Sachsen, 14, 4.4274, -0.4947, 2.7455, -0.0623, , , 
2020-04-10, Sachsen, 14, 3.6854, -0.5936, 2.5971, -0.0748, , , 
2020-04-11, Sachsen, 14, 3.166, -0.7915, 2.3992, -0.0997, , , 
2020-04-12, Sachsen, 14, 2.9681, -1.4346, 1.8303, -0.1807, , , 
