Week, difference, region, region_id, trend, value
2020-12, , Bremen, 4, , 8.2
2020-13, -8.2, Bremen, 4, -0.7455, 
2020-14, , Bremen, 4, , 
2020-15, , Bremen, 4, , 
2020-16, , Bremen, 4, , 
2020-17, , Bremen, 4, , 
2020-18, 2.9, Bremen, 4, 0.0826, 2.9
2020-19, -2.9, Bremen, 4, -0.2636, 
2020-20, , Bremen, 4, , 
2020-21, , Bremen, 4, , 
2020-22, , Bremen, 4, , 
2020-23, , Bremen, 4, , 
2020-24, , Bremen, 4, , 
2020-25, , Bremen, 4, , 
2020-26, , Bremen, 4, , 
2020-27, , Bremen, 4, , 
2020-28, , Bremen, 4, , 
2020-29, , Bremen, 4, , 
2020-30, , Bremen, 4, , 
2020-31, , Bremen, 4, , 
2020-32, 0.5, Bremen, 4, 0.0142, 0.5
2020-33, -0.3, Bremen, 4, -0.0273, 0.2
2020-34, 0.1, Bremen, 4, 0.0028, 0.3
2020-35, 0.2, Bremen, 4, 0.0057, 0.5
2020-36, 0.1, Bremen, 4, 0.0028, 0.6
2020-37, 0.3, Bremen, 4, 0.0085, 0.9
2020-38, -0.9, Bremen, 4, -0.0818, 
2020-39, 2.7, Bremen, 4, 0.0769, 2.7
2020-40, -1.2, Bremen, 4, -0.1091, 1.5
2020-41, 2.4, Bremen, 4, 0.0684, 3.9
2020-42, -1.2, Bremen, 4, -0.1091, 2.7
2020-43, 2.9, Bremen, 4, 0.0826, 5.6
2020-44, -2.4, Bremen, 4, -0.2182, 3.2
2020-45, 0.8, Bremen, 4, 0.0228, 4
2020-46, 2.4, Bremen, 4, 0.0684, 6.4
2020-47, -2.1, Bremen, 4, -0.1909, 4.3
2020-48, -2.2, Bremen, 4, -0.2, 2.1
2020-49, 1.9, Bremen, 4, 0.0541, 4
2020-50, 1.7, Bremen, 4, 0.0484, 5.7
2020-51, 5.4, Bremen, 4, 0.1538, 11.1
2020-52, -6.6, Bremen, 4, -0.6, 4.5
2020-53, 2.2, Bremen, 4, 0.0627, 6.7
2021-01, 2.6, Bremen, 4, 0.0741, 9.3
2021-02, -9.3, Bremen, 4, -0.8455, 
2021-03, 8.9, Bremen, 4, 0.2536, 8.9
2021-04, -3.8, Bremen, 4, -0.3455, 5.1
2021-05, 0.2, Bremen, 4, 0.0057, 5.3
2021-06, -1, Bremen, 4, -0.0909, 4.3
2021-07, 1.8, Bremen, 4, 0.0513, 6.1
2021-08, -4.2, Bremen, 4, -0.3818, 1.9
