Meldedatum, difference, group, trend, value
2022-06-12, , down, , 48
2022-06-19, -23.5102, down, -0.7261, 24.4898
2022-06-26, -20.4082, down, -0.6303, 4.0816
2022-07-03, 20.4082, down, 0.4819, 24.4898
2022-07-10, -4.0816, down, -0.1261, 20.4082
2022-07-17, 3.6659, down, 0.0866, 24.0741
2022-07-24, -4.4312, down, -0.1369, 19.6429
2022-07-31, 30.3571, down, 0.7168, 50
2022-08-07, 28.5714, down, 0.6746, 78.5714
2022-08-14, -30.3571, down, -0.9376, 48.2143
2022-08-21, 22.9396, down, 0.5416, 71.1538
2022-08-28, -32.3783, down, -1, 38.7755
2022-09-04, -14.8625, down, -0.459, 23.913
2022-09-11, 41.9406, down, 0.9903, 65.8537
2022-09-18, -15.8537, down, -0.4896, 50
2022-09-25, -32.3529, down, -0.9992, 17.6471
2022-10-02, 42.3529, down, 1, 60
