Meldedatum, difference, group, trend, value
2022-06-12, , steady, , 12
2022-06-19, 12.4898, steady, 0.68, 24.4898
2022-06-26, -10.2041, steady, -0.5273, 14.2857
2022-07-03, 18.3673, steady, 1, 32.6531
2022-07-10, 4.0816, steady, 0.2222, 36.7347
2022-07-17, -8.9569, steady, -0.4628, 27.7778
2022-07-24, 2.5794, steady, 0.1404, 30.3571
2022-07-31, , steady, , 30.3571
2022-08-07, -10.7143, steady, -0.5536, 19.6429
2022-08-14, 14.2857, steady, 0.7778, 33.9286
2022-08-21, -10.8516, steady, -0.5607, 23.0769
2022-08-28, 17.7394, steady, 0.9658, 40.8163
2022-09-04, 0.488, steady, 0.0266, 41.3043
2022-09-11, -19.3531, steady, -1, 21.9512
2022-09-18, -14.8084, steady, -0.7652, 7.1429
2022-09-25, 4.6218, steady, 0.2516, 11.7647
2022-10-02, -11.7647, steady, -0.6079, 
