Meldedatum, difference, group, trend, value
2022-06-12, , up, , 40
2022-06-19, 11.0204, up, 0.3594, 51.0204
2022-06-26, 30.6122, up, 0.9984, 81.6327
2022-07-03, -38.7755, up, -1, 42.8571
2022-07-10, , up, , 42.8571
2022-07-17, 5.291, up, 0.1726, 48.1481
2022-07-24, 1.8519, up, 0.0604, 50
2022-07-31, -30.3571, up, -0.7829, 19.6429
2022-08-07, -17.8571, up, -0.4605, 1.7857
2022-08-14, 16.0714, up, 0.5241, 17.8571
2022-08-21, -12.0879, up, -0.3117, 5.7692
2022-08-28, 14.6389, up, 0.4774, 20.4082
2022-09-04, 14.3744, up, 0.4688, 34.7826
2022-09-11, -22.5875, up, -0.5825, 12.1951
2022-09-18, 30.662, up, 1, 42.8571
2022-09-25, 27.7311, up, 0.9044, 70.5882
2022-10-02, -30.5882, up, -0.7889, 40
