Meldedatum, region, region_id, value, difference, frozen, trend, Lower, Prediction, Upper
2020-03-04, Brandenburg, 12, , , , , , , 
2020-03-05, Brandenburg, 12, , , , , , , 
2020-03-06, Brandenburg, 12, , , , , , , 
2020-03-07, Brandenburg, 12, , , , , , , 
2020-03-08, Brandenburg, 12, , , , , , , 
2020-03-09, Brandenburg, 12, 0.0394, , , , , , 
2020-03-10, Brandenburg, 12, 0.0788, , , , , , 
2020-03-11, Brandenburg, 12, 0.1182, , , , , , 
2020-03-12, Brandenburg, 12, 0.1182, , 0.0394, , , , 
2020-03-13, Brandenburg, 12, 0.1576, , 0.0394, , , , 
2020-03-14, Brandenburg, 12, 0.197, , 0.0394, , , , 
2020-03-15, Brandenburg, 12, 0.197, , 0.0394, , , , 
2020-03-16, Brandenburg, 12, 0.1576, , 0.0394, , , , 
2020-03-17, Brandenburg, 12, 0.1576, , 0.0394, , , , 
2020-03-18, Brandenburg, 12, 0.2364, , 0.0394, , , , 
2020-03-19, Brandenburg, 12, 0.3546, , 0.0394, , , , 
2020-03-20, Brandenburg, 12, 0.5122, , 0.0394, , , , 
2020-03-21, Brandenburg, 12, 0.8275, 0.1182, 0.1576, 0.0217, , , 
2020-03-22, Brandenburg, 12, 1.0245, 0.1576, 0.197, 0.029, , , 
2020-03-23, Brandenburg, 12, 1.0245, 0.2364, 0.2758, 0.0435, , , 
2020-03-24, Brandenburg, 12, 1.1821, 0.3152, 0.3546, 0.058, , , 
2020-03-25, Brandenburg, 12, 1.2609, 0.5122, 0.5516, 0.0942, , , 
2020-03-26, Brandenburg, 12, 1.6549, 0.6305, 0.6699, 0.1159, , , 
2020-03-27, Brandenburg, 12, 1.9702, 0.6699, 0.7093, 0.1232, , , 
2020-03-28, Brandenburg, 12, 2.1278, 0.9457, 1.1033, 0.1739, , , 
2020-03-29, Brandenburg, 12, 2.3248, 1.0639, 1.2609, 0.1957, , , 
2020-03-30, Brandenburg, 12, 2.6006, 1.2609, 1.5367, 0.2319, , , 
2020-03-31, Brandenburg, 12, 3.2705, 1.1821, 1.5367, 0.2174, , , 
2020-04-01, Brandenburg, 12, 4.5314, 1.5761, 2.1278, 0.2899, , , 
2020-04-02, Brandenburg, 12, 5.1618, 2.5218, 3.1917, 0.4638, , , 
2020-04-03, Brandenburg, 12, 5.477, 3.2705, 3.9797, 0.6014, , , 
2020-04-04, Brandenburg, 12, 6.2257, 3.4675, 4.5708, 0.6377, , , 
2020-04-05, Brandenburg, 12, 6.2651, 3.9797, 5.2406, 0.7319, , , 
2020-04-06, Brandenburg, 12, 6.1863, 3.6645, 5.2012, 0.6739, , , 
2020-04-07, Brandenburg, 12, 6.0287, 3.4281, 4.9648, 0.6304, , , 
2020-04-08, Brandenburg, 12, 5.4376, 2.0096, 4.1373, 0.3696, , , 
2020-04-09, Brandenburg, 12, 5.1618, 0.5122, 3.7039, 0.0942, , , 
2020-04-10, Brandenburg, 12, 5.7923, -0.1576, 3.8221, -0.043, , , 
2020-04-11, Brandenburg, 12, 5.083, -0.7881, 3.7827, -0.2151, , , 
2020-04-12, Brandenburg, 12, 5.083, -1.3003, 3.9403, -0.3548, , , 
2020-04-13, Brandenburg, 12, 5.5164, -1.4185, 3.7827, -0.3871, , , 
2020-04-14, Brandenburg, 12, 4.9648, -1.3003, 3.6645, -0.3548, , , 
2020-04-15, Brandenburg, 12, 4.7284, -0.8669, 3.2705, -0.2366, , , 
2020-04-16, Brandenburg, 12, 4.7678, 0.0394, 3.7433, 0.0072, , , 
2020-04-17, Brandenburg, 12, 3.9403, -0.7093, 3.1128, -0.1935, , , 
2020-04-18, Brandenburg, 12, 4.0585, -0.8669, 2.9158, -0.2366, , , 
2020-04-19, Brandenburg, 12, 4.0585, -1.0639, 2.8764, -0.2903, , , 
2020-04-20, Brandenburg, 12, 3.7827, -1.3397, 2.443, -0.3656, , , 
2020-04-21, Brandenburg, 12, 4.6102, -0.8669, 2.7976, -0.2366, , , 
2020-04-22, Brandenburg, 12, 5.083, , 3.2705, , , , 
2020-04-23, Brandenburg, 12, 4.8072, -0.197, 3.5463, -0.0538, , , 
2020-04-24, Brandenburg, 12, 4.5708, 0.7487, 3.8615, 0.1377, , , 
2020-04-25, Brandenburg, 12, 4.3343, 0.4728, 3.3887, 0.087, , , 
2020-04-26, Brandenburg, 12, 4.2161, 0.5122, 3.3887, 0.0942, , , 
2020-04-27, Brandenburg, 12, 3.9009, 1.0245, 3.4675, 0.1884, , , 
2020-04-28, Brandenburg, 12, 3.3493, -0.1576, 2.64, -0.043, , , 
2020-04-29, Brandenburg, 12, 2.7188, -1.5761, 1.6943, -0.4301, , , 
2020-04-30, Brandenburg, 12, 2.2066, -2.2066, 1.3397, -0.6022, , , 
2020-05-01, Brandenburg, 12, 2.0096, -2.5218, 1.3397, -0.6882, , , 
2020-05-02, Brandenburg, 12, 1.7731, -2.3642, 1.0245, -0.6452, , , 
2020-05-03, Brandenburg, 12, 1.6155, -2.6006, 0.7881, -0.7097, , , 
2020-05-04, Brandenburg, 12, 1.6155, -2.64, 0.8275, -0.7204, , , 
2020-05-05, Brandenburg, 12, 1.4185, -1.8914, 0.7487, -0.5161, , , 
2020-05-06, Brandenburg, 12, 1.0245, -1.0245, 0.6699, -0.2796, , , 
2020-05-07, Brandenburg, 12, 1.1033, -0.6305, 0.7093, -0.172, , , 
2020-05-08, Brandenburg, 12, 0.9851, -0.591, 0.7487, -0.1613, , , 
2020-05-09, Brandenburg, 12, 0.9457, -0.3546, 0.6699, -0.0968, , , 
2020-05-10, Brandenburg, 12, 0.8275, -0.1576, 0.6305, -0.043, , , 
2020-05-11, Brandenburg, 12, 0.8275, -0.2364, 0.591, -0.0645, , , 
2020-05-12, Brandenburg, 12, 0.6305, -0.2758, 0.4728, -0.0753, , , 
2020-05-13, Brandenburg, 12, 0.6305, -0.197, 0.4728, -0.0538, , , 
2020-05-14, Brandenburg, 12, 0.5516, -0.3546, 0.3546, -0.0968, , , 
2020-05-15, Brandenburg, 12, 0.4728, -0.394, 0.3546, -0.1075, , , 
2020-05-16, Brandenburg, 12, 0.3546, -0.394, 0.2758, -0.1075, , , 
2020-05-17, Brandenburg, 12, 0.3546, -0.394, 0.2364, -0.1075, , , 
2020-05-18, Brandenburg, 12, 0.3152, -0.3152, 0.2758, -0.086, , , 
2020-05-19, Brandenburg, 12, 0.394, -0.197, 0.2758, -0.0538, , , 
2020-05-20, Brandenburg, 12, 0.3546, -0.197, 0.2758, -0.0538, , , 
2020-05-21, Brandenburg, 12, 0.3152, -0.1182, 0.2364, -0.0323, , , 
2020-05-22, Brandenburg, 12, 0.3152, -0.1182, 0.2364, -0.0323, , , 
2020-05-23, Brandenburg, 12, 0.3152, -0.0394, 0.2364, -0.0108, , , 
2020-05-24, Brandenburg, 12, 0.3152, -0.0394, 0.197, -0.0108, , , 
2020-05-25, Brandenburg, 12, 0.3152, -0.0788, 0.197, -0.0215, , , 
2020-05-26, Brandenburg, 12, 0.2364, -0.0788, 0.197, -0.0215, , , 
2020-05-27, Brandenburg, 12, 0.2364, -0.0788, 0.197, -0.0215, , , 
2020-05-28, Brandenburg, 12, 0.197, -0.0788, 0.1576, -0.0215, , , 
2020-05-29, Brandenburg, 12, 0.3546, 0.0788, 0.3152, 0.0145, , , 
2020-05-30, Brandenburg, 12, 0.3546, 0.1182, 0.3546, 0.0217, , , 
2020-05-31, Brandenburg, 12, 0.5122, 0.197, 0.394, 0.0362, , , 
2020-06-01, Brandenburg, 12, 0.5516, 0.2364, 0.4334, 0.0435, , , 
2020-06-02, Brandenburg, 12, 0.5122, 0.2364, 0.4334, 0.0435, , , 
2020-06-03, Brandenburg, 12, 0.5122, 0.197, 0.394, 0.0362, , , 
2020-06-04, Brandenburg, 12, 0.5122, 0.3152, 0.4728, 0.058, , , 
2020-06-05, Brandenburg, 12, 0.4334, 0.0788, 0.394, 0.0145, , , 
2020-06-06, Brandenburg, 12, 0.394, 0.0394, 0.394, 0.0072, , , 
2020-06-07, Brandenburg, 12, 0.197, -0.197, 0.197, -0.0538, , , 
2020-06-08, Brandenburg, 12, 0.1576, -0.2758, 0.1576, -0.0753, , , 
2020-06-09, Brandenburg, 12, 0.1576, -0.2758, 0.1576, -0.0753, , , 
2020-06-10, Brandenburg, 12, 0.1576, -0.2758, 0.1182, -0.0753, , , 
2020-06-11, Brandenburg, 12, 0.2364, -0.3152, 0.1576, -0.086, , , 
2020-06-12, Brandenburg, 12, 0.2758, -0.197, 0.197, -0.0538, , , 
2020-06-13, Brandenburg, 12, 0.2758, -0.0788, 0.3152, -0.0215, , , 
2020-06-14, Brandenburg, 12, 0.3152, 0.1182, 0.3152, 0.0217, , , 
2020-06-15, Brandenburg, 12, 0.3152, 0.1576, 0.3152, 0.029, , , 
2020-06-16, Brandenburg, 12, 0.3546, 0.197, 0.3546, 0.0362, , , 
2020-06-17, Brandenburg, 12, 0.4334, 0.2758, 0.394, 0.0507, , , 
2020-06-18, Brandenburg, 12, 0.3152, 0.0788, 0.2364, 0.0145, , , 
2020-06-19, Brandenburg, 12, 0.2758, , 0.197, , , , 
2020-06-20, Brandenburg, 12, 0.2758, -0.1182, 0.197, -0.0323, , , 
2020-06-21, Brandenburg, 12, 0.2364, -0.1182, 0.197, -0.0323, , , 
2020-06-22, Brandenburg, 12, 0.2364, -0.1182, 0.197, -0.0323, , , 
2020-06-23, Brandenburg, 12, 0.197, -0.197, 0.1576, -0.0538, , , 
2020-06-24, Brandenburg, 12, 0.1182, -0.3546, 0.0394, -0.0968, , , 
2020-06-25, Brandenburg, 12, 0.1182, -0.1576, 0.0788, -0.043, , , 
2020-06-26, Brandenburg, 12, 0.0394, -0.1576, 0.0394, -0.043, , , 
2020-06-27, Brandenburg, 12, 0.0788, -0.1576, 0.0394, -0.043, , , 
2020-06-28, Brandenburg, 12, 0.0788, -0.1182, 0.0788, -0.0323, , , 
2020-06-29, Brandenburg, 12, 0.1182, -0.0788, 0.1182, -0.0215, , , 
2020-06-30, Brandenburg, 12, 0.1576, -0.0394, 0.1182, -0.0108, , , 
2020-07-01, Brandenburg, 12, 0.1182, 0.1182, 0.1576, 0.0217, , , 
2020-07-02, Brandenburg, 12, 0.197, 0.0788, 0.1576, 0.0145, , , 
2020-07-03, Brandenburg, 12, 0.2364, 0.1182, 0.1576, 0.0217, , , 
2020-07-04, Brandenburg, 12, 0.197, 0.1576, 0.197, 0.029, , , 
2020-07-05, Brandenburg, 12, 0.2758, 0.1182, 0.197, 0.0217, , , 
2020-07-06, Brandenburg, 12, 0.2364, 0.0394, 0.1576, 0.0072, , , 
2020-07-07, Brandenburg, 12, 0.197, 0.0394, 0.1576, 0.0072, , , 
2020-07-08, Brandenburg, 12, 0.197, , 0.1576, , , , 
2020-07-09, Brandenburg, 12, 0.1182, -0.0394, 0.1182, -0.0108, , , 
2020-07-10, Brandenburg, 12, 0.1182, -0.0788, 0.0788, -0.0215, , , 
