Meldedatum, region, region_id, value, difference, frozen, trend, Lower, Prediction, Upper
2020-03-04, Niedersachsen, 3, 0.0249, , , , , , 
2020-03-05, Niedersachsen, 3, 0.0374, , , , , , 
2020-03-06, Niedersachsen, 3, 0.0498, , 0.0249, , , , 
2020-03-07, Niedersachsen, 3, 0.0747, , 0.0249, , , , 
2020-03-08, Niedersachsen, 3, 0.0872, , 0.0249, , , , 
2020-03-09, Niedersachsen, 3, 0.0872, , 0.0374, , , , 
2020-03-10, Niedersachsen, 3, 0.0747, , 0.0498, , , , 
2020-03-11, Niedersachsen, 3, 0.0997, , 0.0747, , , , 
2020-03-12, Niedersachsen, 3, 0.1121, , 0.0623, , , , 
2020-03-13, Niedersachsen, 3, 0.137, 0.0374, 0.0623, 0.0135, , , 
2020-03-14, Niedersachsen, 3, 0.137, 0.0374, 0.0623, 0.0135, , , 
2020-03-15, Niedersachsen, 3, 0.1744, 0.0374, 0.0623, 0.0135, , , 
2020-03-16, Niedersachsen, 3, 0.2242, 0.0249, 0.0623, 0.009, , , 
2020-03-17, Niedersachsen, 3, 0.3239, 0.0374, 0.0872, 0.0135, , , 
2020-03-18, Niedersachsen, 3, 0.4236, 0.0374, 0.1121, 0.0135, , , 
2020-03-19, Niedersachsen, 3, 0.6229, 0.1246, 0.1869, 0.0448, , , 
2020-03-20, Niedersachsen, 3, 0.7226, 0.2492, 0.3114, 0.0897, , , 
2020-03-21, Niedersachsen, 3, 0.9593, 0.2741, 0.3364, 0.0987, , , 
2020-03-22, Niedersachsen, 3, 1.1212, 0.4859, 0.5481, 0.1749, , , 
2020-03-23, Niedersachsen, 3, 1.2084, 0.6603, 0.7226, 0.2377, , , 
2020-03-24, Niedersachsen, 3, 1.3455, 0.7848, 0.8721, 0.2825, , , 
2020-03-25, Niedersachsen, 3, 1.5448, 1.1088, 1.2209, 0.3991, , , 
2020-03-26, Niedersachsen, 3, 1.6943, 1.0215, 1.2084, 0.3677, , , 
2020-03-27, Niedersachsen, 3, 2.0057, 1.4451, 1.7566, 0.5202, , , 
2020-03-28, Niedersachsen, 3, 2.23, 1.4077, 1.7441, 0.5067, , , 
2020-03-29, Niedersachsen, 3, 2.4542, 1.4327, 1.9808, 0.5157, , , 
2020-03-30, Niedersachsen, 3, 2.6411, 1.3953, 2.1178, 0.5022, , , 
2020-03-31, Niedersachsen, 3, 2.8279, 1.3455, 2.2175, 0.4843, , , 
2020-04-01, Niedersachsen, 3, 3.102, 0.299, 1.5199, 0.1076, , , 
2020-04-02, Niedersachsen, 3, 3.2889, 0.5855, 1.7939, 0.2108, , , 
2020-04-03, Niedersachsen, 3, 3.3512, 0.0374, 1.7939, 0.0135, , , 
2020-04-04, Niedersachsen, 3, 3.563, 0.2242, 1.9683, 0.0807, , , 
2020-04-05, Niedersachsen, 3, 3.538, -0.137, 1.8438, -0.0537, , , 
2020-04-06, Niedersachsen, 3, 3.3761, -0.1246, 1.9933, -0.0488, , , 
2020-04-07, Niedersachsen, 3, 3.563, -0.137, 2.0805, -0.0537, , , 
2020-04-08, Niedersachsen, 3, 3.4135, 0.3364, 1.8562, 0.1211, , , 
2020-04-09, Niedersachsen, 3, 3.5007, 0.0249, 1.8189, 0.009, , , 
2020-04-10, Niedersachsen, 3, 3.4633, , 1.7939, , , , 
2020-04-11, Niedersachsen, 3, 3.1394, -0.2741, 1.6943, -0.1073, , , 
2020-04-12, Niedersachsen, 3, 2.9401, -0.1744, 1.6694, -0.0683, , , 
2020-04-13, Niedersachsen, 3, 3.0771, -0.2865, 1.7067, -0.1122, , , 
2020-04-14, Niedersachsen, 3, 2.7657, -0.5481, 1.5323, -0.2146, , , 
2020-04-15, Niedersachsen, 3, 2.8404, -0.2616, 1.5946, -0.1024, , , 
2020-04-16, Niedersachsen, 3, 2.6909, -0.3488, 1.47, -0.1366, , , 
2020-04-17, Niedersachsen, 3, 2.7158, -0.2741, 1.5199, -0.1073, , , 
2020-04-18, Niedersachsen, 3, 2.7532, -0.0872, 1.6071, -0.0341, , , 
2020-04-19, Niedersachsen, 3, 2.8653, , 1.6694, , , , 
2020-04-20, Niedersachsen, 3, 2.8155, -0.0623, 1.6444, -0.0244, , , 
2020-04-21, Niedersachsen, 3, 2.7657, 0.4609, 1.9933, 0.1659, , , 
2020-04-22, Niedersachsen, 3, 2.5663, 0.1869, 1.7815, 0.0673, , , 
2020-04-23, Niedersachsen, 3, 2.3795, 0.1495, 1.6195, 0.0538, , , 
