Meldedatum, region, region_id, value, difference, frozen, trend, Lower, Prediction, Upper
2020-03-04, Saarland, 10, , , , , , , 
2020-03-05, Saarland, 10, , , , , , , 
2020-03-06, Saarland, 10, , , , , , , 
2020-03-07, Saarland, 10, , , , , , , 
2020-03-08, Saarland, 10, , , , , , , 
2020-03-09, Saarland, 10, , , , , , , 
2020-03-10, Saarland, 10, , , 0.1018, , , , 
2020-03-11, Saarland, 10, , , , , , , 
2020-03-12, Saarland, 10, , , , , , , 
2020-03-13, Saarland, 10, , , , , , , 
2020-03-14, Saarland, 10, , , , , , , 
2020-03-15, Saarland, 10, , , , , , , 
2020-03-16, Saarland, 10, , , , , , , 
2020-03-17, Saarland, 10, 0.2036, , 0.2036, , , , 
2020-03-18, Saarland, 10, 0.2036, , 0.2036, , , , 
2020-03-19, Saarland, 10, 0.509, , 0.2036, , , , 
2020-03-20, Saarland, 10, 0.509, , 0.2036, , , , 
2020-03-21, Saarland, 10, 0.9162, , 0.2036, , , , 
2020-03-22, Saarland, 10, 1.4252, , 0.2036, , , , 
2020-03-23, Saarland, 10, 1.7305, 0.1018, 0.2036, 0.0109, , , 
2020-03-24, Saarland, 10, 2.7485, 1.2216, 1.4252, 0.1304, , , 
2020-03-25, Saarland, 10, 3.6647, 1.4252, 1.6288, 0.1522, , , 
2020-03-26, Saarland, 10, 3.7665, 2.4431, 2.6467, 0.2609, , , 
2020-03-27, Saarland, 10, 4.1737, 2.7485, 2.9521, 0.2935, , , 
2020-03-28, Saarland, 10, 4.5809, 2.8503, 3.0539, 0.3043, , , 
2020-03-29, Saarland, 10, 5.2934, 2.4431, 2.6467, 0.2609, , , 
2020-03-30, Saarland, 10, 6.006, 3.8683, 4.0719, 0.413, , , 
2020-03-31, Saarland, 10, 5.497, 1.9341, 3.3593, 0.2065, , , 
2020-04-01, Saarland, 10, 7.024, 1.4252, 3.0539, 0.1522, , , 
2020-04-02, Saarland, 10, 8.4491, 2.6467, 5.2934, 0.2826, , , 
2020-04-03, Saarland, 10, 10.2815, 2.4431, 5.3952, 0.2609, , , 
2020-04-04, Saarland, 10, 11.6048, 4.8863, 7.9402, 0.5217, , , 
2020-04-05, Saarland, 10, 11.9102, 5.1916, 7.8384, 0.5543, , , 
2020-04-06, Saarland, 10, 12.3174, 3.6647, 7.7366, 0.3913, , , 
2020-04-07, Saarland, 10, 12.9282, 4.4791, 7.8384, 0.4783, , , 
2020-04-08, Saarland, 10, 11.8084, 6.006, 9.0599, 0.6413, , , 
2020-04-09, Saarland, 10, 11.6048, 1.6288, 6.9222, 0.1739, , , 
2020-04-10, Saarland, 10, 11.2995, 0.7126, 6.1078, 0.0761, , , 
2020-04-11, Saarland, 10, 10.0779, -2.3413, 5.5988, -0.3833, , , 
2020-04-12, Saarland, 10, 9.5689, -1.9341, 5.9042, -0.3167, , , 
2020-04-13, Saarland, 10, 8.3473, -2.2395, 5.497, -0.3667, , , 
2020-04-14, Saarland, 10, 7.533, -2.1377, 5.7006, -0.35, , , 
2020-04-15, Saarland, 10, 7.024, -3.9701, 5.0898, -0.65, , , 
2020-04-16, Saarland, 10, 6.1078, -2.5449, 4.3773, -0.4167, , , 
2020-04-17, Saarland, 10, 5.1916, -1.8323, 4.2755, -0.3, , , 
2020-04-18, Saarland, 10, 5.8024, -0.4072, 5.1916, -0.0667, , , 
2020-04-19, Saarland, 10, 4.988, -1.6288, 4.2755, -0.2667, , , 
2020-04-20, Saarland, 10, 4.8863, -1.018, 4.4791, -0.1667, , , 
2020-04-21, Saarland, 10, 4.7845, -1.527, 4.1737, -0.25, , , 
2020-04-22, Saarland, 10, 4.8863, -1.018, 4.0719, -0.1667, , , 
2020-04-23, Saarland, 10, 5.8024, -0.3054, 4.0719, -0.05, , , 
2020-04-24, Saarland, 10, 5.3952, -0.3054, 3.9701, -0.05, , , 
2020-04-25, Saarland, 10, 4.6827, -1.8323, 3.3593, -0.3, , , 
2020-04-26, Saarland, 10, 4.6827, -1.1198, 3.1557, -0.1833, , , 
2020-04-27, Saarland, 10, 4.6827, -1.1198, 3.3593, -0.1833, , , 
2020-04-28, Saarland, 10, 4.2755, -1.2216, 2.9521, -0.2, , , 
2020-04-29, Saarland, 10, 3.4611, -1.527, 2.5449, -0.25, , , 
2020-04-30, Saarland, 10, 2.4431, -1.9341, 2.1377, -0.3167, , , 
2020-05-01, Saarland, 10, 2.1377, -1.527, 2.4431, -0.25, , , 
2020-05-02, Saarland, 10, 1.4252, -1.527, 1.8323, -0.25, , , 
2020-05-03, Saarland, 10, 1.6288, -1.018, 2.1377, -0.1667, , , 
