Meldedatum, region, region_id, value, difference, frozen, trend, Lower, Prediction, Upper
2020-03-04, Sachsen-Anhalt, 15, , , , , , , 
2020-03-05, Sachsen-Anhalt, 15, , , , , , , 
2020-03-06, Sachsen-Anhalt, 15, , , , , , , 
2020-03-07, Sachsen-Anhalt, 15, , , , , , , 
2020-03-08, Sachsen-Anhalt, 15, , , , , , , 
2020-03-09, Sachsen-Anhalt, 15, , , , , , , 
2020-03-10, Sachsen-Anhalt, 15, , , , , , , 
2020-03-11, Sachsen-Anhalt, 15, , , , , , , 
2020-03-12, Sachsen-Anhalt, 15, 0.0461, , , , , , 
2020-03-13, Sachsen-Anhalt, 15, 0.0922, , 0.0461, , , , 
2020-03-14, Sachsen-Anhalt, 15, 0.0922, , 0.0461, , , , 
2020-03-15, Sachsen-Anhalt, 15, 0.0922, , 0.0461, , , , 
2020-03-16, Sachsen-Anhalt, 15, 0.0922, , 0.0461, , , , 
2020-03-17, Sachsen-Anhalt, 15, 0.1844, , 0.0461, , , , 
2020-03-18, Sachsen-Anhalt, 15, 0.2766, , 0.1383, , , , 
2020-03-19, Sachsen-Anhalt, 15, 0.2305, , 0.1383, , , , 
2020-03-20, Sachsen-Anhalt, 15, 0.5071, 0.2766, 0.3227, 0.0448, , , 
2020-03-21, Sachsen-Anhalt, 15, 0.8759, 0.2766, 0.3227, 0.0448, , , 
2020-03-22, Sachsen-Anhalt, 15, 0.9681, 0.3688, 0.4149, 0.0597, , , 
2020-03-23, Sachsen-Anhalt, 15, 1.1986, 0.3688, 0.4149, 0.0597, , , 
2020-03-24, Sachsen-Anhalt, 15, 1.4752, 0.8759, 0.922, 0.1418, , , 
2020-03-25, Sachsen-Anhalt, 15, 1.8901, 0.922, 1.0603, 0.1493, , , 
2020-03-26, Sachsen-Anhalt, 15, 2.2127, 1.2447, 1.383, 0.2015, , , 
2020-03-27, Sachsen-Anhalt, 15, 2.3971, 1.0142, 1.3369, 0.1642, , , 
