Meldedatum, region, region_id, value, difference, trend
2020-03-03, Sachsen-Anhalt, 15, , , 
2020-03-04, Sachsen-Anhalt, 15, , , 
2020-03-05, Sachsen-Anhalt, 15, , , 
2020-03-06, Sachsen-Anhalt, 15, , , 
2020-03-07, Sachsen-Anhalt, 15, , , 
2020-03-08, Sachsen-Anhalt, 15, , , 
2020-03-09, Sachsen-Anhalt, 15, , , 
2020-03-10, Sachsen-Anhalt, 15, , , 
2020-03-11, Sachsen-Anhalt, 15, 0.3, , 
2020-03-12, Sachsen-Anhalt, 15, 0.9, , 
2020-03-13, Sachsen-Anhalt, 15, 1.5, , 
2020-03-14, Sachsen-Anhalt, 15, 2, , 
2020-03-15, Sachsen-Anhalt, 15, 2.1, , 
2020-03-16, Sachsen-Anhalt, 15, 2.1, , 
2020-03-17, Sachsen-Anhalt, 15, 3.6, , 
2020-03-18, Sachsen-Anhalt, 15, 4.7, 4.2872, 0.0087
2020-03-19, Sachsen-Anhalt, 15, 5.8, 4.8404, 0.0099
2020-03-20, Sachsen-Anhalt, 15, 7.1, 5.3475, 0.0109
2020-03-21, Sachsen-Anhalt, 15, 9, 4.7021, 0.0096
2020-03-22, Sachsen-Anhalt, 15, 9.7, 5.6702, 0.0116
2020-03-23, Sachsen-Anhalt, 15, 10.3, 5.7163, 0.0117
2020-03-24, Sachsen-Anhalt, 15, 11.8, 8.2978, 0.0169
2020-03-25, Sachsen-Anhalt, 15, 13.4, 7.5602, 0.0154
2020-03-26, Sachsen-Anhalt, 15, 14, 6.8687, 0.014
2020-03-27, Sachsen-Anhalt, 15, 14.7, 5.578, 0.0114
2020-03-28, Sachsen-Anhalt, 15, 15.9, 3.3652, 0.0069
2020-03-29, Sachsen-Anhalt, 15, 17.1, 7.7907, 0.0159
2020-03-30, Sachsen-Anhalt, 15, 17.3, 7.0992, 0.0145
2020-03-31, Sachsen-Anhalt, 15, 17.6, 4.7021, 0.0096
2020-04-01, Sachsen-Anhalt, 15, 17.3, 3.9184, 0.008
2020-04-02, Sachsen-Anhalt, 15, 16.6, 3.8262, 0.0078
2020-04-03, Sachsen-Anhalt, 15, 16.1, 2.8581, 0.0058
2020-04-04, Sachsen-Anhalt, 15, 14.5, 4.3794, 0.0089
2020-04-05, Sachsen-Anhalt, 15, 14.2, -1.8901, -0.0032
2020-04-06, Sachsen-Anhalt, 15, 15.1, -0.4149, -0.0007
2020-04-07, Sachsen-Anhalt, 15, 13, -3.3652, -0.0057
2020-04-08, Sachsen-Anhalt, 15, 12.4, -4.7482, -0.008
2020-04-09, Sachsen-Anhalt, 15, 13, -4.0106, -0.0068
2020-04-10, Sachsen-Anhalt, 15, 12.7, -2.9964, -0.0051
2020-04-11, Sachsen-Anhalt, 15, 11.8, -3.5496, -0.006
2020-04-12, Sachsen-Anhalt, 15, 11.5, -2.6737, -0.0045
2020-04-13, Sachsen-Anhalt, 15, 10.3, -4.2411, -0.0072
2020-04-14, Sachsen-Anhalt, 15, 9.6, -2.8581, -0.0048
2020-04-15, Sachsen-Anhalt, 15, 8.7, -3.1808, -0.0054
2020-04-16, Sachsen-Anhalt, 15, 7.4, -5.0709, -0.0086
2020-04-17, Sachsen-Anhalt, 15, 6.8, -5.3936, -0.0091
2020-04-18, Sachsen-Anhalt, 15, 8.4, -3.5035, -0.0059
2020-04-19, Sachsen-Anhalt, 15, 8.2, -3.2269, -0.0055
2020-04-20, Sachsen-Anhalt, 15, 8.3, -2.2127, -0.0037
2020-04-21, Sachsen-Anhalt, 15, 8.4, -1.5213, -0.0026
2020-04-22, Sachsen-Anhalt, 15, 8.6, -0.8298, -0.0014
2020-04-23, Sachsen-Anhalt, 15, 8.4, 0.5993, 0.0012
2020-04-24, Sachsen-Anhalt, 15, 8.6, 0.3688, 0.0008
2020-04-25, Sachsen-Anhalt, 15, 6.8, -1.0142, -0.0017
2020-04-26, Sachsen-Anhalt, 15, 6.6, -1.7057, -0.0029
2020-04-27, Sachsen-Anhalt, 15, 6.2, -1.7057, -0.0029
2020-04-28, Sachsen-Anhalt, 15, 5.9, -2.2127, -0.0037
2020-04-29, Sachsen-Anhalt, 15, 5.1, -2.7198, -0.0046
2020-04-30, Sachsen-Anhalt, 15, 5.1, -2.7659, -0.0047
2020-05-01, Sachsen-Anhalt, 15, 4.3, -2.812, -0.0048
2020-05-02, Sachsen-Anhalt, 15, 3.8, -2.6737, -0.0045
2020-05-03, Sachsen-Anhalt, 15, 3.1, -2.9042, -0.0049
2020-05-04, Sachsen-Anhalt, 15, 3.1, -3.3191, -0.0056
2020-05-05, Sachsen-Anhalt, 15, 3, -2.8581, -0.0048
2020-05-06, Sachsen-Anhalt, 15, 3.3, -2.0744, -0.0035
2020-05-07, Sachsen-Anhalt, 15, 3, -2.6276, -0.0045
2020-05-08, Sachsen-Anhalt, 15, 3, -1.8901, -0.0032
2020-05-09, Sachsen-Anhalt, 15, 2.9, -0.7837, -0.0013
2020-05-10, Sachsen-Anhalt, 15, 2.9, -0.2305, -0.0004
2020-05-11, Sachsen-Anhalt, 15, 2.8, -0.1383, -0.0002
2020-05-12, Sachsen-Anhalt, 15, 2.6, -0.2766, -0.0005
2020-05-13, Sachsen-Anhalt, 15, 2.1, -0.6915, -0.0012
2020-05-14, Sachsen-Anhalt, 15, 2, -0.5993, -0.001
2020-05-15, Sachsen-Anhalt, 15, 1.9, -0.7376, -0.0012
2020-05-16, Sachsen-Anhalt, 15, 1.6, -1.1064, -0.0019
2020-05-17, Sachsen-Anhalt, 15, 1.6, -1.1986, -0.002
2020-05-18, Sachsen-Anhalt, 15, 1.6, -1.1525, -0.002
2020-05-19, Sachsen-Anhalt, 15, 1.5, -1.1525, -0.002
2020-05-20, Sachsen-Anhalt, 15, 1.5, -0.6454, -0.0011
2020-05-21, Sachsen-Anhalt, 15, 1.2, -0.5071, -0.0009
2020-05-22, Sachsen-Anhalt, 15, 0.9, -0.7837, -0.0013
2020-05-23, Sachsen-Anhalt, 15, 0.9, -0.8298, -0.0014
2020-05-24, Sachsen-Anhalt, 15, 0.8, -0.6915, -0.0012
2020-05-25, Sachsen-Anhalt, 15, 0.7, -0.7837, -0.0013
2020-05-26, Sachsen-Anhalt, 15, 0.9, -0.5532, -0.0009
2020-05-27, Sachsen-Anhalt, 15, 0.6, -0.5993, -0.001
2020-05-28, Sachsen-Anhalt, 15, 0.6, -0.6915, -0.0012
2020-05-29, Sachsen-Anhalt, 15, 0.5, -0.461, -0.0008
2020-05-30, Sachsen-Anhalt, 15, 0.5, -0.4149, -0.0007
2020-05-31, Sachsen-Anhalt, 15, 0.6, -0.2766, -0.0005
2020-06-01, Sachsen-Anhalt, 15, 0.6, -0.1383, -0.0002
2020-06-02, Sachsen-Anhalt, 15, 0.4, -0.5071, -0.0009
2020-06-03, Sachsen-Anhalt, 15, 0.5, -0.2305, -0.0004
2020-06-04, Sachsen-Anhalt, 15, 0.4, -0.1383, -0.0002
2020-06-05, Sachsen-Anhalt, 15, 0.6, -0.0461, -0.0001
2020-06-06, Sachsen-Anhalt, 15, 0.7, 0.1383, 0.0003
2020-06-07, Sachsen-Anhalt, 15, 0.6, 0.0461, 0.0001
2020-06-08, Sachsen-Anhalt, 15, 0.6, , 
2020-06-09, Sachsen-Anhalt, 15, 0.6, 0.1844, 0.0004
2020-06-10, Sachsen-Anhalt, 15, 0.8, 0.1383, 0.0003
2020-06-11, Sachsen-Anhalt, 15, 0.9, 0.4149, 0.0008
2020-06-12, Sachsen-Anhalt, 15, 0.8, 0.3227, 0.0007
2020-06-13, Sachsen-Anhalt, 15, 1.3, 0.1383, 0.0003
2020-06-14, Sachsen-Anhalt, 15, 1.8, 1.1525, 0.0024
2020-06-15, Sachsen-Anhalt, 15, 2.3, 1.6596, 0.0034
2020-06-16, Sachsen-Anhalt, 15, 2.6, 1.7979, 0.0037
2020-06-17, Sachsen-Anhalt, 15, 2.8, 1.7057, 0.0035
2020-06-18, Sachsen-Anhalt, 15, 3.5, 2.4893, 0.0051
2020-06-19, Sachsen-Anhalt, 15, 3.9, 3.1808, 0.0065
2020-06-20, Sachsen-Anhalt, 15, 4.2, 3.5496, 0.0072
2020-06-21, Sachsen-Anhalt, 15, 3.9, 2.1666, 0.0044
2020-06-22, Sachsen-Anhalt, 15, 3.7, 1.1986, 0.0024
2020-06-23, Sachsen-Anhalt, 15, 3.7, 1.1064, 0.0023
2020-06-24, Sachsen-Anhalt, 15, 3.2, 0.9681, 0.002
2020-06-25, Sachsen-Anhalt, 15, 2.5, -0.9681, -0.0016
2020-06-26, Sachsen-Anhalt, 15, 2.1, -1.844, -0.0031
