Meldedatum, difference, trend, value
2020-03-03, , , 0.2
2020-03-04, , , 0.3
2020-03-05, , , 0.5
2020-03-06, , , 0.7
2020-03-07, , , 0.9
2020-03-08, , , 1
2020-03-09, , , 1.1
2020-03-10, 0.4637, 0.0012, 1.5
2020-03-11, 0.8794, 0.0023, 2.1
2020-03-12, 1.6123, 0.0043, 2.8
2020-03-13, 2.1481, 0.0057, 3.8
2020-03-14, 2.9254, 0.0077, 5.3
2020-03-15, 3.6366, 0.0096, 6.7
2020-03-16, 4.9161, 0.013, 7.7
2020-03-17, 6.4875, 0.0172, 9.8
2020-03-18, 6.6713, 0.0176, 12.7
2020-03-19, 8.4169, 0.0223, 16.1
2020-03-20, 10.2586, 0.0271, 19.8
2020-03-21, 11.0636, 0.0292, 22.9
2020-03-22, 11.2017, 0.0296, 25.4
2020-03-23, 13.5769, 0.0359, 26.9
2020-03-24, 15.2444, 0.0403, 28.9
2020-03-25, 16.0637, 0.0425, 31.2
2020-03-26, 15.4078, 0.0407, 33.7
2020-03-27, 15.1351, 0.04, 35.9
2020-03-28, 16.2079, 0.0428, 38.2
2020-03-29, 16.0866, 0.0425, 39.8
2020-03-30, 15.2949, 0.0404, 40.8
2020-03-31, 13.0915, 0.0346, 41.3
2020-04-01, 12.1989, 0.0322, 42.7
2020-04-02, 10.8581, 0.0287, 43.4
2020-04-03, 9.1089, 0.0241, 44.2
2020-04-04, 6.3794, 0.0169, 44.4
2020-04-05, 6.9837, 0.0185, 44
2020-04-06, 4.7683, 0.0126, 43.3
2020-04-07, 3.1873, 0.0084, 42.8
2020-04-08, 0.2943, 0.0008, 41.7
2020-04-09, -1.7492, -0.0042, 40.5
2020-04-10, -3.6138, -0.0087, 38.6
2020-04-11, -6.1247, -0.0147, 35.2
2020-04-12, -9.3035, -0.0223, 33.4
2020-04-13, -9.9883, -0.024, 32.6
2020-04-14, -11.4684, -0.0275, 30.1
2020-04-15, -12.3623, -0.0297, 26.9
2020-04-16, -13.7403, -0.033, 24.5
2020-04-17, -14.2364, -0.0341, 22.7
2020-04-18, -11.5261, -0.0276, 22.4
2020-04-19, -10.4124, -0.025, 21.4
