Meldedatum, difference, frozen, trend, value, Lower, Prediction, Upper
2020-03-05, , 0.0312, , 0.0925, , , 
2020-03-06, , 0.0396, , 0.1105, , , 
2020-03-07, , 0.0432, , 0.161, , , 
2020-03-08, , 0.0673, , 0.1802, , , 
2020-03-09, , 0.0781, , 0.1934, , , 
2020-03-10, 0.0625, 0.0865, 0.019, 0.2199, , , 
2020-03-11, 0.0901, 0.1201, 0.0273, 0.2667, , , 
2020-03-12, 0.137, 0.1682, 0.0416, 0.3172, , , 
2020-03-13, 0.1514, 0.191, 0.0459, 0.388, , , 
2020-03-14, 0.155, 0.1982, 0.047, 0.4757, , , 
2020-03-15, 0.149, 0.2162, 0.0452, 0.543, , , 
2020-03-16, 0.185, 0.2631, 0.0561, 0.6319, , , 
2020-03-17, 0.2571, 0.3436, 0.078, 0.8254, , , 
2020-03-18, 0.2235, 0.3436, 0.0678, 1.032, , , 
2020-03-19, 0.2679, 0.4361, 0.0813, 1.3552, , , 
2020-03-20, 0.3977, 0.5887, 0.1207, 1.6843, , , 
2020-03-21, 0.5058, 0.704, 0.1535, 2.0279, , , 
2020-03-22, 0.5995, 0.8157, 0.1819, 2.4232, , , 
2020-03-23, 0.8085, 1.0716, 0.2454, 2.6815, , , 
2020-03-24, 1.014, 1.3576, 0.3077, 3.0431, , , 
2020-03-25, 1.2302, 1.5738, 0.3733, 3.6006, , , 
2020-03-26, 1.4753, 1.9114, 0.4477, 4.1892, , , 
2020-03-27, 1.6855, 2.2742, 0.5115, 4.7779, , , 
2020-03-28, 1.9943, 2.6983, 0.6052, 5.363, , , 
2020-03-29, 2.0424, 2.8581, 0.6198, 5.8411, , , 
2020-03-30, 2.1625, 3.2341, 0.6562, 6.1775, , , 
2020-03-31, 2.2898, 3.6474, 0.6949, 6.5728, , , 
2020-04-01, 2.3247, 3.8985, 0.7054, 7.087, , , 
2020-04-02, 2.2142, 4.1256, 0.6719, 7.3561, , , 
2020-04-03, 2.0327, 4.307, 0.6168, 7.5123, , , 
2020-04-04, 1.6195, 4.3178, 0.4914, 7.6216, , , 
2020-04-05, 1.539, 4.3971, 0.467, 7.4834, , , 
2020-04-06, 1.1437, 4.3779, 0.3471, 7.3273, , , 
2020-04-07, 0.6475, 4.295, 0.1965, 7.2456, , , 
2020-04-08, 0.1334, 4.0319, 0.0405, 6.9404, , , 
2020-04-09, -0.2715, 3.854, -0.0942, 6.7434, , , 
2020-04-10, -0.5346, 3.7724, -0.1854, 6.5271, , , 
2020-04-11, -0.8205, 3.4972, -0.2846, 5.9721, , , 
2020-04-12, -1.0668, 3.3302, -0.37, 5.7619, , , 
2020-04-13, -1.0488, 3.329, -0.3637, 5.6886, , , 
2020-04-14, -1.235, 3.0599, -0.4283, 5.2356, , , 
2020-04-15, -1.0861, 2.9458, -0.3767, 4.8836, , , 
2020-04-16, -1.062, 2.792, -0.3683, 4.6446, , , 
2020-04-17, -1.0969, 2.6755, -0.3804, 4.3911, , , 
2020-04-18, -0.7413, 2.756, -0.2571, 4.3791, , , 
2020-04-19, -0.6608, 2.6695, -0.2292, 4.2121, , , 
