Meldedatum, difference, region, region_id, trend, value
2020-03-04, , Berlin, 11, , 0.2
2020-03-05, , Berlin, 11, , 0.3
2020-03-06, , Berlin, 11, , 0.5
2020-03-07, , Berlin, 11, , 0.7
2020-03-08, , Berlin, 11, , 0.7
2020-03-09, , Berlin, 11, , 1
2020-03-10, , Berlin, 11, , 1.5
2020-03-11, 2.1754, Berlin, 11, 0.0029, 2.3
2020-03-12, 3.2359, Berlin, 11, 0.0044, 3.3
2020-03-13, 3.8342, Berlin, 11, 0.0052, 4.3
2020-03-14, 4.7587, Berlin, 11, 0.0065, 5.8
2020-03-15, 6.0639, Berlin, 11, 0.0082, 6.6
2020-03-16, 6.3359, Berlin, 11, 0.0086, 7
2020-03-17, 6.8253, Berlin, 11, 0.0093, 8.1
2020-03-18, 5.8736, Berlin, 11, 0.008, 9.7
2020-03-19, 8.5657, Berlin, 11, 0.0116, 12.5
2020-03-20, 10.8498, Berlin, 11, 0.0147, 16.2
2020-03-21, 11.8016, Berlin, 11, 0.016, 19.1
2020-03-22, 14.0042, Berlin, 11, 0.019, 21.8
2020-03-23, 14.2217, Berlin, 11, 0.0193, 23
2020-03-24, 15.9077, Berlin, 11, 0.0216, 25.6
2020-03-25, 18.4638, Berlin, 11, 0.025, 28.4
2020-03-26, 16.941, Berlin, 11, 0.023, 31.1
2020-03-27, 17.2401, Berlin, 11, 0.0234, 34
2020-03-28, 16.1796, Berlin, 11, 0.0219, 35
2020-03-29, 14.6296, Berlin, 11, 0.0198, 37
2020-03-30, 14.7384, Berlin, 11, 0.02, 37.5
2020-03-31, 11.2033, Berlin, 11, 0.0152, 37.7
2020-04-01, 7.6139, Berlin, 11, 0.0103, 38.2
2020-04-02, 4.4596, Berlin, 11, 0.006, 36.6
2020-04-03, -0.136, Berlin, 11, -0.0003, 35.2
2020-04-04, 0.8158, Berlin, 11, 0.0011, 36.1
2020-04-05, -2.3658, Berlin, 11, -0.0047, 33.6
2020-04-06, -4.1061, Berlin, 11, -0.0082, 33.4
2020-04-07, -2.6921, Berlin, 11, -0.0053, 32.7
2020-04-08, -2.9912, Berlin, 11, -0.0059, 32.4
2020-04-09, -2.4473, Berlin, 11, -0.0049, 32.1
2020-04-10, -3.2087, Berlin, 11, -0.0064, 30.5
2020-04-11, -8.6472, Berlin, 11, -0.0172, 26.3
2020-04-12, -7.5323, Berlin, 11, -0.015, 25.7
2020-04-13, -7.8043, Berlin, 11, -0.0155, 25.1
2020-04-14, -9.9797, Berlin, 11, -0.0198, 22.8
2020-04-15, -13.2972, Berlin, 11, -0.0264, 19.3
2020-04-16, -14.1945, Berlin, 11, -0.0282, 17.5
2020-04-17, -14.3849, Berlin, 11, -0.0286, 15.3
2020-04-18, -9.8437, Berlin, 11, -0.0196, 16.2
2020-04-19, -9.4902, Berlin, 11, -0.0189, 16
2020-04-20, -8.8104, Berlin, 11, -0.0175, 15.4
2020-04-21, -7.2876, Berlin, 11, -0.0145, 15.1
2020-04-22, -3.1, Berlin, 11, -0.0062, 15.2
2020-04-23, -4.6227, Berlin, 11, -0.0092, 14.3
2020-04-24, -1.7403, Berlin, 11, -0.0035, 14.1
2020-04-25, -4.4596, Berlin, 11, -0.0089, 12.9
2020-04-26, -4.8675, Berlin, 11, -0.0097, 12.2
2020-04-27, -4.242, Berlin, 11, -0.0084, 11.9
2020-04-28, -4.1605, Berlin, 11, -0.0083, 12.2
2020-04-29, -4.5684, Berlin, 11, -0.0091, 12.2
2020-04-30, -1.8219, Berlin, 11, -0.0036, 11.8
2020-05-01, -3.1543, Berlin, 11, -0.0063, 10.9
2020-05-02, -1.9307, Berlin, 11, -0.0038, 9.6
2020-05-03, -2.2842, Berlin, 11, -0.0045, 9.1
2020-05-04, -2.0938, Berlin, 11, -0.0042, 9.3
2020-05-05, -2.3114, Berlin, 11, -0.0046, 9.2
2020-05-06, -2.7736, Berlin, 11, -0.0055, 8.6
2020-05-07, -3.0728, Berlin, 11, -0.0061, 8.3
2020-05-08, -2.2026, Berlin, 11, -0.0044, 8.4
2020-05-09, -1.55, Berlin, 11, -0.0031, 7.8
2020-05-10, -1.3324, Berlin, 11, -0.0026, 7.4
2020-05-11, -2.257, Berlin, 11, -0.0045, 6.8
2020-05-12, -2.964, Berlin, 11, -0.0059, 5.9
2020-05-13, -2.8824, Berlin, 11, -0.0057, 5.4
2020-05-14, -2.964, Berlin, 11, -0.0059, 5.4
2020-05-15, -3.2087, Berlin, 11, -0.0064, 5.1
2020-05-16, -2.6921, Berlin, 11, -0.0053, 5.4
2020-05-17, -2.3114, Berlin, 11, -0.0046, 5.4
2020-05-18, -1.6587, Berlin, 11, -0.0033, 5.4
2020-05-19, -0.1903, Berlin, 11, -0.0004, 5.8
2020-05-20, 0.3263, Berlin, 11, 0.0004, 6
2020-05-21, 0.4623, Berlin, 11, 0.0006, 5.7
2020-05-22, 0.136, Berlin, 11, 0.0002, 4.8
2020-05-23, -0.2447, Berlin, 11, -0.0005, 5.2
2020-05-24, -0.1088, Berlin, 11, -0.0002, 5
2020-05-25, -0.2719, Berlin, 11, -0.0005, 4.9
2020-05-26, -0.9789, Berlin, 11, -0.0019, 4.6
2020-05-27, -1.4684, Berlin, 11, -0.0029, 4
2020-05-28, -1.7131, Berlin, 11, -0.0034, 3.9
2020-05-29, -0.6254, Berlin, 11, -0.0012, 4.2
2020-05-30, -1.1693, Berlin, 11, -0.0023, 4.1
2020-05-31, -0.6798, Berlin, 11, -0.0014, 4.5
2020-06-01, -0.2447, Berlin, 11, -0.0005, 5.1
2020-06-02, 0.3807, Berlin, 11, 0.0005, 4.6
2020-06-03, 1.4684, Berlin, 11, 0.002, 5.1
2020-06-04, 1.5772, Berlin, 11, 0.0021, 5.5
2020-06-05, 1.3868, Berlin, 11, 0.0019, 5.7
2020-06-06, 1.2509, Berlin, 11, 0.0017, 5.9
