Meldedatum, difference, region, region_id, trend, value
2020-03-04, , Hamburg, 2, , 0.3
2020-03-05, , Hamburg, 2, , 0.3
2020-03-06, , Hamburg, 2, , 0.6
2020-03-07, , Hamburg, 2, , 0.8
2020-03-08, , Hamburg, 2, , 0.9
2020-03-09, , Hamburg, 2, , 1.1
2020-03-10, , Hamburg, 2, , 2.3
2020-03-11, 0.7012, Hamburg, 2, 0.001, 3.7
2020-03-12, 3.0206, Hamburg, 2, 0.0041, 5.2
2020-03-13, 4.7467, Hamburg, 2, 0.0065, 7.2
2020-03-14, 5.7176, Hamburg, 2, 0.0078, 9.1
2020-03-15, 7.8212, Hamburg, 2, 0.0107, 13.1
2020-03-16, 12.6218, Hamburg, 2, 0.0173, 17
2020-03-17, 14.5636, Hamburg, 2, 0.02, 20.2
2020-03-18, 15.103, Hamburg, 2, 0.0207, 25.8
2020-03-19, 15.4266, Hamburg, 2, 0.0211, 31.5
2020-03-20, 19.7418, Hamburg, 2, 0.0271, 39.3
2020-03-21, 17.2066, Hamburg, 2, 0.0236, 45.1
2020-03-22, 26.3224, Hamburg, 2, 0.0361, 46.5
2020-03-23, 21.36, Hamburg, 2, 0.0293, 50.4
2020-03-24, 21.1442, Hamburg, 2, 0.029, 53.2
2020-03-25, 24.866, Hamburg, 2, 0.0341, 57.1
2020-03-26, 15.5345, Hamburg, 2, 0.0213, 58.6
2020-03-27, 22.0612, Hamburg, 2, 0.0302, 57.8
2020-03-28, 20.443, Hamburg, 2, 0.028, 57.6
2020-03-29, 7.5515, Hamburg, 2, 0.0104, 59.7
2020-03-30, 11.3812, Hamburg, 2, 0.0156, 57.9
2020-03-31, 9.1697, Hamburg, 2, 0.0126, 54.6
2020-04-01, 0.863, Hamburg, 2, 0.0012, 52.1
2020-04-02, 5.2321, Hamburg, 2, 0.0072, 50.8
2020-04-03, -4.9085, Hamburg, 2, -0.0115, 50.5
2020-04-04, -3.8836, Hamburg, 2, -0.0091, 51.4
2020-04-05, 3.2364, Hamburg, 2, 0.0044, 49.4
2020-04-06, -3.6679, Hamburg, 2, -0.0086, 49
2020-04-07, -3.5061, Hamburg, 2, -0.0082, 50.2
2020-04-08, -2.3733, Hamburg, 2, -0.0056, 52.9
2020-04-09, 1.3485, Hamburg, 2, 0.0018, 51.8
2020-04-10, 2.0497, Hamburg, 2, 0.0028, 49
2020-04-11, 2.1036, Hamburg, 2, 0.0029, 45.6
2020-04-12, -4.8545, Hamburg, 2, -0.0114, 44
2020-04-13, -5.7176, Hamburg, 2, -0.0134, 40.6
2020-04-14, -8.9, Hamburg, 2, -0.0209, 37.8
2020-04-15, -13.2691, Hamburg, 2, -0.0311, 30.7
2020-04-16, -15.9121, Hamburg, 2, -0.0373, 28.9
2020-04-17, -22.4927, Hamburg, 2, -0.0528, 26.7
2020-04-18, -19.8497, Hamburg, 2, -0.0466, 27.2
2020-04-19, -20.0115, Hamburg, 2, -0.0469, 25.1
2020-04-20, -17.3145, Hamburg, 2, -0.0406, 23.8
2020-04-21, -15.0491, Hamburg, 2, -0.0353, 23.4
2020-04-22, -11.543, Hamburg, 2, -0.0271, 22.3
2020-04-23, -10.0327, Hamburg, 2, -0.0235, 20.5
2020-04-24, -6.203, Hamburg, 2, -0.0145, 19.2
2020-04-25, -9.6551, Hamburg, 2, -0.0226, 15.7
2020-04-26, -8.2527, Hamburg, 2, -0.0194, 16
2020-04-27, -5.2321, Hamburg, 2, -0.0123, 15.7
2020-04-28, -3.7758, Hamburg, 2, -0.0089, 15
2020-04-29, -2.8588, Hamburg, 2, -0.0067, 13.3
2020-04-30, -4.423, Hamburg, 2, -0.0104, 12.9
2020-05-01, -5.5018, Hamburg, 2, -0.0129, 11.7
2020-05-02, -4.423, Hamburg, 2, -0.0104, 9.9
