Meldedatum, difference, region, region_id, trend, value
2020-03-04, , Rheinland-Pfalz, 7, , 0.1
2020-03-05, , Rheinland-Pfalz, 7, , 0.2
2020-03-06, , Rheinland-Pfalz, 7, , 0.2
2020-03-07, , Rheinland-Pfalz, 7, , 0.2
2020-03-08, , Rheinland-Pfalz, 7, , 0.2
2020-03-09, , Rheinland-Pfalz, 7, , 0.3
2020-03-10, 0.3409, Rheinland-Pfalz, 7, 0.0008, 0.5
2020-03-11, 0.487, Rheinland-Pfalz, 7, 0.0012, 0.9
2020-03-12, 0.8523, Rheinland-Pfalz, 7, 0.0021, 1.5
2020-03-13, 1.8507, Rheinland-Pfalz, 7, 0.0045, 3
2020-03-14, 2.5326, Rheinland-Pfalz, 7, 0.0061, 4.4
2020-03-15, 3.6041, Rheinland-Pfalz, 7, 0.0087, 5.6
2020-03-16, 6.9402, Rheinland-Pfalz, 7, 0.0168, 7.8
2020-03-17, 9.4972, Rheinland-Pfalz, 7, 0.023, 10.7
2020-03-18, 10.1303, Rheinland-Pfalz, 7, 0.0246, 14.4
2020-03-19, 12.9308, Rheinland-Pfalz, 7, 0.0313, 17.5
2020-03-20, 14.4406, Rheinland-Pfalz, 7, 0.035, 19.2
2020-03-21, 15.7312, Rheinland-Pfalz, 7, 0.0381, 22.2
2020-03-22, 16.2426, Rheinland-Pfalz, 7, 0.0394, 23.7
2020-03-23, 13.4665, Rheinland-Pfalz, 7, 0.0326, 24.9
2020-03-24, 12.8821, Rheinland-Pfalz, 7, 0.0312, 26.6
2020-03-25, 13.223, Rheinland-Pfalz, 7, 0.032, 27.5
2020-03-26, 11.5671, Rheinland-Pfalz, 7, 0.028, 27.8
2020-03-27, 9.4485, Rheinland-Pfalz, 7, 0.0229, 29.7
2020-03-28, 8.8397, Rheinland-Pfalz, 7, 0.0214, 31.9
2020-03-29, 8.9614, Rheinland-Pfalz, 7, 0.0217, 33.1
2020-03-30, 9.1319, Rheinland-Pfalz, 7, 0.0221, 33.1
2020-03-31, 5.8688, Rheinland-Pfalz, 7, 0.0142, 31.8
2020-04-01, 3.8963, Rheinland-Pfalz, 7, 0.0094, 31.7
2020-04-02, 4.0424, Rheinland-Pfalz, 7, 0.0098, 33.7
2020-04-03, 4.0911, Rheinland-Pfalz, 7, 0.0099, 33
2020-04-04, -0.414, Rheinland-Pfalz, 7, -0.0009, 31.7
2020-04-05, -2.1917, Rheinland-Pfalz, 7, -0.0046, 31.1
2020-04-06, -1.1932, Rheinland-Pfalz, 7, -0.0025, 30.2
2020-04-07, -0.7549, Rheinland-Pfalz, 7, -0.0016, 30.1
2020-04-08, -1.0228, Rheinland-Pfalz, 7, -0.0021, 29.6
2020-04-09, -4.3346, Rheinland-Pfalz, 7, -0.0091, 27.7
2020-04-10, -6.9889, Rheinland-Pfalz, 7, -0.0147, 26.9
2020-04-11, -4.6268, Rheinland-Pfalz, 7, -0.0097, 24.8
2020-04-12, -5.2843, Rheinland-Pfalz, 7, -0.0111, 23.3
2020-04-13, -7.9143, Rheinland-Pfalz, 7, -0.0166, 22.3
2020-04-14, -8.8153, Rheinland-Pfalz, 7, -0.0185, 20.7
2020-04-15, -9.1075, Rheinland-Pfalz, 7, -0.0191, 18.8
2020-04-16, -9.7894, Rheinland-Pfalz, 7, -0.0205, 17.5
2020-04-17, -8.4744, Rheinland-Pfalz, 7, -0.0178, 16.6
2020-04-18, -8.1335, Rheinland-Pfalz, 7, -0.0171, 16.5
2020-04-19, -6.6237, Rheinland-Pfalz, 7, -0.0139, 16.7
