Meldedatum, difference, group, trend, value
2022-06-10, , fallend, , 48
2022-06-17, -17.3878, fallend, -0.4877, 30.6122
2022-06-24, -22.449, fallend, -0.6296, 8.1633
2022-07-01, 16.3265, fallend, 0.5378, 24.4898
2022-07-08, 2.0408, fallend, 0.0672, 26.5306
2022-07-15, -4.3084, fallend, -0.1208, 22.2222
2022-07-22, -0.7937, fallend, -0.0223, 21.4286
2022-07-29, 30.3571, fallend, 1, 51.7857
2022-08-05, 24.6849, fallend, 0.8131, 76.4706
2022-08-12, -35.6543, fallend, -1, 40.8163
2022-08-19, 26.5306, fallend, 0.8739, 67.3469
2022-08-26, -32.6531, fallend, -0.9158, 34.6939
2022-09-02, -19.988, fallend, -0.5606, 14.7059
