Meldedatum, difference, frozen, region, region_id, trend, value, Lower, Prediction, Upper
2020-03-06, , 0.0816, Berlin, 11, , 0.1088, , , 
2020-03-07, , 0.0816, Berlin, 11, , 0.1088, , , 
2020-03-08, , 0.0816, Berlin, 11, , 0.1088, , , 
2020-03-09, , 0.0816, Berlin, 11, , 0.1088, , , 
2020-03-10, , 0.0816, Berlin, 11, , 0.1903, , , 
2020-03-11, , 0.0544, Berlin, 11, , 0.1088, , , 
2020-03-12, 0.0272, 0.1088, Berlin, 11, 0.0116, 0.1903, , , 
2020-03-13, 0.1088, 0.1903, Berlin, 11, 0.0465, 0.2719, , , 
2020-03-14, 0.1903, 0.2719, Berlin, 11, 0.0814, 0.4623, , , 
2020-03-15, 0.2447, 0.3263, Berlin, 11, 0.1047, 0.4623, , , 
2020-03-16, 0.2719, 0.3535, Berlin, 11, 0.1163, 0.5167, , , 
2020-03-17, 0.2991, 0.3807, Berlin, 11, 0.1279, 0.571, , , 
2020-03-18, 0.3807, 0.4351, Berlin, 11, 0.1628, 0.6798, , , 
2020-03-19, 0.4079, 0.5167, Berlin, 11, 0.1744, 0.8974, , , 
2020-03-20, 0.3263, 0.5167, Berlin, 11, 0.1395, 1.1965, , , 
2020-03-21, 0.2175, 0.4895, Berlin, 11, 0.093, 1.2237, , , 
2020-03-22, 0.2719, 0.5982, Berlin, 11, 0.1163, 1.5228, , , 
2020-03-23, 0.2719, 0.6254, Berlin, 11, 0.1163, 1.6044, , , 
2020-03-24, 0.3263, 0.707, Berlin, 11, 0.1395, 1.8219, , , 
2020-03-25, 0.571, 1.0061, Berlin, 11, 0.2442, 2.3658, , , 
2020-03-26, 0.7886, 1.3052, Berlin, 11, 0.3372, 2.7465, , , 
2020-03-27, 1.4412, 1.9579, Berlin, 11, 0.6163, 3.2903, , , 
2020-03-28, 1.7403, 2.2298, Berlin, 11, 0.7442, 3.9701, , , 
2020-03-29, 1.7675, 2.3658, Berlin, 11, 0.7558, 4.3236, , , 
2020-03-30, 1.9307, 2.5561, Berlin, 11, 0.8256, 4.6771, , , 
2020-03-31, 2.1482, 2.8552, Berlin, 11, 0.9186, 5.4113, , , 
2020-04-01, 2.1482, 3.1543, Berlin, 11, 0.9186, 6.0096, , , 
2020-04-02, 2.4201, 3.7254, Berlin, 11, 1.0349, 6.3903, , , 
2020-04-03, 1.8763, 3.8342, Berlin, 11, 0.8023, 6.2271, , , 
2020-04-04, 1.8763, 4.1061, Berlin, 11, 0.8023, 6.9341, , , 
2020-04-05, 2.1482, 4.514, Berlin, 11, 0.9186, 6.771, , , 
2020-04-06, 1.8219, 4.378, Berlin, 11, 0.7791, 6.8525, , , 
2020-04-07, 1.55, 4.4052, Berlin, 11, 0.6628, 6.7981, , , 
2020-04-08, 1.1965, 4.3508, Berlin, 11, 0.5116, 6.8797, , , 
2020-04-09, 0.3807, 4.1061, Berlin, 11, 0.1628, 6.7438, , , 
2020-04-10, 0.5167, 4.3508, Berlin, 11, 0.2209, 7.0157, , , 
2020-04-11, -0.1903, 3.9157, Berlin, 11, -0.0714, 6.0368, , , 
2020-04-12, -0.2175, 4.2964, Berlin, 11, -0.0816, 5.9824, , , 
2020-04-13, -0.3535, 4.0245, Berlin, 11, -0.1327, 5.9008, , , 
2020-04-14, -0.7886, 3.6166, Berlin, 11, -0.2959, 5.3569, , , 
2020-04-15, -0.9245, 3.4263, Berlin, 11, -0.3469, 4.4052, , , 
2020-04-16, -0.8158, 3.2903, Berlin, 11, -0.3061, 4.2964, , , 
2020-04-17, -1.3868, 2.964, Berlin, 11, -0.5204, 3.7254, , , 
2020-04-18, -0.7342, 3.1815, Berlin, 11, -0.2755, 3.9973, , , 
2020-04-19, -1.1965, 3.1, Berlin, 11, -0.449, 4.0517, , , 
2020-04-20, -0.843, 3.1815, Berlin, 11, -0.3163, 3.8885, , , 
2020-04-21, -0.4623, 3.1543, Berlin, 11, -0.1735, 3.7526, , , 
2020-04-22, -0.2447, 3.1815, Berlin, 11, -0.0918, 3.7254, , , 
2020-04-23, -0.843, 2.4473, Berlin, 11, -0.3163, 3.7254, , , 
2020-04-24, -0.1632, 2.8008, Berlin, 11, -0.0612, 3.7798, , , 
2020-04-25, -0.843, 2.3386, Berlin, 11, -0.3163, 3.2631, , , 
2020-04-26, -0.843, 2.257, Berlin, 11, -0.3163, 3.6166, , , 
2020-04-27, -1.1149, 2.0666, Berlin, 11, -0.4184, 3.4535, , , 
2020-04-28, -1.3052, 1.8491, Berlin, 11, -0.4898, 3.5894, , , 
2020-04-29, -1.1693, 2.0123, Berlin, 11, -0.4388, 3.9701, , , 
2020-04-30, -0.3535, 2.0938, Berlin, 11, -0.1327, 3.6438, , , 
2020-05-01, -0.6798, 2.121, Berlin, 11, -0.2551, 3.5894, , , 
2020-05-02, -0.4079, 1.9307, Berlin, 11, -0.1531, 3.2631, , , 
2020-05-03, -0.4623, 1.7947, Berlin, 11, -0.1735, 2.7193, , , 
2020-05-04, -0.3535, 1.7131, Berlin, 11, -0.1327, 2.6921, , , 
