Meldedatum, region, region_id, value, difference, frozen, trend, Lower, Prediction, Upper
2020-03-06, Hamburg, 2, , , , , , , 
2020-03-07, Hamburg, 2, 0.0539, , , , , , 
2020-03-08, Hamburg, 2, 0.0539, , , , , , 
2020-03-09, Hamburg, 2, 0.0539, , , , , , 
2020-03-10, Hamburg, 2, 0.1618, , , , , , 
2020-03-11, Hamburg, 2, 0.2697, , , , , , 
2020-03-12, Hamburg, 2, 0.2697, , 0.0539, , , , 
2020-03-13, Hamburg, 2, 0.3776, , 0.0539, , , , 
2020-03-14, Hamburg, 2, 0.4855, , 0.1079, , , , 
2020-03-15, Hamburg, 2, 0.8091, , 0.1079, , , , 
2020-03-16, Hamburg, 2, 0.9709, , 0.2697, , , , 
2020-03-17, Hamburg, 2, 1.0248, , 0.3236, , , , 
2020-03-18, Hamburg, 2, 1.4024, , 0.4315, , , , 
2020-03-19, Hamburg, 2, 1.6721, 0.3776, 0.4315, 0.1029, , , 
2020-03-20, Hamburg, 2, 2.3194, 0.5933, 0.6473, 0.1618, , , 
2020-03-21, Hamburg, 2, 2.7509, 0.5394, 0.6473, 0.1471, , , 
2020-03-22, Hamburg, 2, 2.8588, 0.863, 0.9709, 0.2353, , , 
2020-03-23, Hamburg, 2, 3.0206, 0.7012, 0.9709, 0.1912, , , 
2020-03-24, Hamburg, 2, 3.8836, 0.5933, 0.917, 0.1618, , , 
2020-03-25, Hamburg, 2, 4.2612, 0.9709, 1.4024, 0.2647, , , 
2020-03-26, Hamburg, 2, 5.2861, 0.8091, 1.2406, 0.2206, , , 
2020-03-27, Hamburg, 2, 5.34, 1.6721, 2.3194, 0.4559, , , 
2020-03-28, Hamburg, 2, 5.9333, 1.3485, 1.9958, 0.3676, , , 
2020-03-29, Hamburg, 2, 6.5267, 1.0788, 2.0497, 0.2941, , , 
2020-03-30, Hamburg, 2, 6.6345, 1.2945, 2.2655, 0.3529, , , 
2020-03-31, Hamburg, 2, 6.4727, 1.2406, 2.1576, 0.3382, , , 
2020-04-01, Hamburg, 2, 6.3648, 0.9709, 2.3733, 0.2647, , , 
2020-04-02, Hamburg, 2, 6.0412, 0.917, 2.1576, 0.25, , , 
2020-04-03, Hamburg, 2, 6.3648, 0.1079, 2.4273, 0.0294, , , 
2020-04-04, Hamburg, 2, 6.5267, 0.4855, 2.4812, 0.1324, , , 
2020-04-05, Hamburg, 2, 6.3648, 0.6473, 2.697, 0.1765, , , 
2020-04-06, Hamburg, 2, 6.5267, 0.5394, 2.8048, 0.1471, , , 
