Meldedatum, difference, frozen, region, region_id, trend, value, Lower, Prediction, Upper
2020-03-06, , 0.0249, Niedersachsen, 3, , 0.0498, , , 
2020-03-07, , 0.0249, Niedersachsen, 3, , 0.0747, , , 
2020-03-08, , 0.0249, Niedersachsen, 3, , 0.0872, , , 
2020-03-09, , 0.0374, Niedersachsen, 3, , 0.0872, , , 
2020-03-10, , 0.0498, Niedersachsen, 3, , 0.0747, , , 
2020-03-11, , 0.0747, Niedersachsen, 3, , 0.0997, , , 
2020-03-12, , 0.0623, Niedersachsen, 3, , 0.1121, , , 
2020-03-13, 0.0374, 0.0623, Niedersachsen, 3, 0.0135, 0.137, , , 
2020-03-14, 0.0374, 0.0623, Niedersachsen, 3, 0.0135, 0.137, , , 
2020-03-15, 0.0374, 0.0623, Niedersachsen, 3, 0.0135, 0.1744, , , 
2020-03-16, 0.0249, 0.0623, Niedersachsen, 3, 0.009, 0.2242, , , 
2020-03-17, 0.0374, 0.0872, Niedersachsen, 3, 0.0135, 0.3239, , , 
2020-03-18, 0.0374, 0.1121, Niedersachsen, 3, 0.0135, 0.4236, , , 
2020-03-19, 0.1246, 0.1869, Niedersachsen, 3, 0.0448, 0.6229, , , 
2020-03-20, 0.2492, 0.3114, Niedersachsen, 3, 0.0897, 0.7226, , , 
2020-03-21, 0.2741, 0.3364, Niedersachsen, 3, 0.0987, 0.9593, , , 
2020-03-22, 0.4859, 0.5481, Niedersachsen, 3, 0.1749, 1.1212, , , 
2020-03-23, 0.6603, 0.7226, Niedersachsen, 3, 0.2377, 1.2084, , , 
2020-03-24, 0.7848, 0.8721, Niedersachsen, 3, 0.2825, 1.3455, , , 
2020-03-25, 1.1088, 1.2209, Niedersachsen, 3, 0.3991, 1.5448, , , 
2020-03-26, 1.0215, 1.2084, Niedersachsen, 3, 0.3677, 1.6943, , , 
2020-03-27, 1.4451, 1.7566, Niedersachsen, 3, 0.5202, 2.0057, , , 
2020-03-28, 1.4077, 1.7441, Niedersachsen, 3, 0.5067, 2.23, , , 
2020-03-29, 1.4327, 1.9808, Niedersachsen, 3, 0.5157, 2.4542, , , 
2020-03-30, 1.3953, 2.1178, Niedersachsen, 3, 0.5022, 2.6411, , , 
2020-03-31, 1.3455, 2.2175, Niedersachsen, 3, 0.4843, 2.8279, , , 
2020-04-01, 0.299, 1.5199, Niedersachsen, 3, 0.1076, 3.102, , , 
2020-04-02, 0.5855, 1.7939, Niedersachsen, 3, 0.2108, 3.2889, , , 
2020-04-03, 0.0374, 1.7939, Niedersachsen, 3, 0.0135, 3.3512, , , 
2020-04-04, 0.2242, 1.9683, Niedersachsen, 3, 0.0807, 3.563, , , 
2020-04-05, -0.137, 1.8438, Niedersachsen, 3, -0.0537, 3.538, , , 
2020-04-06, -0.1246, 1.9933, Niedersachsen, 3, -0.0488, 3.3761, , , 
2020-04-07, -0.137, 2.0805, Niedersachsen, 3, -0.0537, 3.563, , , 
2020-04-08, 0.3364, 1.8562, Niedersachsen, 3, 0.1211, 3.4135, , , 
2020-04-09, 0.0249, 1.8189, Niedersachsen, 3, 0.009, 3.5007, , , 
2020-04-10, , 1.7939, Niedersachsen, 3, , 3.4633, , , 
2020-04-11, -0.2741, 1.6943, Niedersachsen, 3, -0.1073, 3.1394, , , 
2020-04-12, -0.1744, 1.6694, Niedersachsen, 3, -0.0683, 2.9401, , , 
2020-04-13, -0.2865, 1.7067, Niedersachsen, 3, -0.1122, 3.0771, , , 
2020-04-14, -0.5481, 1.5323, Niedersachsen, 3, -0.2146, 2.7657, , , 
2020-04-15, -0.2616, 1.5946, Niedersachsen, 3, -0.1024, 2.8404, , , 
2020-04-16, -0.3488, 1.47, Niedersachsen, 3, -0.1366, 2.6909, , , 
