Meldedatum, region, region_id, value, difference, frozen, trend, Lower, Prediction, Upper
2020-03-06, Schleswig-Holstein, 1, 0.0684, , , , , , 
2020-03-07, Schleswig-Holstein, 1, 0.0684, , , , , , 
2020-03-08, Schleswig-Holstein, 1, 0.0684, , , , , , 
2020-03-09, Schleswig-Holstein, 1, 0.0684, , , , , , 
2020-03-10, Schleswig-Holstein, 1, 0.0684, , 0.0342, , , , 
2020-03-11, Schleswig-Holstein, 1, 0.0342, , , , , , 
2020-03-12, Schleswig-Holstein, 1, 0.0684, , , , , , 
2020-03-13, Schleswig-Holstein, 1, 0.1369, , , , , , 
2020-03-14, Schleswig-Holstein, 1, 0.2053, , , , , , 
2020-03-15, Schleswig-Holstein, 1, 0.2396, , 0.0342, , , , 
2020-03-16, Schleswig-Holstein, 1, 0.2396, , 0.0342, , , , 
2020-03-17, Schleswig-Holstein, 1, 0.308, , 0.1711, , , , 
2020-03-18, Schleswig-Holstein, 1, 0.5476, , 0.1711, , , , 
2020-03-19, Schleswig-Holstein, 1, 0.7871, , 0.2738, , , , 
2020-03-20, Schleswig-Holstein, 1, 0.7871, , 0.5476, , , , 
2020-03-21, Schleswig-Holstein, 1, 1.0951, 0.6502, 0.6845, 0.0888, , , 
2020-03-22, Schleswig-Holstein, 1, 1.232, 0.7871, 0.8214, 0.1075, , , 
2020-03-23, Schleswig-Holstein, 1, 1.5743, 0.9582, 0.9925, 0.1308, , , 
2020-03-24, Schleswig-Holstein, 1, 2.0192, 1.1636, 1.3347, 0.1589, , , 
2020-03-25, Schleswig-Holstein, 1, 2.2929, 1.4374, 1.6085, 0.1963, , , 
2020-03-26, Schleswig-Holstein, 1, 2.4641, 1.3689, 1.6427, 0.1869, , , 
2020-03-27, Schleswig-Holstein, 1, 3.1827, 1.8823, 2.4298, 0.257, , , 
2020-03-28, Schleswig-Holstein, 1, 3.4565, 1.6769, 2.3614, 0.229, , , 
2020-03-29, Schleswig-Holstein, 1, 3.7988, 1.7454, 2.5667, 0.2383, , , 
2020-03-30, Schleswig-Holstein, 1, 3.9014, 1.6085, 2.601, 0.2196, , , 
2020-03-31, Schleswig-Holstein, 1, 4.0041, 1.4374, 2.7721, 0.1963, , , 
2020-04-01, Schleswig-Holstein, 1, 4.2779, 1.3005, 2.909, 0.1776, , , 
2020-04-02, Schleswig-Holstein, 1, 4.4832, 1.4716, 3.1143, 0.2009, , , 
