Meldedatum, difference, region, region_id, trend, value
2020-03-05, , Mecklenburg-Vorpommern, 13, , 0.2
2020-03-06, , Mecklenburg-Vorpommern, 13, , 0.3
2020-03-07, , Mecklenburg-Vorpommern, 13, , 0.3
2020-03-08, , Mecklenburg-Vorpommern, 13, , 0.3
2020-03-09, , Mecklenburg-Vorpommern, 13, , 0.4
2020-03-10, , Mecklenburg-Vorpommern, 13, , 0.7
2020-03-11, , Mecklenburg-Vorpommern, 13, , 0.6
2020-03-12, 0.4965, Mecklenburg-Vorpommern, 13, 0.0009, 1
2020-03-13, 0.7448, Mecklenburg-Vorpommern, 13, 0.0014, 1.5
2020-03-14, 0.8689, Mecklenburg-Vorpommern, 13, 0.0016, 2
2020-03-15, 1.4275, Mecklenburg-Vorpommern, 13, 0.0027, 2.1
2020-03-16, 1.4896, Mecklenburg-Vorpommern, 13, 0.0028, 2
2020-03-17, 1.7999, Mecklenburg-Vorpommern, 13, 0.0034, 2.7
2020-03-18, 2.2344, Mecklenburg-Vorpommern, 13, 0.0042, 4.5
2020-03-19, 4.1585, Mecklenburg-Vorpommern, 13, 0.0078, 6.8
2020-03-20, 5.3998, Mecklenburg-Vorpommern, 13, 0.0101, 8.3
2020-03-21, 6.8894, Mecklenburg-Vorpommern, 13, 0.0129, 8.8
2020-03-22, 6.6412, Mecklenburg-Vorpommern, 13, 0.0125, 9.4
2020-03-23, 6.517, Mecklenburg-Vorpommern, 13, 0.0122, 9.4
2020-03-24, 7.0136, Mecklenburg-Vorpommern, 13, 0.0132, 9.3
2020-03-25, 5.524, Mecklenburg-Vorpommern, 13, 0.0104, 9.7
2020-03-26, 2.3585, Mecklenburg-Vorpommern, 13, 0.0044, 8.4
2020-03-27, -0.3103, Mecklenburg-Vorpommern, 13, -0.0006, 7.8
2020-03-28, 0.1241, Mecklenburg-Vorpommern, 13, 0.0002, 9.4
2020-03-29, 1.5517, Mecklenburg-Vorpommern, 13, 0.0029, 10.1
2020-03-30, 2.0482, Mecklenburg-Vorpommern, 13, 0.0038, 10.7
2020-03-31, 1.0551, Mecklenburg-Vorpommern, 13, 0.002, 10.7
2020-04-01, 2.0482, Mecklenburg-Vorpommern, 13, 0.0038, 11.5
2020-04-02, 3.5999, Mecklenburg-Vorpommern, 13, 0.0068, 11.4
2020-04-03, 4.9654, Mecklenburg-Vorpommern, 13, 0.0093, 11.7
2020-04-04, 2.3585, Mecklenburg-Vorpommern, 13, 0.0044, 11
2020-04-05, 0.5586, Mecklenburg-Vorpommern, 13, 0.001, 10.7
2020-04-06, -0.2483, Mecklenburg-Vorpommern, 13, -0.0004, 10.1
2020-04-07, -0.6827, Mecklenburg-Vorpommern, 13, -0.0012, 9.6
2020-04-08, -2.3585, Mecklenburg-Vorpommern, 13, -0.0042, 8.7
2020-04-09, -3.2275, Mecklenburg-Vorpommern, 13, -0.0057, 7.8
2020-04-10, -4.3447, Mecklenburg-Vorpommern, 13, -0.0077, 6.9
2020-04-11, -4.8412, Mecklenburg-Vorpommern, 13, -0.0086, 5.6
2020-04-12, -5.524, Mecklenburg-Vorpommern, 13, -0.0098, 5.5
2020-04-13, -4.4688, Mecklenburg-Vorpommern, 13, -0.0079, 5.6
2020-04-14, -4.0344, Mecklenburg-Vorpommern, 13, -0.0072, 5.5
2020-04-15, -4.4068, Mecklenburg-Vorpommern, 13, -0.0078, 3.5
2020-04-16, -3.8482, Mecklenburg-Vorpommern, 13, -0.0068, 3.7
2020-04-17, -3.9102, Mecklenburg-Vorpommern, 13, -0.007, 3.3
2020-04-18, -2.8551, Mecklenburg-Vorpommern, 13, -0.0051, 2.9
2020-04-19, -2.6068, Mecklenburg-Vorpommern, 13, -0.0046, 2.4
2020-04-20, -3.3516, Mecklenburg-Vorpommern, 13, -0.006, 2.2
2020-04-21, -3.2896, Mecklenburg-Vorpommern, 13, -0.0058, 2.1
2020-04-22, -1.5517, Mecklenburg-Vorpommern, 13, -0.0028, 2.1
2020-04-23, -2.2344, Mecklenburg-Vorpommern, 13, -0.004, 1.7
2020-04-24, -1.6758, Mecklenburg-Vorpommern, 13, -0.003, 1.1
2020-04-25, -1.5517, Mecklenburg-Vorpommern, 13, -0.0028, 1.2
2020-04-26, -1.1172, Mecklenburg-Vorpommern, 13, -0.002, 1.3
2020-04-27, -0.9931, Mecklenburg-Vorpommern, 13, -0.0018, 1.3
2020-04-28, -0.931, Mecklenburg-Vorpommern, 13, -0.0017, 1.2
2020-04-29, -0.1862, Mecklenburg-Vorpommern, 13, -0.0003, 1.9
2020-04-30, 0.2483, Mecklenburg-Vorpommern, 13, 0.0005, 1.9
2020-05-01, 0.8689, Mecklenburg-Vorpommern, 13, 0.0016, 2.2
2020-05-02, 0.5586, Mecklenburg-Vorpommern, 13, 0.001, 2
2020-05-03, 0.3103, Mecklenburg-Vorpommern, 13, 0.0006, 1.7
2020-05-04, 0.3103, Mecklenburg-Vorpommern, 13, 0.0006, 1.7
2020-05-05, 0.4965, Mecklenburg-Vorpommern, 13, 0.0009, 1.9
2020-05-06, -0.4345, Mecklenburg-Vorpommern, 13, -0.0008, 1.6
2020-05-07, -0.3724, Mecklenburg-Vorpommern, 13, -0.0007, 1.5
2020-05-08, -0.6207, Mecklenburg-Vorpommern, 13, -0.0011, 1.6
2020-05-09, -0.4345, Mecklenburg-Vorpommern, 13, -0.0008, 1.4
2020-05-10, -0.0621, Mecklenburg-Vorpommern, 13, -0.0001, 1.5
2020-05-11, , Mecklenburg-Vorpommern, 13, , 1.7
2020-05-12, -0.3103, Mecklenburg-Vorpommern, 13, -0.0006, 1.6
2020-05-13, , Mecklenburg-Vorpommern, 13, , 1.4
2020-05-14, , Mecklenburg-Vorpommern, 13, , 1.5
2020-05-15, -0.2483, Mecklenburg-Vorpommern, 13, -0.0004, 1.4
2020-05-16, 0.1241, Mecklenburg-Vorpommern, 13, 0.0002, 1.6
2020-05-17, -0.1241, Mecklenburg-Vorpommern, 13, -0.0002, 1.4
2020-05-18, -0.1862, Mecklenburg-Vorpommern, 13, -0.0003, 1.2
2020-05-19, -0.1862, Mecklenburg-Vorpommern, 13, -0.0003, 1.1
2020-05-20, -0.2483, Mecklenburg-Vorpommern, 13, -0.0004, 0.9
2020-05-21, , Mecklenburg-Vorpommern, 13, , 1.2
2020-05-22, , Mecklenburg-Vorpommern, 13, , 0.9
2020-05-23, -0.5586, Mecklenburg-Vorpommern, 13, -0.001, 0.7
2020-05-24, -0.6827, Mecklenburg-Vorpommern, 13, -0.0012, 0.7
2020-05-25, -0.8069, Mecklenburg-Vorpommern, 13, -0.0014, 0.6
2020-05-26, -0.6207, Mecklenburg-Vorpommern, 13, -0.0011, 0.7
2020-05-27, -0.6207, Mecklenburg-Vorpommern, 13, -0.0011, 0.6
2020-05-28, -1.3655, Mecklenburg-Vorpommern, 13, -0.0024, 0.1
2020-05-29, -1.0551, Mecklenburg-Vorpommern, 13, -0.0019, 0.1
2020-05-30, -0.8069, Mecklenburg-Vorpommern, 13, -0.0014, 0.2
2020-05-31, -0.4965, Mecklenburg-Vorpommern, 13, -0.0009, 0.2
2020-06-01, -0.4345, Mecklenburg-Vorpommern, 13, -0.0008, 0.2
2020-06-02, -0.4965, Mecklenburg-Vorpommern, 13, -0.0009, 0.1
2020-06-03, -0.4345, Mecklenburg-Vorpommern, 13, -0.0008, 0.1
2020-06-04, 0.1862, Mecklenburg-Vorpommern, 13, 0.0003, 0.2
2020-06-05, 0.1862, Mecklenburg-Vorpommern, 13, 0.0003, 0.2
2020-06-06, 0.1862, Mecklenburg-Vorpommern, 13, 0.0003, 0.4
2020-06-07, 0.5586, Mecklenburg-Vorpommern, 13, 0.001, 0.8
2020-06-08, 0.6207, Mecklenburg-Vorpommern, 13, 0.0012, 0.8
2020-06-09, 0.6827, Mecklenburg-Vorpommern, 13, 0.0013, 0.8
2020-06-10, 0.8689, Mecklenburg-Vorpommern, 13, 0.0016, 1
2020-06-11, 0.6827, Mecklenburg-Vorpommern, 13, 0.0013, 0.9
2020-06-12, 0.7448, Mecklenburg-Vorpommern, 13, 0.0014, 1
2020-06-13, 0.5586, Mecklenburg-Vorpommern, 13, 0.001, 0.9
2020-06-14, -0.2483, Mecklenburg-Vorpommern, 13, -0.0004, 0.5
2020-06-15, -0.3103, Mecklenburg-Vorpommern, 13, -0.0006, 0.6
2020-06-16, -0.1862, Mecklenburg-Vorpommern, 13, -0.0003, 0.7
2020-06-17, -0.4345, Mecklenburg-Vorpommern, 13, -0.0008, 0.6
2020-06-18, -0.3724, Mecklenburg-Vorpommern, 13, -0.0007, 0.9
2020-06-19, -0.3103, Mecklenburg-Vorpommern, 13, -0.0006, 0.7
2020-06-20, -0.3103, Mecklenburg-Vorpommern, 13, -0.0006, 0.7
2020-06-21, 0.1241, Mecklenburg-Vorpommern, 13, 0.0002, 0.7
2020-06-22, 0.0621, Mecklenburg-Vorpommern, 13, 0.0001, 0.6
2020-06-23, -0.1862, Mecklenburg-Vorpommern, 13, -0.0003, 0.5
2020-06-24, -0.1241, Mecklenburg-Vorpommern, 13, -0.0002, 0.4
2020-06-25, -0.3103, Mecklenburg-Vorpommern, 13, -0.0006, 0.3
2020-06-26, -0.3724, Mecklenburg-Vorpommern, 13, -0.0007, 0.4
2020-06-27, -0.2483, Mecklenburg-Vorpommern, 13, -0.0004, 0.4
2020-06-28, -0.1241, Mecklenburg-Vorpommern, 13, -0.0002, 0.6
2020-06-29, -0.0621, Mecklenburg-Vorpommern, 13, -0.0001, 0.6
2020-06-30, 0.1241, Mecklenburg-Vorpommern, 13, 0.0002, 0.6
2020-07-01, 0.1241, Mecklenburg-Vorpommern, 13, 0.0002, 0.6
2020-07-02, 0.1862, Mecklenburg-Vorpommern, 13, 0.0003, 0.4
2020-07-03, 0.0621, Mecklenburg-Vorpommern, 13, 0.0001, 0.4
2020-07-04, , Mecklenburg-Vorpommern, 13, , 0.3
2020-07-05, -0.3103, Mecklenburg-Vorpommern, 13, -0.0006, 0.2
2020-07-06, -0.3103, Mecklenburg-Vorpommern, 13, -0.0006, 0.2
2020-07-07, -0.4345, Mecklenburg-Vorpommern, 13, -0.0008, 0.1
2020-07-08, -0.4965, Mecklenburg-Vorpommern, 13, -0.0009, 0.1
2020-07-09, -0.3724, Mecklenburg-Vorpommern, 13, -0.0007, 0.1
2020-07-10, , Mecklenburg-Vorpommern, 13, , 
2020-07-11, , Mecklenburg-Vorpommern, 13, , 
2020-07-12, , Mecklenburg-Vorpommern, 13, , 
2020-07-13, , Mecklenburg-Vorpommern, 13, , 
2020-07-14, , Mecklenburg-Vorpommern, 13, , 0.1
2020-07-15, , Mecklenburg-Vorpommern, 13, , 0.1
2020-07-16, -0.3103, Mecklenburg-Vorpommern, 13, -0.0006, 0.1
2020-07-17, -0.2483, Mecklenburg-Vorpommern, 13, -0.0004, 0.1
2020-07-18, -0.0621, Mecklenburg-Vorpommern, 13, -0.0001, 0.2
2020-07-19, -0.0621, Mecklenburg-Vorpommern, 13, -0.0001, 0.3
2020-07-20, , Mecklenburg-Vorpommern, 13, , 0.4
2020-07-21, 0.2483, Mecklenburg-Vorpommern, 13, 0.0005, 0.4
2020-07-22, 0.3724, Mecklenburg-Vorpommern, 13, 0.0007, 0.5
2020-07-23, 0.5586, Mecklenburg-Vorpommern, 13, 0.001, 0.7
2020-07-24, 1.2413, Mecklenburg-Vorpommern, 13, 0.0023, 1.4
2020-07-25, 2.1103, Mecklenburg-Vorpommern, 13, 0.004, 2.4
2020-07-26, 2.0482, Mecklenburg-Vorpommern, 13, 0.0038, 2.3
2020-07-27, 1.9861, Mecklenburg-Vorpommern, 13, 0.0037, 2.2
2020-07-28, 1.9241, Mecklenburg-Vorpommern, 13, 0.0036, 2.5
2020-07-29, 1.9241, Mecklenburg-Vorpommern, 13, 0.0036, 2.5
2020-07-30, 2.2344, Mecklenburg-Vorpommern, 13, 0.0042, 2.9
2020-07-31, 1.0551, Mecklenburg-Vorpommern, 13, 0.002, 2.5
2020-08-01, -0.7448, Mecklenburg-Vorpommern, 13, -0.0013, 1.6
2020-08-02, -0.2483, Mecklenburg-Vorpommern, 13, -0.0004, 2.2
2020-08-03, -0.0621, Mecklenburg-Vorpommern, 13, -0.0001, 2.5
2020-08-04, -0.3103, Mecklenburg-Vorpommern, 13, -0.0006, 2.4
2020-08-05, -0.0621, Mecklenburg-Vorpommern, 13, -0.0001, 2.8
2020-08-06, -0.0621, Mecklenburg-Vorpommern, 13, -0.0001, 3
2020-08-07, 0.3724, Mecklenburg-Vorpommern, 13, 0.0007, 3.7
2020-08-08, 2.2965, Mecklenburg-Vorpommern, 13, 0.0043, 4.2
2020-08-09, 1.5517, Mecklenburg-Vorpommern, 13, 0.0029, 3.7
2020-08-10, 1.3655, Mecklenburg-Vorpommern, 13, 0.0026, 3.5
2020-08-11, 1.5517, Mecklenburg-Vorpommern, 13, 0.0029, 3.6
2020-08-12, 1.1172, Mecklenburg-Vorpommern, 13, 0.0021, 3.4
2020-08-13, -0.1241, Mecklenburg-Vorpommern, 13, -0.0002, 2.7
2020-08-14, -0.6827, Mecklenburg-Vorpommern, 13, -0.0012, 2
2020-08-15, -1.7379, Mecklenburg-Vorpommern, 13, -0.0031, 2.1
2020-08-16, -1.5517, Mecklenburg-Vorpommern, 13, -0.0028, 1.9
2020-08-17, -1.4275, Mecklenburg-Vorpommern, 13, -0.0025, 2
2020-08-18, -1.6758, Mecklenburg-Vorpommern, 13, -0.003, 1.9
2020-08-19, -1.7379, Mecklenburg-Vorpommern, 13, -0.0031, 1.7
2020-08-20, -0.9931, Mecklenburg-Vorpommern, 13, -0.0018, 1.7
2020-08-21, -0.4965, Mecklenburg-Vorpommern, 13, -0.0009, 1.7
2020-08-22, -0.8689, Mecklenburg-Vorpommern, 13, -0.0015, 1.3
2020-08-23, -0.6207, Mecklenburg-Vorpommern, 13, -0.0011, 1.4
2020-08-24, -0.6207, Mecklenburg-Vorpommern, 13, -0.0011, 1.5
2020-08-25, -0.4965, Mecklenburg-Vorpommern, 13, -0.0009, 1.3
2020-08-26, -0.4345, Mecklenburg-Vorpommern, 13, -0.0008, 1.3
2020-08-27, -0.5586, Mecklenburg-Vorpommern, 13, -0.001, 1.2
2020-08-28, -0.5586, Mecklenburg-Vorpommern, 13, -0.001, 1.1
2020-08-29, -0.3103, Mecklenburg-Vorpommern, 13, -0.0006, 1
2020-08-30, -0.4345, Mecklenburg-Vorpommern, 13, -0.0008, 0.9
2020-08-31, -0.5586, Mecklenburg-Vorpommern, 13, -0.001, 0.8
2020-09-01, -0.6207, Mecklenburg-Vorpommern, 13, -0.0011, 0.7
2020-09-02, -0.6207, Mecklenburg-Vorpommern, 13, -0.0011, 0.7
2020-09-03, -0.2483, Mecklenburg-Vorpommern, 13, -0.0004, 0.9
2020-09-04, , Mecklenburg-Vorpommern, 13, , 1
2020-09-05, 0.1862, Mecklenburg-Vorpommern, 13, 0.0003, 1.2
2020-09-06, 0.1241, Mecklenburg-Vorpommern, 13, 0.0002, 1.4
2020-09-07, 0.1241, Mecklenburg-Vorpommern, 13, 0.0002, 1.4
2020-09-08, 0.931, Mecklenburg-Vorpommern, 13, 0.0017, 1.7
2020-09-09, 1.1172, Mecklenburg-Vorpommern, 13, 0.0021, 1.9
2020-09-10, 0.931, Mecklenburg-Vorpommern, 13, 0.0017, 1.8
2020-09-11, 0.6827, Mecklenburg-Vorpommern, 13, 0.0013, 1.7
2020-09-12, 0.8069, Mecklenburg-Vorpommern, 13, 0.0015, 2
2020-09-13, 0.5586, Mecklenburg-Vorpommern, 13, 0.001, 2.1
2020-09-14, 0.5586, Mecklenburg-Vorpommern, 13, 0.001, 2.1
2020-09-15, 0.1241, Mecklenburg-Vorpommern, 13, 0.0002, 1.9
2020-09-16, 0.3103, Mecklenburg-Vorpommern, 13, 0.0006, 2.4
2020-09-17, 0.4965, Mecklenburg-Vorpommern, 13, 0.0009, 2.2
2020-09-18, 1.1793, Mecklenburg-Vorpommern, 13, 0.0022, 3
2020-09-19, 1.1172, Mecklenburg-Vorpommern, 13, 0.0021, 3
2020-09-20, 1.0551, Mecklenburg-Vorpommern, 13, 0.002, 3.2
2020-09-21, 1.0551, Mecklenburg-Vorpommern, 13, 0.002, 3.1
2020-09-22, 1.7999, Mecklenburg-Vorpommern, 13, 0.0034, 3.4
2020-09-23, 1.1793, Mecklenburg-Vorpommern, 13, 0.0022, 3.4
2020-09-24, 1.2413, Mecklenburg-Vorpommern, 13, 0.0023, 3.8
2020-09-25, 0.1862, Mecklenburg-Vorpommern, 13, 0.0003, 3.2
2020-09-26, -0.1241, Mecklenburg-Vorpommern, 13, -0.0002, 3
2020-09-27, -0.2483, Mecklenburg-Vorpommern, 13, -0.0004, 3
2020-09-28, -0.1862, Mecklenburg-Vorpommern, 13, -0.0003, 3.2
2020-09-29, -0.6207, Mecklenburg-Vorpommern, 13, -0.0011, 3.1
2020-09-30, -0.4345, Mecklenburg-Vorpommern, 13, -0.0008, 4.5
2020-10-01, -0.1862, Mecklenburg-Vorpommern, 13, -0.0003, 4.8
2020-10-02, 0.5586, Mecklenburg-Vorpommern, 13, 0.001, 6.3
2020-10-03, 1.3034, Mecklenburg-Vorpommern, 13, 0.0024, 6.7
2020-10-04, 1.3034, Mecklenburg-Vorpommern, 13, 0.0024, 7.8
2020-10-05, 1.1172, Mecklenburg-Vorpommern, 13, 0.0021, 8
2020-10-06, 4.7171, Mecklenburg-Vorpommern, 13, 0.0089, 8.3
2020-10-07, 3.5999, Mecklenburg-Vorpommern, 13, 0.0068, 7
2020-10-08, 4.0344, Mecklenburg-Vorpommern, 13, 0.0076, 7.7
2020-10-09, 2.731, Mecklenburg-Vorpommern, 13, 0.0051, 7.6
2020-10-10, 3.0413, Mecklenburg-Vorpommern, 13, 0.0057, 8.3
2020-10-11, 1.9241, Mecklenburg-Vorpommern, 13, 0.0036, 8.9
2020-10-12, 1.7379, Mecklenburg-Vorpommern, 13, 0.0033, 9.2
2020-10-13, -0.4345, Mecklenburg-Vorpommern, 13, -0.0008, 9.1
2020-10-14, 3.1654, Mecklenburg-Vorpommern, 13, 0.0059, 12
2020-10-15, 4.655, Mecklenburg-Vorpommern, 13, 0.0087, 14.4
2020-10-16, 7.6343, Mecklenburg-Vorpommern, 13, 0.0143, 15.8
2020-10-17, 5.3998, Mecklenburg-Vorpommern, 13, 0.0101, 17.3
2020-10-18, 10.3031, Mecklenburg-Vorpommern, 13, 0.0193, 17.2
2020-10-19, 11.4203, Mecklenburg-Vorpommern, 13, 0.0214, 17.4
2020-10-20, 9.8066, Mecklenburg-Vorpommern, 13, 0.0184, 17.9
2020-10-21, 8.0067, Mecklenburg-Vorpommern, 13, 0.015, 19.5
2020-10-22, 7.1377, Mecklenburg-Vorpommern, 13, 0.0134, 20.7
2020-10-23, 5.7722, Mecklenburg-Vorpommern, 13, 0.0108, 23.8
2020-10-24, 11.5445, Mecklenburg-Vorpommern, 13, 0.0217, 26.1
2020-10-25, 10.8617, Mecklenburg-Vorpommern, 13, 0.0204, 28
2020-10-26, 11.3583, Mecklenburg-Vorpommern, 13, 0.0213, 28.7
2020-10-27, 12.2272, Mecklenburg-Vorpommern, 13, 0.023, 30.7
2020-10-28, 13.6548, Mecklenburg-Vorpommern, 13, 0.0256, 34.6
2020-10-29, 16.696, Mecklenburg-Vorpommern, 13, 0.0313, 37.6
2020-10-30, 18.0615, Mecklenburg-Vorpommern, 13, 0.0339, 39.2
2020-10-31, 18.6822, Mecklenburg-Vorpommern, 13, 0.0351, 44.2
2020-11-01, 17.1305, Mecklenburg-Vorpommern, 13, 0.0322, 45.9
2020-11-02, 17.565, Mecklenburg-Vorpommern, 13, 0.033, 46.9
2020-11-03, 13.4065, Mecklenburg-Vorpommern, 13, 0.0252, 47
2020-11-04, 11.9789, Mecklenburg-Vorpommern, 13, 0.0225, 49
2020-11-05, 11.4203, Mecklenburg-Vorpommern, 13, 0.0214, 50.8
2020-11-06, 10.5514, Mecklenburg-Vorpommern, 13, 0.0198, 51
2020-11-07, 5.2136, Mecklenburg-Vorpommern, 13, 0.0098, 49.6
2020-11-08, 5.524, Mecklenburg-Vorpommern, 13, 0.0104, 51.1
2020-11-09, 4.5309, Mecklenburg-Vorpommern, 13, 0.0085, 51
2020-11-10, 7.1377, Mecklenburg-Vorpommern, 13, 0.0134, 50.5
2020-11-11, 2.6689, Mecklenburg-Vorpommern, 13, 0.005, 46.8
2020-11-12, -11.2962, Mecklenburg-Vorpommern, 13, -0.0201, 44.3
2020-11-13, -4.593, Mecklenburg-Vorpommern, 13, -0.0082, 46.5
2020-11-14, -5.6481, Mecklenburg-Vorpommern, 13, -0.01, 44.8
2020-11-15, -7.448, Mecklenburg-Vorpommern, 13, -0.0132, 43
2020-11-16, -8.1929, Mecklenburg-Vorpommern, 13, -0.0146, 42.6
2020-11-17, -8.5653, Mecklenburg-Vorpommern, 13, -0.0152, 41.5
2020-11-18, -2.5448, Mecklenburg-Vorpommern, 13, -0.0045, 44.3
2020-11-19, 10.3652, Mecklenburg-Vorpommern, 13, 0.0195, 47.2
2020-11-20, 1.3034, Mecklenburg-Vorpommern, 13, 0.0024, 45.7
2020-11-21, 3.662, Mecklenburg-Vorpommern, 13, 0.0069, 46.9
2020-11-22, 4.2826, Mecklenburg-Vorpommern, 13, 0.008, 47
2020-11-23, 4.5309, Mecklenburg-Vorpommern, 13, 0.0085, 46.9
2020-11-24, 7.2618, Mecklenburg-Vorpommern, 13, 0.0136, 48.6
2020-11-25, 3.4758, Mecklenburg-Vorpommern, 13, 0.0065, 47.2
2020-11-26, -2.2965, Mecklenburg-Vorpommern, 13, -0.0041, 44.6
2020-11-27, 1.7999, Mecklenburg-Vorpommern, 13, 0.0034, 46.6
2020-11-28, 0.1241, Mecklenburg-Vorpommern, 13, 0.0002, 46.3
2020-11-29, -0.1862, Mecklenburg-Vorpommern, 13, -0.0003, 47.4
2020-11-30, 0.5586, Mecklenburg-Vorpommern, 13, 0.001, 48.2
2020-12-01, -1.9241, Mecklenburg-Vorpommern, 13, -0.0034, 46.9
2020-12-02, -1.9241, Mecklenburg-Vorpommern, 13, -0.0034, 46.4
2020-12-03, 2.4206, Mecklenburg-Vorpommern, 13, 0.0045, 47.7
2020-12-04, 0.0621, Mecklenburg-Vorpommern, 13, 0.0001, 47.7
2020-12-05, 2.4827, Mecklenburg-Vorpommern, 13, 0.0047, 49.3
2020-12-06, 0.9931, Mecklenburg-Vorpommern, 13, 0.0019, 50.3
2020-12-07, 3.4137, Mecklenburg-Vorpommern, 13, 0.0064, 50.7
2020-12-08, 5.1516, Mecklenburg-Vorpommern, 13, 0.0097, 52.8
2020-12-09, 12.1651, Mecklenburg-Vorpommern, 13, 0.0228, 60.1
2020-12-10, 19.6132, Mecklenburg-Vorpommern, 13, 0.0368, 68.5
2020-12-11, 23.7717, Mecklenburg-Vorpommern, 13, 0.0446, 72.2
2020-12-12, 29.3577, Mecklenburg-Vorpommern, 13, 0.0551, 80.3
2020-12-13, 35.7506, Mecklenburg-Vorpommern, 13, 0.0671, 86.9
2020-12-14, 39.4747, Mecklenburg-Vorpommern, 13, 0.0741, 90.4
2020-12-15, 39.2885, Mecklenburg-Vorpommern, 13, 0.0738, 91.7
2020-12-16, 35.3782, Mecklenburg-Vorpommern, 13, 0.0664, 96.1
2020-12-17, 30.2267, Mecklenburg-Vorpommern, 13, 0.0567, 99.6
2020-12-18, 29.0474, Mecklenburg-Vorpommern, 13, 0.0545, 102.7
2020-12-19, 17.7512, Mecklenburg-Vorpommern, 13, 0.0333, 99.2
2020-12-20, 11.9789, Mecklenburg-Vorpommern, 13, 0.0225, 96.6
2020-12-21, 6.3929, Mecklenburg-Vorpommern, 13, 0.012, 97.6
2020-12-22, 6.2688, Mecklenburg-Vorpommern, 13, 0.0118, 99.6
2020-12-23, 3.724, Mecklenburg-Vorpommern, 13, 0.007, 102.5
2020-12-24, -0.931, Mecklenburg-Vorpommern, 13, -0.0017, 98.5
2020-12-25, -12.7858, Mecklenburg-Vorpommern, 13, -0.0227, 90.4
2020-12-26, -12.91, Mecklenburg-Vorpommern, 13, -0.023, 86
2020-12-27, -17.3788, Mecklenburg-Vorpommern, 13, -0.0309, 81.6
2020-12-28, -19.3649, Mecklenburg-Vorpommern, 13, -0.0344, 79.8
2020-12-29, -20.1718, Mecklenburg-Vorpommern, 13, -0.0359, 78.5
2020-12-30, -13.9651, Mecklenburg-Vorpommern, 13, -0.0248, 85.2
2020-12-31, -6.6412, Mecklenburg-Vorpommern, 13, -0.0118, 92
2021-01-01, 3.1034, Mecklenburg-Vorpommern, 13, 0.0058, 97.3
2021-01-02, 9.4342, Mecklenburg-Vorpommern, 13, 0.0177, 96
2021-01-03, 13.1582, Mecklenburg-Vorpommern, 13, 0.0247, 95.2
2021-01-04, 14.4616, Mecklenburg-Vorpommern, 13, 0.0271, 93.6
2021-01-05, 19.2408, Mecklenburg-Vorpommern, 13, 0.0361, 100.5
2021-01-06, 14.0892, Mecklenburg-Vorpommern, 13, 0.0264, 105.3
2021-01-07, 14.0272, Mecklenburg-Vorpommern, 13, 0.0263, 109.6
2021-01-08, 17.9374, Mecklenburg-Vorpommern, 13, 0.0337, 112
2021-01-09, 31.7163, Mecklenburg-Vorpommern, 13, 0.0595, 130.1
2021-01-10, 41.8953, Mecklenburg-Vorpommern, 13, 0.0786, 135.8
2021-01-11, 42.516, Mecklenburg-Vorpommern, 13, 0.0798, 136.4
2021-01-12, 32.399, Mecklenburg-Vorpommern, 13, 0.0608, 135.6
2021-01-13, 25.6337, Mecklenburg-Vorpommern, 13, 0.0481, 125.4
2021-01-14, 13.6548, Mecklenburg-Vorpommern, 13, 0.0256, 119.5
2021-01-15, 9.8687, Mecklenburg-Vorpommern, 13, 0.0185, 125.2
2021-01-16, -8.4411, Mecklenburg-Vorpommern, 13, -0.015, 117.7
