Meldedatum, difference, region, region_id, trend, value
2020-03-05, , Niedersachsen, 3, , 0.2
2020-03-06, , Niedersachsen, 3, , 0.2
2020-03-07, , Niedersachsen, 3, , 0.3
2020-03-08, , Niedersachsen, 3, , 0.4
2020-03-09, , Niedersachsen, 3, , 0.5
2020-03-10, , Niedersachsen, 3, , 0.6
2020-03-11, , Niedersachsen, 3, , 1
2020-03-12, 0.8098, Niedersachsen, 3, 0.0013, 1.7
2020-03-13, 1.333, Niedersachsen, 3, 0.0022, 2.5
2020-03-14, 1.8687, Niedersachsen, 3, 0.0031, 3.5
2020-03-15, 2.4168, Niedersachsen, 3, 0.004, 4.4
2020-03-16, 2.7906, Niedersachsen, 3, 0.0046, 5.2
2020-03-17, 3.2515, Niedersachsen, 3, 0.0054, 6.9
2020-03-18, 4.3727, Niedersachsen, 3, 0.0073, 8.7
2020-03-19, 5.768, Niedersachsen, 3, 0.0096, 11.3
2020-03-20, 6.0421, Niedersachsen, 3, 0.01, 13.6
2020-03-21, 7.1882, Niedersachsen, 3, 0.0119, 15.7
2020-03-22, 9.4306, Niedersachsen, 3, 0.0157, 17
2020-03-23, 10.5518, Niedersachsen, 3, 0.0175, 17.5
2020-03-24, 11.6731, Niedersachsen, 3, 0.0194, 18.6
2020-03-25, 12.8192, Niedersachsen, 3, 0.0213, 20
2020-03-26, 10.4896, Niedersachsen, 3, 0.0174, 21.4
2020-03-27, 12.296, Niedersachsen, 3, 0.0204, 22.9
2020-03-28, 11.4862, Niedersachsen, 3, 0.0191, 24.7
2020-03-29, 10.066, Niedersachsen, 3, 0.0167, 26.8
2020-03-30, 10.7512, Niedersachsen, 3, 0.0179, 27.7
2020-03-31, 10.1283, Niedersachsen, 3, 0.0168, 28.5
2020-04-01, 7.8236, Niedersachsen, 3, 0.013, 29.3
2020-04-02, 7.5246, Niedersachsen, 3, 0.0125, 29.2
2020-04-03, 4.9707, Niedersachsen, 3, 0.0083, 28.7
2020-04-04, 5.1327, Niedersachsen, 3, 0.0085, 28.4
2020-04-05, 1.2458, Niedersachsen, 3, 0.0021, 26.9
2020-04-06, -0.0623, Niedersachsen, 3, -0.0001, 26.4
2020-04-07, -2.0556, Niedersachsen, 3, -0.0032, 25.4
2020-04-08, -4.3603, Niedersachsen, 3, -0.0069, 25.6
2020-04-09, -2.8404, Niedersachsen, 3, -0.0045, 25.2
2020-04-10, -3.2141, Niedersachsen, 3, -0.0051, 25
2020-04-11, -6.2165, Niedersachsen, 3, -0.0098, 23.4
2020-04-12, -3.3138, Niedersachsen, 3, -0.0052, 22.2
2020-04-13, -4.4599, Niedersachsen, 3, -0.007, 22.3
2020-04-14, -4.4101, Niedersachsen, 3, -0.007, 20.4
2020-04-15, -5.332, Niedersachsen, 3, -0.0084, 17.8
2020-04-16, -7.8609, Niedersachsen, 3, -0.0124, 16.5
2020-04-17, -8.3842, Niedersachsen, 3, -0.0132, 15.6
2020-04-18, -7.0013, Niedersachsen, 3, -0.0111, 14.8
2020-04-19, -7.5121, Niedersachsen, 3, -0.0119, 15
2020-04-20, -7.8485, Niedersachsen, 3, -0.0124, 14.3
2020-04-21, -5.3195, Niedersachsen, 3, -0.0084, 15
2020-04-22, -2.7657, Niedersachsen, 3, -0.0044, 14.9
2020-04-23, -1.8313, Niedersachsen, 3, -0.0029, 14.1
2020-04-24, -2.2175, Niedersachsen, 3, -0.0035, 12.8
2020-04-25, -2.2923, Niedersachsen, 3, -0.0036, 11.8
2020-04-26, -2.7407, Niedersachsen, 3, -0.0043, 10.9
2020-04-27, -2.6162, Niedersachsen, 3, -0.0041, 10.3
2020-04-28, -4.871, Niedersachsen, 3, -0.0077, 9.6
2020-04-29, -5.8178, Niedersachsen, 3, -0.0092, 8.8
2020-04-30, -5.631, Niedersachsen, 3, -0.0089, 7.9
2020-05-01, -5.2323, Niedersachsen, 3, -0.0083, 7.2
2020-05-02, -4.8337, Niedersachsen, 3, -0.0076, 6.2
2020-05-03, -4.5721, Niedersachsen, 3, -0.0072, 5.8
2020-05-04, -4.1859, Niedersachsen, 3, -0.0066, 5.4
2020-05-05, -3.7997, Niedersachsen, 3, -0.006, 5.6
2020-05-06, -2.7781, Niedersachsen, 3, -0.0044, 5.4
2020-05-07, -2.1178, Niedersachsen, 3, -0.0033, 5.5
2020-05-08, -1.333, Niedersachsen, 3, -0.0021, 5.5
2020-05-09, -0.137, Niedersachsen, 3, -0.0002, 6
2020-05-10, 0.0125, Niedersachsen, 3, , 5.9
2020-05-11, 0.2492, Niedersachsen, 3, 0.0004, 5.8
2020-05-12, -0.1744, Niedersachsen, 3, -0.0003, 5.3
2020-05-13, -0.6976, Niedersachsen, 3, -0.0011, 4.9
2020-05-14, -0.4983, Niedersachsen, 3, -0.0008, 4.7
2020-05-15, -0.6852, Niedersachsen, 3, -0.0011, 4.1
2020-05-16, -2.529, Niedersachsen, 3, -0.004, 3.7
2020-05-17, -1.931, Niedersachsen, 3, -0.0031, 3.6
2020-05-18, -2.0556, Niedersachsen, 3, -0.0032, 3.6
2020-05-19, -1.5822, Niedersachsen, 3, -0.0025, 3.9
2020-05-20, -0.4485, Niedersachsen, 3, -0.0007, 4
2020-05-21, -0.6603, Niedersachsen, 3, -0.001, 4.2
2020-05-22, -0.2118, Niedersachsen, 3, -0.0003, 4.3
2020-05-23, 1.3579, Niedersachsen, 3, 0.0023, 5
2020-05-24, 1.3704, Niedersachsen, 3, 0.0023, 5.2
2020-05-25, 1.2458, Niedersachsen, 3, 0.0021, 5.2
2020-05-26, 1.3953, Niedersachsen, 3, 0.0023, 4.9
2020-05-27, 0.7599, Niedersachsen, 3, 0.0013, 4.9
2020-05-28, 0.6727, Niedersachsen, 3, 0.0011, 5.2
2020-05-29, 0.8098, Niedersachsen, 3, 0.0013, 5.6
2020-05-30, 0.4983, Niedersachsen, 3, 0.0008, 5.2
2020-05-31, 0.0125, Niedersachsen, 3, , 5.5
2020-06-01, 0.6354, Niedersachsen, 3, 0.0011, 5.6
2020-06-02, 0.3862, Niedersachsen, 3, 0.0006, 5.6
2020-06-03, 0.6727, Niedersachsen, 3, 0.0011, 5.5
2020-06-04, 0.2367, Niedersachsen, 3, 0.0004, 5.5
2020-06-05, 0.1246, Niedersachsen, 3, 0.0002, 5.8
2020-06-06, 0.3987, Niedersachsen, 3, 0.0007, 6.2
2020-06-07, 0.5357, Niedersachsen, 3, 0.0009, 6.2
2020-06-08, 0.2616, Niedersachsen, 3, 0.0004, 6.3
2020-06-09, 1.1586, Niedersachsen, 3, 0.0019, 6.4
2020-06-10, 0.8471, Niedersachsen, 3, 0.0014, 6.7
2020-06-11, 1.171, Niedersachsen, 3, 0.0019, 6
2020-06-12, 0.3737, Niedersachsen, 3, 0.0006, 5.4
2020-06-13, -0.8596, Niedersachsen, 3, -0.0014, 5.1
2020-06-14, -1.0465, Niedersachsen, 3, -0.0017, 4.8
2020-06-15, -1.2458, Niedersachsen, 3, -0.002, 4.5
2020-06-16, -2.0182, Niedersachsen, 3, -0.0032, 4.3
2020-06-17, -2.3545, Niedersachsen, 3, -0.0037, 4.1
2020-06-18, -1.632, Niedersachsen, 3, -0.0026, 4
2020-06-19, -1.333, Niedersachsen, 3, -0.0021, 4.4
2020-06-20, -1.2333, Niedersachsen, 3, -0.0019, 4.4
2020-06-21, -1.5199, Niedersachsen, 3, -0.0024, 4.6
2020-06-22, 0.0997, Niedersachsen, 3, 0.0002, 4.6
2020-06-23, 0.1744, Niedersachsen, 3, 0.0003, 4.3
2020-06-24, 0.3737, Niedersachsen, 3, 0.0006, 4.5
2020-06-25, -0.0249, Niedersachsen, 3, , 4.2
2020-06-26, -0.299, Niedersachsen, 3, -0.0005, 3.7
2020-06-27, -0.3488, Niedersachsen, 3, -0.0006, 3.2
2020-06-28, -0.2242, Niedersachsen, 3, -0.0004, 3
2020-06-29, -1.7441, Niedersachsen, 3, -0.0028, 3
2020-06-30, -1.4202, Niedersachsen, 3, -0.0022, 3.2
2020-07-01, -1.2333, Niedersachsen, 3, -0.0019, 2.7
2020-07-02, -1.2832, Niedersachsen, 3, -0.002, 2.7
2020-07-03, -1.0714, Niedersachsen, 3, -0.0017, 2.6
