Meldedatum, difference, region, region_id, trend, value
2020-03-05, , Sachsen, 14, , 
2020-03-06, , Sachsen, 14, , 
2020-03-07, , Sachsen, 14, , 0.1
2020-03-08, , Sachsen, 14, , 0.1
2020-03-09, , Sachsen, 14, , 0.2
2020-03-10, , Sachsen, 14, , 0.4
2020-03-11, 0.371, Sachsen, 14, 0.0006, 0.9
2020-03-12, 0.6926, Sachsen, 14, 0.0012, 1.3
2020-03-13, 1.0883, Sachsen, 14, 0.0018, 2
2020-03-14, 2.0035, Sachsen, 14, 0.0033, 2.9
2020-03-15, 2.0777, Sachsen, 14, 0.0035, 3.7
2020-03-16, 2.2013, Sachsen, 14, 0.0037, 4.3
2020-03-17, 4.0317, Sachsen, 14, 0.0067, 5.2
2020-03-18, 3.6606, Sachsen, 14, 0.0061, 6.8
2020-03-19, 4.8974, Sachsen, 14, 0.0081, 9.7
2020-03-20, 6.8019, Sachsen, 14, 0.0113, 12.9
2020-03-21, 9.3495, Sachsen, 14, 0.0155, 15.5
2020-03-22, 9.5226, Sachsen, 14, 0.0158, 17.8
2020-03-23, 9.8936, Sachsen, 14, 0.0165, 18.4
2020-03-24, 10.9572, Sachsen, 14, 0.0182, 20.4
2020-03-25, 12.7133, Sachsen, 14, 0.0211, 22.3
2020-03-26, 12.6886, Sachsen, 14, 0.0211, 23.5
2020-03-27, 10.7593, Sachsen, 14, 0.0179, 23.8
2020-03-28, 7.2224, Sachsen, 14, 0.012, 24.9
2020-03-29, 8.7806, Sachsen, 14, 0.0146, 25.8
2020-03-30, 11.6003, Sachsen, 14, 0.0193, 26.2
2020-03-31, 8.0386, Sachsen, 14, 0.0134, 26.6
2020-04-01, 6.0599, Sachsen, 14, 0.0101, 27.2
2020-04-02, 3.7596, Sachsen, 14, 0.0063, 27.2
2020-04-03, 2.9681, Sachsen, 14, 0.0049, 28.6
2020-04-04, 4.7242, Sachsen, 14, 0.0079, 30.2
2020-04-05, 2.8444, Sachsen, 14, 0.0047, 29.7
2020-04-06, 1.7067, Sachsen, 14, 0.0028, 29.6
2020-04-07, 1.3109, Sachsen, 14, 0.0022, 28.2
2020-04-08, 0.742, Sachsen, 14, 0.0012, 27.3
2020-04-09, -0.1237, Sachsen, 14, -0.0002, 26.6
2020-04-10, -1.7561, Sachsen, 14, -0.003, 23.6
