Meldedatum, difference, region, region_id, trend, value
2020-03-05, , Thüringen, 16, , 
2020-03-06, , Thüringen, 16, , 
2020-03-07, , Thüringen, 16, , 
2020-03-08, , Thüringen, 16, , 0.1
2020-03-09, , Thüringen, 16, , 0.1
2020-03-10, , Thüringen, 16, , 
2020-03-11, 0.3794, Thüringen, 16, 0.0007, 0.5
2020-03-12, 0.4268, Thüringen, 16, 0.0008, 0.5
2020-03-13, 0.6639, Thüringen, 16, 0.0013, 1
2020-03-14, 1.3751, Thüringen, 16, 0.0026, 1.5
2020-03-15, 1.5648, Thüringen, 16, 0.003, 2.3
2020-03-16, 1.5648, Thüringen, 16, 0.003, 2.4
2020-03-17, 2.2761, Thüringen, 16, 0.0043, 3.2
2020-03-18, 2.5606, Thüringen, 16, 0.0049, 4.3
2020-03-19, 3.509, Thüringen, 16, 0.0067, 6
2020-03-20, 5.3109, Thüringen, 16, 0.0101, 8
2020-03-21, 5.8799, Thüringen, 16, 0.0112, 11.2
2020-03-22, 6.3067, Thüringen, 16, 0.012, 12.1
2020-03-23, 7.8715, Thüringen, 16, 0.0149, 13.3
2020-03-24, 10.0528, Thüringen, 16, 0.0191, 14.9
2020-03-25, 11.3331, Thüringen, 16, 0.0215, 16.9
2020-03-26, 12.1392, Thüringen, 16, 0.023, 18.9
2020-03-27, 11.4754, Thüringen, 16, 0.0218, 19.8
2020-03-28, 8.6777, Thüringen, 16, 0.0165, 19.6
2020-03-29, 11.428, Thüringen, 16, 0.0217, 21.1
2020-03-30, 9.7683, Thüringen, 16, 0.0185, 20.8
2020-03-31, 7.2077, Thüringen, 16, 0.0137, 20
2020-04-01, 5.0264, Thüringen, 16, 0.0095, 20.4
2020-04-02, 2.2287, Thüringen, 16, 0.0042, 19.3
2020-04-03, , Thüringen, 16, , 19.8
2020-04-04, 2.3235, Thüringen, 16, 0.0044, 19.6
2020-04-05, -1.1381, Thüringen, 16, -0.0014, 18.7
2020-04-06, -0.2845, Thüringen, 16, -0.0004, 19.6
2020-04-07, -0.7113, Thüringen, 16, -0.0009, 19.2
2020-04-08, -0.901, Thüringen, 16, -0.0011, 18.7
2020-04-09, 0.4268, Thüringen, 16, 0.0008, 19.2
2020-04-10, 0.7113, Thüringen, 16, 0.0013, 18.4
2020-04-11, -2.4658, Thüringen, 16, -0.0031, 16.4
2020-04-12, -3.3667, Thüringen, 16, -0.0042, 15.4
2020-04-13, -4.9316, Thüringen, 16, -0.0061, 15
2020-04-14, -5.2161, Thüringen, 16, -0.0065, 14.7
2020-04-15, -6.117, Thüringen, 16, -0.0076, 13.5
2020-04-16, -7.1603, Thüringen, 16, -0.0089, 12.3
2020-04-17, -6.0222, Thüringen, 16, -0.0075, 12.9
2020-04-18, -3.2245, Thüringen, 16, -0.004, 13.4
2020-04-19, -1.6597, Thüringen, 16, -0.0021, 14.3
2020-04-20, -1.0432, Thüringen, 16, -0.0013, 13.6
2020-04-21, -1.0432, Thüringen, 16, -0.0013, 14.4
2020-04-22, 1.8019, Thüringen, 16, 0.0034, 15.7
2020-04-23, 3.3667, Thüringen, 16, 0.0064, 16.4
2020-04-24, 3.1296, Thüringen, 16, 0.0059, 15.6
2020-04-25, 2.6555, Thüringen, 16, 0.005, 16.2
2020-04-26, 1.7545, Thüringen, 16, 0.0033, 15.1
2020-04-27, 2.2287, Thüringen, 16, 0.0042, 15.4
2020-04-28, 1.9916, Thüringen, 16, 0.0038, 14.9
2020-04-29, -1.8493, Thüringen, 16, -0.0023, 15.1
2020-04-30, -1.3751, Thüringen, 16, -0.0017, 14.5
2020-05-01, -1.5648, Thüringen, 16, -0.0019, 14.2
2020-05-02, -3.1296, Thüringen, 16, -0.0039, 12.7
2020-05-03, -3.509, Thüringen, 16, -0.0044, 12.5
2020-05-04, -4.3151, Thüringen, 16, -0.0054, 11.6
2020-05-05, -3.3193, Thüringen, 16, -0.0041, 11.7
2020-05-06, -2.8926, Thüringen, 16, -0.0036, 10
2020-05-07, -5.0738, Thüringen, 16, -0.0063, 10.1
2020-05-08, -5.2635, Thüringen, 16, -0.0065, 9.5
2020-05-09, -3.3193, Thüringen, 16, -0.0041, 10.1
2020-05-10, -2.5132, Thüringen, 16, -0.0031, 10.5
2020-05-11, -0.6639, Thüringen, 16, -0.0008, 10.9
2020-05-12, -2.039, Thüringen, 16, -0.0025, 10.9
2020-05-13, -0.6639, Thüringen, 16, -0.0008, 10.3
2020-05-14, -0.4742, Thüringen, 16, -0.0006, 8.9
2020-05-15, -1.1855, Thüringen, 16, -0.0015, 7.9
2020-05-16, -1.5174, Thüringen, 16, -0.0019, 7.6
2020-05-17, -2.4184, Thüringen, 16, -0.003, 7.3
2020-05-18, -3.4142, Thüringen, 16, -0.0042, 7.3
2020-05-19, -3.4142, Thüringen, 16, -0.0042, 6.4
2020-05-20, -3.6513, Thüringen, 16, -0.0045, 6.7
2020-05-21, -2.039, Thüringen, 16, -0.0025, 6.9
2020-05-22, -1.4226, Thüringen, 16, -0.0018, 6.6
2020-05-23, -1.8493, Thüringen, 16, -0.0023, 6.5
2020-05-24, -0.901, Thüringen, 16, -0.0011, 6
2020-05-25, -0.9484, Thüringen, 16, -0.0012, 6.1
2020-05-26, -0.1423, Thüringen, 16, -0.0002, 6.4
2020-05-27, 0.0948, Thüringen, 16, 0.0002, 6.5
2020-05-28, -0.2371, Thüringen, 16, -0.0003, 6.7
2020-05-29, 0.1897, Thüringen, 16, 0.0004, 7.4
2020-05-30, 0.5216, Thüringen, 16, 0.001, 7.3
2020-05-31, 0.1897, Thüringen, 16, 0.0004, 7.3
2020-06-01, 0.8535, Thüringen, 16, 0.0016, 7.1
2020-06-02, 0.2845, Thüringen, 16, 0.0005, 6.3
2020-06-03, -0.6639, Thüringen, 16, -0.0008, 4.8
2020-06-04, -1.9442, Thüringen, 16, -0.0024, 4.6
2020-06-05, -3.0822, Thüringen, 16, -0.0038, 3.7
2020-06-06, -3.0348, Thüringen, 16, -0.0038, 3.9
2020-06-07, -2.7977, Thüringen, 16, -0.0035, 3.6
2020-06-08, -3.8884, Thüringen, 16, -0.0048, 3.5
2020-06-09, -2.5132, Thüringen, 16, -0.0031, 3.7
2020-06-10, -0.901, Thüringen, 16, -0.0011, 4.1
