Meldedatum, region, region_id, value, difference, frozen, trend, Lower, Prediction, Upper
2020-03-03, Thüringen, 16, 0.0474, , , , , , 
2020-03-04, Thüringen, 16, 0.0474, , 0.0474, , , , 
2020-03-05, Thüringen, 16, 0.0474, , 0.0474, , , , 
2020-03-06, Thüringen, 16, 0.0474, , 0.0474, , , , 
2020-03-07, Thüringen, 16, 0.0474, , 0.0474, , , , 
2020-03-08, Thüringen, 16, 0.0948, , 0.0474, , , , 
2020-03-09, Thüringen, 16, 0.0948, , 0.0474, , , , 
2020-03-10, Thüringen, 16, 0.0474, , 0.0474, , , , 
2020-03-11, Thüringen, 16, 0.0948, , 0.0474, , , , 
2020-03-12, Thüringen, 16, 0.0948, , 0.0474, , , , 
2020-03-13, Thüringen, 16, 0.1423, , 0.0474, , , , 
2020-03-14, Thüringen, 16, 0.1897, 0.0474, 0.0948, 0.0064, , , 
2020-03-15, Thüringen, 16, 0.2371, 0.0474, 0.0948, 0.0064, , , 
2020-03-16, Thüringen, 16, 0.2371, 0.0474, 0.0948, 0.0064, , , 
2020-03-17, Thüringen, 16, 0.3319, 0.1423, 0.1897, 0.0191, , , 
2020-03-18, Thüringen, 16, 0.4742, 0.1897, 0.2371, 0.0255, , , 
2020-03-19, Thüringen, 16, 0.6639, 0.2845, 0.3319, 0.0382, , , 
2020-03-20, Thüringen, 16, 0.8061, 0.4268, 0.4742, 0.0573, , , 
2020-03-21, Thüringen, 16, 1.0432, 0.3794, 0.4742, 0.051, , , 
2020-03-22, Thüringen, 16, 1.0906, 0.6164, 0.7113, 0.0828, , , 
2020-03-23, Thüringen, 16, 1.3277, 0.6164, 0.7113, 0.0828, , , 
2020-03-24, Thüringen, 16, 1.47, 0.901, 1.0906, 0.121, , , 
2020-03-25, Thüringen, 16, 1.9916, 1.1855, 1.4226, 0.1592, , , 
2020-03-26, Thüringen, 16, 2.3235, 1.5174, 1.8493, 0.2038, , , 
2020-03-27, Thüringen, 16, 2.3709, 1.4226, 1.8968, 0.1911, , , 
2020-03-28, Thüringen, 16, 2.7503, 1.0906, 1.5648, 0.1465, , , 
2020-03-29, Thüringen, 16, 3.509, 1.6122, 2.3235, 0.2166, , , 
2020-03-30, Thüringen, 16, 3.4616, 1.6597, 2.3709, 0.2229, , , 
2020-03-31, Thüringen, 16, 3.6513, 1.7545, 2.8451, 0.2357, , , 
2020-04-01, Thüringen, 16, 3.6513, 1.6597, 3.0822, 0.2229, , , 
2020-04-02, Thüringen, 16, 3.7935, 1.1855, 3.0348, 0.1592, , , 
2020-04-03, Thüringen, 16, 4.1254, 1.2803, 3.1771, 0.172, , , 
2020-04-04, Thüringen, 16, 3.8409, 1.5174, 3.0822, 0.2038, , , 
2020-04-05, Thüringen, 16, 3.4142, 0.2845, 2.608, 0.0382, , , 
2020-04-06, Thüringen, 16, 3.6987, 0.5216, 2.8926, 0.0701, , , 
2020-04-07, Thüringen, 16, 3.6038, 0.0948, 2.94, 0.0127, , , 
2020-04-08, Thüringen, 16, 3.6987, 0.1423, 3.2245, 0.0191, , , 
2020-04-09, Thüringen, 16, 3.4142, -0.1423, 2.8926, -0.0199, , , 
2020-04-10, Thüringen, 16, 3.4616, -0.1897, 2.9874, -0.0265, , , 
2020-04-11, Thüringen, 16, 3.509, -0.0474, 3.0348, -0.0066, , , 
2020-04-12, Thüringen, 16, 3.4142, 0.1897, 2.7977, 0.0255, , , 
2020-04-13, Thüringen, 16, 3.3667, -0.2845, 2.608, -0.0397, , , 
2020-04-14, Thüringen, 16, 3.3193, -0.4268, 2.5132, -0.0596, , , 
2020-04-15, Thüringen, 16, 3.1296, -0.9484, 2.2761, -0.1325, , , 
2020-04-16, Thüringen, 16, 3.1296, -0.1897, 2.7029, -0.0265, , , 
2020-04-17, Thüringen, 16, 3.1296, -0.569, 2.4184, -0.0795, , , 
2020-04-18, Thüringen, 16, 3.0348, -0.7113, 2.3235, -0.0993, , , 
2020-04-19, Thüringen, 16, 3.2245, -0.4742, 2.3235, -0.0662, , , 
2020-04-20, Thüringen, 16, 2.9874, -0.3794, 2.2287, -0.053, , , 
2020-04-21, Thüringen, 16, 3.4616, -0.2371, 2.2761, -0.0331, , , 
2020-04-22, Thüringen, 16, 3.6987, 0.8535, 3.1296, 0.1146, , , 
2020-04-23, Thüringen, 16, 3.9832, 0.6639, 3.3667, 0.0892, , , 
2020-04-24, Thüringen, 16, 3.9358, 1.1855, 3.6038, 0.1592, , , 
2020-04-25, Thüringen, 16, 4.078, 1.3751, 3.6987, 0.1847, , , 
2020-04-26, Thüringen, 16, 3.9832, 1.1855, 3.509, 0.1592, , , 
2020-04-27, Thüringen, 16, 3.9358, 1.1855, 3.4142, 0.1592, , , 
2020-04-28, Thüringen, 16, 3.6038, 0.8535, 3.1296, 0.1146, , , 
2020-04-29, Thüringen, 16, 3.8409, -0.4742, 2.6555, -0.0662, , , 
2020-04-30, Thüringen, 16, 3.7461, -0.2845, 3.0822, -0.0397, , , 
2020-05-01, Thüringen, 16, 4.078, -0.1897, 3.4142, -0.0265, , , 
2020-05-02, Thüringen, 16, 3.6987, -0.5216, 3.1771, -0.0728, , , 
2020-05-03, Thüringen, 16, 3.6038, -0.6164, 2.8926, -0.0861, , , 
2020-05-04, Thüringen, 16, 3.509, -0.4742, 2.94, -0.0662, , , 
2020-05-05, Thüringen, 16, 3.3193, -0.3319, 2.7977, -0.0464, , , 
2020-05-06, Thüringen, 16, 2.7029, -0.3319, 2.3235, -0.0464, , , 
2020-05-07, Thüringen, 16, 3.0348, -0.8535, 2.2287, -0.1192, , , 
2020-05-08, Thüringen, 16, 2.608, -1.2803, 2.1339, -0.1788, , , 
2020-05-09, Thüringen, 16, 2.7029, -1.0906, 2.0864, -0.1523, , , 
2020-05-10, Thüringen, 16, 2.8451, -0.7113, 2.1813, -0.0993, , , 
2020-05-11, Thüringen, 16, 2.94, -0.3794, 2.5606, -0.053, , , 
2020-05-12, Thüringen, 16, 3.1771, -0.3319, 2.4658, -0.0464, , , 
2020-05-13, Thüringen, 16, 3.1771, 0.1897, 2.5132, 0.0255, , , 
2020-05-14, Thüringen, 16, 2.608, -0.2845, 1.9442, -0.0397, , , 
2020-05-15, Thüringen, 16, 2.3709, -0.2371, 1.8968, -0.0331, , , 
2020-05-16, Thüringen, 16, 2.5132, -0.0474, 2.039, -0.0066, , , 
2020-05-17, Thüringen, 16, 2.2761, -0.3794, 1.8019, -0.053, , , 
2020-05-18, Thüringen, 16, 2.1813, -0.7113, 1.8493, -0.0993, , , 
2020-05-19, Thüringen, 16, 1.8019, -0.901, 1.5648, -0.1258, , , 
2020-05-20, Thüringen, 16, 1.5648, -1.2803, 1.2329, -0.1788, , , 
2020-05-21, Thüringen, 16, 1.3277, -0.7113, 1.2329, -0.0993, , , 
2020-05-22, Thüringen, 16, 1.2329, -0.7113, 1.1855, -0.0993, , , 
2020-05-23, Thüringen, 16, 1.1855, -1.0432, 0.9958, -0.1457, , , 
2020-05-24, Thüringen, 16, 1.0906, -0.8535, 0.9484, -0.1192, , , 
2020-05-25, Thüringen, 16, 1.0906, -0.8061, 1.0432, -0.1126, , , 
2020-05-26, Thüringen, 16, 1.1381, -0.5216, 1.0432, -0.0728, , , 
2020-05-27, Thüringen, 16, 1.2329, -0.0474, 1.1855, -0.0066, , , 
2020-05-28, Thüringen, 16, 1.2803, -0.0948, 1.1381, -0.0132, , , 
2020-05-29, Thüringen, 16, 1.47, -0.0948, 1.0906, -0.0132, , , 
2020-05-30, Thüringen, 16, 1.4226, 0.1897, 1.1855, 0.0255, , , 
2020-05-31, Thüringen, 16, 1.3751, 0.1423, 1.0906, 0.0191, , , 
2020-06-01, Thüringen, 16, 1.4226, 0.2845, 1.3277, 0.0382, , , 
2020-06-02, Thüringen, 16, 1.3277, 0.1897, 1.2329, 0.0255, , , 
2020-06-03, Thüringen, 16, 1.0432, -0.2371, 0.9484, -0.0331, , , 
2020-06-04, Thüringen, 16, 1.0906, -0.2371, 0.901, -0.0331, , , 
2020-06-05, Thüringen, 16, 0.901, -0.1897, 0.901, -0.0265, , , 
