Altersgruppe, Meldedatum, difference, trend, value
0-4, 2020-03-03, , , 0.1
0-4, 2020-03-04, , , 0.1
0-4, 2020-03-05, , , 0.1
0-4, 2020-03-06, , , 0.2
0-4, 2020-03-07, , , 0.2
0-4, 2020-03-08, , , 0.2
0-4, 2020-03-09, , , 0.2
0-4, 2020-03-10, 0.0503, 0.0001, 0.3
0-4, 2020-03-11, 0.1258, 0.0003, 0.4
0-4, 2020-03-12, 0.327, 0.0007, 0.5
0-4, 2020-03-13, 0.3773, 0.0008, 0.5
0-4, 2020-03-14, 0.4276, 0.0009, 0.5
0-4, 2020-03-15, 0.4276, 0.0009, 0.8
0-4, 2020-03-16, 0.6037, 0.0012, 1
0-4, 2020-03-17, 0.8553, 0.0017, 1.1
0-4, 2020-03-18, 0.9559, 0.0019, 1.4
0-4, 2020-03-19, 1.132, 0.0023, 2
0-4, 2020-03-20, 1.4842, 0.003, 2.6
0-4, 2020-03-21, 1.7609, 0.0035, 3.2
0-4, 2020-03-22, 1.5848, 0.0032, 3.6
0-4, 2020-03-23, 2.0124, 0.004, 3.9
0-4, 2020-03-24, 2.5658, 0.0052, 4.4
0-4, 2020-03-25, 2.6413, 0.0053, 5.2
0-4, 2020-03-26, 2.44, 0.0049, 5.1
0-4, 2020-03-27, 2.2388, 0.0045, 5.7
0-4, 2020-03-28, 2.5658, 0.0052, 6.1
0-4, 2020-03-29, 2.8425, 0.0057, 6.4
0-4, 2020-03-30, 3.0689, 0.0062, 6.5
0-4, 2020-03-31, 2.3143, 0.0046, 6.3
0-4, 2020-04-01, 1.9873, 0.004, 6.3
0-4, 2020-04-02, 2.3897, 0.0048, 7
0-4, 2020-04-03, 2.2137, 0.0044, 7
0-4, 2020-04-04, 1.8615, 0.0037, 7.1
0-4, 2020-04-05, 1.8363, 0.0037, 6.8
0-4, 2020-04-06, 1.1823, 0.0024, 6.9
0-4, 2020-04-07, 1.2829, 0.0026, 7
0-4, 2020-04-08, 1.0817, 0.0022, 7.5
0-4, 2020-04-09, 0.2264, 0.0005, 7.2
0-4, 2020-04-10, -0.1761, -0.0006, 6.6
0-4, 2020-04-11, -1.0062, -0.0035, 6.3
0-4, 2020-04-12, -1.2829, -0.0045, 6.5
0-4, 2020-04-13, -1.5848, -0.0055, 6.1
0-4, 2020-04-14, -1.9621, -0.0068, 5.7
0-4, 2020-04-15, -2.7168, -0.0095, 4.8
0-4, 2020-04-16, -2.7671, -0.0096, 4.2
0-4, 2020-04-17, -2.3394, -0.0081, 4.5
0-4, 2020-04-18, -1.5596, -0.0054, 4.5
0-4, 2020-04-19, -2.1885, -0.0076, 4.1
0-4, 2020-04-20, -1.7609, -0.0061, 4.2
0-4, 2020-04-21, -1.3835, -0.0048, 4.5
0-4, 2020-04-22, -0.3019, -0.0011, 4.5
0-4, 2020-04-23, 0.5786, 0.0012, 4.9
0-4, 2020-04-24, 0.1006, 0.0002, 4.7
0-4, 2020-04-25, -0.1258, -0.0004, 4.8
0-4, 2020-04-26, 0.805, 0.0016, 4.7
0-4, 2020-04-27, 0.5031, 0.001, 4.8
0-4, 2020-04-28, 0.4025, 0.0008, 4.6
0-4, 2020-04-29, 0.3773, 0.0008, 4.7
0-4, 2020-04-30, -0.7295, -0.0025, 4.2
