Meldedatum, difference, frozen, region, region_id, trend, value, Lower, Prediction, Upper
2022-10-11, 6.5044, 7.2436, Bremen, 4, 0.3636, 7.24, , , 
2022-10-10, 3.6957, 5.4696, Bremen, 4, 0.2066, 6.21, , , 
2022-10-09, 3.6957, 5.4696, Bremen, 4, 0.2066, 6.21, , , 
2022-10-08, 3.6957, 5.6175, Bremen, 4, 0.2066, 6.36, 10.31, 14.77, 30.59
2022-10-07, 2.9566, 4.8783, Bremen, 4, 0.1653, 5.62, 8.33, 9.91, 19.33
2022-10-06, 2.9566, 4.7305, Bremen, 4, 0.1653, 5.32, 7.5, 8.72, 14.93
2022-10-05, 0.4435, 2.3652, Bremen, 4, 0.0248, 4.43, 6.06, 6.95, 10.95
2022-10-04, -1.0348, 0.7391, Bremen, 4, -0.0547, 1.92, 2.13, 2.25, 2.41
2022-10-03, 0.5913, 1.7739, Bremen, 4, 0.0331, 3.4, 3.7, 3.82, 4
2022-10-02, 0.5913, 1.7739, Bremen, 4, 0.0331, 3.4, 3.7, 3.82, 4
2022-10-01, 0.7391, 1.9218, Bremen, 4, 0.0413, 3.4, 3.67, 3.77, 3.93
2022-09-30, -1.0348, 1.9218, Bremen, 4, -0.0547, 3.1, 3.28, 3.34, 3.43
2022-09-29, 0.5913, 1.7739, Bremen, 4, 0.0331, 2.96, 3.08, 3.14, 3.2
2022-09-28, 0.1478, 1.9218, Bremen, 4, 0.0083, 3.4, 3.52, 3.59, 3.65
2022-09-27, 0.887, 1.7739, Bremen, 4, 0.0496, 3.55, 3.66, 3.72, 3.78
2022-09-26, , 1.1826, Bremen, 4, , 2.37, 2.42, 2.45, 2.49
2022-09-25, , 1.1826, Bremen, 4, , 2.37, 2.42, 2.45, 2.49
2022-09-24, , 1.1826, Bremen, 4, , 2.22, 2.26, 2.3, 2.33
2022-09-23, 1.0348, 2.9566, Bremen, 4, 0.0579, 1.77, 1.81, 1.83, 1.86
2022-09-22, -1.1826, 1.1826, Bremen, 4, -0.0625, 1.63, 1.66, 1.68, 1.7
2022-09-21, -0.4435, 1.7739, Bremen, 4, -0.0234, 1.33, 1.35, 1.36, 1.38
2022-09-20, -0.7391, 0.887, Bremen, 4, -0.0391, 1.63, 1.64, 1.65, 1.66
2022-09-19, , 1.1826, Bremen, 4, , 2.66, 2.68, 2.69, 2.71
2022-09-18, , 1.1826, Bremen, 4, , 2.66, 2.68, 2.69, 2.71
2022-09-17, , 1.1826, Bremen, 4, , 2.81, 2.83, 2.84, 2.86
2022-09-16, 0.2957, 1.9218, Bremen, 4, 0.0165, 3.55, 3.57, 3.58, 3.6
2022-09-15, 1.0348, 2.3652, Bremen, 4, 0.0579, 3.84, 3.86, 3.88, 3.9
2022-09-14, 1.1826, 2.2174, Bremen, 4, 0.0661, 4.43, 4.45, 4.47, 4.49
2022-09-13, 0.2957, 1.6261, Bremen, 4, 0.0165, 4.14, 4.15, 4.16, 4.18
2022-09-12, -0.1478, 1.1826, Bremen, 4, -0.0078, 4.29, 4.29, 4.29, 4.31
2022-09-11, -0.1478, 1.1826, Bremen, 4, -0.0078, 4.29, 4.29, 4.29, 4.31
2022-09-10, -0.1478, 1.1826, Bremen, 4, -0.0078, 4.14, 4.14, 4.15, 4.16
2022-09-09, 0.2957, 1.6261, Bremen, 4, 0.0165, 3.84, 3.84, 3.84, 3.85
2022-09-08, -0.4435, 1.3304, Bremen, 4, -0.0234, 3.55, 3.54, 3.55, 3.55
2022-09-07, -1.1826, 1.0348, Bremen, 4, -0.0625, 2.96, 2.95, 2.95, 2.96
2022-09-06, -0.1478, 1.3304, Bremen, 4, -0.0078, 2.81, 2.8, 2.8, 2.8
2022-09-05, , 1.3304, Bremen, 4, , 1.92, 1.91, 1.91, 1.91
2022-09-04, , 1.3304, Bremen, 4, , 1.92, 1.91, 1.91, 1.91
2022-09-03, , 1.3304, Bremen, 4, , 1.92, 1.91, 1.91, 1.91
2022-09-02, 0.1478, 1.3304, Bremen, 4, 0.0083, 1.92, 1.91, 1.91, 1.91
2022-09-01, 0.887, 1.7739, Bremen, 4, 0.0496, 2.22, 2.21, 2.21, 2.21
2022-08-31, 1.1826, 2.2174, Bremen, 4, 0.0661, 2.66, 2.65, 2.65, 2.65
2022-08-30, 0.2957, 1.4783, Bremen, 4, 0.0165, 2.22, 2.21, 2.21, 2.21
2022-08-29, 0.2957, 1.3304, Bremen, 4, 0.0165, 2.07, 2.06, 2.06, 2.06
2022-08-28, 0.2957, 1.3304, Bremen, 4, 0.0165, 2.07, 2.06, 2.06, 2.06
2022-08-27, 0.2957, 1.3304, Bremen, 4, 0.0165, 2.07, 2.06, 2.06, 2.06
2022-08-26, 0.1478, 1.1826, Bremen, 4, 0.0083, 1.77, 1.76, 1.76, 1.76
2022-08-25, -0.4435, 0.887, Bremen, 4, -0.0234, 1.63, 1.62, 1.62, 1.62
2022-08-24, -0.2957, 1.0348, Bremen, 4, -0.0156, 1.33, 1.32, 1.32, 1.32
2022-08-23, -0.5913, 1.1826, Bremen, 4, -0.0313, 1.63, 1.62, 1.62, 1.62
2022-08-22, -0.5913, 1.0348, Bremen, 4, -0.0312, 1.63, 1.62, 1.62, 1.62
2022-08-21, -0.5913, 1.0348, Bremen, 4, -0.0312, 1.63, 1.62, 1.62, 1.62
2022-08-20, -0.5913, 1.0348, Bremen, 4, -0.0312, 1.63, 1.62, 1.62, 1.62
2022-08-19, -1.1826, 1.0348, Bremen, 4, -0.0625, 1.92, 1.91, 1.91, 1.91
2022-08-18, -1.4783, 1.3304, Bremen, 4, -0.0781, 2.37, 2.35, 2.35, 2.35
2022-08-17, -1.4783, 1.3304, Bremen, 4, -0.0781, 2.07, 2.06, 2.06, 2.06
2022-08-16, -0.4435, 1.7739, Bremen, 4, -0.0234, 2.51, 2.5, 2.5, 2.5
2022-08-15, -1.3304, 1.6261, Bremen, 4, -0.0703, 2.37, 2.35, 2.35, 2.35
2022-08-14, -1.3304, 1.6261, Bremen, 4, -0.0703, 2.37, 2.35, 2.35, 2.35
2022-08-13, -1.3304, 1.6261, Bremen, 4, -0.0703, 2.37, 2.35, 2.35, 2.35
2022-08-12, -1.4783, 2.2174, Bremen, 4, -0.0781, 2.81, 2.79, 2.79, 2.79
2022-08-11, 0.1478, 2.8087, Bremen, 4, 0.0083, 2.66, 2.65, 2.65, 2.65
2022-08-10, -0.2957, 2.8087, Bremen, 4, -0.0156, 3.25, 3.23, 3.23, 3.23
2022-08-09, -1.1826, 2.2174, Bremen, 4, -0.0625, 2.51, 2.5, 2.5, 2.5
2022-08-08, -2.6609, 2.9566, Bremen, 4, -0.1406, 3.7, 3.68, 3.68, 3.68
2022-08-07, -2.6609, 2.9566, Bremen, 4, -0.1406, 3.7, 3.68, 3.68, 3.68
2022-08-06, -2.9566, 2.9566, Bremen, 4, -0.1562, 3.7, 3.68, 3.68, 3.68
