Meldedatum, difference, frozen, region, region_id, trend, value, Lower, Prediction, Upper
2022-10-17, 3.4611, 28.9103, Saarland, 10, 0.1921, 28.91, , , 
2022-10-16, 3.4611, 28.9103, Saarland, 10, 0.1921, 28.91, , , 
2022-10-15, 3.4611, 28.9103, Saarland, 10, 0.1921, 28.91, , , 
2022-10-14, 5.2934, 29.3175, Saarland, 10, 0.2938, 29.83, 39.48, 40.86, 43.59
2022-10-13, 6.9222, 30.6409, Saarland, 10, 0.3842, 34.41, 43.11, 44.31, 47.11
2022-10-12, 7.1258, 26.569, Saarland, 10, 0.3955, 41.63, 49.34, 50.58, 53.06
2022-10-11, 18.0181, 31.4552, Saarland, 10, 1, 52.12, 58.77, 60.28, 62.87
2022-10-10, 5.9042, 25.4492, Saarland, 10, 0.3277, 40.01, 43.57, 44.73, 46.27
2022-10-09, 5.9042, 25.4492, Saarland, 10, 0.3277, 40.01, 43.57, 44.73, 46.27
2022-10-08, 5.9042, 25.4492, Saarland, 10, 0.3277, 40.01, 43.57, 44.73, 46.27
2022-10-07, 5.0898, 24.0241, Saarland, 10, 0.2825, 40.41, 43.69, 44.79, 46.1
2022-10-06, 6.006, 23.7187, Saarland, 10, 0.3333, 36.65, 39.28, 40.14, 41.21
2022-10-05, 3.2575, 19.4432, Saarland, 10, 0.1808, 30.23, 31.94, 32.46, 33.07
2022-10-04, -2.7485, 13.4372, Saarland, 10, -0.45, 17.92, 18.5, 18.7, 19
2022-10-03, 6.1078, 19.545, Saarland, 10, 0.339, 24.53, 25.29, 25.55, 25.94
2022-10-02, 6.1078, 19.545, Saarland, 10, 0.339, 24.53, 25.29, 25.55, 25.94
2022-10-01, 6.1078, 19.545, Saarland, 10, 0.339, 24.53, 25.29, 25.55, 25.94
2022-09-30, 8.4491, 18.9342, Saarland, 10, 0.4689, 23.01, 23.64, 23.87, 24.21
2022-09-29, 9.1617, 17.7127, Saarland, 10, 0.5085, 21.99, 22.53, 22.73, 23.04
2022-09-28, 8.5509, 16.1857, Saarland, 10, 0.4746, 19.24, 19.65, 19.82, 20.07
2022-09-27, 9.3653, 16.1857, Saarland, 10, 0.5198, 18.02, 18.35, 18.5, 18.72
2022-09-26, 7.6348, 13.4372, Saarland, 10, 0.4237, 15.07, 15.27, 15.39, 15.55
2022-09-25, 7.6348, 13.4372, Saarland, 10, 0.4237, 15.07, 15.27, 15.39, 15.55
2022-09-24, 7.6348, 13.4372, Saarland, 10, 0.4237, 15.07, 15.27, 15.39, 15.55
2022-09-23, 3.9701, 10.4851, Saarland, 10, 0.2203, 13.03, 13.19, 13.29, 13.42
2022-09-22, 2.4431, 8.5509, Saarland, 10, 0.1356, 11.3, 11.42, 11.5, 11.61
2022-09-21, 1.8323, 7.6348, Saarland, 10, 0.1017, 9.77, 9.86, 9.93, 10.02
2022-09-20, 1.7305, 6.8204, Saarland, 10, 0.096, 8.55, 8.61, 8.66, 8.73
2022-09-19, 0.1018, 5.8024, Saarland, 10, 0.0056, 7.23, 7.26, 7.28, 7.33
2022-09-18, 0.1018, 5.8024, Saarland, 10, 0.0056, 7.23, 7.26, 7.28, 7.33
2022-09-17, 0.1018, 5.8024, Saarland, 10, 0.0056, 7.23, 7.26, 7.28, 7.33
2022-09-16, 0.9162, 6.515, Saarland, 10, 0.0508, 7.63, 7.66, 7.68, 7.73
2022-09-15, 0.4072, 6.1078, Saarland, 10, 0.0226, 6.92, 6.94, 6.96, 7
2022-09-14, 0.4072, 5.8024, Saarland, 10, 0.0226, 6.72, 6.73, 6.75, 6.78
2022-09-13, -0.8144, 5.0898, Saarland, 10, -0.1333, 6.11, 6.11, 6.12, 6.14
2022-09-12, 1.018, 5.7006, Saarland, 10, 0.0565, 6.52, 6.51, 6.51, 6.52
2022-09-11, 1.018, 5.7006, Saarland, 10, 0.0565, 6.52, 6.51, 6.51, 6.52
2022-09-10, 1.018, 5.7006, Saarland, 10, 0.0565, 6.52, 6.51, 6.51, 6.52
2022-09-09, 1.018, 5.5988, Saarland, 10, 0.0565, 6.31, 6.3, 6.3, 6.31
2022-09-08, 0.3054, 5.7006, Saarland, 10, 0.0169, 6.31, 6.3, 6.3, 6.31
2022-09-07, -0.2036, 5.3952, Saarland, 10, -0.0333, 6.21, 6.2, 6.2, 6.2
2022-09-06, 0.6108, 5.9042, Saarland, 10, 0.0339, 6.72, 6.71, 6.71, 6.71
2022-09-05, -1.6288, 4.6827, Saarland, 10, -0.2667, 5.8, 5.79, 5.79, 5.79
2022-09-04, -1.6288, 4.6827, Saarland, 10, -0.2667, 5.8, 5.79, 5.79, 5.79
2022-09-03, -1.6288, 4.6827, Saarland, 10, -0.2667, 5.8, 5.79, 5.79, 5.79
2022-09-02, -2.9521, 4.5809, Saarland, 10, -0.4833, 5.6, 5.59, 5.59, 5.59
2022-09-01, -2.3413, 5.3952, Saarland, 10, -0.3833, 6.31, 6.3, 6.3, 6.3
2022-08-31, -2.8503, 5.5988, Saarland, 10, -0.4667, 6.72, 6.71, 6.71, 6.71
2022-08-30, -5.497, 5.2934, Saarland, 10, -0.9, 6.21, 6.2, 6.2, 6.2
2022-08-29, -1.7305, 6.3114, Saarland, 10, -0.2833, 7.23, 7.22, 7.22, 7.22
2022-08-28, -1.7305, 6.3114, Saarland, 10, -0.2833, 7.23, 7.22, 7.22, 7.22
2022-08-27, -1.7305, 6.3114, Saarland, 10, -0.2833, 7.23, 7.22, 7.22, 7.22
2022-08-26, -0.4072, 7.533, Saarland, 10, -0.0667, 8.35, 8.33, 8.33, 8.33
2022-08-25, -0.3054, 7.7366, Saarland, 10, -0.05, 8.55, 8.54, 8.54, 8.54
2022-08-24, 1.4252, 8.4491, Saarland, 10, 0.0791, 9.06, 9.04, 9.04, 9.04
2022-08-23, 7.024, 10.7905, Saarland, 10, 0.3898, 11.91, 11.89, 11.89, 11.89
2022-08-22, 2.0359, 8.042, Saarland, 10, 0.113, 9.06, 9.04, 9.04, 9.04
2022-08-21, 2.0359, 8.042, Saarland, 10, 0.113, 9.06, 9.04, 9.04, 9.04
2022-08-20, 2.0359, 8.042, Saarland, 10, 0.113, 9.06, 9.04, 9.04, 9.04
2022-08-19, 2.3413, 7.9402, Saarland, 10, 0.1299, 8.75, 8.74, 8.74, 8.74
2022-08-18, 2.6467, 8.042, Saarland, 10, 0.1469, 8.75, 8.74, 8.74, 8.74
2022-08-17, 1.018, 7.024, Saarland, 10, 0.0565, 8.04, 8.03, 8.03, 8.03
2022-08-16, -3.1557, 3.7665, Saarland, 10, -0.5167, 5.6, 5.59, 5.59, 5.59
2022-08-15, -1.1198, 6.006, Saarland, 10, -0.1833, 8.14, 8.13, 8.13, 8.13
2022-08-14, -1.1198, 6.006, Saarland, 10, -0.1833, 8.14, 8.13, 8.13, 8.13
2022-08-13, -1.1198, 6.006, Saarland, 10, -0.1833, 8.14, 8.13, 8.13, 8.13
2022-08-12, -2.1377, 5.5988, Saarland, 10, -0.35, 7.43, 7.42, 7.42, 7.42
2022-08-11, -3.0539, 5.3952, Saarland, 10, -0.5, 6.72, 6.71, 6.71, 6.71
2022-08-10, -2.6467, 6.006, Saarland, 10, -0.4333, 7.02, 7.01, 7.01, 7.01
2022-08-09, -3.2575, 6.9222, Saarland, 10, -0.5333, 8.14, 8.13, 8.13, 8.13
2022-08-08, -4.4791, 7.1258, Saarland, 10, -0.7333, 8.65, 8.64, 8.64, 8.64
2022-08-07, -4.4791, 7.1258, Saarland, 10, -0.7333, 8.65, 8.64, 8.64, 8.64
2022-08-06, -4.4791, 7.1258, Saarland, 10, -0.7333, 8.65, 8.64, 8.64, 8.64
2022-08-05, -3.5629, 7.7366, Saarland, 10, -0.5833, 9.26, 9.25, 9.25, 9.25
2022-08-04, -3.6647, 8.4491, Saarland, 10, -0.6, 10.59, 10.57, 10.57, 10.57
2022-08-03, -3.6647, 8.6527, Saarland, 10, -0.6, 10.99, 10.98, 10.98, 10.98
2022-08-02, -2.6467, 10.1797, Saarland, 10, -0.4333, 11.91, 11.89, 11.89, 11.89
2022-08-01, -1.2216, 11.6048, Saarland, 10, -0.2, 13.13, 13.11, 13.11, 13.11
2022-07-31, -1.2216, 11.6048, Saarland, 10, -0.2, 13.23, 13.21, 13.21, 13.21
2022-07-30, -1.2216, 11.6048, Saarland, 10, -0.2, 13.23, 13.21, 13.21, 13.21
2022-07-29, -1.4252, 11.2995, Saarland, 10, -0.2333, 14.05, 14.02, 14.02, 14.02
2022-07-28, -0.6108, 12.1138, Saarland, 10, -0.1, 15.07, 15.04, 15.04, 15.04
2022-07-27, -1.6288, 12.3174, Saarland, 10, -0.2667, 15.98, 15.96, 15.96, 15.96
2022-07-26, 0.1018, 12.8264, Saarland, 10, 0.0056, 16.08, 16.06, 16.06, 16.06
2022-07-25, 1.527, 12.8264, Saarland, 10, 0.0847, 16.69, 16.67, 16.67, 16.67
2022-07-24, 1.527, 12.8264, Saarland, 10, 0.0847, 16.59, 16.57, 16.57, 16.57
