Week, difference, region, region_id, trend, value
2020-12, , Thüringen, 16, , 2.7
2020-13, -0.2, Thüringen, 16, -0.0149, 2.5
2020-14, 0.7, Thüringen, 16, 0.0507, 3.2
2020-15, 0.2, Thüringen, 16, 0.0145, 3.4
2020-16, -0.5, Thüringen, 16, -0.0373, 2.9
2020-17, 0.6, Thüringen, 16, 0.0435, 3.5
2020-18, -1, Thüringen, 16, -0.0746, 2.5
2020-19, -0.1, Thüringen, 16, -0.0075, 2.4
2020-20, -0.5, Thüringen, 16, -0.0373, 1.9
2020-21, 0.3, Thüringen, 16, 0.0217, 2.2
2020-22, -0.1, Thüringen, 16, -0.0075, 2.1
2020-23, -0.5, Thüringen, 16, -0.0373, 1.6
2020-24, -0.6, Thüringen, 16, -0.0448, 1
2020-25, -0.5, Thüringen, 16, -0.0373, 0.5
2020-26, , Thüringen, 16, , 0.5
2020-27, -0.4, Thüringen, 16, -0.0299, 0.1
2020-28, , Thüringen, 16, , 0.1
2020-29, 0.1, Thüringen, 16, 0.0072, 0.2
2020-30, 0.1, Thüringen, 16, 0.0072, 0.3
2020-31, , Thüringen, 16, , 0.3
2020-32, 0.3, Thüringen, 16, 0.0217, 0.6
2020-33, -0.2, Thüringen, 16, -0.0149, 0.4
2020-34, 0.3, Thüringen, 16, 0.0217, 0.7
2020-35, -0.3, Thüringen, 16, -0.0224, 0.4
2020-36, -0.1, Thüringen, 16, -0.0075, 0.3
2020-37, 0.8, Thüringen, 16, 0.058, 1.1
2020-38, 0.4, Thüringen, 16, 0.029, 1.5
2020-39, -0.5, Thüringen, 16, -0.0373, 1
2020-40, 0.2, Thüringen, 16, 0.0145, 1.2
2020-41, 0.6, Thüringen, 16, 0.0435, 1.8
2020-42, 1.1, Thüringen, 16, 0.0797, 2.9
2020-43, 0.9, Thüringen, 16, 0.0652, 3.8
2020-44, 3.2, Thüringen, 16, 0.2319, 7
2020-45, 0.3, Thüringen, 16, 0.0217, 7.3
2020-46, , Thüringen, 16, , 7.3
2020-47, 1.9, Thüringen, 16, 0.1377, 9.2
2020-48, 0.9, Thüringen, 16, 0.0652, 10.1
2020-49, 1.6, Thüringen, 16, 0.1159, 11.7
2020-50, 2.4, Thüringen, 16, 0.1739, 14.1
2020-51, 2.1, Thüringen, 16, 0.1522, 16.2
2020-52, 12.5, Thüringen, 16, 0.9058, 28.7
2020-53, 4.9, Thüringen, 16, 0.3551, 33.6
2021-01, -7.1, Thüringen, 16, -0.5299, 26.5
2021-02, -7.5, Thüringen, 16, -0.5597, 19
2021-03, 0.3, Thüringen, 16, 0.0217, 19.3
2021-04, -2.3, Thüringen, 16, -0.1716, 17
2021-05, -0.8, Thüringen, 16, -0.0597, 16.2
2021-06, -1.5, Thüringen, 16, -0.1119, 14.7
2021-07, 4.4, Thüringen, 16, 0.3188, 19.1
2021-08, -0.8, Thüringen, 16, -0.0597, 18.3
2021-09, -2.7, Thüringen, 16, -0.2015, 15.6
2021-10, -1.3, Thüringen, 16, -0.097, 14.3
2021-11, 2.4, Thüringen, 16, 0.1739, 16.7
2021-12, 1.4, Thüringen, 16, 0.1014, 18.1
2021-13, 5.7, Thüringen, 16, 0.413, 23.8
2021-14, -1.3, Thüringen, 16, -0.097, 22.5
2021-15, -0.9, Thüringen, 16, -0.0672, 21.6
2021-16, -2.4, Thüringen, 16, -0.1791, 19.2
2021-17, -0.4, Thüringen, 16, -0.0299, 18.8
2021-18, -1, Thüringen, 16, -0.0746, 17.8
2021-19, -2.2, Thüringen, 16, -0.1642, 15.6
2021-20, -3.8, Thüringen, 16, -0.2836, 11.8
2021-21, -3.7, Thüringen, 16, -0.2761, 8.1
2021-22, -2.5, Thüringen, 16, -0.1866, 5.6
2021-23, -1.5, Thüringen, 16, -0.1119, 4.1
2021-24, -1.8, Thüringen, 16, -0.1343, 2.3
2021-25, -1, Thüringen, 16, -0.0746, 1.3
2021-26, 0.3, Thüringen, 16, 0.0217, 1.6
2021-27, -1, Thüringen, 16, -0.0746, 0.6
2021-28, 0.1, Thüringen, 16, 0.0072, 0.7
2021-29, 0.2, Thüringen, 16, 0.0145, 0.9
2021-30, 0.9, Thüringen, 16, 0.0652, 1.8
2021-31, -0.2, Thüringen, 16, -0.0149, 1.6
2021-32, 0.8, Thüringen, 16, 0.058, 2.4
2021-33, 0.9, Thüringen, 16, 0.0652, 3.3
2021-34, 5.3, Thüringen, 16, 0.3841, 8.6
2021-35, 2.7, Thüringen, 16, 0.1957, 11.3
2021-36, -0.7, Thüringen, 16, -0.0522, 10.6
2021-37, -1.3, Thüringen, 16, -0.097, 9.3
2021-38, -0.1, Thüringen, 16, -0.0075, 9.2
2021-39, 0.5, Thüringen, 16, 0.0362, 9.7
2021-40, -0.2, Thüringen, 16, -0.0149, 9.5
2021-41, 3.4, Thüringen, 16, 0.2464, 12.9
2021-42, 5.8, Thüringen, 16, 0.4203, 18.7
2021-43, 11.3, Thüringen, 16, 0.8188, 30
2021-44, 2, Thüringen, 16, 0.1449, 32
2021-45, 2, Thüringen, 16, 0.1449, 34
2021-46, 4.7, Thüringen, 16, 0.3406, 38.7
2021-47, 5.5, Thüringen, 16, 0.3986, 44.2
2021-48, 1.9, Thüringen, 16, 0.1377, 46.1
2021-49, 1, Thüringen, 16, 0.0725, 47.1
2021-50, -4.4, Thüringen, 16, -0.3284, 42.7
2021-51, 0.9, Thüringen, 16, 0.0652, 43.6
2021-52, -3, Thüringen, 16, -0.2239, 40.6
2022-01, -13.4, Thüringen, 16, -1, 27.2
2022-02, -5.7, Thüringen, 16, -0.4254, 21.5
2022-03, 7.4, Thüringen, 16, 0.5362, 28.9
2022-04, 7.6, Thüringen, 16, 0.5507, 36.5
2022-05, 11.5, Thüringen, 16, 0.8333, 48
2022-06, 5, Thüringen, 16, 0.3623, 53
2022-07, 10, Thüringen, 16, 0.7246, 63
2022-08, 0.5, Thüringen, 16, 0.0362, 63.5
2022-09, -3.2, Thüringen, 16, -0.2388, 60.3
2022-10, 8.3, Thüringen, 16, 0.6014, 68.6
2022-11, 0.5, Thüringen, 16, 0.0362, 69.1
2022-12, 0.7, Thüringen, 16, 0.0507, 69.8
2022-13, -2.3, Thüringen, 16, -0.1716, 67.5
2022-14, -5.7, Thüringen, 16, -0.4254, 61.8
2022-15, 6.6, Thüringen, 16, 0.4783, 68.4
2022-16, -2.5, Thüringen, 16, -0.1866, 65.9
2022-17, -9.7, Thüringen, 16, -0.7239, 56.2
2022-18, -7.6, Thüringen, 16, -0.5672, 48.6
2022-19, -5.3, Thüringen, 16, -0.3955, 43.3
2022-20, -6.5, Thüringen, 16, -0.4851, 36.8
2022-21, -3.5, Thüringen, 16, -0.2612, 33.3
2022-22, -2, Thüringen, 16, -0.1493, 31.3
2022-23, 13.8, Thüringen, 16, 1, 45.1
2022-24, 9.5, Thüringen, 16, 0.6884, 54.6
2022-25, 6.4, Thüringen, 16, 0.4638, 61
2022-26, 4.9, Thüringen, 16, 0.3551, 65.9
2022-27, -4.8, Thüringen, 16, -0.3582, 61.1
2022-28, 2.6, Thüringen, 16, 0.1884, 63.7
2022-29, , Thüringen, 16, , 63.7
2022-30, 1.1, Thüringen, 16, 0.0797, 64.8
2022-31, -9.2, Thüringen, 16, -0.6866, 55.6
2022-32, 6.4, Thüringen, 16, 0.4638, 62
2022-33, -6.9, Thüringen, 16, -0.5149, 55.1
2022-34, 0.3, Thüringen, 16, 0.0217, 55.4
2022-35, -1.2, Thüringen, 16, -0.0896, 54.2
2022-36, 3, Thüringen, 16, 0.2174, 57.2
2022-37, -7.5, Thüringen, 16, -0.5597, 49.7
2022-38, 7.5, Thüringen, 16, 0.5435, 57.2
