Meldedatum, difference, frozen, region, region_id, trend, value, Lower, Prediction, Upper
2022-10-19, -1.2663, 11.908, Rheinland-Pfalz, 7, -0.2796, 11.91, , , 
2022-10-18, -2.4352, 11.9323, Rheinland-Pfalz, 7, -0.5376, 14.03, , , 
2022-10-17, 1.8751, 13.8561, Rheinland-Pfalz, 7, 0.2305, 17.05, , , 
2022-10-16, 2.0212, 14.3432, Rheinland-Pfalz, 7, 0.2485, 17.41, 22.1, 22.57, 23.22
2022-10-15, 2.2647, 14.7815, Rheinland-Pfalz, 7, 0.2784, 17.78, 22.26, 22.81, 23.5
2022-10-14, 2.8735, 13.3691, Rheinland-Pfalz, 7, 0.3533, 18.6, 22.47, 22.97, 23.6
2022-10-13, 4.846, 13.1256, Rheinland-Pfalz, 7, 0.5958, 19.77, 22.91, 23.47, 24.1
2022-10-12, 7.0864, 13.1743, Rheinland-Pfalz, 7, 0.8713, 20.43, 22.97, 23.49, 24
2022-10-11, 8.1335, 14.3675, Rheinland-Pfalz, 7, 1, 23.23, 25.34, 25.9, 26.36
2022-10-10, 2.4352, 11.981, Rheinland-Pfalz, 7, 0.2994, 18.65, 19.97, 20.37, 20.77
2022-10-09, 2.3621, 12.322, Rheinland-Pfalz, 7, 0.2904, 18.56, 19.83, 20.22, 20.62
2022-10-08, 2.3865, 12.5168, Rheinland-Pfalz, 7, 0.2934, 18.29, 19.52, 19.9, 20.3
2022-10-07, 1.6072, 10.4956, Rheinland-Pfalz, 7, 0.1976, 17.46, 18.52, 18.87, 19.23
2022-10-06, 0.2435, 8.2796, Rheinland-Pfalz, 7, 0.0299, 16.07, 16.9, 17.19, 17.49
2022-10-05, -0.0487, 6.0879, Rheinland-Pfalz, 7, -0.0108, 14.78, 15.44, 15.66, 15.92
2022-10-04, 1.5585, 6.234, Rheinland-Pfalz, 7, 0.1916, 11.69, 12.07, 12.21, 12.39
2022-10-03, 3.6041, 9.5459, Rheinland-Pfalz, 7, 0.4431, 14.68, 15.11, 15.27, 15.48
2022-10-02, 3.7502, 9.9599, Rheinland-Pfalz, 7, 0.4611, 14.71, 15.13, 15.28, 15.49
2022-10-01, 3.8476, 10.1303, Rheinland-Pfalz, 7, 0.4731, 14.66, 15.08, 15.23, 15.44
2022-09-30, 3.4092, 8.8884, Rheinland-Pfalz, 7, 0.4192, 14.05, 14.43, 14.56, 14.75
2022-09-29, 2.8492, 8.0361, Rheinland-Pfalz, 7, 0.3503, 12.81, 13.12, 13.24, 13.41
2022-09-28, 1.7777, 6.1366, Rheinland-Pfalz, 7, 0.2186, 11.37, 11.62, 11.72, 11.87
2022-09-27, 1.0471, 4.6755, Rheinland-Pfalz, 7, 0.1287, 9.81, 10, 10.08, 10.19
2022-09-26, 2.6787, 5.9418, Rheinland-Pfalz, 7, 0.3293, 8.77, 8.89, 8.96, 9.04
2022-09-25, 2.8004, 6.2097, Rheinland-Pfalz, 7, 0.3443, 8.57, 8.69, 8.75, 8.84
