Altersgruppe, Meldedatum, value
>=80, 2020-03-02, 
>=80, 2020-03-03, 
>=80, 2020-03-04, 
>=80, 2020-03-05, 0.1
>=80, 2020-03-06, 0.1
>=80, 2020-03-07, 0.2
>=80, 2020-03-08, 0.3
>=80, 2020-03-09, 0.3
>=80, 2020-03-10, 0.4
>=80, 2020-03-11, 0.7
>=80, 2020-03-12, 0.8
>=80, 2020-03-13, 1
>=80, 2020-03-14, 1.4
>=80, 2020-03-15, 1.7
>=80, 2020-03-16, 2.2
>=80, 2020-03-17, 2.9
>=80, 2020-03-18, 4.2
>=80, 2020-03-19, 5.5
>=80, 2020-03-20, 7.2
>=80, 2020-03-21, 9.5
>=80, 2020-03-22, 11.6
>=80, 2020-03-23, 12.9
>=80, 2020-03-24, 15.1
>=80, 2020-03-25, 18.3
>=80, 2020-03-26, 22.2
>=80, 2020-03-27, 27
>=80, 2020-03-28, 32.4
>=80, 2020-03-29, 37.2
>=80, 2020-03-30, 39.9
>=80, 2020-03-31, 44.2
>=80, 2020-04-01, 50.6
>=80, 2020-04-02, 57.5
>=80, 2020-04-03, 64.7
>=80, 2020-04-04, 71.2
>=80, 2020-04-05, 73.4
>=80, 2020-04-06, 75
>=80, 2020-04-07, 76.9
>=80, 2020-04-08, 77.6
>=80, 2020-04-09, 78.5
>=80, 2020-04-10, 76.9
>=80, 2020-04-11, 71.8
>=80, 2020-04-12, 70.9
>=80, 2020-04-13, 71.8
>=80, 2020-04-14, 68.5
>=80, 2020-04-15, 64.5
>=80, 2020-04-16, 61.1
>=80, 2020-04-17, 56.2
>=80, 2020-04-18, 54.1
>=80, 2020-04-19, 50.7
>=80, 2020-04-20, 48.3
>=80, 2020-04-21, 47.7
>=80, 2020-04-22, 45.8
>=80, 2020-04-23, 42.5
>=80, 2020-04-24, 41.4
>=80, 2020-04-25, 38.3
>=80, 2020-04-26, 36.6
>=80, 2020-04-27, 34
>=80, 2020-04-28, 30.9
>=80, 2020-04-29, 28.6
>=80, 2020-04-30, 25.6
>=80, 2020-05-01, 23
>=80, 2020-05-02, 21.2
>=80, 2020-05-03, 18.9
>=80, 2020-05-04, 17.4
>=80, 2020-05-05, 16.7
>=80, 2020-05-06, 15.1
>=80, 2020-05-07, 14.4
>=80, 2020-05-08, 13.1
>=80, 2020-05-09, 12.5
>=80, 2020-05-10, 12.5
>=80, 2020-05-11, 12.5
>=80, 2020-05-12, 12.1
>=80, 2020-05-13, 11.6
>=80, 2020-05-14, 10.9
>=80, 2020-05-15, 10.3
>=80, 2020-05-16, 9.9
>=80, 2020-05-17, 9.6
>=80, 2020-05-18, 9.3
>=80, 2020-05-19, 8.8
>=80, 2020-05-20, 8.9
>=80, 2020-05-21, 8
>=80, 2020-05-22, 7
>=80, 2020-05-23, 6.3
>=80, 2020-05-24, 6
>=80, 2020-05-25, 6.2
>=80, 2020-05-26, 6.2
>=80, 2020-05-27, 5.3
>=80, 2020-05-28, 4.9
>=80, 2020-05-29, 5.1
>=80, 2020-05-30, 5
>=80, 2020-05-31, 4.7
>=80, 2020-06-01, 4.4
>=80, 2020-06-02, 4
>=80, 2020-06-03, 3.7
>=80, 2020-06-04, 3.5
>=80, 2020-06-05, 3
>=80, 2020-06-06, 2.7
>=80, 2020-06-07, 2.7
>=80, 2020-06-08, 2.7
>=80, 2020-06-09, 2.7
>=80, 2020-06-10, 2.7
>=80, 2020-06-11, 2.7
>=80, 2020-06-12, 2.6
>=80, 2020-06-13, 2.7
>=80, 2020-06-14, 2.6
>=80, 2020-06-15, 2.6
>=80, 2020-06-16, 2.7
>=80, 2020-06-17, 2.7
>=80, 2020-06-18, 2.8
>=80, 2020-06-19, 2.8
>=80, 2020-06-20, 2.5
>=80, 2020-06-21, 2.5
>=80, 2020-06-22, 2.4
>=80, 2020-06-23, 2.3
>=80, 2020-06-24, 2.2
>=80, 2020-06-25, 1.9
>=80, 2020-06-26, 2
>=80, 2020-06-27, 2
>=80, 2020-06-28, 1.8
>=80, 2020-06-29, 1.8
>=80, 2020-06-30, 1.8
>=80, 2020-07-01, 1.8
>=80, 2020-07-02, 1.8
>=80, 2020-07-03, 1.6
>=80, 2020-07-04, 1.5
>=80, 2020-07-05, 1.7
>=80, 2020-07-06, 1.6
>=80, 2020-07-07, 1.5
>=80, 2020-07-08, 1.4
>=80, 2020-07-09, 1.4
>=80, 2020-07-10, 1.3
>=80, 2020-07-11, 1.3
>=80, 2020-07-12, 1.1
>=80, 2020-07-13, 1.2
>=80, 2020-07-14, 1.1
>=80, 2020-07-15, 1.1
>=80, 2020-07-16, 1.1
>=80, 2020-07-17, 1.2
>=80, 2020-07-18, 1.3
>=80, 2020-07-19, 1.4
>=80, 2020-07-20, 1.4
>=80, 2020-07-21, 1.5
>=80, 2020-07-22, 1.5
>=80, 2020-07-23, 1.6
>=80, 2020-07-24, 1.7
>=80, 2020-07-25, 1.7
>=80, 2020-07-26, 1.8
>=80, 2020-07-27, 1.7
>=80, 2020-07-28, 1.9
>=80, 2020-07-29, 2.1
>=80, 2020-07-30, 2.3
>=80, 2020-07-31, 2.3
>=80, 2020-08-01, 2.7
>=80, 2020-08-02, 2.6
>=80, 2020-08-03, 2.8
>=80, 2020-08-04, 2.8
>=80, 2020-08-05, 2.8
>=80, 2020-08-06, 2.6
>=80, 2020-08-07, 2.7
>=80, 2020-08-08, 2.3
>=80, 2020-08-09, 2.4
>=80, 2020-08-10, 2.2
>=80, 2020-08-11, 2.3
>=80, 2020-08-12, 2.3
>=80, 2020-08-13, 2.5
>=80, 2020-08-14, 2.4
>=80, 2020-08-15, 2.5
>=80, 2020-08-16, 2.6
>=80, 2020-08-17, 2.7
>=80, 2020-08-18, 2.4
>=80, 2020-08-19, 2.3
>=80, 2020-08-20, 2.1
>=80, 2020-08-21, 2
>=80, 2020-08-22, 2
>=80, 2020-08-23, 1.8
>=80, 2020-08-24, 1.7
>=80, 2020-08-25, 1.8
>=80, 2020-08-26, 1.8
>=80, 2020-08-27, 1.9
>=80, 2020-08-28, 1.8
>=80, 2020-08-29, 1.8
>=80, 2020-08-30, 1.8
>=80, 2020-08-31, 1.8
>=80, 2020-09-01, 1.8
>=80, 2020-09-02, 1.6
>=80, 2020-09-03, 1.7
>=80, 2020-09-04, 1.8
>=80, 2020-09-05, 1.6
>=80, 2020-09-06, 1.8
>=80, 2020-09-07, 1.8
>=80, 2020-09-08, 2
>=80, 2020-09-09, 2.5
>=80, 2020-09-10, 2.9
>=80, 2020-09-11, 3.1
>=80, 2020-09-12, 3.7
>=80, 2020-09-13, 4
>=80, 2020-09-14, 4.3
>=80, 2020-09-15, 4.3
>=80, 2020-09-16, 4.8
>=80, 2020-09-17, 5.2
>=80, 2020-09-18, 5.9
>=80, 2020-09-19, 6.1
>=80, 2020-09-20, 6.2
>=80, 2020-09-21, 6
>=80, 2020-09-22, 6.4
>=80, 2020-09-23, 6.3
>=80, 2020-09-24, 6.4
>=80, 2020-09-25, 6.3
>=80, 2020-09-26, 6.1
>=80, 2020-09-27, 6.9
>=80, 2020-09-28, 7
>=80, 2020-09-29, 7.4
>=80, 2020-09-30, 7.5
>=80, 2020-10-01, 7.8
>=80, 2020-10-02, 8
>=80, 2020-10-03, 9.9
>=80, 2020-10-04, 9.7
>=80, 2020-10-05, 9.8
>=80, 2020-10-06, 10.4
>=80, 2020-10-07, 11
>=80, 2020-10-08, 12.1
>=80, 2020-10-09, 13.5
>=80, 2020-10-10, 13.9
>=80, 2020-10-11, 15
>=80, 2020-10-12, 15.7
>=80, 2020-10-13, 17.5
>=80, 2020-10-14, 18.8
>=80, 2020-10-15, 21.4
>=80, 2020-10-16, 23.9
>=80, 2020-10-17, 27.2
>=80, 2020-10-18, 29
>=80, 2020-10-19, 30.6
>=80, 2020-10-20, 31.9
>=80, 2020-10-21, 37.1
>=80, 2020-10-22, 41.7
>=80, 2020-10-23, 49
>=80, 2020-10-24, 54.5
>=80, 2020-10-25, 59.2
>=80, 2020-10-26, 63.5
>=80, 2020-10-27, 71
>=80, 2020-10-28, 76.8
>=80, 2020-10-29, 83.8
>=80, 2020-10-30, 88.2
>=80, 2020-10-31, 92.6
>=80, 2020-11-01, 97
>=80, 2020-11-02, 99.5
>=80, 2020-11-03, 103.1
>=80, 2020-11-04, 106.8
>=80, 2020-11-05, 111.6
>=80, 2020-11-06, 115.9
>=80, 2020-11-07, 118.6
>=80, 2020-11-08, 120.9
>=80, 2020-11-09, 121.6
>=80, 2020-11-10, 121.9
>=80, 2020-11-11, 125
>=80, 2020-11-12, 129.3
>=80, 2020-11-13, 133.5
>=80, 2020-11-14, 139.6
>=80, 2020-11-15, 145.3
>=80, 2020-11-16, 146.5
>=80, 2020-11-17, 151.2
>=80, 2020-11-18, 157.6
>=80, 2020-11-19, 162.4
>=80, 2020-11-20, 170.7
>=80, 2020-11-21, 175.5
>=80, 2020-11-22, 173.7
>=80, 2020-11-23, 176.7
>=80, 2020-11-24, 179.4
>=80, 2020-11-25, 179.5
>=80, 2020-11-26, 181.6
>=80, 2020-11-27, 188.2
>=80, 2020-11-28, 195.9
>=80, 2020-11-29, 200.3
>=80, 2020-11-30, 202.4
>=80, 2020-12-01, 203.8
>=80, 2020-12-02, 209.2
>=80, 2020-12-03, 213.6
>=80, 2020-12-04, 221.4
>=80, 2020-12-05, 226.3
>=80, 2020-12-06, 229
>=80, 2020-12-07, 232.8
>=80, 2020-12-08, 240.2
>=80, 2020-12-09, 249.6
>=80, 2020-12-10, 259.8
>=80, 2020-12-11, 265.7
>=80, 2020-12-12, 276.3
