Week, difference, region, region_id, trend, value
2020-12, , Saarland, 10, , 4.6
2020-13, 1.5, Saarland, 10, 0.092, 6.1
2020-14, 5.2, Saarland, 10, 0.319, 11.3
2020-15, -1.3, Saarland, 10, -0.1161, 10
2020-16, -0.3, Saarland, 10, -0.0268, 9.7
2020-17, -7.8, Saarland, 10, -0.6964, 1.9
2020-18, 0.7, Saarland, 10, 0.0429, 2.6
2020-19, -2.1, Saarland, 10, -0.1875, 0.5
2020-20, 0.1, Saarland, 10, 0.0061, 0.6
2020-21, -0.1, Saarland, 10, -0.0089, 0.5
2020-22, -0.2, Saarland, 10, -0.0179, 0.3
2020-23, -0.3, Saarland, 10, -0.0268, 
2020-24, , Saarland, 10, , 
2020-25, , Saarland, 10, , 
2020-26, , Saarland, 10, , 
2020-27, , Saarland, 10, , 
2020-28, , Saarland, 10, , 
2020-29, , Saarland, 10, , 
2020-30, , Saarland, 10, , 
2020-31, 0.2, Saarland, 10, 0.0123, 0.2
2020-32, , Saarland, 10, , 0.2
2020-33, -0.2, Saarland, 10, -0.0179, 
2020-34, 0.2, Saarland, 10, 0.0123, 0.2
2020-35, -0.2, Saarland, 10, -0.0179, 
2020-36, , Saarland, 10, , 
2020-37, 0.4, Saarland, 10, 0.0245, 0.4
2020-38, -0.4, Saarland, 10, -0.0357, 
2020-39, 0.2, Saarland, 10, 0.0123, 0.2
2020-40, -0.2, Saarland, 10, -0.0179, 
2020-41, 0.4, Saarland, 10, 0.0245, 0.4
2020-42, 0.4, Saarland, 10, 0.0245, 0.8
2020-43, 1.8, Saarland, 10, 0.1104, 2.6
2020-44, 1.2, Saarland, 10, 0.0736, 3.8
2020-45, 2.6, Saarland, 10, 0.1595, 6.4
2020-46, -0.4, Saarland, 10, -0.0357, 6
2020-47, 2.4, Saarland, 10, 0.1472, 8.4
2020-48, -1.2, Saarland, 10, -0.1071, 7.2
2020-49, -0.1, Saarland, 10, -0.0089, 7.1
2020-50, 2.5, Saarland, 10, 0.1534, 9.6
2020-51, 0.9, Saarland, 10, 0.0552, 10.5
2020-52, 2.1, Saarland, 10, 0.1288, 12.6
2020-53, 5.4, Saarland, 10, 0.3313, 18
2021-01, -5.6, Saarland, 10, -0.5, 12.4
2021-02, -0.5, Saarland, 10, -0.0446, 11.9
2021-03, 1.1, Saarland, 10, 0.0675, 13
2021-04, -3.3, Saarland, 10, -0.2946, 9.7
2021-05, 1.1, Saarland, 10, 0.0675, 10.8
2021-06, -5.6, Saarland, 10, -0.5, 5.2
2021-07, -0.4, Saarland, 10, -0.0357, 4.8
2021-08, -0.4, Saarland, 10, -0.0357, 4.4
2021-09, 0.9, Saarland, 10, 0.0552, 5.3
2021-10, -1, Saarland, 10, -0.0893, 4.3
2021-11, , Saarland, 10, , 4.3
2021-12, -0.8, Saarland, 10, -0.0714, 3.5
2021-13, 1.6, Saarland, 10, 0.0982, 5.1
2021-14, 0.3, Saarland, 10, 0.0184, 5.4
2021-15, -0.4, Saarland, 10, -0.0357, 5
2021-16, 0.1, Saarland, 10, 0.0061, 5.1
2021-17, -0.4, Saarland, 10, -0.0357, 4.7
2021-18, -0.4, Saarland, 10, -0.0357, 4.3
2021-19, , Saarland, 10, , 4.3
2021-20, 0.2, Saarland, 10, 0.0123, 4.5
2021-21, -1.9, Saarland, 10, -0.1696, 2.6
2021-22, -0.7, Saarland, 10, -0.0625, 1.9
2021-23, -0.9, Saarland, 10, -0.0804, 1
2021-24, -0.8, Saarland, 10, -0.0714, 0.2
2021-25, 0.7, Saarland, 10, 0.0429, 0.9
2021-26, 0.2, Saarland, 10, 0.0123, 1.1
2021-27, -0.7, Saarland, 10, -0.0625, 0.4
2021-28, -0.2, Saarland, 10, -0.0179, 0.2
2021-29, 0.4, Saarland, 10, 0.0245, 0.6
2021-30, 0.5, Saarland, 10, 0.0307, 1.1
2021-31, 0.3, Saarland, 10, 0.0184, 1.4
2021-32, 1.8, Saarland, 10, 0.1104, 3.2
2021-33, -0.7, Saarland, 10, -0.0625, 2.5
2021-34, , Saarland, 10, , 2.5
2021-35, 2, Saarland, 10, 0.1227, 4.5
2021-36, -2.6, Saarland, 10, -0.2321, 1.9
2021-37, 2.2, Saarland, 10, 0.135, 4.1
2021-38, 0.1, Saarland, 10, 0.0061, 4.2
2021-39, -1.6, Saarland, 10, -0.1429, 2.6
2021-40, 1.3, Saarland, 10, 0.0798, 3.9
2021-41, -0.3, Saarland, 10, -0.0268, 3.6
2021-42, -0.4, Saarland, 10, -0.0357, 3.2
2021-43, 0.5, Saarland, 10, 0.0307, 3.7
2021-44, 2.1, Saarland, 10, 0.1288, 5.8
2021-45, 2.6, Saarland, 10, 0.1595, 8.4
2021-46, 2.8, Saarland, 10, 0.1718, 11.2
2021-47, 2, Saarland, 10, 0.1227, 13.2
2021-48, 2.3, Saarland, 10, 0.1411, 15.5
2021-49, -0.5, Saarland, 10, -0.0446, 15
2021-50, -4.2, Saarland, 10, -0.375, 10.8
2021-51, 0.8, Saarland, 10, 0.0491, 11.6
2021-52, -3.3, Saarland, 10, -0.2946, 8.3
2022-01, -0.1, Saarland, 10, -0.0089, 8.2
2022-02, 0.7, Saarland, 10, 0.0429, 8.9
2022-03, 6.9, Saarland, 10, 0.4233, 15.8
2022-04, 5.8, Saarland, 10, 0.3558, 21.6
2022-05, 7.6, Saarland, 10, 0.4663, 29.2
2022-06, 1.7, Saarland, 10, 0.1043, 30.9
2022-07, 1, Saarland, 10, 0.0613, 31.9
2022-08, -7.6, Saarland, 10, -0.6786, 24.3
2022-09, 2.1, Saarland, 10, 0.1288, 26.4
2022-10, 6.9, Saarland, 10, 0.4233, 33.3
2022-11, 4.7, Saarland, 10, 0.2883, 38
2022-12, -1.7, Saarland, 10, -0.1518, 36.3
2022-13, 3.2, Saarland, 10, 0.1963, 39.5
2022-14, -8.2, Saarland, 10, -0.7321, 31.3
2022-15, -0.2, Saarland, 10, -0.0179, 31.1
2022-16, -11.2, Saarland, 10, -1, 19.9
2022-17, 3, Saarland, 10, 0.184, 22.9
2022-18, -4.1, Saarland, 10, -0.3661, 18.8
2022-19, -1.9, Saarland, 10, -0.1696, 16.9
2022-20, -7.2, Saarland, 10, -0.6429, 9.7
2022-21, 0.1, Saarland, 10, 0.0061, 9.8
2022-22, 0.6, Saarland, 10, 0.0368, 10.4
2022-23, -0.4, Saarland, 10, -0.0357, 10
2022-24, 13.3, Saarland, 10, 0.816, 23.3
2022-25, , Saarland, 10, , 23.3
2022-26, , Saarland, 10, , 23.3
2022-27, 2.6, Saarland, 10, 0.1595, 25.9
2022-28, 9.3, Saarland, 10, 0.5706, 35.2
2022-29, -2.8, Saarland, 10, -0.25, 32.4
2022-30, -5.7, Saarland, 10, -0.5089, 26.7
2022-31, -9.6, Saarland, 10, -0.8571, 17.1
2022-32, -0.9, Saarland, 10, -0.0804, 16.2
2022-33, -1, Saarland, 10, -0.0893, 15.2
2022-34, 0.6, Saarland, 10, 0.0368, 15.8
2022-35, -1.6, Saarland, 10, -0.1429, 14.2
2022-36, -2, Saarland, 10, -0.1786, 12.2
2022-37, 5.1, Saarland, 10, 0.3129, 17.3
2022-38, 3.9, Saarland, 10, 0.2393, 21.2
2022-39, 16.3, Saarland, 10, 1, 37.5
2022-40, 10.2, Saarland, 10, 0.6258, 47.7
2022-41, 5.7, Saarland, 10, 0.3497, 53.4
