Meldedatum, difference, group, trend, value
2022-06-09, , gleichbleibend, , 35.7
2022-06-16, , gleichbleibend, , 35.7
2022-06-23, -6.3, gleichbleibend, -0.2266, 29.4
2022-06-30, 20.6, gleichbleibend, 0.464, 50
2022-07-07, 8.8, gleichbleibend, 0.1982, 58.8
2022-07-14, -8.8, gleichbleibend, -0.3165, 50
2022-07-21, 16.7, gleichbleibend, 0.3761, 66.7
2022-07-28, -27.8, gleichbleibend, -1, 38.9
2022-08-04, -16.7, gleichbleibend, -0.6007, 22.2
2022-08-11, 1.3, gleichbleibend, 0.0293, 23.5
2022-08-18, 9.8, gleichbleibend, 0.2207, 33.3
2022-08-25, -16.6, gleichbleibend, -0.5971, 16.7
2022-09-01, 44.4, gleichbleibend, 1, 61.1
2022-09-08, -22.2, gleichbleibend, -0.7986, 38.9
2022-09-15, -9.5, gleichbleibend, -0.3417, 29.4
2022-09-22, -1.6, gleichbleibend, -0.0576, 27.8
2022-09-29, 11.1, gleichbleibend, 0.25, 38.9
2022-10-06, , gleichbleibend, , 38.9
2022-10-13, 19.9, gleichbleibend, 0.4482, 58.8
2022-10-20, -1.7, gleichbleibend, -0.0612, 57.1
2022-10-27, -14.2, gleichbleibend, -0.5108, 42.9
