Meldedatum, difference, group, trend, value
2022-06-09, , steigend, , 64.3
2022-06-16, -7.2, steigend, -0.3495, 57.1
2022-06-23, 1.7, steigend, 0.0677, 58.8
2022-06-30, -15, steigend, -0.7282, 43.8
2022-07-07, -14.4, steigend, -0.699, 29.4
2022-07-14, 1.8, steigend, 0.0717, 31.2
2022-07-21, -20.1, steigend, -0.9757, 11.1
2022-07-28, -11.1, steigend, -0.5388, 
2022-08-04, , steigend, , 
2022-08-11, , steigend, , 
2022-08-18, 5.6, steigend, 0.2231, 5.6
2022-08-25, 11.1, steigend, 0.4422, 16.7
2022-09-01, , steigend, , 16.7
2022-09-08, 22.2, steigend, 0.8845, 38.9
2022-09-15, 8.2, steigend, 0.3267, 47.1
2022-09-22, 25.1, steigend, 1, 72.2
2022-09-29, -11.1, steigend, -0.5388, 61.1
2022-10-06, -11.1, steigend, -0.5388, 50
2022-10-13, -20.6, steigend, -1, 29.4
2022-10-20, -15.1, steigend, -0.733, 14.3
2022-10-27, , steigend, , 14.3
