Altersgruppe, Meldedatum, difference, trend, value
>=80, 2022-10-31, -17.9493, -0.9473, 52.42
>=80, 2022-10-30, -17.9493, -0.9473, 55.68
>=80, 2022-10-29, -18.9474, -1, 58.48
>=80, 2022-10-28, -18.2275, -0.962, 67.97
>=80, 2022-10-27, -16.5094, -0.8713, 74.84
>=80, 2022-10-26, -13.057, -0.6891, 82.19
>=80, 2022-10-25, -5.285, -0.2789, 92.33
>=80, 2022-10-24, -1.538, -0.0812, 102.12
>=80, 2022-10-23, -1.8817, -0.0993, 102.69
>=80, 2022-10-22, -1.6362, -0.0864, 104.36
>=80, 2022-10-21, 1.4562, 0.0321, 109.09
>=80, 2022-10-20, 4.7778, 0.1055, 113.65
>=80, 2022-10-19, 5.6286, 0.1242, 117.71
>=80, 2022-10-18, -2.667, -0.1408, 117.37
>=80, 2022-10-17, 14.9387, 0.3297, 117.77
>=80, 2022-10-16, 15.6913, 0.3463, 118.33
>=80, 2022-10-15, 16.5258, 0.3648, 118.05
>=80, 2022-10-14, 20.1582, 0.4449, 116.79
>=80, 2022-10-13, 26.6867, 0.589, 117.19
>=80, 2022-10-12, 34.7042, 0.766, 119.12
>=80, 2022-10-11, 45.3069, 1, 128.28
>=80, 2022-10-10, 14.9714, 0.3304, 102.17
>=80, 2022-10-09, 15.675, 0.346, 101.28
>=80, 2022-10-08, 16.0349, 0.3539, 100.33
>=80, 2022-10-07, 13.8424, 0.3055, 96.37
>=80, 2022-10-06, 9.6537, 0.2131, 89.22
>=80, 2022-10-05, 0.9326, 0.0206, 79.23
>=80, 2022-10-04, -0.4418, -0.0233, 60.9
>=80, 2022-10-03, 17.5075, 0.3864, 72.76
>=80, 2022-10-02, 18.4729, 0.4077, 71.91
>=80, 2022-10-01, 19.651, 0.4337, 71.4
>=80, 2022-09-30, 19.111, 0.4218, 66.74
>=80, 2022-09-29, 15.3968, 0.3398, 61.98
>=80, 2022-09-28, 14.8405, 0.3276, 57.17
>=80, 2022-09-27, 10.39, 0.2293, 51.03
>=80, 2022-09-26, 7.3303, 0.1618, 43.85
>=80, 2022-09-25, 7.7066, 0.1701, 42.57
>=80, 2022-09-24, 7.8211, 0.1726, 41.3
>=80, 2022-09-23, 5.9067, 0.1304, 38.43
>=80, 2022-09-22, 3.9924, 0.0881, 35.9
>=80, 2022-09-21, 2.6343, 0.0581, 33.2
>=80, 2022-09-20, 1.9798, 0.0437, 31.15
>=80, 2022-09-19, 1.3253, 0.0293, 28.76
>=80, 2022-09-18, 1.2108, 0.0267, 28.34
>=80, 2022-09-17, 1.3417, 0.0296, 28.06
>=80, 2022-09-16, 0.2782, 0.0061, 27.65
>=80, 2022-09-15, 0.3927, 0.0087, 27.06
>=80, 2022-09-14, 0.4909, 0.0108, 26.96
>=80, 2022-09-13, 0.6708, 0.0148, 26.85
>=80, 2022-09-12, 0.1309, 0.0029, 26.23
>=80, 2022-09-11, 0.18, 0.004, 26.36
>=80, 2022-09-10, -0.0327, -0.0017, 26.29
>=80, 2022-09-09, 0.2782, 0.0061, 26.16
>=80, 2022-09-08, -1.0308, -0.0544, 25.69
>=80, 2022-09-07, -2.8307, -0.1494, 24.69
>=80, 2022-09-06, -3.0106, -0.1589, 24.56
>=80, 2022-09-05, -3.8124, -0.2012, 25.08
>=80, 2022-09-04, -4.1233, -0.2176, 25.03
>=80, 2022-09-03, -4.336, -0.2288, 25.3
>=80, 2022-09-02, -4.7287, -0.2496, 25.66
>=80, 2022-09-01, -4.2378, -0.2237, 26.7
>=80, 2022-08-31, -3.4197, -0.1805, 28.54
>=80, 2022-08-30, -5.0068, -0.2642, 29.62
>=80, 2022-08-29, -3.616, -0.1908, 31.17
>=80, 2022-08-28, -3.7306, -0.1969, 31.55
>=80, 2022-08-27, -3.4524, -0.1822, 31.74
>=80, 2022-08-26, -3.7633, -0.1986, 32.77
>=80, 2022-08-25, -2.8307, -0.1494, 34.48
>=80, 2022-08-24, -1.3417, -0.0708, 35.82
>=80, 2022-08-23, 1.6853, 0.0372, 38.4
>=80, 2022-08-22, -0.8017, -0.0423, 39.24
>=80, 2022-08-21, -0.8672, -0.0458, 39.37
>=80, 2022-08-20, -1.2599, -0.0665, 39.17
>=80, 2022-08-19, -0.7854, -0.0415, 40.77
>=80, 2022-08-18, -3.0106, -0.1589, 40.61
>=80, 2022-08-17, -4.336, -0.2288, 40.32
>=80, 2022-08-16, -5.5959, -0.2953, 39.53
>=80, 2022-08-15, -5.7104, -0.3014, 41.04
>=80, 2022-08-14, -5.8086, -0.3066, 41.17
>=80, 2022-08-13, -5.9558, -0.3143, 41.63
>=80, 2022-08-12, -4.4505, -0.2349, 41.97
>=80, 2022-08-11, -3.976, -0.2098, 43.69
