Meldedatum, difference, frozen, region, region_id, trend, value, Lower, Prediction, Upper
2022-11-04, -2.8588, 3.1285, Hamburg, 2, -0.6625, 3.13, , , 
2022-11-03, -4.3151, 2.4273, Hamburg, 2, -1, 3.29, , , 
2022-11-02, -3.2364, 2.2655, Hamburg, 2, -0.75, 4.37, , , 
2022-11-01, -3.56, 2.4812, Hamburg, 2, -0.825, 5.56, 6.91, 7.3, 8.38
2022-10-31, -0.2697, 4.1533, Hamburg, 2, -0.0625, 7.17, 8.52, 8.92, 9.76
2022-10-30, 0.2697, 4.9624, Hamburg, 2, 0.0735, 7.55, 8.76, 9.17, 9.98
2022-10-29, 0.3776, 5.7176, Hamburg, 2, 0.1029, 8.25, 9.46, 9.86, 10.63
2022-10-28, 0.8091, 5.9873, Hamburg, 2, 0.2206, 8.9, 10.08, 10.47, 11.16
2022-10-27, 0.3776, 6.7424, Hamburg, 2, 0.1029, 10.19, 11.42, 11.8, 12.46
2022-10-26, 1.5103, 5.5018, Hamburg, 2, 0.4118, 10.25, 11.28, 11.59, 12.06
2022-10-25, 2.1036, 6.0412, Hamburg, 2, 0.5735, 10.63, 11.52, 11.76, 12.04
2022-10-24, 0.863, 4.423, Hamburg, 2, 0.2353, 10.68, 11.42, 11.59, 11.74
2022-10-23, 0.2158, 4.6927, Hamburg, 2, 0.0588, 10.46, 11.14, 11.29, 11.42
2022-10-22, 0.7012, 5.34, Hamburg, 2, 0.1912, 10.68, 11.32, 11.46, 11.59
2022-10-21, 1.0788, 5.1782, Hamburg, 2, 0.2941, 11.27, 11.87, 12.02, 12.15
2022-10-20, 2.7509, 6.3648, Hamburg, 2, 0.75, 12.08, 12.64, 12.79, 12.91
2022-10-19, -1.0788, 3.9915, Hamburg, 2, -0.25, 11.87, 12.36, 12.5, 12.62
2022-10-18, -0.3776, 3.9376, Hamburg, 2, -0.0875, 12.19, 12.63, 12.76, 12.86
2022-10-17, 0.917, 3.56, Hamburg, 2, 0.25, 11.49, 11.85, 11.96, 12.06
2022-10-16, 1.4024, 4.477, Hamburg, 2, 0.3824, 11.65, 12, 12.11, 12.2
2022-10-15, 1.3485, 4.6388, Hamburg, 2, 0.3676, 11, 11.31, 11.41, 11.5
2022-10-14, 1.6182, 4.0994, Hamburg, 2, 0.4412, 9.82, 10.07, 10.15, 10.22
2022-10-13, 1.4024, 3.6139, Hamburg, 2, 0.3824, 8.36, 8.54, 8.61, 8.66
2022-10-12, 2.1036, 5.0703, Hamburg, 2, 0.5735, 9.06, 9.23, 9.29, 9.34
2022-10-11, 2.4273, 4.3151, Hamburg, 2, 0.6618, 8.2, 8.32, 8.36, 8.4
2022-10-10, -0.5394, 2.643, Hamburg, 2, -0.125, 7.07, 7.16, 7.19, 7.22
2022-10-09, -0.8091, 3.0745, Hamburg, 2, -0.1875, 6.74, 6.82, 6.85, 6.88
2022-10-08, -1.0788, 3.2903, Hamburg, 2, -0.25, 6.47, 6.54, 6.57, 6.6
2022-10-07, -1.2406, 2.4812, Hamburg, 2, -0.2875, 6.36, 6.43, 6.45, 6.48
2022-10-06, -0.5933, 2.2115, Hamburg, 2, -0.1375, 6.53, 6.58, 6.6, 6.62
2022-10-05, 1.1327, 2.9667, Hamburg, 2, 0.3088, 5.77, 5.81, 5.82, 5.84
2022-10-04, 0.3776, 1.8879, Hamburg, 2, 0.1029, 5.02, 5.04, 5.05, 5.06
2022-10-03, 2.0497, 3.1824, Hamburg, 2, 0.5588, 6.1, 6.12, 6.13, 6.14
2022-10-02, 2.643, 3.8836, Hamburg, 2, 0.7206, 6.36, 6.39, 6.39, 6.4
2022-10-01, 2.9667, 4.3691, Hamburg, 2, 0.8088, 6.58, 6.6, 6.61, 6.61
2022-09-30, 2.3733, 3.7218, Hamburg, 2, 0.6471, 6.74, 6.76, 6.77, 6.77
2022-09-29, 1.2945, 2.8048, Hamburg, 2, 0.3529, 6.63, 6.65, 6.65, 6.65
2022-09-28, 0.3776, 1.8339, Hamburg, 2, 0.1029, 5.93, 5.94, 5.94, 5.95
2022-09-27, -0.3236, 1.5103, Hamburg, 2, -0.075, 6.04, 6.05, 6.05, 6.05
2022-09-26, -0.5933, 1.1327, Hamburg, 2, -0.1375, 5.29, 5.29, 5.29, 5.29
2022-09-25, -1.0788, 1.2406, Hamburg, 2, -0.25, 4.75, 4.75, 4.75, 4.75
2022-09-24, -1.1327, 1.4024, Hamburg, 2, -0.2625, 4.64, 4.64, 4.64, 4.64
2022-09-23, -1.1327, 1.3485, Hamburg, 2, -0.2625, 4.58, 4.59, 4.59, 4.59
2022-09-22, -0.7012, 1.5103, Hamburg, 2, -0.1625, 4.21, 4.21, 4.21, 4.21
2022-09-21, -0.2158, 1.4564, Hamburg, 2, -0.05, 4.1, 4.1, 4.1, 4.1
2022-09-20, 0.4315, 1.8339, Hamburg, 2, 0.1176, 4.37, 4.37, 4.37, 4.37
2022-09-19, 0.8091, 1.7261, Hamburg, 2, 0.2206, 4.53, 4.53, 4.53, 4.53
2022-09-18, 1.2406, 2.3194, Hamburg, 2, 0.3382, 5.18, 5.18, 5.18, 5.18
2022-09-17, 1.2945, 2.5351, Hamburg, 2, 0.3529, 5.02, 5.02, 5.02, 5.02
2022-09-16, 1.4024, 2.4812, Hamburg, 2, 0.3824, 5.02, 5.02, 5.02, 5.02
2022-09-15, 1.2945, 2.2115, Hamburg, 2, 0.3529, 4.69, 4.7, 4.7, 4.7
2022-09-14, 0.7552, 1.6721, Hamburg, 2, 0.2059, 5.23, 5.24, 5.24, 5.24
2022-09-13, -0.7012, 1.4024, Hamburg, 2, -0.1625, 4.26, 4.26, 4.26, 4.26
2022-09-12, -1.0788, 0.917, Hamburg, 2, -0.25, 3.88, 3.89, 3.89, 3.89
2022-09-11, -1.1327, 1.0788, Hamburg, 2, -0.2625, 3.29, 3.29, 3.29, 3.29
2022-09-10, -0.9709, 1.2406, Hamburg, 2, -0.225, 3.4, 3.4, 3.4, 3.4
2022-09-09, -0.917, 1.0788, Hamburg, 2, -0.2125, 2.91, 2.92, 2.92, 2.92
2022-09-08, 0.2158, 0.917, Hamburg, 2, 0.0588, 2.97, 2.97, 2.97, 2.97
2022-09-07, -0.2697, 0.917, Hamburg, 2, -0.0625, 2.27, 2.27, 2.27, 2.27
2022-09-06, 0.3236, 2.1036, Hamburg, 2, 0.0882, 3.67, 3.67, 3.67, 3.67
2022-09-05, 0.7552, 1.9958, Hamburg, 2, 0.2059, 3.67, 3.67, 3.67, 3.67
2022-09-04, 0.6473, 2.2115, Hamburg, 2, 0.1765, 3.61, 3.62, 3.62, 3.62
2022-09-03, 0.4315, 2.2115, Hamburg, 2, 0.1176, 3.34, 3.35, 3.35, 3.35
2022-09-02, 0.3776, 1.9958, Hamburg, 2, 0.1029, 3.67, 3.67, 3.67, 3.67
2022-09-01, -1.3485, 0.7012, Hamburg, 2, -0.3125, 3.99, 3.99, 3.99, 3.99
2022-08-31, -1.1867, 1.1867, Hamburg, 2, -0.275, 4.53, 4.53, 4.53, 4.53
2022-08-30, -0.6473, 1.78, Hamburg, 2, -0.15, 3.72, 3.72, 3.72, 3.72
2022-08-29, -0.8091, 1.2406, Hamburg, 2, -0.1875, 4.05, 4.05, 4.05, 4.05
2022-08-28, -0.917, 1.5642, Hamburg, 2, -0.2125, 4.21, 4.21, 4.21, 4.21
