Meldedatum, difference, group, quantity, trend, value
2022-06-08, , fallend, 16, , 
2022-06-15, 5.3, fallend, 19, 0.1767, 5.3
2022-06-22, 4.7, fallend, 20, 0.1567, 10
2022-06-29, -5, fallend, 20, -0.1429, 5
2022-07-06, 5, fallend, 20, 0.1667, 10
2022-07-13, 10, fallend, 20, 0.3333, 20
2022-07-20, , fallend, 20, , 20
2022-07-27, 30, fallend, 20, 1, 50
2022-08-03, 30, fallend, 20, 1, 80
2022-08-10, -10, fallend, 20, -0.2857, 70
2022-08-17, , fallend, 20, , 70
2022-08-24, -10, fallend, 20, -0.2857, 60
2022-08-31, -35, fallend, 20, -1, 25
2022-09-07, -5, fallend, 20, -0.1429, 20
2022-09-14, 5, fallend, 20, 0.1667, 25
2022-09-21, -25, fallend, 20, -0.7143, 
2022-09-28, , fallend, 20, , 
2022-10-05, 10, fallend, 20, 0.3333, 10
2022-10-12, 7.6, fallend, 17, 0.2533, 17.6
2022-10-19, 2.4, fallend, 15, 0.08, 20
2022-10-26, 30, fallend, 14, 1, 50
2022-11-02, 21.4, fallend, 7, 0.7133, 71.4
