Week, difference, trend, value
2020-W40, , , 13
2020-W41, 12, 0.055, 25
2020-W42, 2, 0.0092, 27
2020-W43, 12, 0.055, 39
2020-W44, 29, 0.133, 68
2020-W45, 3, 0.0138, 71
2020-W46, -8, -0.0408, 63
2020-W47, 3, 0.0138, 66
2020-W48, 7, 0.0321, 73
2020-W49, -1, -0.0051, 72
2020-W50, 14, 0.0642, 86
2020-W51, 8, 0.0367, 94
2020-W52, -24, -0.1224, 70
2020-W53, -3, -0.0153, 67
2021-W01, 38, 0.1743, 105
2021-W02, -38, -0.1939, 67
2021-W03, -11, -0.0561, 56
2021-W04, -11, -0.0561, 45
2021-W05, -4, -0.0204, 41
2021-W06, -7, -0.0357, 34
2021-W07, -5, -0.0255, 29
2021-W08, 2, 0.0092, 31
2021-W09, , , 31
2021-W10, 8, 0.0367, 39
2021-W11, 24, 0.1101, 63
2021-W12, 10, 0.0459, 73
2021-W13, -6, -0.0306, 67
2021-W14, 9, 0.0413, 76
2021-W15, 7, 0.0321, 83
2021-W16, -7, -0.0357, 76
2021-W17, -13, -0.0663, 63
2021-W18, -10, -0.051, 53
2021-W19, -20, -0.102, 33
2021-W20, -1, -0.0051, 32
2021-W21, -13, -0.0663, 19
2021-W22, -10, -0.051, 9
2021-W23, 3, 0.0138, 12
2021-W24, -7, -0.0357, 5
2021-W25, 3, 0.0138, 8
2021-W26, -1, -0.0051, 7
2021-W27, , , 7
2021-W28, 2, 0.0092, 9
2021-W29, -2, -0.0102, 7
2021-W30, 4, 0.0183, 11
2021-W31, -1, -0.0051, 10
2021-W32, 3, 0.0138, 13
2021-W33, 14, 0.0642, 27
2021-W34, 17, 0.078, 44
2021-W35, , , 44
2021-W36, -5, -0.0255, 39
2021-W37, -3, -0.0153, 36
2021-W38, -5, -0.0255, 31
2021-W39, 4, 0.0183, 35
2021-W40, -2, -0.0102, 33
2021-W41, 11, 0.0505, 44
2021-W42, 7, 0.0321, 51
2021-W43, 25, 0.1147, 76
2021-W44, 32, 0.1468, 108
2021-W45, 98, 0.4495, 206
2021-W46, 15, 0.0688, 221
2021-W47, 30, 0.1376, 251
2021-W48, -4, -0.0204, 247
2021-W49, -41, -0.2092, 206
2021-W50, -39, -0.199, 167
2021-W51, -67, -0.3418, 100
2021-W52, -1, -0.0051, 99
2022-W01, 93, 0.4266, 192
2022-W02, 80, 0.367, 272
2022-W03, 140, 0.6422, 412
2022-W04, 149, 0.6835, 561
2022-W05, 94, 0.4312, 655
2022-W06, 11, 0.0505, 666
2022-W07, -94, -0.4796, 572
2022-W08, -27, -0.1378, 545
2022-W09, 68, 0.3119, 613
2022-W10, 218, 1, 831
2022-W11, 123, 0.5642, 954
2022-W12, -91, -0.4643, 863
2022-W13, -108, -0.551, 755
2022-W14, -196, -1, 559
2022-W15, -173, -0.8827, 386
2022-W16, 43, 0.1972, 429
2022-W17, -51, -0.2602, 378
2022-W18, -102, -0.5204, 276
2022-W19, -14, -0.0714, 262
2022-W20, -90, -0.4592, 172
2022-W21, -77, -0.3929, 95
2022-W22, 69, 0.3165, 164
2022-W23, 81, 0.3716, 245
2022-W24, 31, 0.1422, 276
2022-W25, 181, 0.8303, 457
2022-W26, 38, 0.1743, 495
2022-W27, 28, 0.1284, 523
2022-W28, 18, 0.0826, 541
2022-W29, -65, -0.3316, 476
2022-W30, -154, -0.7857, 322
2022-W31, -43, -0.2194, 279
2022-W32, -18, -0.0918, 261
2022-W33, -24, -0.1224, 237
2022-W34, -34, -0.1735, 203
2022-W35, -30, -0.1531, 173
2022-W36, 16, 0.0734, 189
2022-W37, 35, 0.1606, 224
2022-W38, 44, 0.2018, 268
2022-W39, 151, 0.6927, 419
2022-W40, 130, 0.5963, 549
2022-W41, 8, 0.0367, 557
2022-W42, -118, -0.602, 439
2022-W43, -107, -0.5459, 332
2022-W44, -123, -0.6276, 209
2022-W45, -27, -0.1378, 182
2022-W46, -49, -0.25, 133
