Meldedatum, difference, trend, value
2020-03-06, , , 2181.8182
2020-03-07, , , 896.6667
2020-03-08, , , 1040
2020-03-09, , , 545.7627
2020-03-10, , , 378.4314
2020-03-11, , , 530.4348
2020-03-12, , , 741.4365
2020-03-13, -1469.4676, -11.9186, 712.3506
2020-03-14, -82.2854, -0.6674, 814.3813
2020-03-15, -154.9123, -1.2565, 885.0877
2020-03-16, 528.253, 4.2353, 1074.0157
2020-03-17, 728.126, 5.8378, 1106.5574
2020-03-18, 107.8411, 0.8646, 638.2759
2020-03-19, -281.4233, -2.2826, 460.0131
2020-03-20, -293.5669, -2.3811, 418.7837
2020-03-21, -477.5488, -3.8733, 336.8325
2020-03-22, -608.329, -4.9341, 276.7587
2020-03-23, -821.3665, -6.662, 252.6492
2020-03-24, -891.0513, -7.2272, 215.5061
2020-03-25, -430.1021, -3.4885, 208.1738
2020-03-26, -309.6438, -2.5115, 150.3693
2020-03-27, -299.6875, -2.4307, 119.0962
2020-03-28, -223.8709, -1.8158, 112.9616
2020-03-29, -171.2675, -1.3891, 105.4912
2020-03-30, -171.9405, -1.3946, 80.7088
2020-03-31, -156.8476, -1.2722, 58.6586
2020-04-01, -156.8754, -1.2724, 51.2984
2020-04-02, -108.0447, -0.8763, 42.3246
2020-04-03, -86.3814, -0.7006, 32.7149
2020-04-04, -92.084, -0.7469, 20.8776
2020-04-05, -83.2047, -0.6749, 22.2865
2020-04-06, -66.7849, -0.5417, 13.9239
2020-04-07, -49.6574, -0.4028, 9.0012
2020-04-08, -50.4803, -0.4094, 0.8181
2020-04-09, -47.1154, -0.3821, -4.7907
2020-04-10, -42.4944, -0.3447, -9.7796
2020-04-11, -37.4597, -0.3038, -16.5821
2020-04-12, -46.5655, -0.3777, -24.2789
2020-04-13, -39.5259, -0.3206, -25.602
2020-04-14, -38.7145, -0.314, -29.7133
2020-04-15, -34.8988, -0.2831, -34.0807
2020-04-16, -34.7344, -0.2817, -39.5252
2020-04-17, -32.9231, -0.267, -42.7027
2020-04-18, -20.8272, -0.1689, -37.4093
2020-04-19, -11.6063, -0.0941, -35.8852
2020-04-20, -10.0354, -0.0814, -35.6374
2020-04-21, -0.5865, -0.0048, -30.2998
2020-04-22, 11.9082, 0.0955, -22.1725
2020-04-23, 22.5985, 0.1812, -16.9267
2020-04-24, 26.8977, 0.2157, -15.805
2020-04-25, 13.9169, 0.1116, -23.4924
2020-04-26, 12.85, 0.103, -23.0352
2020-04-27, 9.7596, 0.0782, -25.8778
2020-04-28, -0.1723, -0.0014, -30.4721
2020-04-29, -13.2826, -0.1077, -35.4551
2020-04-30, -21.3756, -0.1734, -38.3023
2020-05-01, -20.5885, -0.167, -36.3935
2020-05-02, -15.1119, -0.1226, -38.6043
2020-05-03, -18.3308, -0.1487, -41.366
2020-05-04, -13.4767, -0.1093, -39.3545
2020-05-05, -9.9099, -0.0804, -40.382
2020-05-06, -4.7329, -0.0384, -40.188
2020-05-07, 1.9102, 0.0153, -36.392
2020-05-08, -0.2594, -0.0021, -36.653
2020-05-09, 14.241, 0.1142, -24.3634
2020-05-10, 23.1491, 0.1856, -18.2169
2020-05-11, 21.8867, 0.1755, -17.4678
2020-05-12, 28.2115, 0.2262, -12.1704
2020-05-13, 30.0543, 0.241, -10.1338
2020-05-14, 25.3491, 0.2032, -11.0429
2020-05-15, 24.2874, 0.1947, -12.3656
2020-05-16, 1.6385, 0.0131, -22.7249
2020-05-17, -6.07, -0.0492, -24.287
2020-05-18, -7.8399, -0.0636, -25.3077
2020-05-19, -16.7126, -0.1356, -28.8831
2020-05-20, -15.3966, -0.1249, -25.5303
2020-05-21, -13.4891, -0.1094, -24.532
2020-05-22, -13.8667, -0.1125, -26.2323
2020-05-23, 0.8052, 0.0065, -21.9197
2020-05-24, 3.2562, 0.0261, -21.0307
2020-05-25, 4.0963, 0.0328, -21.2114
2020-05-26, 8.8831, 0.0712, -20
2020-05-27, -2.3307, -0.0189, -27.8611
2020-05-28, -2.3348, -0.0189, -26.8668
2020-05-29, 11.3198, 0.0908, -14.9125
2020-05-30, 6.9531, 0.0557, -14.9666
2020-05-31, 5.0811, 0.0407, -15.9497
2020-06-01, 8.6636, 0.0695, -12.5479
2020-06-02, 5.1227, 0.0411, -14.8773
2020-06-03, 11.8583, 0.0951, -16.0028
2020-06-04, 4.0536, 0.0325, -22.8133
2020-06-05, -12.3541, -0.1002, -27.2666
2020-06-06, -11.2125, -0.0909, -26.1791
2020-06-07, -10.7565, -0.0872, -26.7061
2020-06-08, -15.7108, -0.1274, -28.2587
2020-06-09, -1.375, -0.0112, -16.2523
2020-06-10, 12.8688, 0.1032, -3.134
2020-06-11, 34.7929, 0.279, 11.9796
2020-06-12, 28.3324, 0.2272, 1.0658
2020-06-13, 22.6143, 0.1813, -3.5648
2020-06-14, 24.2358, 0.1943, -2.4703
2020-06-15, 26.0521, 0.2089, -2.2066
2020-06-16, 8.4209, 0.0675, -7.8313
2020-06-17, -8.9562, -0.0726, -12.0903
2020-06-18, -23.7103, -0.1923, -11.7307
2020-06-19, 19.2918, 0.1547, 20.3576
2020-06-20, 41.6349, 0.3338, 38.0701
2020-06-21, 62.2365, 0.499, 59.7662
2020-06-22, 77.1946, 0.6189, 74.988
2020-06-23, 89.8575, 0.7204, 82.0261
2020-06-24, 99.112, 0.7946, 87.0218
2020-06-25, 71.7681, 0.5754, 60.0374
2020-06-26, 4.4805, 0.0359, 24.8381
2020-06-27, -29.3079, -0.2377, 8.7622
2020-06-28, -71.1991, -0.5775, -11.4329
2020-06-29, -95.3172, -0.7731, -20.3292
2020-06-30, -108.2123, -0.8777, -26.1862
2020-07-01, -115.1678, -0.9341, -28.146
2020-07-02, -79.4526, -0.6444, -19.4152
2020-07-03, -44.2156, -0.3586, -19.3775
2020-07-04, -28.9028, -0.2344, -20.1407
2020-07-05, -5.882, -0.0477, -17.315
2020-07-06, 3.7314, 0.0299, -16.5978
2020-07-07, 9.1605, 0.0734, -17.0257
2020-07-08, 12.4343, 0.0997, -15.7117
2020-07-09, 2.8332, 0.0227, -16.582
2020-07-10, 4.4645, 0.0358, -14.9129
2020-07-11, 8.3312, 0.0668, -11.8094
2020-07-12, 7.1151, 0.057, -10.1998
2020-07-13, 6.3583, 0.051, -10.2395
2020-07-14, 12.2518, 0.0982, -4.7739
2020-07-15, 11.3509, 0.091, -4.3608
2020-07-16, 16.7995, 0.1347, 0.2175
2020-07-17, 24.5215, 0.1966, 9.6085
2020-07-18, 28.8317, 0.2312, 17.0222
2020-07-19, 25.9161, 0.2078, 15.7163
2020-07-20, 30.4787, 0.2444, 20.2392
2020-07-21, 28.3007, 0.2269, 23.5268
2020-07-22, 29.6179, 0.2375, 25.257
2020-07-23, 23.1766, 0.1858, 23.3941
2020-07-24, 16.3655, 0.1312, 25.974
2020-07-25, 12.8459, 0.103, 29.8681
2020-07-26, 13.811, 0.1107, 29.5272
2020-07-27, 10.0209, 0.0803, 30.2601
2020-07-28, 5.0243, 0.0403, 28.5511
2020-07-29, 9.3968, 0.0753, 34.6538
2020-07-30, 16.1768, 0.1297, 39.5709
2020-07-31, 7.4345, 0.0596, 33.4085
2020-08-01, -3.4344, -0.0279, 26.4337
2020-08-02, -1.8749, -0.0152, 27.6523
2020-08-03, -4.6214, -0.0375, 25.6388
2020-08-04, -0.0271, -0.0002, 28.524
2020-08-05, -11.7013, -0.0949, 22.9526
2020-08-06, -19.0316, -0.1544, 20.5393
2020-08-07, -10.8053, -0.0876, 22.6032
2020-08-08, -1.6758, -0.0136, 24.7579
2020-08-09, 0.0676, 0.0005, 27.7199
2020-08-10, 0.7521, 0.006, 26.3908
2020-08-11, -8.3774, -0.0679, 20.1465
2020-08-12, 3.2169, 0.0258, 26.1694
2020-08-13, 8.8565, 0.071, 29.3958
2020-08-14, 4.8736, 0.0391, 27.4769
2020-08-15, 6.1643, 0.0494, 30.9222
2020-08-16, 1.9898, 0.016, 29.7097
2020-08-17, 4.569, 0.0366, 30.9599
2020-08-18, 12.4037, 0.0994, 32.5502
2020-08-19, 5.5579, 0.0446, 31.7273
2020-08-20, -1.7176, -0.0139, 27.6781
2020-08-21, -6.1388, -0.0498, 21.3381
2020-08-22, -8.0121, -0.065, 22.91
2020-08-23, -4.9767, -0.0404, 24.7331
2020-08-24, -7.5592, -0.0613, 23.4006
2020-08-25, -18.1137, -0.1469, 14.4365
2020-08-26, -21.416, -0.1737, 10.3113
2020-08-27, -23.0717, -0.1871, 4.6064
2020-08-28, -16.7793, -0.1361, 4.5588
2020-08-29, -28.4996, -0.2312, -5.5896
2020-08-30, -32.0384, -0.2599, -7.3053
2020-08-31, -32.3958, -0.2628, -8.9952
2020-09-01, -22.7363, -0.1844, -8.2998
2020-09-02, -21.3754, -0.1734, -11.0641
2020-09-03, -16.8373, -0.1366, -12.2308
2020-09-04, -17.1516, -0.1391, -12.5929
2020-09-05, -4.7183, -0.0383, -10.3079
2020-09-06, 0.3098, 0.0025, -6.9956
2020-09-07, 4.9082, 0.0394, -4.087
2020-09-08, 10.7238, 0.086, 2.4239
2020-09-09, 14.3163, 0.1148, 3.2522
2020-09-10, 26.1936, 0.21, 13.9628
2020-09-11, 27.4319, 0.2199, 14.8391
2020-09-12, 26.9977, 0.2165, 16.6898
2020-09-13, 19.1011, 0.1531, 12.1055
2020-09-14, 16.7132, 0.134, 12.6262
2020-09-15, 5.9094, 0.0474, 8.3333
2020-09-16, 13.6236, 0.1092, 16.8758
2020-09-17, 1.8814, 0.0151, 15.8442
2020-09-18, 6.0054, 0.0481, 20.8445
2020-09-19, 9.5338, 0.0764, 26.2237
2020-09-20, 18.142, 0.1455, 30.2475
2020-09-21, 14.3237, 0.1148, 26.9499
2020-09-22, 22.0408, 0.1767, 30.3742
2020-09-23, 3.6654, 0.0294, 20.5412
2020-09-24, -1.1961, -0.0097, 14.6482
2020-09-25, -12.22, -0.0991, 8.6245
2020-09-26, -21.2137, -0.1721, 5.0099
2020-09-27, -26.3817, -0.214, 3.8659
2020-09-28, -20.0632, -0.1627, 6.8867
2020-09-29, -22.5845, -0.1832, 7.7897
2020-09-30, -10.8893, -0.0883, 9.6519
2020-10-01, -1.7896, -0.0145, 12.8586
2020-10-02, 8.6414, 0.0693, 17.2659
2020-10-03, 11.3782, 0.0912, 16.3881
2020-10-04, 16.7799, 0.1345, 20.6457
2020-10-05, 12.9228, 0.1036, 19.8095
2020-10-06, 14.6099, 0.1171, 22.3995
2020-10-07, 18.5951, 0.1491, 28.247
2020-10-08, 22.8067, 0.1829, 35.6653
2020-10-09, 28.0561, 0.2249, 45.322
2020-10-10, 39.9188, 0.3201, 56.3069
2020-10-11, 39.3825, 0.3158, 60.0282
2020-10-12, 43.6849, 0.3502, 63.4945
2020-10-13, 43.6682, 0.3501, 66.0677
2020-10-14, 40.8346, 0.3274, 69.0816
2020-10-15, 32.8174, 0.2631, 68.4827
2020-10-16, 22.6826, 0.1819, 68.0046
2020-10-17, 10.3367, 0.0829, 66.6436
2020-10-18, 5.8007, 0.0465, 65.829
2020-10-19, 1.905, 0.0153, 65.3994
2020-10-20, -1.5882, -0.0129, 64.4795
2020-10-21, -5.9099, -0.0479, 63.1718
2020-10-22, -3.3717, -0.0273, 65.111
2020-10-23, -6.187, -0.0502, 61.8176
2020-10-24, 1.8882, 0.0151, 68.5318
2020-10-25, 8.7719, 0.0703, 74.6008
2020-10-26, 12.8656, 0.1032, 78.265
2020-10-27, 14.3799, 0.1153, 78.8594
2020-10-28, 19.2312, 0.1542, 82.403
2020-10-29, 10.8998, 0.0874, 76.0108
2020-10-30, 12.1844, 0.0977, 74.002
2020-10-31, -6.3083, -0.0512, 62.2235
2020-11-01, -21.6832, -0.1759, 52.9176
2020-11-02, -29.9094, -0.2426, 48.3556
2020-11-03, -36.0593, -0.2925, 42.8001
2020-11-04, -48.0619, -0.3898, 34.341
2020-11-05, -47.9259, -0.3887, 28.0848
2020-11-06, -51.2822, -0.4159, 22.7197
2020-11-07, -42.0349, -0.3409, 20.1886
2020-11-08, -34.5841, -0.2805, 18.3335
2020-11-09, -32.6427, -0.2648, 15.713
2020-11-10, -30.7979, -0.2498, 12.0022
2020-11-11, -24.5185, -0.1989, 9.8226
2020-11-12, -18.5279, -0.1503, 9.5569
2020-11-13, -13.6195, -0.1105, 9.1003
2020-11-14, -14.1683, -0.1149, 6.0203
2020-11-15, -13.2229, -0.1072, 5.1106
2020-11-16, -12.5944, -0.1022, 3.1186
2020-11-17, -10.3353, -0.0838, 1.6668
2020-11-18, -9.2681, -0.0752, 0.5545
2020-11-19, -9.5457, -0.0774, 0.0113
2020-11-20, -10.1151, -0.082, -1.0148
2020-11-21, -6.3785, -0.0517, -0.3581
2020-11-22, -6.4087, -0.052, -1.2982
2020-11-23, -3.2713, -0.0265, -0.1527
2020-11-24, -1.376, -0.0112, 0.2908
2020-11-25, -0.0533, -0.0004, 0.5012
2020-11-26, -0.8214, -0.0067, -0.8102
2020-11-27, -0.783, -0.0064, -1.7978
2020-11-28, -3.1782, -0.0258, -3.5363
2020-11-29, -2.3656, -0.0192, -3.6638
2020-11-30, -3.13, -0.0254, -3.2827
2020-12-01, -3.9962, -0.0324, -3.7053
2020-12-02, -4.4884, -0.0364, -3.9872
2020-12-03, -1.9727, -0.016, -2.7828
2020-12-04, 0.456, 0.0037, -1.3418
2020-12-05, 5.4259, 0.0435, 1.8896
2020-12-06, 8.2378, 0.066, 4.574
2020-12-07, 8.7266, 0.07, 5.4439
2020-12-08, 11.2858, 0.0905, 7.5805
2020-12-09, 15.0442, 0.1206, 11.057
2020-12-10, 14.3297, 0.1149, 11.5469
2020-12-11, 17.1985, 0.1379, 15.8567
2020-12-12, 16.1983, 0.1299, 18.0879
2020-12-13, 14.5157, 0.1164, 19.0898
2020-12-14, 15.2438, 0.1222, 20.6878
2020-12-15, 10.6783, 0.0856, 18.2588
2020-12-16, 9.7503, 0.0782, 20.8073
2020-12-17, 8.4007, 0.0674, 19.9475
2020-12-18, 2.6209, 0.021, 18.4776
2020-12-19, -2.0872, -0.0169, 16.0007
2020-12-20, -5.2334, -0.0424, 13.8564
2020-12-21, -8.765, -0.0711, 11.9228
2020-12-22, -4.4905, -0.0364, 13.7682
2020-12-23, -12.3119, -0.0999, 8.4954
2020-12-24, -10.4708, -0.0849, 9.4767
2020-12-25, -16.3255, -0.1324, 2.152
2020-12-26, -25.9521, -0.2105, -9.9514
2020-12-27, -29.9311, -0.2428, -16.0747
2020-12-28, -31.8816, -0.2586, -19.9589
2020-12-29, -38.2745, -0.3104, -24.5063
2020-12-30, -36.0476, -0.2924, -27.5521
2020-12-31, -38.2347, -0.3101, -28.758
2021-01-01, -27.0199, -0.2192, -24.8679
2021-01-02, -7.3327, -0.0595, -17.2841
2021-01-03, 2.6203, 0.021, -13.4544
2021-01-04, 8.2947, 0.0665, -11.6641
2021-01-05, 14.7614, 0.1184, -9.745
2021-01-06, 17.6126, 0.1412, -9.9395
2021-01-07, 15.9089, 0.1276, -12.8491
2021-01-08, 21.1221, 0.1693, -3.7457
2021-01-09, 26.2371, 0.2104, 8.9529
2021-01-10, 29.6353, 0.2376, 16.1809
2021-01-11, 31.1837, 0.25, 19.5196
2021-01-12, 31.8749, 0.2556, 22.13
2021-01-13, 31.6706, 0.2539, 21.731
2021-01-14, 36.9591, 0.2963, 24.11
2021-01-15, 10.7608, 0.0863, 7.0151
2021-01-16, -18.4665, -0.1498, -9.5136
2021-01-17, -32.3138, -0.2621, -16.133
2021-01-18, -38.8177, -0.3148, -19.2981
2021-01-19, -42.1778, -0.3421, -20.0478
2021-01-20, -42.0371, -0.341, -20.306
2021-01-21, -45.4234, -0.3684, -21.3134
2021-01-22, -28.0921, -0.2279, -21.077
2021-01-23, -9.5952, -0.0778, -19.1088
2021-01-24, -2.1593, -0.0175, -18.2922
2021-01-25, 2.0078, 0.0161, -17.2903
2021-01-26, 1.8921, 0.0152, -18.1557
2021-01-27, 2.0487, 0.0164, -18.2573
2021-01-28, 3.8099, 0.0305, -17.5035
2021-01-29, 2.9065, 0.0233, -18.1705
2021-01-30, -0.2193, -0.0018, -19.3281
2021-01-31, -0.5302, -0.0043, -18.8224
2021-02-01, -0.9581, -0.0078, -18.2485
2021-02-02, 1.7998, 0.0144, -16.3559
2021-02-03, 0.3926, 0.0031, -17.8648
2021-02-04, -0.27, -0.0022, -17.7735
2021-02-05, 2.8611, 0.0229, -15.3094
2021-02-06, 4.4525, 0.0357, -14.8755
2021-02-07, 2.6489, 0.0212, -16.1735
2021-02-08, 1.8749, 0.015, -16.3736
2021-02-09, -2.7334, -0.0222, -19.0893
2021-02-10, -0.1296, -0.0011, -17.9943
2021-02-11, -2.6961, -0.0219, -20.4696
2021-02-12, -6.9124, -0.0561, -22.2219
2021-02-13, -7.383, -0.0599, -22.2585
2021-02-14, -7.9619, -0.0646, -24.1355
2021-02-15, -6.0773, -0.0493, -22.4509
2021-02-16, -0.3619, -0.0029, -19.4513
2021-02-17, 1.8821, 0.0151, -16.1123
2021-02-18, 9.5011, 0.0762, -10.9685
2021-02-19, 13.6526, 0.1095, -8.5693
2021-02-20, 18.3271, 0.1469, -3.9314
2021-02-21, 29.1046, 0.2333, 4.9691
2021-02-22, 25.8639, 0.2074, 3.413
2021-02-23, 22.5418, 0.1807, 3.0905
2021-02-24, 20.0312, 0.1606, 3.919
2021-02-25, 18.8591, 0.1512, 7.8906
2021-02-26, 18.6569, 0.1496, 10.0876
2021-02-27, 14.3514, 0.1151, 10.42
2021-02-28, 1.0326, 0.0083, 6.0017
2021-03-01, 4.5272, 0.0363, 7.9403
2021-03-02, 5.0026, 0.0401, 8.0931
2021-03-03, 4.025, 0.0323, 7.944
2021-03-04, -3.0247, -0.0245, 4.8659
2021-03-05, -5.4906, -0.0445, 4.597
2021-03-06, -7.5547, -0.0613, 2.8653
2021-03-07, -2.4418, -0.0198, 3.5599
2021-03-08, -4.6469, -0.0377, 3.2934
2021-03-09, -4.7882, -0.0388, 3.3049
2021-03-10, -5.7189, -0.0464, 2.2251
2021-03-11, 2.0692, 0.0166, 6.9351
2021-03-12, 6.0046, 0.0481, 10.6016
2021-03-13, 13.0726, 0.1048, 15.9379
2021-03-14, 16.0175, 0.1284, 19.5773
2021-03-15, 18.7421, 0.1503, 22.0355
2021-03-16, 20.642, 0.1655, 23.9469
2021-03-17, 29.5315, 0.2368, 31.7566
2021-03-18, 23.7889, 0.1907, 30.724
2021-03-19, 21.4272, 0.1718, 32.0287
2021-03-20, 15.4475, 0.1239, 31.3854
2021-03-21, 11.7949, 0.0946, 31.3723
2021-03-22, 7.3025, 0.0585, 29.338
2021-03-23, 5.1908, 0.0416, 29.1378
2021-03-24, -6.263, -0.0508, 25.4936
2021-03-25, -5.3305, -0.0432, 25.3935
