Meldedatum, difference, trend, value
2022-09-17, , , 72.73
2022-09-18, , , 70.74
2022-09-19, , , 77.95
2022-09-20, , , 81.51
2022-09-21, , , 81.11
2022-09-22, , , 82.09
2022-09-23, , , 78.38
2022-09-24, 0.6, 0.0677, 73.33
2022-09-25, 2.01, 0.2269, 72.75
2022-09-26, 1.65, 0.1862, 79.6
2022-09-27, 1.52, 0.1716, 83.03
2022-09-28, 3.16, 0.3567, 84.27
2022-09-29, 0.91, 0.1027, 83
2022-09-30, 0.25, 0.0282, 78.63
2022-10-01, -1.56, -0.1948, 71.77
2022-10-02, -2.84, -0.3546, 69.91
2022-10-03, -8.01, -1, 71.59
2022-10-04, -5.04, -0.6292, 77.99
2022-10-05, -3.04, -0.3795, 81.23
2022-10-06, -0.59, -0.0737, 82.41
2022-10-07, 0.71, 0.0801, 79.34
2022-10-08, 2.71, 0.3059, 74.48
2022-10-09, 3.32, 0.3747, 73.23
2022-10-10, 7.57, 0.8544, 79.16
2022-10-11, 4.13, 0.4661, 82.12
2022-10-12, 2.13, 0.2404, 83.36
2022-10-13, -0.34, -0.0424, 82.07
2022-10-14, 0.53, 0.0598, 79.87
2022-10-15, -0.87, -0.1086, 73.61
2022-10-16, 0.31, 0.035, 73.54
2022-10-17, -0.17, -0.0212, 78.99
2022-10-18, -0.08, -0.01, 82.04
2022-10-19, -0.4, -0.0499, 82.96
2022-10-20, 0.14, 0.0158, 82.21
2022-10-21, -0.63, -0.0787, 79.24
2022-10-22, 0.63, 0.0711, 74.24
2022-10-23, -0.2, -0.025, 73.34
2022-10-24, 0.34, 0.0384, 79.33
2022-10-25, -0.45, -0.0562, 81.59
2022-10-26, -0.56, -0.0699, 82.4
2022-10-27, -0.49, -0.0612, 81.72
2022-10-28, -0.77, -0.0961, 78.47
2022-10-29, -2.21, -0.2759, 72.03
2022-10-30, -1.85, -0.231, 71.49
2022-10-31, -3.09, -0.3858, 76.24
2022-11-01, -7.58, -0.9463, 74.01
2022-11-02, -2.32, -0.2896, 80.08
2022-11-03, 0.03, 0.0034, 81.75
2022-11-04, 0.32, 0.0361, 78.79
2022-11-05, 0.42, 0.0474, 72.45
2022-11-06, 1.49, 0.1682, 72.98
2022-11-07, 3.52, 0.3973, 79.76
2022-11-08, 8.86, 1, 82.87
2022-11-09, 4.95, 0.5587, 85.03
2022-11-10, 2.61, 0.2946, 84.36
2022-11-11, 1.58, 0.1783, 80.37
2022-11-12, 2, 0.2257, 74.45
2022-11-13, 1.8, 0.2032, 74.78
2022-11-14, 0.96, 0.1084, 80.72
2022-11-15, 0.95, 0.1072, 83.82
2022-11-16, -0.71, -0.0886, 84.32
2022-11-17, -0.21, -0.0262, 84.15
2022-11-18, 0.11, 0.0124, 80.48
2022-11-19, 0.68, 0.0767, 75.13
2022-11-20, 0.03, 0.0034, 74.81
2022-11-21, 0.38, 0.0429, 81.1
2022-11-22, 0.36, 0.0406, 84.18
2022-11-23, 1.66, 0.1874, 85.98
2022-11-24, 0.88, 0.0993, 85.03
2022-11-25, 1.81, 0.2043, 82.29
2022-11-26, -0.38, -0.0474, 74.75
2022-11-27, 1.08, 0.1219, 75.89
2022-11-28, 1.03, 0.1163, 82.13
2022-11-29, 0.32, 0.0361, 84.5
2022-11-30, -1.39, -0.1735, 84.59
2022-12-01, -0.62, -0.0774, 84.41
2022-12-02, -1.98, -0.2472, 80.31
2022-12-03, 0.64, 0.0722, 75.39
2022-12-04, -0.46, -0.0574, 75.43
