Meldedatum, difference, frozen, region, region_id, trend, value, Lower, Prediction, Upper
2022-12-07, 0.4289, 4.9245, Hessen, 6, 0.0703, 4.92, , , 
2022-12-06, 0.2859, 4.5115, Hessen, 6, 0.0469, 5.54, , , 
2022-12-05, -0.2542, 4.4638, Hessen, 6, -0.0648, 5.97, , , 
2022-12-04, -0.2542, 4.5115, Hessen, 6, -0.0648, 5.86, 6.77, 6.9, 7.07
2022-12-03, -0.1747, 4.718, Hessen, 6, -0.0445, 5.96, 6.82, 6.96, 7.12
2022-12-02, -0.0794, 4.6862, Hessen, 6, -0.0202, 5.97, 6.71, 6.82, 6.96
2022-12-01, -0.3495, 4.6704, Hessen, 6, -0.0891, 6.1, 6.76, 6.87, 6.98
2022-11-30, -0.5719, 4.4956, Hessen, 6, -0.1457, 6.15, 6.69, 6.79, 6.88
2022-11-29, -0.8102, 4.2256, Hessen, 6, -0.2065, 6.13, 6.6, 6.69, 6.78
2022-11-28, , 4.718, Hessen, 6, , 6.1, 6.49, 6.56, 6.64
2022-11-27, -0.1747, 4.7657, Hessen, 6, -0.0445, 6.1, 6.49, 6.56, 6.64
2022-11-26, -0.2065, 4.8928, Hessen, 6, -0.0526, 6.02, 6.4, 6.47, 6.54
2022-11-25, -0.7149, 4.7657, Hessen, 6, -0.1822, 6.02, 6.37, 6.43, 6.5
2022-11-24, , 5.0198, Hessen, 6, , 6.32, 6.65, 6.71, 6.77
2022-11-23, 0.3971, 5.0675, Hessen, 6, 0.0651, 6.31, 6.6, 6.64, 6.7
2022-11-22, -0.1271, 5.0357, Hessen, 6, -0.0324, 6.64, 6.91, 6.95, 7.01
2022-11-21, -0.4607, 4.718, Hessen, 6, -0.1174, 6.51, 6.73, 6.77, 6.81
2022-11-20, -0.3813, 4.9404, Hessen, 6, -0.0972, 6.69, 6.91, 6.94, 6.99
2022-11-19, -0.4925, 5.0993, Hessen, 6, -0.1255, 6.72, 6.94, 6.97, 7.02
