Meldedatum, difference, trend, value
2021-06-01, , , 
2021-06-02, , , 
2021-06-03, , , 
2021-06-04, , , 
2021-06-05, , , 
2021-06-06, , , 
2021-06-07, , , 
2021-06-08, , , 
2021-06-09, , , 
2021-06-10, , , 
2021-06-11, , , 
2021-06-12, , , 
2021-06-13, , , 
2021-06-14, , , 
2021-06-15, , , 
2021-06-16, , , 
2021-06-17, , , 
2021-06-18, , , 
2021-06-19, , , 
2021-06-20, , , 
2021-06-21, , , 
2021-06-22, , , 
2021-06-23, , , 
2021-06-24, , , 
2021-06-25, , , 
2021-06-26, , , 
2021-06-27, , , 
2021-06-28, , , 
2021-06-29, , , 
2021-06-30, , , 
2021-07-01, , , 
2021-07-02, , , 
2021-07-03, , , 
2021-07-04, , , 
2021-07-05, , , 
2021-07-06, , , 
2021-07-07, , , 
2021-07-08, , , 
2021-07-09, , , 
2021-07-10, , , 
2021-07-11, , , 
2021-07-12, , , 
2021-07-13, , , 
2021-07-14, , , 
2021-07-15, , , 
2021-07-16, , , 
2021-07-17, , , 
2021-07-18, , , 
2021-07-19, , , 
2021-07-20, , , 
2021-07-21, , , 
2021-07-22, , , 
2021-07-23, , , 
2021-07-24, , , 
2021-07-25, , , 
2021-07-26, , , 
2021-07-27, , , 
2021-07-28, , , 
2021-07-29, , , 
2021-07-30, , , 
2021-07-31, , , 
2021-08-01, , , 
2021-08-02, , , 
2021-08-03, , , 
2021-08-04, , , 
2021-08-05, , , 
2021-08-06, , , 
2021-08-07, , , 
2021-08-08, , , 
2021-08-09, , , 
2021-08-10, , , 
2021-08-11, , , 
2021-08-12, , , 
2021-08-13, , , 
2021-08-14, , , 
2021-08-15, , , 
2021-08-16, , , 
2021-08-17, , , 
2021-08-18, , , 
2021-08-19, , , 
2021-08-20, , , 
2021-08-21, , , 
2021-08-22, , , 
2021-08-23, , , 
2021-08-24, , , 
2021-08-25, , , 
2021-08-26, , , 
2021-08-27, , , 
2021-08-28, , , 
2021-08-29, , , 
2021-08-30, , , 
2021-08-31, 0.1, 0.0108, 0.1
2021-09-01, 0.1, 0.0108, 0.1
2021-09-02, 0.1, 0.0108, 0.1
2021-09-03, 0.1, 0.0108, 0.1
2021-09-04, 0.1, 0.0108, 0.1
2021-09-05, 0.1, 0.0108, 0.1
2021-09-06, 0.2, 0.0215, 0.2
2021-09-07, 0.1, 0.0108, 0.2
2021-09-08, 0.1, 0.0108, 0.2
2021-09-09, 0.2, 0.0215, 0.3
2021-09-10, 0.2, 0.0215, 0.3
2021-09-11, 0.2, 0.0215, 0.3
2021-09-12, 0.2, 0.0215, 0.3
2021-09-13, 0.2, 0.0215, 0.4
2021-09-14, 0.2, 0.0215, 0.4
2021-09-15, 0.3, 0.0323, 0.5
2021-09-16, 0.2, 0.0215, 0.5
2021-09-17, 0.3, 0.0323, 0.6
2021-09-18, 0.3, 0.0323, 0.6
2021-09-19, 0.3, 0.0323, 0.6
2021-09-20, 0.2, 0.0215, 0.6
2021-09-21, 0.3, 0.0323, 0.7
2021-09-22, 0.3, 0.0323, 0.8
2021-09-23, 0.3, 0.0323, 0.8
2021-09-24, 0.3, 0.0323, 0.9
2021-09-25, 0.3, 0.0323, 0.9
2021-09-26, 0.3, 0.0323, 0.9
2021-09-27, 0.3, 0.0323, 0.9
2021-09-28, 0.3, 0.0323, 1
2021-09-29, 0.3, 0.0323, 1.1
2021-09-30, 0.3, 0.0323, 1.1
2021-10-01, 0.3, 0.0323, 1.2
2021-10-02, 0.3, 0.0323, 1.2
2021-10-03, 0.3, 0.0323, 1.2
2021-10-04, 0.3, 0.0323, 1.2
2021-10-05, 0.3, 0.0323, 1.3
2021-10-06, 0.3, 0.0323, 1.4
2021-10-07, 0.4, 0.043, 1.5
2021-10-08, 0.3, 0.0323, 1.5
2021-10-09, 0.3, 0.0323, 1.5
2021-10-10, 0.3, 0.0323, 1.5
2021-10-11, 0.3, 0.0323, 1.5
2021-10-12, 0.3, 0.0323, 1.6
2021-10-13, 0.3, 0.0323, 1.7
2021-10-14, 0.3, 0.0323, 1.8
2021-10-15, 0.4, 0.043, 1.9
2021-10-16, 0.4, 0.043, 1.9
2021-10-17, 0.4, 0.043, 1.9
2021-10-18, 0.4, 0.043, 1.9
2021-10-19, 0.4, 0.043, 2
2021-10-20, 0.4, 0.043, 2.1
2021-10-21, 0.5, 0.0538, 2.3
2021-10-22, 0.4, 0.043, 2.3
2021-10-23, 0.4, 0.043, 2.3
2021-10-24, 0.4, 0.043, 2.3
2021-10-25, 0.5, 0.0538, 2.4
2021-10-26, 0.5, 0.0538, 2.5
2021-10-27, 0.6, 0.0645, 2.7
2021-10-28, 0.6, 0.0645, 2.9
2021-10-29, 0.7, 0.0753, 3
2021-10-30, 0.7, 0.0753, 3
2021-10-31, 0.7, 0.0753, 3
2021-11-01, 0.7, 0.0753, 3.1
2021-11-02, 0.8, 0.086, 3.3
2021-11-03, 0.8, 0.086, 3.5
2021-11-04, 0.9, 0.0968, 3.8
2021-11-05, 1, 0.1075, 4
2021-11-06, 1, 0.1075, 4
2021-11-07, 1, 0.1075, 4
2021-11-08, 1.1, 0.1183, 4.2
2021-11-09, 1.2, 0.129, 4.5
2021-11-10, 1.5, 0.1613, 5
2021-11-11, 1.6, 0.172, 5.4
2021-11-12, 1.7, 0.1828, 5.7
2021-11-13, 1.8, 0.1935, 5.8
2021-11-14, 1.8, 0.1935, 5.8
2021-11-15, 1.8, 0.1935, 6
2021-11-16, 2.1, 0.2258, 6.6
2021-11-17, 2.2, 0.2366, 7.2
2021-11-18, 2.4, 0.2581, 7.8
2021-11-19, 2.7, 0.2903, 8.4
2021-11-20, 2.8, 0.3011, 8.6
2021-11-21, 2.9, 0.3118, 8.7
2021-11-22, 3.1, 0.3333, 9.1
2021-11-23, 3.4, 0.3656, 10
2021-11-24, 3.9, 0.4194, 11.1
2021-11-25, 4.3, 0.4624, 12.1
2021-11-26, 4.6, 0.4946, 13
2021-11-27, 5.1, 0.5484, 13.7
2021-11-28, 5.2, 0.5591, 13.9
2021-11-29, 5.5, 0.5914, 14.6
2021-11-30, 5.7, 0.6129, 15.7
2021-12-01, 6, 0.6452, 17.1
2021-12-02, 6.4, 0.6882, 18.5
2021-12-03, 6.7, 0.7204, 19.7
2021-12-04, 7.2, 0.7742, 20.9
2021-12-05, 7.3, 0.7849, 21.2
2021-12-06, 7.5, 0.8065, 22.1
2021-12-07, 7.8, 0.8387, 23.5
2021-12-08, 8.1, 0.871, 25.2
2021-12-09, 8.2, 0.8817, 26.7
2021-12-10, 8.4, 0.9032, 28.1
2021-12-11, 8.7, 0.9355, 29.6
2021-12-12, 8.8, 0.9462, 30
2021-12-13, 8.8, 0.9462, 30.9
2021-12-14, 9, 0.9677, 32.5
2021-12-15, 9.1, 0.9785, 34.3
2021-12-16, 9.2, 0.9892, 35.9
2021-12-17, 9.3, 1, 37.4
2021-12-18, 9.1, 0.9785, 38.7
2021-12-19, 9, 0.9677, 39
2021-12-20, 9.1, 0.9785, 40
2021-12-21, 8.9, 0.957, 41.4
2021-12-22, 8.4, 0.9032, 42.7
2021-12-23, 7.6, 0.8172, 43.5
2021-12-24, 6.1, 0.6559, 43.5
2021-12-25, 4.8, 0.5161, 43.5
2021-12-26, 4.6, 0.4946, 43.6
2021-12-27, 4.3, 0.4624, 44.3
2021-12-28, 3.7, 0.3978, 45.1
2021-12-29, 3.1, 0.3333, 45.8
2021-12-30, 2.9, 0.3118, 46.4
2021-12-31, 2.9, 0.3118, 46.4
2022-01-01, 3, 0.3226, 46.5
2022-01-02, 3, 0.3226, 46.6
2022-01-03, 2.8, 0.3011, 47.1
2022-01-04, 2.8, 0.3011, 47.9
2022-01-05, 3, 0.3226, 48.8
2022-01-06, 3.1, 0.3333, 49.5
2022-01-07, 3.9, 0.4194, 50.3
2022-01-08, 4.3, 0.4624, 50.8
2022-01-09, 4.4, 0.4731, 51
2022-01-10, 4.5, 0.4839, 51.6
2022-01-11, 4.5, 0.4839, 52.4
2022-01-12, 4.6, 0.4946, 53.4
2022-01-13, 4.7, 0.5054, 54.2
2022-01-14, 4.8, 0.5161, 55.1
2022-01-15, 4.7, 0.5054, 55.5
2022-01-16, 4.7, 0.5054, 55.7
2022-01-17, 4.6, 0.4946, 56.2
2022-01-18, 4.4, 0.4731, 56.8
2022-01-19, 4.1, 0.4409, 57.5
2022-01-20, 4.1, 0.4409, 58.3
2022-01-21, 3.8, 0.4086, 58.9
2022-01-22, 3.6, 0.3871, 59.1
2022-01-23, 3.5, 0.3763, 59.2
2022-01-24, 3.4, 0.3656, 59.6
2022-01-25, 3.3, 0.3548, 60.1
2022-01-26, 3.1, 0.3333, 60.6
2022-01-27, 2.8, 0.3011, 61.1
2022-01-28, 2.6, 0.2796, 61.5
2022-01-29, 2.6, 0.2796, 61.7
2022-01-30, 2.6, 0.2796, 61.8
2022-01-31, 2.4, 0.2581, 62
2022-02-01, 2.2, 0.2366, 62.3
2022-02-02, 2, 0.2151, 62.6
2022-02-03, 1.9, 0.2043, 63
2022-02-04, 1.8, 0.1935, 63.3
2022-02-05, 1.7, 0.1828, 63.4
2022-02-06, 1.6, 0.172, 63.4
2022-02-07, 1.6, 0.172, 63.6
2022-02-08, 1.5, 0.1613, 63.8
2022-02-09, 1.5, 0.1613, 64.1
2022-02-10, 1.3, 0.1398, 64.3
2022-02-11, 1.2, 0.129, 64.5
2022-02-12, 1.2, 0.129, 64.6
2022-02-13, 1.2, 0.129, 64.6
2022-02-14, 1.1, 0.1183, 64.7
2022-02-15, 1.1, 0.1183, 64.9
2022-02-16, 1, 0.1075, 65.1
2022-02-17, 0.9, 0.0968, 65.2
2022-02-18, 0.9, 0.0968, 65.4
2022-02-19, 0.8, 0.086, 65.4
2022-02-20, 0.9, 0.0968, 65.5
2022-02-21, 0.9, 0.0968, 65.6
2022-02-22, 0.8, 0.086, 65.7
2022-02-23, 0.7, 0.0753, 65.8
2022-02-24, 0.8, 0.086, 66
2022-02-25, 0.7, 0.0753, 66.1
2022-02-26, 0.7, 0.0753, 66.1
2022-02-27, 0.6, 0.0645, 66.1
2022-02-28, 0.6, 0.0645, 66.2
2022-03-01, 0.6, 0.0645, 66.3
2022-03-02, 0.6, 0.0645, 66.4
2022-03-03, 0.5, 0.0538, 66.5
2022-03-04, 0.5, 0.0538, 66.6
2022-03-05, 0.6, 0.0645, 66.7
2022-03-06, 0.6, 0.0645, 66.7
2022-03-07, 0.5, 0.0538, 66.7
2022-03-08, 0.5, 0.0538, 66.8
2022-03-09, 0.5, 0.0538, 66.9
2022-03-10, 0.5, 0.0538, 67
2022-03-11, 0.5, 0.0538, 67.1
2022-03-12, 0.4, 0.043, 67.1
2022-03-13, 0.4, 0.043, 67.1
2022-03-14, 0.5, 0.0538, 67.2
2022-03-15, 0.4, 0.043, 67.2
2022-03-16, 0.4, 0.043, 67.3
2022-03-17, 0.4, 0.043, 67.4
2022-03-18, 0.4, 0.043, 67.5
2022-03-19, 0.4, 0.043, 67.5
2022-03-20, 0.4, 0.043, 67.5
2022-03-21, 0.3, 0.0323, 67.5
2022-03-22, 0.4, 0.043, 67.6
2022-03-23, 0.4, 0.043, 67.7
2022-03-24, 0.3, 0.0323, 67.7
2022-03-25, 0.3, 0.0323, 67.8
2022-03-26, 0.3, 0.0323, 67.8
2022-03-27, 0.3, 0.0323, 67.8
2022-03-28, 0.4, 0.043, 67.9
2022-03-29, 0.3, 0.0323, 67.9
2022-03-30, 0.3, 0.0323, 68
2022-03-31, 0.3, 0.0323, 68
2022-04-01, 0.3, 0.0323, 68.1
2022-04-02, 0.3, 0.0323, 68.1
2022-04-03, 0.3, 0.0323, 68.1
2022-04-04, 0.2, 0.0215, 68.1
2022-04-05, 0.3, 0.0323, 68.2
2022-04-06, 0.2, 0.0215, 68.2
2022-04-07, 0.3, 0.0323, 68.3
2022-04-08, 0.2, 0.0215, 68.3
2022-04-09, 0.2, 0.0215, 68.3
2022-04-10, 0.2, 0.0215, 68.3
2022-04-11, 0.3, 0.0323, 68.4
2022-04-12, 0.2, 0.0215, 68.4
2022-04-13, 0.2, 0.0215, 68.4
