Meldedatum, difference, region, region_id, trend, value
2020-03-02, , Bayern, 9, , 0.1
2020-03-03, , Bayern, 9, , 0.1
2020-03-04, , Bayern, 9, , 0.2
2020-03-05, , Bayern, 9, , 0.2
2020-03-06, , Bayern, 9, , 0.4
2020-03-07, , Bayern, 9, , 0.8
2020-03-08, , Bayern, 9, , 0.9
2020-03-09, 0.5388, Bayern, 9, 0.001, 1
2020-03-10, 0.7437, Bayern, 9, 0.0013, 1.6
2020-03-11, 1.2294, Bayern, 9, 0.0022, 2.4
2020-03-12, 1.9731, Bayern, 9, 0.0035, 3.3
2020-03-13, 2.4133, Bayern, 9, 0.0043, 4.1
2020-03-14, 3.4606, Bayern, 9, 0.0062, 5.7
2020-03-15, 4.7507, Bayern, 9, 0.0084, 7.3
2020-03-16, 5.7145, Bayern, 9, 0.0102, 8.4
2020-03-17, 5.8815, Bayern, 9, 0.0105, 9.8
2020-03-18, 5.7904, Bayern, 9, 0.0103, 12.5
2020-03-19, 7.6042, Bayern, 9, 0.0135, 17.3
2020-03-20, 11.5808, Bayern, 9, 0.0206, 22.5
2020-03-21, 12.9316, Bayern, 9, 0.023, 27.2
2020-03-22, 15.3981, Bayern, 9, 0.0274, 33.8
2020-03-23, 22.4406, Bayern, 9, 0.0399, 36.8
2020-03-24, 26.5387, Bayern, 9, 0.0472, 40.3
2020-03-25, 28.8078, Bayern, 9, 0.0512, 45.9
2020-03-26, 31.9041, Bayern, 9, 0.0567, 52.9
2020-03-27, 32.3898, Bayern, 9, 0.0576, 59.6
2020-03-28, 35.8124, Bayern, 9, 0.0637, 65.5
2020-03-29, 36.9356, Bayern, 9, 0.0657, 67.8
2020-03-30, 32.6858, Bayern, 9, 0.0581, 70.1
2020-03-31, 29.4301, Bayern, 9, 0.0523, 72.5
2020-04-01, 30.9479, Bayern, 9, 0.055, 77.3
2020-04-02, 28.0565, Bayern, 9, 0.0499, 79.6
2020-04-03, 23.9433, Bayern, 9, 0.0426, 81.5
2020-04-04, 17.3181, Bayern, 9, 0.0308, 83.1
2020-04-05, 15.9672, Bayern, 9, 0.0284, 83.7
2020-04-06, 14.032, Bayern, 9, 0.025, 82.6
2020-04-07, 14.2218, Bayern, 9, 0.0253, 83.2
2020-04-08, 7.1564, Bayern, 9, 0.0127, 80.8
2020-04-09, -0.7361, Bayern, 9, -0.0012, 77.4
2020-04-10, -4.948, Bayern, 9, -0.0081, 72.3
2020-04-11, -10.784, Bayern, 9, -0.0177, 65.3
2020-04-12, -19.3975, Bayern, 9, -0.0319, 59.8
2020-04-13, -21.1126, Bayern, 9, -0.0347, 57.6
2020-04-14, -26.9333, Bayern, 9, -0.0443, 52.5
2020-04-15, -30.1131, Bayern, 9, -0.0496, 46.7
2020-04-16, -30.5305, Bayern, 9, -0.0502, 42.3
2020-04-17, -30.3559, Bayern, 9, -0.05, 39.2
2020-04-18, -24.3986, Bayern, 9, -0.0402, 38
2020-04-19, -21.5983, Bayern, 9, -0.0355, 36.1
2020-04-20, -21.7045, Bayern, 9, -0.0357, 35.9
2020-04-21, -17.2877, Bayern, 9, -0.0284, 35.2
2020-04-22, -12.9848, Bayern, 9, -0.0214, 33.3
2020-04-23, -9.9112, Bayern, 9, -0.0163, 30.5
2020-04-24, -9.1068, Bayern, 9, -0.015, 28.3
2020-04-25, -10.2224, Bayern, 9, -0.0168, 26.4
2020-04-26, -8.8943, Bayern, 9, -0.0146, 24.8
2020-04-27, -10.9964, Bayern, 9, -0.0181, 23.2
2020-04-28, -11.596, Bayern, 9, -0.0191, 23
2020-04-29, -10.5942, Bayern, 9, -0.0174, 21.9
2020-04-30, -10.784, Bayern, 9, -0.0177, 19.7
2020-05-01, -9.805, Bayern, 9, -0.0161, 17.6
2020-05-02, -10.7764, Bayern, 9, -0.0177, 15.3
2020-05-03, -11.4442, Bayern, 9, -0.0188, 14
2020-05-04, -9.1751, Bayern, 9, -0.0151, 13.3
2020-05-05, -10.1389, Bayern, 9, -0.0167, 11.9
2020-05-06, -10.3362, Bayern, 9, -0.017, 10.8
2020-05-07, -8.2492, Bayern, 9, -0.0136, 10.5
2020-05-08, -7.3689, Bayern, 9, -0.0121, 10
2020-05-09, -4.3713, Bayern, 9, -0.0072, 9.9
2020-05-10, -3.4302, Bayern, 9, -0.0056, 9.8
2020-05-11, -3.711, Bayern, 9, -0.0061, 9.7
2020-05-12, -1.8441, Bayern, 9, -0.003, 9.9
2020-05-13, -0.941, Bayern, 9, -0.0015, 9.9
2020-05-14, -0.9942, Bayern, 9, -0.0016, 9.3
2020-05-15, -1.2142, Bayern, 9, -0.002, 9.2
2020-05-16, -1.5254, Bayern, 9, -0.0025, 8.6
2020-05-17, -1.1459, Bayern, 9, -0.0019, 8.4
2020-05-18, -1.2825, Bayern, 9, -0.0021, 8.3
2020-05-19, -2.1021, Bayern, 9, -0.0035, 7.5
2020-05-20, -2.8155, Bayern, 9, -0.0046, 6.7
2020-05-21, -2.4057, Bayern, 9, -0.004, 6.8
2020-05-22, -2.5044, Bayern, 9, -0.0041, 5.9
2020-05-23, -2.641, Bayern, 9, -0.0043, 5.8
2020-05-24, -2.6334, Bayern, 9, -0.0043, 5.6
2020-05-25, -2.049, Bayern, 9, -0.0034, 5.8
2020-05-26, -1.3888, Bayern, 9, -0.0023, 5.8
2020-05-27, -1.4571, Bayern, 9, -0.0024, 6
