Meldedatum, value
2020-01-03, 
2020-01-04, 
2020-01-05, 
2020-01-06, 
2020-01-07, 
2020-01-08, 
2020-01-09, 
2020-01-10, 
2020-01-11, 
2020-01-12, 
2020-01-13, 
2020-01-14, 
2020-01-15, 
2020-01-16, 
2020-01-17, 
2020-01-18, 
2020-01-19, 
2020-01-20, 
2020-01-21, 
2020-01-22, 
2020-01-23, 
2020-01-24, 
2020-01-25, 
2020-01-26, 
2020-01-27, 
2020-01-28, 
2020-01-29, 
2020-01-30, 
2020-01-31, 
2020-02-01, 
2020-02-02, 
2020-02-03, 
2020-02-04, 
2020-02-05, 
2020-02-06, 
2020-02-07, 
2020-02-08, 
2020-02-09, 
2020-02-10, 
2020-02-11, 
2020-02-12, 
2020-02-13, 
2020-02-14, 
2020-02-15, 
2020-02-16, 
2020-02-17, 
2020-02-18, 
2020-02-19, 
2020-02-20, 
2020-02-21, 
2020-02-22, 
2020-02-23, 
2020-02-24, 
2020-02-25, 
2020-02-26, 
2020-02-27, 
2020-02-28, 
2020-02-29, 0.1
2020-03-01, 0.1
2020-03-02, 0.2
2020-03-03, 0.2
2020-03-04, 0.3
2020-03-05, 0.5
2020-03-06, 0.7
2020-03-07, 0.9
2020-03-08, 1
2020-03-09, 1.1
2020-03-10, 1.5
2020-03-11, 2.1
2020-03-12, 2.8
2020-03-13, 3.8
2020-03-14, 5.3
2020-03-15, 6.7
2020-03-16, 7.7
2020-03-17, 9.8
2020-03-18, 12.7
2020-03-19, 16.1
2020-03-20, 19.8
2020-03-21, 22.9
2020-03-22, 25.4
2020-03-23, 26.9
2020-03-24, 29
2020-03-25, 31.2
2020-03-26, 33.7
2020-03-27, 35.9
2020-03-28, 38.2
2020-03-29, 39.8
2020-03-30, 40.8
2020-03-31, 41.3
2020-04-01, 42.7
2020-04-02, 43.4
2020-04-03, 44.2
2020-04-04, 44.4
2020-04-05, 44
2020-04-06, 43.3
2020-04-07, 42.8
2020-04-08, 41.7
2020-04-09, 40.5
2020-04-10, 38.6
2020-04-11, 35.2
2020-04-12, 33.4
2020-04-13, 32.6
2020-04-14, 30.1
2020-04-15, 26.9
2020-04-16, 24.5
2020-04-17, 22.7
2020-04-18, 22.4
2020-04-19, 21.4
2020-04-20, 20.8
2020-04-21, 21
2020-04-22, 20.6
2020-04-23, 19.6
2020-04-24, 18
2020-04-25, 16.7
2020-04-26, 15.7
2020-04-27, 14.8
2020-04-28, 14.1
2020-04-29, 13.3
2020-04-30, 12
2020-05-01, 11.2
2020-05-02, 10.1
2020-05-03, 9.3
2020-05-04, 8.9
2020-05-05, 8.5
2020-05-06, 8
2020-05-07, 7.8
2020-05-08, 7.5
2020-05-09, 7.5
2020-05-10, 7.6
2020-05-11, 7.5
