Altersgruppe, Meldedatum, value
0-4, 2022-12-14, 2.97
0-4, 2022-12-13, 3.12
0-4, 2022-12-12, 3.27
0-4, 2022-12-11, 3.22
0-4, 2022-12-10, 3.22
0-4, 2022-12-09, 3.3
0-4, 2022-12-08, 3.47
0-4, 2022-12-07, 3.35
0-4, 2022-12-06, 3.37
0-4, 2022-12-05, 3.35
0-4, 2022-12-04, 3.37
0-4, 2022-12-03, 3.45
0-4, 2022-12-02, 3.22
0-4, 2022-12-01, 3.14
0-4, 2022-11-30, 3.12
0-4, 2022-11-29, 3.02
0-4, 2022-11-28, 2.77
0-4, 2022-11-27, 2.69
0-4, 2022-11-26, 2.64
0-4, 2022-11-25, 2.94
0-4, 2022-11-24, 2.89
0-4, 2022-11-23, 3.25
0-4, 2022-11-22, 3.4
0-4, 2022-11-21, 3.55
0-4, 2022-11-20, 3.6
0-4, 2022-11-19, 3.6
0-4, 2022-11-18, 3.22
0-4, 2022-11-17, 3.4
0-4, 2022-11-16, 3.22
0-4, 2022-11-15, 3.25
0-4, 2022-11-14, 3.52
0-4, 2022-11-13, 3.45
0-4, 2022-11-12, 3.45
0-4, 2022-11-11, 3.82
0-4, 2022-11-10, 4.08
0-4, 2022-11-09, 4.2
0-4, 2022-11-08, 4.33
0-4, 2022-11-07, 4.28
0-4, 2022-11-06, 4.35
0-4, 2022-11-05, 4.38
0-4, 2022-11-04, 4.25
0-4, 2022-11-03, 4.38
0-4, 2022-11-02, 4.3
0-4, 2022-11-01, 4.4
0-4, 2022-10-31, 5.11
0-4, 2022-10-30, 5.18
0-4, 2022-10-29, 5.41
0-4, 2022-10-28, 5.71
0-4, 2022-10-27, 5.61
0-4, 2022-10-26, 6.09
0-4, 2022-10-25, 6.84
0-4, 2022-10-24, 6.77
0-4, 2022-10-23, 6.94
0-4, 2022-10-22, 6.87
0-4, 2022-10-21, 7.29
0-4, 2022-10-20, 7.57
0-4, 2022-10-19, 8
0-4, 2022-10-18, 7.7
0-4, 2022-10-17, 7.77
0-4, 2022-10-16, 7.75
0-4, 2022-10-15, 7.77
0-4, 2022-10-14, 7.37
0-4, 2022-10-13, 7.67
0-4, 2022-10-12, 7.7
0-4, 2022-10-11, 8.65
0-4, 2022-10-10, 7.12
0-4, 2022-10-09, 7.09
0-4, 2022-10-08, 7.09
0-4, 2022-10-07, 7.07
0-4, 2022-10-06, 6.44
0-4, 2022-10-05, 5.84
0-4, 2022-10-04, 4.83
0-4, 2022-10-03, 5.86
0-4, 2022-10-02, 5.79
0-4, 2022-10-01, 5.74
0-4, 2022-09-30, 5.43
0-4, 2022-09-29, 5.53
0-4, 2022-09-28, 5.46
0-4, 2022-09-27, 4.6
0-4, 2022-09-26, 4.33
0-4, 2022-09-25, 4.18
0-4, 2022-09-24, 4.08
0-4, 2022-09-23, 4.15
0-4, 2022-09-22, 3.7
0-4, 2022-09-21, 3.32
0-4, 2022-09-20, 3.3
0-4, 2022-09-19, 3.19
0-4, 2022-09-18, 3.25
0-4, 2022-09-17, 3.42
0-4, 2022-09-16, 3.65
0-4, 2022-09-15, 3.7
0-4, 2022-09-14, 4.02
0-4, 2022-09-13, 4.2
0-4, 2022-09-12, 4.28
0-4, 2022-09-11, 4.3
0-4, 2022-09-10, 4.1
0-4, 2022-09-09, 3.67
0-4, 2022-09-08, 3.8
0-4, 2022-09-07, 3.62
0-4, 2022-09-06, 3.72
0-4, 2022-09-05, 3.72
0-4, 2022-09-04, 3.72
0-4, 2022-09-03, 3.87
0-4, 2022-09-02, 4.15
0-4, 2022-09-01, 4.2
0-4, 2022-08-31, 4.1
0-4, 2022-08-30, 4.43
0-4, 2022-08-29, 4.75
0-4, 2022-08-28, 4.78
0-4, 2022-08-27, 4.78
0-4, 2022-08-26, 4.96
0-4, 2022-08-25, 5.36
0-4, 2022-08-24, 5.71
0-4, 2022-08-23, 5.71
0-4, 2022-08-22, 5.81
0-4, 2022-08-21, 5.76
0-4, 2022-08-20, 5.76
0-4, 2022-08-19, 5.84
0-4, 2022-08-18, 5.58
0-4, 2022-08-17, 5.74
0-4, 2022-08-16, 5.76
0-4, 2022-08-15, 6.06
0-4, 2022-08-14, 6.09
0-4, 2022-08-13, 6.24
0-4, 2022-08-12, 6.16
0-4, 2022-08-11, 6.26
0-4, 2022-08-10, 6.89
0-4, 2022-08-09, 7.07
0-4, 2022-08-08, 7.27
0-4, 2022-08-07, 7.47
0-4, 2022-08-06, 7.42
0-4, 2022-08-05, 7.9
0-4, 2022-08-04, 8.33
0-4, 2022-08-03, 8.02
0-4, 2022-08-02, 8
0-4, 2022-08-01, 8.48
0-4, 2022-07-31, 8.6
0-4, 2022-07-30, 8.65
0-4, 2022-07-29, 8.7
0-4, 2022-07-28, 9.01
0-4, 2022-07-27, 8.96
0-4, 2022-07-26, 9.86
0-4, 2022-07-25, 9.56
0-4, 2022-07-24, 9.46
0-4, 2022-07-23, 9.46
0-4, 2022-07-22, 9.26
0-4, 2022-07-21, 9.23
0-4, 2022-07-20, 9.36
0-4, 2022-07-19, 8.83
0-4, 2022-07-18, 8.85
0-4, 2022-07-17, 8.88
0-4, 2022-07-16, 8.85
0-4, 2022-07-15, 8.88
0-4, 2022-07-14, 8.58
0-4, 2022-07-13, 8.18
0-4, 2022-07-12, 7.85
0-4, 2022-07-11, 7.45
0-4, 2022-07-10, 7.35
0-4, 2022-07-09, 7.14
0-4, 2022-07-08, 7.17
0-4, 2022-07-07, 6.87
0-4, 2022-07-06, 6.82
0-4, 2022-07-05, 6.92
0-4, 2022-07-04, 7.35
0-4, 2022-07-03, 7.32
0-4, 2022-07-02, 7.57
0-4, 2022-07-01, 7.6
0-4, 2022-06-30, 7.62
0-4, 2022-06-29, 7.55
0-4, 2022-06-28, 7.24
0-4, 2022-06-27, 6.67
0-4, 2022-06-26, 6.67
0-4, 2022-06-25, 6.64
0-4, 2022-06-24, 6.29
0-4, 2022-06-23, 5.69
0-4, 2022-06-22, 5.31
0-4, 2022-06-21, 5.28
0-4, 2022-06-20, 5.08
0-4, 2022-06-19, 4.93
0-4, 2022-06-18, 4.7
0-4, 2022-06-17, 4.33
0-4, 2022-06-16, 4.5
0-4, 2022-06-15, 4.6
0-4, 2022-06-14, 4.5
0-4, 2022-06-13, 3.4
0-4, 2022-06-12, 3.22
0-4, 2022-06-11, 3.25
0-4, 2022-06-10, 2.97
0-4, 2022-06-09, 2.82
0-4, 2022-06-08, 2.59
0-4, 2022-06-07, 2.19
0-4, 2022-06-06, 2.41
0-4, 2022-06-05, 2.52
0-4, 2022-06-04, 2.44
0-4, 2022-06-03, 2.59
0-4, 2022-06-02, 2.29
0-4, 2022-06-01, 2.24
0-4, 2022-05-31, 2.09
0-4, 2022-05-30, 2.62
0-4, 2022-05-29, 2.59
0-4, 2022-05-28, 2.64
0-4, 2022-05-27, 2.64
0-4, 2022-05-26, 2.94
0-4, 2022-05-25, 3.02
0-4, 2022-05-24, 3.25
0-4, 2022-05-23, 2.97
0-4, 2022-05-22, 3.02
0-4, 2022-05-21, 2.97
0-4, 2022-05-20, 3.25
0-4, 2022-05-19, 3.19
0-4, 2022-05-18, 3.32
0-4, 2022-05-17, 3.7
0-4, 2022-05-16, 3.95
0-4, 2022-05-15, 3.9
0-4, 2022-05-14, 3.97
0-4, 2022-05-13, 3.82
0-4, 2022-05-12, 3.9
0-4, 2022-05-11, 4.18
0-4, 2022-05-10, 3.97
0-4, 2022-05-09, 3.92
0-4, 2022-05-08, 4.18
0-4, 2022-05-07, 4.38
0-4, 2022-05-06, 4.28
0-4, 2022-05-05, 4.55
0-4, 2022-05-04, 4.48
0-4, 2022-05-03, 4.5
0-4, 2022-05-02, 4.83
0-4, 2022-05-01, 4.8
0-4, 2022-04-30, 4.98
0-4, 2022-04-29, 5.48
0-4, 2022-04-28, 5.66
0-4, 2022-04-27, 6.01
0-4, 2022-04-26, 7.14
0-4, 2022-04-25, 6.21
0-4, 2022-04-24, 6.21
0-4, 2022-04-23, 6.26
0-4, 2022-04-22, 5.81
0-4, 2022-04-21, 5.91
0-4, 2022-04-20, 6.19
0-4, 2022-04-19, 5.58
0-4, 2022-04-18, 7.27
0-4, 2022-04-17, 7.55
0-4, 2022-04-16, 7.57
0-4, 2022-04-15, 8.35
0-4, 2022-04-14, 8.6
0-4, 2022-04-13, 8.3
0-4, 2022-04-12, 8.9
0-4, 2022-04-11, 8.3
0-4, 2022-04-10, 8.25
0-4, 2022-04-09, 8.4
0-4, 2022-04-08, 8.5
0-4, 2022-04-07, 8.96
0-4, 2022-04-06, 9.41
0-4, 2022-04-05, 9.53
0-4, 2022-04-04, 10.36
0-4, 2022-04-03, 10.26
0-4, 2022-04-02, 10.09
0-4, 2022-04-01, 10.36
0-4, 2022-03-31, 10.29
0-4, 2022-03-30, 10.54
0-4, 2022-03-29, 10.69
0-4, 2022-03-28, 10.44
0-4, 2022-03-27, 10.74
0-4, 2022-03-26, 11.29
0-4, 2022-03-25, 11.29
0-4, 2022-03-24, 11.32
0-4, 2022-03-23, 11.14
0-4, 2022-03-22, 11.12
0-4, 2022-03-21, 11.72
0-4, 2022-03-20, 11.75
0-4, 2022-03-19, 12.05
0-4, 2022-03-18, 12.15
0-4, 2022-03-17, 11.97
0-4, 2022-03-16, 12.1
0-4, 2022-03-15, 12.07
0-4, 2022-03-14, 11.47
0-4, 2022-03-13, 11.52
0-4, 2022-03-12, 10.87
0-4, 2022-03-11, 10.41
0-4, 2022-03-10, 10.14
0-4, 2022-03-09, 10.57
0-4, 2022-03-08, 10.26
0-4, 2022-03-07, 9.94
0-4, 2022-03-06, 9.74
0-4, 2022-03-05, 9.68
0-4, 2022-03-04, 9.71
0-4, 2022-03-03, 10.16
0-4, 2022-03-02, 9.71
0-4, 2022-03-01, 9.71
0-4, 2022-02-28, 9.81
0-4, 2022-02-27, 10.04
0-4, 2022-02-26, 10.11
0-4, 2022-02-25, 10.51
0-4, 2022-02-24, 10.31
0-4, 2022-02-23, 10.19
0-4, 2022-02-22, 10.59
0-4, 2022-02-21, 10.77
0-4, 2022-02-20, 10.64
0-4, 2022-02-19, 10.64
0-4, 2022-02-18, 10.54
0-4, 2022-02-17, 10.57
0-4, 2022-02-16, 10.99
0-4, 2022-02-15, 10.59
0-4, 2022-02-14, 10.26
0-4, 2022-02-13, 10.39
0-4, 2022-02-12, 10.29
0-4, 2022-02-11, 10.46
0-4, 2022-02-10, 10.74
0-4, 2022-02-09, 9.99
0-4, 2022-02-08, 10.04
0-4, 2022-02-07, 10.59
0-4, 2022-02-06, 10.41
0-4, 2022-02-05, 10.62
0-4, 2022-02-04, 10.51
0-4, 2022-02-03, 10.09
0-4, 2022-02-02, 10.19
0-4, 2022-02-01, 10.31
0-4, 2022-01-31, 10.06
0-4, 2022-01-30, 10.29
0-4, 2022-01-29, 9.96
0-4, 2022-01-28, 9.94
0-4, 2022-01-27, 9.89
0-4, 2022-01-26, 9.84
0-4, 2022-01-25, 8.9
0-4, 2022-01-24, 8.4
0-4, 2022-01-23, 8.07
0-4, 2022-01-22, 8.2
0-4, 2022-01-21, 7.5
0-4, 2022-01-20, 7.12
0-4, 2022-01-19, 6.64
0-4, 2022-01-18, 6.49
0-4, 2022-01-17, 6.14
0-4, 2022-01-16, 5.84
0-4, 2022-01-15, 5.71
0-4, 2022-01-14, 5.33
0-4, 2022-01-13, 5.06
0-4, 2022-01-12, 4.96
0-4, 2022-01-11, 4.7
0-4, 2022-01-10, 4.35
0-4, 2022-01-09, 4.6
0-4, 2022-01-08, 4.28
0-4, 2022-01-07, 3.9
0-4, 2022-01-06, 3.7
0-4, 2022-01-05, 3.27
0-4, 2022-01-04, 3.17
0-4, 2022-01-03, 2.89
0-4, 2022-01-02, 2.57
0-4, 2022-01-01, 2.52
0-4, 2021-12-31, 2.57
0-4, 2021-12-30, 2.39
0-4, 2021-12-29, 2.49
0-4, 2021-12-28, 2.52
0-4, 2021-12-27, 2.67
0-4, 2021-12-26, 2.69
0-4, 2021-12-25, 2.74
0-4, 2021-12-24, 2.84
0-4, 2021-12-23, 3.14
0-4, 2021-12-22, 3.19
0-4, 2021-12-21, 3.4
0-4, 2021-12-20, 3.37
0-4, 2021-12-19, 3.6
0-4, 2021-12-18, 3.7
0-4, 2021-12-17, 3.97
0-4, 2021-12-16, 3.95
0-4, 2021-12-15, 3.97
0-4, 2021-12-14, 3.72
0-4, 2021-12-13, 3.7
0-4, 2021-12-12, 3.62
0-4, 2021-12-11, 3.8
0-4, 2021-12-10, 3.72
0-4, 2021-12-09, 3.57
0-4, 2021-12-08, 3.87
0-4, 2021-12-07, 3.95
0-4, 2021-12-06, 4.1
0-4, 2021-12-05, 4.2
0-4, 2021-12-04, 3.8
0-4, 2021-12-03, 3.85
0-4, 2021-12-02, 3.92
0-4, 2021-12-01, 3.67
0-4, 2021-11-30, 3.97
0-4, 2021-11-29, 3.77
0-4, 2021-11-28, 3.62
0-4, 2021-11-27, 3.82
0-4, 2021-11-26, 3.65
0-4, 2021-11-25, 3.7
0-4, 2021-11-24, 3.75
0-4, 2021-11-23, 3.27
0-4, 2021-11-22, 3.6
0-4, 2021-11-21, 3.45
0-4, 2021-11-20, 3.35
0-4, 2021-11-19, 3.5
0-4, 2021-11-18, 3.4
0-4, 2021-11-17, 3.12
0-4, 2021-11-16, 3.12
0-4, 2021-11-15, 2.69
0-4, 2021-11-14, 2.89
0-4, 2021-11-13, 2.87
0-4, 2021-11-12, 2.64
0-4, 2021-11-11, 2.74
0-4, 2021-11-10, 2.69
0-4, 2021-11-09, 2.52
0-4, 2021-11-08, 2.39
0-4, 2021-11-07, 2.21
0-4, 2021-11-06, 2.21
0-4, 2021-11-05, 2.24
0-4, 2021-11-04, 1.84
0-4, 2021-11-03, 1.94
0-4, 2021-11-02, 2.06
0-4, 2021-11-01, 2.21
0-4, 2021-10-31, 2.14
0-4, 2021-10-30, 2.24
0-4, 2021-10-29, 2.21
0-4, 2021-10-28, 2.31
0-4, 2021-10-27, 2.34
0-4, 2021-10-26, 2.34
0-4, 2021-10-25, 2.11
0-4, 2021-10-24, 2.16
0-4, 2021-10-23, 1.89
0-4, 2021-10-22, 1.66
0-4, 2021-10-21, 1.61
0-4, 2021-10-20, 1.36
0-4, 2021-10-19, 1.18
0-4, 2021-10-18, 1.18
0-4, 2021-10-17, 1.16
0-4, 2021-10-16, 1.33
0-4, 2021-10-15, 1.36
0-4, 2021-10-14, 1.31
0-4, 2021-10-13, 1.31
0-4, 2021-10-12, 1.13
0-4, 2021-10-11, 1.26
0-4, 2021-10-10, 1.23
0-4, 2021-10-09, 1.08
0-4, 2021-10-08, 1.21
0-4, 2021-10-07, 1.38
0-4, 2021-10-06, 1.56
0-4, 2021-10-05, 1.81
0-4, 2021-10-04, 1.69
0-4, 2021-10-03, 1.69
0-4, 2021-10-02, 1.69
0-4, 2021-10-01, 1.74
0-4, 2021-09-30, 1.81
0-4, 2021-09-29, 1.81
0-4, 2021-09-28, 1.69
0-4, 2021-09-27, 1.79
0-4, 2021-09-26, 1.81
0-4, 2021-09-25, 1.86
0-4, 2021-09-24, 1.84
0-4, 2021-09-23, 1.81
0-4, 2021-09-22, 1.76
0-4, 2021-09-21, 1.89
0-4, 2021-09-20, 1.99
0-4, 2021-09-19, 1.99
0-4, 2021-09-18, 2.11
0-4, 2021-09-17, 2.01
0-4, 2021-09-16, 2.01
0-4, 2021-09-15, 2.21
0-4, 2021-09-14, 2.26
0-4, 2021-09-13, 2.41
0-4, 2021-09-12, 2.52
0-4, 2021-09-11, 2.49
0-4, 2021-09-10, 2.52
0-4, 2021-09-09, 2.44
0-4, 2021-09-08, 2.31
0-4, 2021-09-07, 2.29
0-4, 2021-09-06, 2.04
0-4, 2021-09-05, 1.94
0-4, 2021-09-04, 1.86
0-4, 2021-09-03, 1.91
0-4, 2021-09-02, 1.96
0-4, 2021-09-01, 2.11
0-4, 2021-08-31, 2.24
0-4, 2021-08-30, 2.16
0-4, 2021-08-29, 2.16
0-4, 2021-08-28, 2.16
0-4, 2021-08-27, 2.16
0-4, 2021-08-26, 2.26
0-4, 2021-08-25, 2.06
0-4, 2021-08-24, 1.84
0-4, 2021-08-23, 1.89
0-4, 2021-08-22, 1.89
0-4, 2021-08-21, 1.96
0-4, 2021-08-20, 1.81
0-4, 2021-08-19, 1.66
0-4, 2021-08-18, 1.64
0-4, 2021-08-17, 1.56
0-4, 2021-08-16, 1.43
0-4, 2021-08-15, 1.33
0-4, 2021-08-14, 1.13
0-4, 2021-08-13, 1.16
0-4, 2021-08-12, 0.91
0-4, 2021-08-11, 0.7
0-4, 2021-08-10, 0.63
0-4, 2021-08-09, 0.55
0-4, 2021-08-08, 0.53
0-4, 2021-08-07, 0.6
0-4, 2021-08-06, 0.55
0-4, 2021-08-05, 0.58
0-4, 2021-08-04, 0.6
0-4, 2021-08-03, 0.63
0-4, 2021-08-02, 0.5
0-4, 2021-08-01, 0.5
0-4, 2021-07-31, 0.5
0-4, 2021-07-30, 0.5
0-4, 2021-07-29, 0.43
0-4, 2021-07-28, 0.4
0-4, 2021-07-27, 0.35
0-4, 2021-07-26, 0.4
0-4, 2021-07-25, 0.45
0-4, 2021-07-24, 0.35
0-4, 2021-07-23, 0.3
0-4, 2021-07-22, 0.33
0-4, 2021-07-21, 0.28
0-4, 2021-07-20, 0.28
0-4, 2021-07-19, 0.28
0-4, 2021-07-18, 0.23
0-4, 2021-07-17, 0.2
0-4, 2021-07-16, 0.23
0-4, 2021-07-15, 0.2
0-4, 2021-07-14, 0.2
0-4, 2021-07-13, 0.2
0-4, 2021-07-12, 0.15
0-4, 2021-07-11, 0.13
0-4, 2021-07-10, 0.13
0-4, 2021-07-09, 0.05
0-4, 2021-07-08, 0.1
0-4, 2021-07-07, 0.18
0-4, 2021-07-06, 0.13
0-4, 2021-07-05, 0.15
0-4, 2021-07-04, 0.18
0-4, 2021-07-03, 0.2
0-4, 2021-07-02, 0.23
0-4, 2021-07-01, 0.2
0-4, 2021-06-30, 0.15
0-4, 2021-06-29, 0.25
0-4, 2021-06-28, 0.3
0-4, 2021-06-27, 0.3
0-4, 2021-06-26, 0.35
0-4, 2021-06-25, 0.4
0-4, 2021-06-24, 0.43
0-4, 2021-06-23, 0.43
0-4, 2021-06-22, 0.38
0-4, 2021-06-21, 0.4
0-4, 2021-06-20, 0.43
0-4, 2021-06-19, 0.38
0-4, 2021-06-18, 0.35
0-4, 2021-06-17, 0.43
0-4, 2021-06-16, 0.43
0-4, 2021-06-15, 0.45
0-4, 2021-06-14, 0.48
0-4, 2021-06-13, 0.45
0-4, 2021-06-12, 0.45
0-4, 2021-06-11, 0.53
0-4, 2021-06-10, 0.4
0-4, 2021-06-09, 0.4
0-4, 2021-06-08, 0.4
0-4, 2021-06-07, 0.33
0-4, 2021-06-06, 0.45
0-4, 2021-06-05, 0.5
0-4, 2021-06-04, 0.45
