Meldedatum, difference, frozen, region, region_id, trend, value, Lower, Prediction, Upper
2022-12-21, 4.0964, 17.9374, Mecklenburg-Vorpommern, 13, 0.3793, 17.94, , , 
2022-12-20, 1.4275, 17.4409, Mecklenburg-Vorpommern, 13, 0.1322, 20.05, , , 
2022-12-19, 0.8689, 15.5788, Mecklenburg-Vorpommern, 13, 0.0805, 19.68, , , 
2022-12-18, 0.9931, 16.5098, Mecklenburg-Vorpommern, 13, 0.092, 20.23, 23.19, 23.59, 25.32
2022-12-17, 1.3034, 17.1926, Mecklenburg-Vorpommern, 13, 0.1207, 20.05, 22.69, 23.08, 23.5
2022-12-16, 0.8689, 16.696, Mecklenburg-Vorpommern, 13, 0.0805, 19.36, 21.55, 21.9, 22.35
2022-12-15, 0.8689, 14.8961, Mecklenburg-Vorpommern, 13, 0.0805, 19.68, 21.63, 21.95, 22.37
2022-12-14, -0.931, 13.841, Mecklenburg-Vorpommern, 13, -0.092, 19.12, 20.75, 21.04, 21.37
2022-12-13, 2.9792, 16.0133, Mecklenburg-Vorpommern, 13, 0.2759, 20.11, 21.47, 21.73, 22.05
2022-12-12, 1.6137, 14.7099, Mecklenburg-Vorpommern, 13, 0.1494, 20.3, 21.41, 21.64, 21.92
2022-12-11, 1.7379, 15.5168, Mecklenburg-Vorpommern, 13, 0.1609, 20.17, 21.25, 21.47, 21.73
2022-12-10, 1.6137, 15.8892, Mecklenburg-Vorpommern, 13, 0.1494, 19.92, 20.96, 21.18, 21.44
2022-12-09, 2.6689, 15.8271, Mecklenburg-Vorpommern, 13, 0.2471, 19.99, 20.91, 21.13, 21.37
2022-12-08, 1.1793, 14.0272, Mecklenburg-Vorpommern, 13, 0.1092, 19.8, 20.63, 20.83, 21.05
2022-12-07, 2.8551, 14.772, Mecklenburg-Vorpommern, 13, 0.2644, 20.23, 21, 21.19, 21.39
2022-12-06, 1.5517, 13.0341, Mecklenburg-Vorpommern, 13, 0.1437, 17.69, 18.26, 18.41, 18.57
2022-12-05, 2.3585, 13.0962, Mecklenburg-Vorpommern, 13, 0.2184, 17.44, 17.9, 18.03, 18.16
2022-12-04, 2.6689, 13.7789, Mecklenburg-Vorpommern, 13, 0.2471, 17.32, 17.75, 17.88, 18.01
2022-12-03, 2.4827, 14.2754, Mecklenburg-Vorpommern, 13, 0.2299, 17.38, 17.8, 17.93, 18.06
2022-12-02, 2.1103, 13.1582, Mecklenburg-Vorpommern, 13, 0.1954, 16.76, 17.13, 17.24, 17.36
2022-12-01, 1.7999, 12.8479, Mecklenburg-Vorpommern, 13, 0.1667, 16.01, 16.33, 16.44, 16.53
2022-11-30, 1.5517, 11.9169, Mecklenburg-Vorpommern, 13, 0.1437, 15.21, 15.48, 15.57, 15.65
2022-11-29, 0.7448, 11.4824, Mecklenburg-Vorpommern, 13, 0.069, 15.33, 15.57, 15.65, 15.73
2022-11-28, 0.9931, 10.7376, Mecklenburg-Vorpommern, 13, 0.092, 14.52, 14.7, 14.77, 14.83
