Meldedatum, difference, frozen, region, region_id, trend, value, Lower, Prediction, Upper
2023-01-16, -4.4132, 8.2747, Brandenburg, 12, -0.5283, 8.27, , , 
2023-01-15, -4.689, 8.3141, Brandenburg, 12, -0.5613, 8.31, , , 
2023-01-14, -4.689, 8.4323, Brandenburg, 12, -0.5613, 8.43, , , 
2023-01-13, -3.1917, 9.1021, Brandenburg, 12, -0.3821, 9.69, 12.1, 12.69, 13.42
2023-01-12, -2.1672, 9.6932, Brandenburg, 12, -0.2594, 11.31, 13.56, 13.9, 14.34
2023-01-11, -2.9158, 10.166, Brandenburg, 12, -0.3491, 12.41, 14.39, 14.71, 15.11
2023-01-10, -4.0191, 12.1362, Brandenburg, 12, -0.4811, 14.26, 15.99, 16.28, 16.59
2023-01-09, 0.3546, 12.6878, Brandenburg, 12, 0.0325, 15.49, 16.91, 17.12, 17.32
2023-01-08, 0.3152, 13.003, Brandenburg, 12, 0.0289, 15.76, 17.19, 17.41, 17.61
2023-01-07, 0.4334, 13.1212, Brandenburg, 12, 0.0397, 15.84, 17.27, 17.48, 17.68
2023-01-06, -0.6699, 12.2938, Brandenburg, 12, -0.0802, 16.23, 17.54, 17.73, 17.91
2023-01-05, -1.5761, 11.8603, Brandenburg, 12, -0.1887, 16.47, 17.61, 17.77, 17.95
2023-01-04, 0.3546, 13.0818, Brandenburg, 12, 0.0325, 18.32, 19.38, 19.54, 19.73
2023-01-03, 4.0979, 16.1553, Brandenburg, 12, 0.3755, 22.11, 23.1, 23.3, 23.5
2023-01-02, -6.8956, 12.3332, Brandenburg, 12, -0.8255, 18.01, 18.71, 18.86, 19.01
2023-01-01, -6.8956, 12.6878, Brandenburg, 12, -0.8255, 18.24, 18.95, 19.09, 19.24
2022-12-31, -7.0926, 12.6878, Brandenburg, 12, -0.8491, 18.32, 19.02, 19.17, 19.32
2022-12-30, -6.4621, 12.9636, Brandenburg, 12, -0.7736, 18.91, 19.57, 19.71, 19.85
