Meldedatum, region, region_id, value, difference, trend
2020-03-02, Mecklenburg-Vorpommern, 13, , , 
2020-03-03, Mecklenburg-Vorpommern, 13, , , 
2020-03-04, Mecklenburg-Vorpommern, 13, 0.1, , 
2020-03-05, Mecklenburg-Vorpommern, 13, 0.2, , 
2020-03-06, Mecklenburg-Vorpommern, 13, 0.3, , 
2020-03-07, Mecklenburg-Vorpommern, 13, 0.3, , 
2020-03-08, Mecklenburg-Vorpommern, 13, 0.3, , 
2020-03-09, Mecklenburg-Vorpommern, 13, 0.4, , 
2020-03-10, Mecklenburg-Vorpommern, 13, 0.7, , 
2020-03-11, Mecklenburg-Vorpommern, 13, 0.6, , 
2020-03-12, Mecklenburg-Vorpommern, 13, 1, 0.4965, 0.0009
2020-03-13, Mecklenburg-Vorpommern, 13, 1.5, 0.7448, 0.0014
2020-03-14, Mecklenburg-Vorpommern, 13, 2, 0.8689, 0.0016
2020-03-15, Mecklenburg-Vorpommern, 13, 2.1, 1.4275, 0.0027
2020-03-16, Mecklenburg-Vorpommern, 13, 2, 1.4896, 0.0028
2020-03-17, Mecklenburg-Vorpommern, 13, 2.7, 1.7999, 0.0034
2020-03-18, Mecklenburg-Vorpommern, 13, 4.5, 2.2344, 0.0042
2020-03-19, Mecklenburg-Vorpommern, 13, 6.8, 4.1585, 0.0078
2020-03-20, Mecklenburg-Vorpommern, 13, 8.3, 5.3998, 0.0101
2020-03-21, Mecklenburg-Vorpommern, 13, 8.8, 6.8894, 0.0129
2020-03-22, Mecklenburg-Vorpommern, 13, 9.4, 6.6412, 0.0125
2020-03-23, Mecklenburg-Vorpommern, 13, 9.4, 6.517, 0.0122
2020-03-24, Mecklenburg-Vorpommern, 13, 9.3, 7.0136, 0.0132
2020-03-25, Mecklenburg-Vorpommern, 13, 9.7, 5.524, 0.0104
2020-03-26, Mecklenburg-Vorpommern, 13, 8.4, 2.3585, 0.0044
2020-03-27, Mecklenburg-Vorpommern, 13, 7.8, -0.3103, -0.0006
2020-03-28, Mecklenburg-Vorpommern, 13, 9.4, 0.1241, 0.0002
2020-03-29, Mecklenburg-Vorpommern, 13, 10.1, 1.5517, 0.0029
2020-03-30, Mecklenburg-Vorpommern, 13, 10.7, 2.0482, 0.0038
2020-03-31, Mecklenburg-Vorpommern, 13, 10.7, 1.0551, 0.002
2020-04-01, Mecklenburg-Vorpommern, 13, 11.5, 2.0482, 0.0038
2020-04-02, Mecklenburg-Vorpommern, 13, 11.4, 3.5999, 0.0068
