Meldedatum, difference, group, quantity, trend, value
2022-06-08, , steigend, 18, , 66.7
2022-06-15, 2.9, steigend, 23, 0.0993, 69.6
2022-06-22, , steigend, 23, , 69.6
2022-06-29, -13.1, steigend, 23, -0.3982, 56.5
2022-07-06, -4.3, steigend, 23, -0.1307, 52.2
2022-07-13, -17.4, steigend, 23, -0.5289, 34.8
2022-07-20, -9.8, steigend, 24, -0.2979, 25
2022-07-27, -20.8, steigend, 24, -0.6322, 4.2
2022-08-03, -4.2, steigend, 24, -0.1277, 
2022-08-10, , steigend, 24, , 
2022-08-17, , steigend, 24, , 
2022-08-24, 16.7, steigend, 24, 0.5719, 16.7
2022-08-31, 4.1, steigend, 24, 0.1404, 20.8
2022-09-07, , steigend, 24, , 20.8
2022-09-14, 29.2, steigend, 24, 1, 50
2022-09-21, 29.2, steigend, 24, 1, 79.2
2022-09-28, , steigend, 24, , 79.2
2022-10-05, -4.2, steigend, 24, -0.1277, 75
2022-10-12, -32.9, steigend, 38, -1, 42.1
2022-10-19, -11.3, steigend, 39, -0.3435, 30.8
2022-10-26, -25.9, steigend, 41, -0.7872, 4.9
2022-11-02, 7.3, steigend, 41, 0.25, 12.2
2022-11-09, , steigend, 41, , 12.2
2022-11-16, -4.9, steigend, 41, -0.1489, 7.3
2022-11-23, 4.9, steigend, 41, 0.1678, 12.2
2022-11-30, 24.4, steigend, 41, 0.8356, 36.6
2022-12-07, 17.1, steigend, 41, 0.5856, 53.7
2022-12-14, -2.5, steigend, 41, -0.076, 51.2
2022-12-21, -17.1, steigend, 41, -0.5198, 34.1
2022-12-28, -21.3, steigend, 39, -0.6474, 12.8
2023-01-04, 3.4, steigend, 37, 0.1164, 16.2
2023-01-11, 1, steigend, 29, 0.0342, 17.2
