Altersgruppe, Week, difference, trend, value
5-14, 2020-12, , , 2.9
5-14, 2020-13, 2.9, 0.1779, 5.8
5-14, 2020-14, 1, 0.0613, 6.8
5-14, 2020-15, 0.4, 0.0245, 7.2
5-14, 2020-16, -1.3, -0.0663, 5.9
5-14, 2020-17, -1.6, -0.0816, 4.3
5-14, 2020-18, -1.6, -0.0816, 2.7
5-14, 2020-19, -0.2, -0.0102, 2.5
5-14, 2020-20, -0.7, -0.0357, 1.8
5-14, 2020-21, -0.6, -0.0306, 1.2
5-14, 2020-22, 0.3, 0.0184, 1.5
5-14, 2020-23, -0.1, -0.0051, 1.4
5-14, 2020-24, , , 1.4
5-14, 2020-25, 0.2, 0.0123, 1.6
5-14, 2020-26, -1, -0.051, 0.6
5-14, 2020-27, 0.1, 0.0061, 0.7
5-14, 2020-28, -0.2, -0.0102, 0.5
5-14, 2020-29, 0.1, 0.0061, 0.6
5-14, 2020-30, 0.1, 0.0061, 0.7
5-14, 2020-31, 0.5, 0.0307, 1.2
5-14, 2020-32, 0.2, 0.0123, 1.4
5-14, 2020-33, -0.1, -0.0051, 1.3
5-14, 2020-34, -0.4, -0.0204, 0.9
5-14, 2020-35, -0.2, -0.0102, 0.7
5-14, 2020-36, , , 0.7
5-14, 2020-37, 0.2, 0.0123, 0.9
5-14, 2020-38, 0.2, 0.0123, 1.1
5-14, 2020-39, -0.1, -0.0051, 1
5-14, 2020-40, 0.3, 0.0184, 1.3
5-14, 2020-41, 0.6, 0.0368, 1.9
5-14, 2020-42, 1, 0.0613, 2.9
5-14, 2020-43, 2.2, 0.135, 5.1
5-14, 2020-44, 1.7, 0.1043, 6.8
5-14, 2020-45, 0.5, 0.0307, 7.3
5-14, 2020-46, 0.7, 0.0429, 8
5-14, 2020-47, -0.2, -0.0102, 7.8
5-14, 2020-48, -0.2, -0.0102, 7.6
5-14, 2020-49, 0.9, 0.0552, 8.5
5-14, 2020-50, 0.8, 0.0491, 9.3
5-14, 2020-51, -0.5, -0.0255, 8.8
5-14, 2020-52, 1.1, 0.0675, 9.9
5-14, 2020-53, 5.4, 0.3313, 15.3
5-14, 2021-01, -0.4, -0.0204, 14.9
5-14, 2021-02, -2.2, -0.1122, 12.7
5-14, 2021-03, -0.5, -0.0255, 12.2
5-14, 2021-04, -1.5, -0.0765, 10.7
5-14, 2021-05, -0.8, -0.0408, 9.9
5-14, 2021-06, -0.5, -0.0255, 9.4
5-14, 2021-07, 0.1, 0.0061, 9.5
5-14, 2021-08, 0.4, 0.0245, 9.9
5-14, 2021-09, -0.3, -0.0153, 9.6
5-14, 2021-10, -1.2, -0.0612, 8.4
5-14, 2021-11, -0.1, -0.0051, 8.3
5-14, 2021-12, 1.4, 0.0859, 9.7
5-14, 2021-13, 1.8, 0.1104, 11.5
5-14, 2021-14, 4.9, 0.3006, 16.4
5-14, 2021-15, 2.7, 0.1656, 19.1
5-14, 2021-16, -0.1, -0.0051, 19
5-14, 2021-17, -2.7, -0.1378, 16.3
5-14, 2021-18, -0.1, -0.0051, 16.2
5-14, 2021-19, -2.3, -0.1173, 13.9
5-14, 2021-20, -4.4, -0.2245, 9.5
5-14, 2021-21, -1.7, -0.0867, 7.8
5-14, 2021-22, -0.8, -0.0408, 7
5-14, 2021-23, -2.1, -0.1071, 4.9
5-14, 2021-24, -2, -0.102, 2.9
5-14, 2021-25, -1.1, -0.0561, 1.8
5-14, 2021-26, -0.7, -0.0357, 1.1
5-14, 2021-27, 0.1, 0.0061, 1.2
5-14, 2021-28, 0.8, 0.0491, 2
5-14, 2021-29, 1.1, 0.0675, 3.1
5-14, 2021-30, 1.6, 0.0982, 4.7
5-14, 2021-31, 3.4, 0.2086, 8.1
5-14, 2021-32, 4, 0.2454, 12.1
5-14, 2021-33, 3.2, 0.1963, 15.3
5-14, 2021-34, -2, -0.102, 13.3
5-14, 2021-35, 1.4, 0.0859, 14.7
5-14, 2021-36, -1.9, -0.0969, 12.8
5-14, 2021-37, 1.7, 0.1043, 14.5
5-14, 2021-38, -1, -0.051, 13.5
5-14, 2021-39, -0.2, -0.0102, 13.3
5-14, 2021-40, -0.4, -0.0204, 12.9
5-14, 2021-41, 2.9, 0.1779, 15.8
5-14, 2021-42, 4.9, 0.3006, 20.7
5-14, 2021-43, -2.7, -0.1378, 18
5-14, 2021-44, 4.5, 0.2761, 22.5
5-14, 2021-45, 3.1, 0.1902, 25.6
5-14, 2021-46, 2.6, 0.1595, 28.2
5-14, 2021-47, 0.4, 0.0245, 28.6
5-14, 2021-48, -0.5, -0.0255, 28.1
5-14, 2021-49, -0.1, -0.0051, 28
5-14, 2021-50, -1.2, -0.0612, 26.8
5-14, 2021-51, -3.6, -0.1837, 23.2
5-14, 2021-52, 17.8, 1.092, 41
5-14, 2022-01, -0.2, -0.0102, 40.8
5-14, 2022-02, -11.6, -0.5918, 29.2
5-14, 2022-03, 11.2, 0.6871, 40.4
5-14, 2022-04, 16.3, 1, 56.7
5-14, 2022-05, 7.1, 0.4356, 63.8
5-14, 2022-06, -2.3, -0.1173, 61.5
5-14, 2022-07, 1.6, 0.0982, 63.1
5-14, 2022-08, -0.5, -0.0255, 62.6
5-14, 2022-09, 6, 0.3681, 68.6
