Altersgruppe, Meldedatum, difference, trend, value
60-79, 2020-03-07, , , 1700
60-79, 2020-03-08, , , 2000
60-79, 2020-03-09, , , 820
60-79, 2020-03-10, , , 480
60-79, 2020-03-11, , , 721.4286
60-79, 2020-03-12, , , 904.3478
60-79, 2020-03-13, , , 931.25
60-79, 2020-03-14, -563.8889, -4.3375, 1136.1111
60-79, 2020-03-15, -845.2381, -6.5016, 1154.7619
60-79, 2020-03-16, 556.087, 4.42, 1376.087
60-79, 2020-03-17, 938.9655, 7.4632, 1418.9655
60-79, 2020-03-18, -17.0807, -0.1314, 704.3478
60-79, 2020-03-19, -488.3305, -3.7563, 416.0173
60-79, 2020-03-20, -571.553, -4.3964, 359.697
60-79, 2020-03-21, -840.3808, -6.4642, 295.7303
60-79, 2020-03-22, -887.5892, -6.8274, 267.1727
60-79, 2020-03-23, -1106.2784, -8.5095, 269.8085
60-79, 2020-03-24, -1170.2709, -9.0018, 248.6947
60-79, 2020-03-25, -435.6992, -3.3514, 268.6486
60-79, 2020-03-26, -194.2891, -1.4945, 221.7282
60-79, 2020-03-27, -173.4082, -1.3339, 186.2887
60-79, 2020-03-28, -113.5043, -0.8731, 182.226
60-79, 2020-03-29, -100.7644, -0.7751, 166.4083
60-79, 2020-03-30, -140.9754, -1.0844, 128.8331
60-79, 2020-03-31, -152.4056, -1.1723, 96.2891
60-79, 2020-04-01, -186.6252, -1.4355, 82.0235
60-79, 2020-04-02, -153.9055, -1.1838, 67.8227
60-79, 2020-04-03, -134.5503, -1.035, 51.7384
60-79, 2020-04-04, -149.6908, -1.1514, 32.5352
60-79, 2020-04-05, -134.7691, -1.0367, 31.6392
60-79, 2020-04-06, -109.1325, -0.8395, 19.7007
60-79, 2020-04-07, -83.2377, -0.6403, 13.0514
60-79, 2020-04-08, -79.5585, -0.612, 2.465
60-79, 2020-04-09, -74.4572, -0.5727, -6.6346
60-79, 2020-04-10, -65.8355, -0.5064, -14.0971
60-79, 2020-04-11, -54.0321, -0.4156, -21.4969
60-79, 2020-04-12, -60.5959, -0.4661, -28.9567
60-79, 2020-04-13, -50.669, -0.3897, -30.9683
60-79, 2020-04-14, -49.3137, -0.3793, -36.2623
60-79, 2020-04-15, -42.0719, -0.3236, -39.6069
60-79, 2020-04-16, -38.115, -0.2932, -44.7495
60-79, 2020-04-17, -33.58, -0.2583, -47.6771
60-79, 2020-04-18, -20.816, -0.1601, -42.3129
60-79, 2020-04-19, -11.1802, -0.086, -40.1369
60-79, 2020-04-20, -7.848, -0.0604, -38.8163
60-79, 2020-04-21, 3.0287, 0.0241, -33.2336
60-79, 2020-04-22, 13.7282, 0.1091, -25.8787
60-79, 2020-04-23, 24.117, 0.1917, -20.6325
