Meldedatum, difference, group, quantity, trend, value
2022-06-08, , trend, 27, , 70.4
2022-06-15, -3.7, trend, 33, -0.1423, 66.7
2022-06-22, -9.1, trend, 33, -0.35, 57.6
2022-06-29, -18.2, trend, 33, -0.7, 39.4
2022-07-06, -6.1, trend, 33, -0.2346, 33.3
2022-07-13, -3, trend, 33, -0.1154, 30.3
2022-07-20, -6.8, trend, 34, -0.2615, 23.5
2022-07-27, -17.6, trend, 34, -0.6769, 5.9
2022-08-03, -5.9, trend, 34, -0.2269, 
2022-08-10, 2.9, trend, 34, 0.0973, 2.9
2022-08-17, 3, trend, 34, 0.1007, 5.9
2022-08-24, 2.9, trend, 34, 0.0973, 8.8
2022-08-31, 3, trend, 34, 0.1007, 11.8
2022-09-07, 11.7, trend, 34, 0.3926, 23.5
2022-09-14, 26.5, trend, 34, 0.8893, 50
2022-09-21, 29.4, trend, 34, 0.9866, 79.4
2022-09-28, -8.8, trend, 34, -0.3385, 70.6
2022-10-05, -11.8, trend, 34, -0.4538, 58.8
2022-10-12, -18.4, trend, 47, -0.7077, 40.4
2022-10-19, -15.4, trend, 48, -0.5923, 25
2022-10-26, -16.8, trend, 49, -0.6462, 8.2
2022-11-02, 5.8, trend, 50, 0.1946, 14
2022-11-09, -4, trend, 50, -0.1538, 10
2022-11-16, , trend, 50, , 10
2022-11-23, 11.2, trend, 52, 0.3758, 21.2
2022-11-30, 17.3, trend, 52, 0.5805, 38.5
2022-12-07, 18.1, trend, 53, 0.6074, 56.6
2022-12-14, 2.7, trend, 54, 0.0906, 59.3
2022-12-21, -26, trend, 54, -1, 33.3
2022-12-28, -26, trend, 55, -1, 7.3
2023-01-04, -3.7, trend, 55, -0.1423, 3.6
2023-01-11, 1.9, trend, 55, 0.0638, 5.5
2023-01-18, 10.2, trend, 51, 0.3423, 15.7
2023-01-25, 14.5, trend, 43, 0.4866, 30.2
2023-02-01, 29.8, trend, 15, 1, 60
