Meldedatum, difference, frozen, region, region_id, trend, value, Lower, Prediction, Upper
2023-02-08, 0.2305, 4.0567, Sachsen-Anhalt, 15, 0.0193, 4.06, , , 
2023-02-07, 1.7518, 4.2872, Sachsen-Anhalt, 15, 0.1467, 5.16, , , 
2023-02-06, 1.9822, 4.7943, Sachsen-Anhalt, 15, 0.166, 5.72, , , 
2023-02-05, 1.9362, 4.7943, Sachsen-Anhalt, 15, 0.1622, 5.72, 6.53, 6.68, 6.83
2023-02-04, 1.9362, 4.7943, Sachsen-Anhalt, 15, 0.1622, 5.72, 6.53, 6.68, 6.83
2023-02-03, 0.8298, 4.3333, Sachsen-Anhalt, 15, 0.0695, 5.3, 5.9, 6.04, 6.17
2023-02-02, 0.5071, 4.195, Sachsen-Anhalt, 15, 0.0425, 5.12, 5.6, 5.71, 5.82
2023-02-01, 0.2305, 3.8262, Sachsen-Anhalt, 15, 0.0193, 4.79, 5.2, 5.29, 5.39
2023-01-31, -0.7376, 2.5354, Sachsen-Anhalt, 15, -0.1, 4.24, 4.53, 4.59, 4.66
2023-01-30, -1.1064, 2.812, Sachsen-Anhalt, 15, -0.15, 3.87, 4.05, 4.09, 4.13
2023-01-29, -1.0603, 2.8581, Sachsen-Anhalt, 15, -0.1437, 3.92, 4.1, 4.14, 4.18
2023-01-28, -1.1986, 2.8581, Sachsen-Anhalt, 15, -0.1625, 3.92, 4.1, 4.14, 4.18
2023-01-27, -0.3227, 3.5035, Sachsen-Anhalt, 15, -0.0438, 4.52, 4.7, 4.74, 4.79
2023-01-26, 0.0922, 3.6879, Sachsen-Anhalt, 15, 0.0077, 4.61, 4.78, 4.82, 4.86
2023-01-25, -0.4149, 3.5957, Sachsen-Anhalt, 15, -0.0563, 4.89, 5.04, 5.09, 5.13
2023-01-24, -1.5213, 3.273, Sachsen-Anhalt, 15, -0.2062, 5.16, 5.31, 5.34, 5.39
2023-01-23, -3.734, 3.9184, Sachsen-Anhalt, 15, -0.5062, 5.26, 5.37, 5.4, 5.44
2023-01-22, -3.8723, 3.9184, Sachsen-Anhalt, 15, -0.525, 5.21, 5.32, 5.35, 5.39
2023-01-21, -3.8723, 4.0567, Sachsen-Anhalt, 15, -0.525, 5.35, 5.46, 5.49, 5.53
2023-01-20, -2.9964, 3.8262, Sachsen-Anhalt, 15, -0.4062, 5.07, 5.16, 5.19, 5.22
2023-01-19, -4.0106, 3.5957, Sachsen-Anhalt, 15, -0.5438, 5.12, 5.2, 5.23, 5.25
2023-01-18, -3.5035, 4.0106, Sachsen-Anhalt, 15, -0.475, 6.22, 6.3, 6.33, 6.36
2023-01-17, -1.5213, 4.7943, Sachsen-Anhalt, 15, -0.2062, 6.59, 6.66, 6.68, 6.71
2023-01-16, 0.3227, 7.6524, Sachsen-Anhalt, 15, 0.027, 9.13, 9.18, 9.21, 9.23
2023-01-15, 0.3227, 7.7907, Sachsen-Anhalt, 15, 0.027, 9.31, 9.36, 9.39, 9.42
2023-01-14, 0.3688, 7.929, Sachsen-Anhalt, 15, 0.0309, 9.31, 9.36, 9.39, 9.42
2023-01-13, -2.5354, 6.8226, Sachsen-Anhalt, 15, -0.3437, 8.76, 8.8, 8.83, 8.85
2023-01-12, -2.2127, 7.6063, Sachsen-Anhalt, 15, -0.3, 9.91, 9.95, 9.97, 10
2023-01-11, -3.2269, 7.5141, Sachsen-Anhalt, 15, -0.4375, 9.87, 9.88, 9.91, 9.93
2023-01-10, -6.1772, 6.3155, Sachsen-Anhalt, 15, -0.8375, 10.33, 10.33, 10.35, 10.37
2023-01-09, -3.0425, 7.3297, Sachsen-Anhalt, 15, -0.4125, 10.97, 10.95, 10.96, 10.97
2023-01-08, -2.9042, 7.468, Sachsen-Anhalt, 15, -0.3937, 10.93, 10.9, 10.91, 10.92
2023-01-07, -2.8581, 7.5602, Sachsen-Anhalt, 15, -0.3875, 10.93, 10.9, 10.91, 10.92
2023-01-06, -1.2447, 9.3581, Sachsen-Anhalt, 15, -0.1688, 12.63, 12.6, 12.61, 12.62
2023-01-05, , 9.819, Sachsen-Anhalt, 15, , 13.51, 13.46, 13.47, 13.48
2023-01-04, 2.6276, 10.741, Sachsen-Anhalt, 15, 0.2201, 15.58, 15.52, 15.52, 15.53
2023-01-03, 4.2411, 12.4928, Sachsen-Anhalt, 15, 0.3552, 19.41, 19.32, 19.32, 19.33
2023-01-02, -2.9503, 10.3722, Sachsen-Anhalt, 15, -0.4, 14.75, 14.68, 14.68, 14.68
2023-01-01, -2.9964, 10.3722, Sachsen-Anhalt, 15, -0.4063, 14.66, 14.58, 14.58, 14.58
