Altersgruppe, Meldedatum, value, difference, trend
>=80, 2020-03-02, , , 
>=80, 2020-03-03, , , 
>=80, 2020-03-04, , , 
>=80, 2020-03-05, 0.1, , 
>=80, 2020-03-06, 0.1, , 
>=80, 2020-03-07, 0.2, , 
>=80, 2020-03-08, 0.3, , 
>=80, 2020-03-09, 0.3, , 
>=80, 2020-03-10, 0.4, , 
>=80, 2020-03-11, 0.7, , 
>=80, 2020-03-12, 0.8, , 
>=80, 2020-03-13, 1, , 
>=80, 2020-03-14, 1.4, , 
>=80, 2020-03-15, 1.7, 0.9981, 0.0027
>=80, 2020-03-16, 2.2, 1.3908, 0.0038
>=80, 2020-03-17, 2.9, 1.8326, 0.005
>=80, 2020-03-18, 4.2, 1.9798, 0.0054
>=80, 2020-03-19, 5.5, 2.8797, 0.0079
>=80, 2020-03-20, 7.2, 3.8778, 0.0106
>=80, 2020-03-21, 9.5, 4.4505, 0.0122
>=80, 2020-03-22, 11.6, 4.9414, 0.0135
>=80, 2020-03-23, 13, 6.4958, 0.0178
>=80, 2020-03-24, 15.1, 8.7538, 0.0239
>=80, 2020-03-25, 18.3, 10.5536, 0.0289
>=80, 2020-03-26, 22.2, 12.4843, 0.0341
>=80, 2020-03-27, 27, 15.3641, 0.042
>=80, 2020-03-28, 32.4, 18.931, 0.0518
>=80, 2020-03-29, 37.2, 21.0418, 0.0575
>=80, 2020-03-30, 39.9, 23.8888, 0.0653
>=80, 2020-03-31, 44.2, 25.4923, 0.0697
>=80, 2020-04-01, 50.7, 27.1939, 0.0744
>=80, 2020-04-02, 57.5, 30.2046, 0.0826
>=80, 2020-04-03, 64.7, 29.6974, 0.0812
>=80, 2020-04-04, 71.2, 30.4337, 0.0832
>=80, 2020-04-05, 73.4, 34.2133, 0.0936
>=80, 2020-04-06, 75, 34.246, 0.0936
>=80, 2020-04-07, 76.9, 31.4808, 0.0861
>=80, 2020-04-08, 77.6, 26.2449, 0.0718
>=80, 2020-04-09, 78.5, 18.9801, 0.0519
>=80, 2020-04-10, 76.9, 15.5768, 0.0426
>=80, 2020-04-11, 71.8, 7.6248, 0.0208
>=80, 2020-04-12, 70.9, -0.8345, -0.0035
>=80, 2020-04-13, 71.8, -3.9924, -0.0166
>=80, 2020-04-14, 68.6, -7.2321, -0.03
>=80, 2020-04-15, 64.5, -8.7538, -0.0363
>=80, 2020-04-16, 61.1, -12.2389, -0.0508
>=80, 2020-04-17, 56.2, -15.9204, -0.066
>=80, 2020-04-18, 54.1, -14.5951, -0.0605
>=80, 2020-04-19, 50.8, -15.8386, -0.0657
>=80, 2020-04-20, 48.3, -18.3584, -0.0761
>=80, 2020-04-21, 47.8, -17.9984, -0.0746
>=80, 2020-04-22, 45.8, -16.264, -0.0674
>=80, 2020-04-23, 42.5, -15.0368, -0.0624
>=80, 2020-04-24, 41.4, -12.1407, -0.0503
>=80, 2020-04-25, 38.3, -13.5315, -0.0561
>=80, 2020-04-26, 36.6, -11.3063, -0.0469
>=80, 2020-04-27, 34, -11.9771, -0.0497
>=80, 2020-04-28, 30.9, -13.2534, -0.055
>=80, 2020-04-29, 28.7, -14.8732, -0.0617
>=80, 2020-04-30, 25.6, -13.9569, -0.0579
>=80, 2020-05-01, 23, -15.8222, -0.0656
>=80, 2020-05-02, 21.2, -14.9878, -0.0622
>=80, 2020-05-03, 18.9, -15.904, -0.066
>=80, 2020-05-04, 17.4, -15.3804, -0.0638
>=80, 2020-05-05, 16.7, -13.7115, -0.0569
>=80, 2020-05-06, 15.1, -12.468, -0.0517
>=80, 2020-05-07, 14.4, -10.9954, -0.0456
>=80, 2020-05-08, 13.1, -9.5392, -0.0396
>=80, 2020-05-09, 12.5, -7.952, -0.033
>=80, 2020-05-10, 12.5, -6.2013, -0.0257
>=80, 2020-05-11, 12.5, -4.7287, -0.0196
>=80, 2020-05-12, 12.1, -4.156, -0.0172
>=80, 2020-05-13, 11.6, -3.2561, -0.0135
>=80, 2020-05-14, 10.9, -2.9452, -0.0122
>=80, 2020-05-15, 10.4, -2.4216, -0.01
>=80, 2020-05-16, 9.9, -2.3725, -0.0098
>=80, 2020-05-17, 9.6, -2.4216, -0.01
>=80, 2020-05-18, 9.3, -3.1252, -0.013
>=80, 2020-05-19, 8.8, -3.1088, -0.0129
>=80, 2020-05-20, 8.9, -2.7979, -0.0116
>=80, 2020-05-21, 8, -2.6507, -0.011
>=80, 2020-05-22, 7, -3.0761, -0.0128
>=80, 2020-05-23, 6.3, -2.667, -0.0111
>=80, 2020-05-24, 6, -2.9125, -0.0121
>=80, 2020-05-25, 6.2, -2.3398, -0.0097
>=80, 2020-05-26, 6.2, -2.2743, -0.0094
>=80, 2020-05-27, 5.3, -3.0925, -0.0128
>=80, 2020-05-28, 4.9, -2.5689, -0.0107
>=80, 2020-05-29, 5.1, -1.4726, -0.0061
>=80, 2020-05-30, 5, -1.7017, -0.0071
>=80, 2020-05-31, 4.7, -1.718, -0.0071
>=80, 2020-06-01, 4.4, -1.9798, -0.0082
>=80, 2020-06-02, 4, -2.1598, -0.009
>=80, 2020-06-03, 3.7, -1.2435, -0.0052
>=80, 2020-06-04, 3.5, -1.3417, -0.0056
>=80, 2020-06-05, 3, -1.898, -0.0079
>=80, 2020-06-06, 2.7, -2.0125, -0.0083
>=80, 2020-06-07, 2.7, -1.5053, -0.0062
>=80, 2020-06-08, 2.7, -1.6035, -0.0066
>=80, 2020-06-09, 2.7, -1.129, -0.0047
>=80, 2020-06-10, 2.7, -0.8508, -0.0035
>=80, 2020-06-11, 2.7, -0.36, -0.0015
>=80, 2020-06-12, 2.6, -0.2454, -0.001
>=80, 2020-06-13, 2.7, -0.1636, -0.0007
>=80, 2020-06-14, 2.6, -0.1636, -0.0007
>=80, 2020-06-15, 2.6, -0.2782, -0.0012
>=80, 2020-06-16, 2.7, -0.1473, -0.0006
>=80, 2020-06-17, 2.7, -0.2291, -0.0009
>=80, 2020-06-18, 2.8, -0.2291, -0.0009
>=80, 2020-06-19, 2.8, 0.1473, 0.0004
>=80, 2020-06-20, 2.5, 0.2127, 0.0006
>=80, 2020-06-21, 2.5, -0.1473, -0.0006
>=80, 2020-06-22, 2.4, -0.18, -0.0007
>=80, 2020-06-23, 2.3, -0.2782, -0.0012
>=80, 2020-06-24, 2.2, -0.3436, -0.0014
>=80, 2020-06-25, 1.9, -0.8999, -0.0037
>=80, 2020-06-26, 2, -0.9163, -0.0038
>=80, 2020-06-27, 2, -0.6545, -0.0027
>=80, 2020-06-28, 1.8, -0.6054, -0.0025
>=80, 2020-06-29, 1.8, -0.4909, -0.002
>=80, 2020-06-30, 1.8, -0.4909, -0.002
>=80, 2020-07-01, 1.8, -0.2945, -0.0012
>=80, 2020-07-02, 1.8, 0.1473, 0.0004
>=80, 2020-07-03, 1.6, -0.0982, -0.0004
>=80, 2020-07-04, 1.5, -0.3272, -0.0014
>=80, 2020-07-05, 1.7, -0.1473, -0.0006
>=80, 2020-07-06, 1.6, -0.18, -0.0007
>=80, 2020-07-07, 1.5, -0.2291, -0.0009
>=80, 2020-07-08, 1.4, -0.2618, -0.0011
>=80, 2020-07-09, 1.4, -0.5727, -0.0024
>=80, 2020-07-10, 1.3, -0.3436, -0.0014
>=80, 2020-07-11, 1.3, -0.2291, -0.0009
>=80, 2020-07-12, 1.1, -0.4581, -0.0019
>=80, 2020-07-13, 1.2, -0.3763, -0.0016
>=80, 2020-07-14, 1.1, -0.3109, -0.0013
>=80, 2020-07-15, 1.1, -0.3109, -0.0013
>=80, 2020-07-16, 1.1, -0.1636, -0.0007
>=80, 2020-07-17, 1.2, , 
>=80, 2020-07-18, 1.3, 0.0491, 0.0001
>=80, 2020-07-19, 1.4, 0.2618, 0.0007
>=80, 2020-07-20, 1.4, 0.2618, 0.0007
>=80, 2020-07-21, 1.5, 0.2945, 0.0008
>=80, 2020-07-22, 1.5, 0.3109, 0.0009
>=80, 2020-07-23, 1.6, 0.3109, 0.0009
>=80, 2020-07-24, 1.7, 0.2454, 0.0007
>=80, 2020-07-25, 1.7, 0.4091, 0.0011
>=80, 2020-07-26, 1.8, 0.3109, 0.0009
>=80, 2020-07-27, 1.7, 0.1309, 0.0004
>=80, 2020-07-28, 1.9, 0.2782, 0.0008
>=80, 2020-07-29, 2.1, 0.5236, 0.0014
>=80, 2020-07-30, 2.3, 0.6054, 0.0017
>=80, 2020-07-31, 2.3, 0.6545, 0.0018
>=80, 2020-08-01, 2.7, 0.54, 0.0015
>=80, 2020-08-02, 2.6, 0.8017, 0.0022
>=80, 2020-08-03, 2.8, 0.9981, 0.0027
>=80, 2020-08-04, 2.8, 0.8181, 0.0022
>=80, 2020-08-05, 2.8, 0.5563, 0.0015
>=80, 2020-08-06, 2.6, 0.589, 0.0016
>=80, 2020-08-07, 2.7, 0.4909, 0.0013
>=80, 2020-08-08, 2.3, 0.0491, 0.0001
>=80, 2020-08-09, 2.4, -0.1473, -0.0006
>=80, 2020-08-10, 2.2, -0.2945, -0.0012
>=80, 2020-08-11, 2.3, -0.5727, -0.0024
>=80, 2020-08-12, 2.3, -0.3927, -0.0016
>=80, 2020-08-13, 2.5, -0.3272, -0.0014
>=80, 2020-08-14, 2.4, -0.4581, -0.0019
>=80, 2020-08-15, 2.5, -0.0164, -0.0001
>=80, 2020-08-16, 2.6, 0.0164, 
>=80, 2020-08-17, 2.7, 0.2291, 0.0006
>=80, 2020-08-18, 2.4, 0.3763, 0.001
>=80, 2020-08-19, 2.3, 0.1963, 0.0005
>=80, 2020-08-20, 2.1, -0.1963, -0.0008
