Week, difference, region, region_id, trend, value
2020-12, , Schleswig-Holstein, 1, , 2.5
2020-13, 2.8, Schleswig-Holstein, 1, 0.3011, 5.3
2020-14, , Schleswig-Holstein, 1, , 5.3
2020-15, 0.7, Schleswig-Holstein, 1, 0.0753, 6
2020-16, -2.3, Schleswig-Holstein, 1, -0.1691, 3.7
2020-17, -1.2, Schleswig-Holstein, 1, -0.0882, 2.5
2020-18, -1.1, Schleswig-Holstein, 1, -0.0809, 1.4
2020-19, -0.9, Schleswig-Holstein, 1, -0.0662, 0.5
2020-20, -0.1, Schleswig-Holstein, 1, -0.0074, 0.4
2020-21, 0.3, Schleswig-Holstein, 1, 0.0323, 0.7
2020-22, -0.5, Schleswig-Holstein, 1, -0.0368, 0.2
2020-23, , Schleswig-Holstein, 1, , 0.2
2020-24, -0.1, Schleswig-Holstein, 1, -0.0074, 0.1
2020-25, 0.1, Schleswig-Holstein, 1, 0.0108, 0.2
2020-26, , Schleswig-Holstein, 1, , 0.2
2020-27, -0.1, Schleswig-Holstein, 1, -0.0074, 0.1
2020-28, 0.2, Schleswig-Holstein, 1, 0.0215, 0.3
2020-29, , Schleswig-Holstein, 1, , 0.3
2020-30, -0.1, Schleswig-Holstein, 1, -0.0074, 0.2
2020-31, 0.1, Schleswig-Holstein, 1, 0.0108, 0.3
2020-32, , Schleswig-Holstein, 1, , 0.3
2020-33, 0.1, Schleswig-Holstein, 1, 0.0108, 0.4
2020-34, -0.2, Schleswig-Holstein, 1, -0.0147, 0.2
2020-35, , Schleswig-Holstein, 1, , 0.2
2020-36, 0.2, Schleswig-Holstein, 1, 0.0215, 0.4
2020-37, -0.1, Schleswig-Holstein, 1, -0.0074, 0.3
2020-38, 0.3, Schleswig-Holstein, 1, 0.0323, 0.6
2020-39, 0.3, Schleswig-Holstein, 1, 0.0323, 0.9
2020-40, -0.3, Schleswig-Holstein, 1, -0.0221, 0.6
2020-41, 0.5, Schleswig-Holstein, 1, 0.0538, 1.1
2020-42, 0.4, Schleswig-Holstein, 1, 0.043, 1.5
2020-43, 0.8, Schleswig-Holstein, 1, 0.086, 2.3
2020-44, 0.8, Schleswig-Holstein, 1, 0.086, 3.1
2020-45, 0.2, Schleswig-Holstein, 1, 0.0215, 3.3
2020-46, 0.5, Schleswig-Holstein, 1, 0.0538, 3.8
2020-47, -0.1, Schleswig-Holstein, 1, -0.0074, 3.7
2020-48, 0.4, Schleswig-Holstein, 1, 0.043, 4.1
2020-49, 0.2, Schleswig-Holstein, 1, 0.0215, 4.3
2020-50, 1.2, Schleswig-Holstein, 1, 0.129, 5.5
2020-51, 1.5, Schleswig-Holstein, 1, 0.1613, 7
2020-52, 1, Schleswig-Holstein, 1, 0.1075, 8
2020-53, 5.4, Schleswig-Holstein, 1, 0.5806, 13.4
2021-01, -3.4, Schleswig-Holstein, 1, -0.25, 10
2021-02, , Schleswig-Holstein, 1, , 10
2021-03, 1.3, Schleswig-Holstein, 1, 0.1398, 11.3
2021-04, , Schleswig-Holstein, 1, , 11.3
2021-05, -2.6, Schleswig-Holstein, 1, -0.1912, 8.7
2021-06, -0.7, Schleswig-Holstein, 1, -0.0515, 8
2021-07, -0.5, Schleswig-Holstein, 1, -0.0368, 7.5
2021-08, -1.6, Schleswig-Holstein, 1, -0.1176, 5.9
2021-09, -0.7, Schleswig-Holstein, 1, -0.0515, 5.2
2021-10, -0.2, Schleswig-Holstein, 1, -0.0147, 5
2021-11, 0.7, Schleswig-Holstein, 1, 0.0753, 5.7
2021-12, 1.7, Schleswig-Holstein, 1, 0.1828, 7.4
2021-13, 0.7, Schleswig-Holstein, 1, 0.0753, 8.1
2021-14, 1.1, Schleswig-Holstein, 1, 0.1183, 9.2
2021-15, -1, Schleswig-Holstein, 1, -0.0735, 8.2
2021-16, -0.4, Schleswig-Holstein, 1, -0.0294, 7.8
2021-17, -0.4, Schleswig-Holstein, 1, -0.0294, 7.4
2021-18, -0.9, Schleswig-Holstein, 1, -0.0662, 6.5
2021-19, -0.4, Schleswig-Holstein, 1, -0.0294, 6.1
2021-20, -1, Schleswig-Holstein, 1, -0.0735, 5.1
