Altersgruppe, Meldedatum, difference, trend, value
60-79, 2023-02-14, 1.2337, 0.1088, 9.36
60-79, 2023-02-13, 1.5176, 0.1338, 11.02
60-79, 2023-02-12, 1.5667, 0.1381, 11.23
60-79, 2023-02-11, 1.6649, 0.1468, 11.4
60-79, 2023-02-10, 1.8942, 0.167, 11.82
60-79, 2023-02-09, 1.2392, 0.1092, 11.67
60-79, 2023-02-08, 1.1081, 0.0977, 11.38
60-79, 2023-02-07, 1.5339, 0.1352, 11.42
60-79, 2023-02-06, 1.2009, 0.1059, 10.78
60-79, 2023-02-05, 1.261, 0.1112, 10.74
60-79, 2023-02-04, 1.2665, 0.1116, 10.65
60-79, 2023-02-03, 1.1136, 0.0982, 10.28
60-79, 2023-02-02, 1.4793, 0.1304, 10.2
60-79, 2023-02-01, 1.0426, 0.0919, 9.95
60-79, 2023-01-31, 0.6223, 0.0549, 9.51
60-79, 2023-01-30, 0.2238, 0.0197, 9.23
60-79, 2023-01-29, 0.1528, 0.0135, 9.14
60-79, 2023-01-28, 0.0382, 0.0034, 9.12
60-79, 2023-01-27, -0.6332, -0.0843, 8.89
60-79, 2023-01-26, -0.9444, -0.1257, 8.63
60-79, 2023-01-25, -1.4248, -0.1897, 8.55
60-79, 2023-01-24, -1.9106, -0.2544, 8.4
60-79, 2023-01-23, -3.0242, -0.4026, 8.76
60-79, 2023-01-22, -3.0733, -0.4092, 8.87
60-79, 2023-01-21, -3.0733, -0.4092, 9
60-79, 2023-01-20, -2.451, -0.3263, 9.45
60-79, 2023-01-19, -2.9096, -0.3874, 10.02
60-79, 2023-01-18, -2.8604, -0.3808, 10.68
60-79, 2023-01-17, -2.8277, -0.3765, 11.51
60-79, 2023-01-16, -2.0361, -0.2711, 13.09
60-79, 2023-01-15, -2.1399, -0.2849, 13.14
60-79, 2023-01-14, -2.3036, -0.3067, 13.17
60-79, 2023-01-13, -3.2862, -0.4375, 13.25
60-79, 2023-01-12, -3.1006, -0.4128, 14.02
60-79, 2023-01-11, -2.9696, -0.3953, 14.99
60-79, 2023-01-10, -4.0177, -0.5349, 16.14
60-79, 2023-01-09, 0.3166, 0.0279, 17.12
60-79, 2023-01-08, 0.2238, 0.0197, 17.28
60-79, 2023-01-07, 0.1419, 0.0125, 17.49
60-79, 2023-01-06, 0.5404, 0.0476, 18.66
60-79, 2023-01-05, 1.1955, 0.1054, 19.76
60-79, 2023-01-04, 1.8451, 0.1627, 21.11
60-79, 2023-01-03, 3.057, 0.2695, 23.86
60-79, 2023-01-02, -6.2012, -0.8256, 19.4
60-79, 2023-01-01, -6.436, -0.8568, 19.61
60-79, 2022-12-31, -6.5397, -0.8706, 19.77
60-79, 2022-12-30, -5.7209, -0.7616, 20.59
60-79, 2022-12-29, -5.2787, -0.7028, 21.11
60-79, 2022-12-28, -4.378, -0.5828, 21.56
60-79, 2022-12-27, -3.1716, -0.4222, 21.05
60-79, 2022-12-26, 2.1453, 0.1891, 27.01
60-79, 2022-12-25, 2.2545, 0.1987, 27.16
60-79, 2022-12-24, 2.26, 0.1992, 27.22
60-79, 2022-12-23, 2.1672, 0.191, 26.98
60-79, 2022-12-22, 2.4838, 0.219, 26.57
60-79, 2022-12-21, 1.8069, 0.1593, 25.84
60-79, 2022-12-20, 1.4575, 0.1285, 24.61
60-79, 2022-12-19, 2.1399, 0.1886, 24.11
60-79, 2022-12-18, 2.129, 0.1877, 24
60-79, 2022-12-17, 2.3255, 0.205, 23.96
60-79, 2022-12-16, 2.8222, 0.2488, 23.74
60-79, 2022-12-15, 2.4619, 0.217, 23.13
60-79, 2022-12-14, 2.5274, 0.2228, 22.5
60-79, 2022-12-13, 2.6585, 0.2344, 21.74
60-79, 2022-12-12, 2.1781, 0.192, 20.59
60-79, 2022-12-11, 2.3746, 0.2093, 20.57
