Meldedatum, difference, frozen, region, region_id, trend, value, Lower, Prediction, Upper
2023-02-21, -0.7587, 5.9304, Nordrhein-Westfalen, 5, -0.1295, 5.93, , , 
2023-02-20, 1.8634, 8.731, Nordrhein-Westfalen, 5, 0.307, 8.73, , , 
2023-02-19, 2.0084, 9.3447, Nordrhein-Westfalen, 5, 0.3309, 9.34, , , 
2023-02-18, 2.1256, 9.964, Nordrhein-Westfalen, 5, 0.3502, 9.96, 11.41, 11.63, 12.41
2023-02-17, 1.7518, 9.3838, Nordrhein-Westfalen, 5, 0.2886, 11.01, 12.29, 12.49, 12.65
2023-02-16, 1.1158, 8.4186, Nordrhein-Westfalen, 5, 0.1838, 11.65, 12.75, 12.96, 13.13
2023-02-15, 1.2162, 7.8663, Nordrhein-Westfalen, 5, 0.2004, 11.36, 12.25, 12.42, 12.58
2023-02-14, 0.6695, 6.6891, Nordrhein-Westfalen, 5, 0.1103, 10.98, 11.66, 11.82, 11.97
2023-02-13, 1.0767, 6.8677, Nordrhein-Westfalen, 5, 0.1774, 10.51, 11.04, 11.18, 11.32
2023-02-12, 1.1269, 7.3363, Nordrhein-Westfalen, 5, 0.1857, 10.41, 10.91, 11.04, 11.18
2023-02-11, 1.2664, 7.8384, Nordrhein-Westfalen, 5, 0.2086, 10.33, 10.81, 10.94, 11.08
2023-02-10, 1.5398, 7.632, Nordrhein-Westfalen, 5, 0.2537, 10.38, 10.82, 10.94, 11.08
2023-02-09, 1.3836, 7.3028, Nordrhein-Westfalen, 5, 0.2279, 10.05, 10.45, 10.55, 10.68
2023-02-08, 1.2162, 6.6501, Nordrhein-Westfalen, 5, 0.2004, 9.79, 10.13, 10.22, 10.34
2023-02-07, 1.1158, 6.0197, Nordrhein-Westfalen, 5, 0.1838, 9.47, 9.77, 9.85, 9.95
2023-02-06, 1.2162, 5.7909, Nordrhein-Westfalen, 5, 0.2004, 8.9, 9.14, 9.21, 9.29
2023-02-05, 1.3222, 6.2093, Nordrhein-Westfalen, 5, 0.2178, 8.83, 9.06, 9.12, 9.2
2023-02-04, 1.4617, 6.572, Nordrhein-Westfalen, 5, 0.2408, 8.67, 8.88, 8.95, 9.02
2023-02-03, 1.3724, 6.0922, Nordrhein-Westfalen, 5, 0.2261, 8.17, 8.36, 8.41, 8.48
2023-02-02, 1.5398, 5.9192, Nordrhein-Westfalen, 5, 0.2537, 7.91, 8.07, 8.12, 8.18
2023-02-01, 1.0433, 5.4339, Nordrhein-Westfalen, 5, 0.1719, 7.49, 7.63, 7.67, 7.73
2023-01-31, 0.7587, 4.9039, Nordrhein-Westfalen, 5, 0.125, 7.15, 7.26, 7.29, 7.34
2023-01-30, 0.1897, 4.5747, Nordrhein-Westfalen, 5, 0.0312, 6.99, 7.08, 7.11, 7.15
2023-01-29, 0.2622, 4.8871, Nordrhein-Westfalen, 5, 0.0432, 6.88, 6.97, 7, 7.03
2023-01-28, 0.1841, 5.1103, Nordrhein-Westfalen, 5, 0.0303, 6.76, 6.84, 6.86, 6.89
2023-01-27, -0.4184, 4.7198, Nordrhein-Westfalen, 5, -0.0714, 6.46, 6.53, 6.55, 6.58
2023-01-26, -0.7922, 4.3795, Nordrhein-Westfalen, 5, -0.1352, 6.17, 6.23, 6.25, 6.27
2023-01-25, -1.0377, 4.3906, Nordrhein-Westfalen, 5, -0.1771, 6.19, 6.24, 6.26, 6.28
2023-01-24, -1.3947, 4.1451, Nordrhein-Westfalen, 5, -0.2381, 6.1, 6.14, 6.15, 6.16
2023-01-23, -1.7741, 4.385, Nordrhein-Westfalen, 5, -0.3029, 6.34, 6.37, 6.38, 6.39
2023-01-22, -1.9526, 4.6249, Nordrhein-Westfalen, 5, -0.3333, 6.28, 6.31, 6.32, 6.33
2023-01-21, -2.159, 4.9262, Nordrhein-Westfalen, 5, -0.3686, 6.38, 6.41, 6.42, 6.43
2023-01-20, -2.2037, 5.1382, Nordrhein-Westfalen, 5, -0.3762, 6.73, 6.75, 6.76, 6.77
2023-01-19, -2.7281, 5.1717, Nordrhein-Westfalen, 5, -0.4657, 7.11, 7.13, 7.14, 7.14
2023-01-18, -2.8285, 5.4283, Nordrhein-Westfalen, 5, -0.4829, 7.4, 7.41, 7.42, 7.42
2023-01-17, -2.5998, 5.5399, Nordrhein-Westfalen, 5, -0.4438, 7.87, 7.87, 7.88, 7.88
2023-01-16, -2.12, 6.1591, Nordrhein-Westfalen, 5, -0.3619, 8.66, 8.67, 8.67, 8.67
2023-01-15, -2.265, 6.5776, Nordrhein-Westfalen, 5, -0.3867, 8.86, 8.86, 8.86, 8.86
