Week, difference, region, region_id, trend, value
2020-12, , Sachsen, 14, , 6.2
2020-13, 3.9, Sachsen, 14, 0.52, 10.1
2020-14, 1.5, Sachsen, 14, 0.2, 11.6
2020-15, -2.7, Sachsen, 14, -0.3253, 8.9
2020-16, -2.3, Sachsen, 14, -0.2771, 6.6
2020-17, -1.6, Sachsen, 14, -0.1928, 5
2020-18, -1.8, Sachsen, 14, -0.2169, 3.2
2020-19, -0.9, Sachsen, 14, -0.1084, 2.3
2020-20, -0.8, Sachsen, 14, -0.0964, 1.5
2020-21, , Sachsen, 14, , 1.5
2020-22, -0.7, Sachsen, 14, -0.0843, 0.8
2020-23, , Sachsen, 14, , 0.8
2020-24, -0.5, Sachsen, 14, -0.0602, 0.3
2020-25, 0.6, Sachsen, 14, 0.08, 0.9
2020-26, -0.6, Sachsen, 14, -0.0723, 0.3
2020-27, 0.3, Sachsen, 14, 0.04, 0.6
2020-28, -0.3, Sachsen, 14, -0.0361, 0.3
2020-29, , Sachsen, 14, , 0.3
2020-30, , Sachsen, 14, , 0.3
2020-31, 0.2, Sachsen, 14, 0.0267, 0.5
2020-32, 0.3, Sachsen, 14, 0.04, 0.8
2020-33, 0.2, Sachsen, 14, 0.0267, 1
2020-34, 0.1, Sachsen, 14, 0.0133, 1.1
2020-35, 0.1, Sachsen, 14, 0.0133, 1.2
2020-36, 0.1, Sachsen, 14, 0.0133, 1.3
2020-37, 0.2, Sachsen, 14, 0.0267, 1.5
2020-38, -0.3, Sachsen, 14, -0.0361, 1.2
2020-39, 0.5, Sachsen, 14, 0.0667, 1.7
2020-40, 0.1, Sachsen, 14, 0.0133, 1.8
2020-41, 1.9, Sachsen, 14, 0.2533, 3.7
2020-42, 1.8, Sachsen, 14, 0.24, 5.5
2020-43, 2.4, Sachsen, 14, 0.32, 7.9
2020-44, 2.4, Sachsen, 14, 0.32, 10.3
2020-45, 1.7, Sachsen, 14, 0.2267, 12
2020-46, 2.4, Sachsen, 14, 0.32, 14.4
2020-47, 3, Sachsen, 14, 0.4, 17.4
2020-48, 0.9, Sachsen, 14, 0.12, 18.3
2020-49, 2.1, Sachsen, 14, 0.28, 20.4
2020-50, 3, Sachsen, 14, 0.4, 23.4
2020-51, 1.3, Sachsen, 14, 0.1733, 24.7
2020-52, 3, Sachsen, 14, 0.4, 27.7
2020-53, 3, Sachsen, 14, 0.4, 30.7
2021-01, -5.2, Sachsen, 14, -0.6265, 25.5
2021-02, -7.3, Sachsen, 14, -0.8795, 18.2
2021-03, -2.2, Sachsen, 14, -0.2651, 16
2021-04, -2.3, Sachsen, 14, -0.2771, 13.7
2021-05, -1.8, Sachsen, 14, -0.2169, 11.9
2021-06, -1.9, Sachsen, 14, -0.2289, 10
2021-07, -1.3, Sachsen, 14, -0.1566, 8.7
2021-08, 0.7, Sachsen, 14, 0.0933, 9.4
2021-09, -1.7, Sachsen, 14, -0.2048, 7.7
2021-10, 1.5, Sachsen, 14, 0.2, 9.2
2021-11, 2.2, Sachsen, 14, 0.2933, 11.4
2021-12, 1.7, Sachsen, 14, 0.2267, 13.1
2021-13, 2, Sachsen, 14, 0.2667, 15.1
2021-14, 1.5, Sachsen, 14, 0.2, 16.6
2021-15, -0.7, Sachsen, 14, -0.0843, 15.9
2021-16, 0.5, Sachsen, 14, 0.0667, 16.4
2021-17, -0.5, Sachsen, 14, -0.0602, 15.9
2021-18, -0.9, Sachsen, 14, -0.1084, 15
2021-19, -2.8, Sachsen, 14, -0.3373, 12.2
2021-20, -3, Sachsen, 14, -0.3614, 9.2
2021-21, -3.6, Sachsen, 14, -0.4337, 5.6
2021-22, -2.1, Sachsen, 14, -0.253, 3.5
2021-23, -1.1, Sachsen, 14, -0.1325, 2.4
2021-24, -1.2, Sachsen, 14, -0.1446, 1.2
2021-25, -0.3, Sachsen, 14, -0.0361, 0.9
2021-26, -0.4, Sachsen, 14, -0.0482, 0.5
2021-27, 0.1, Sachsen, 14, 0.0133, 0.6
2021-28, 0.2, Sachsen, 14, 0.0267, 0.8
2021-29, 0.2, Sachsen, 14, 0.0267, 1
2021-30, 0.3, Sachsen, 14, 0.04, 1.3
2021-31, 0.4, Sachsen, 14, 0.0533, 1.7
2021-32, 0.7, Sachsen, 14, 0.0933, 2.4
2021-33, 0.3, Sachsen, 14, 0.04, 2.7
2021-34, 0.4, Sachsen, 14, 0.0533, 3.1
2021-35, 1.7, Sachsen, 14, 0.2267, 4.8
2021-36, 1.4, Sachsen, 14, 0.1867, 6.2
2021-37, -0.8, Sachsen, 14, -0.0964, 5.4
2021-38, , Sachsen, 14, , 5.4
2021-39, 3, Sachsen, 14, 0.4, 8.4
2021-40, 1.2, Sachsen, 14, 0.16, 9.6
2021-41, 2.3, Sachsen, 14, 0.3067, 11.9
2021-42, 7.6, Sachsen, 14, 1.0133, 19.5
2021-43, 4.9, Sachsen, 14, 0.6533, 24.4
2021-44, 5.3, Sachsen, 14, 0.7067, 29.7
2021-45, 7.1, Sachsen, 14, 0.9467, 36.8
2021-46, 9.5, Sachsen, 14, 1.2667, 46.3
2021-47, -0.1, Sachsen, 14, -0.012, 46.2
2021-48, -1.1, Sachsen, 14, -0.1325, 45.1
2021-49, -2, Sachsen, 14, -0.241, 43.1
2021-50, -3.6, Sachsen, 14, -0.4337, 39.5
2021-51, -4.3, Sachsen, 14, -0.5181, 35.2
2021-52, -2.6, Sachsen, 14, -0.3133, 32.6
2022-01, -10.8, Sachsen, 14, -1.3012, 21.8
2022-02, -1.4, Sachsen, 14, -0.1687, 20.4
2022-03, 6.6, Sachsen, 14, 0.88, 27
2022-04, 9.9, Sachsen, 14, 1.32, 36.9
2022-05, 5.9, Sachsen, 14, 0.7867, 42.8
2022-06, 4.9, Sachsen, 14, 0.6533, 47.7
2022-07, 1.2, Sachsen, 14, 0.16, 48.9
2022-08, 2.6, Sachsen, 14, 0.3467, 51.5
2022-09, 0.2, Sachsen, 14, 0.0267, 51.7
2022-10, 7.4, Sachsen, 14, 0.9867, 59.1
2022-11, 3.6, Sachsen, 14, 0.48, 62.7
2022-12, -2.6, Sachsen, 14, -0.3133, 60.1
2022-13, -5.1, Sachsen, 14, -0.6145, 55
2022-14, -6.6, Sachsen, 14, -0.7952, 48.4
2022-15, -0.1, Sachsen, 14, -0.012, 48.3
2022-16, -6.6, Sachsen, 14, -0.7952, 41.7
2022-17, -6.5, Sachsen, 14, -0.7831, 35.2
2022-18, -4.9, Sachsen, 14, -0.5904, 30.3
2022-19, -4.6, Sachsen, 14, -0.5542, 25.7
2022-20, -5.7, Sachsen, 14, -0.6867, 20
2022-21, -3.8, Sachsen, 14, -0.4578, 16.2
2022-22, 3.1, Sachsen, 14, 0.4133, 19.3
2022-23, 5.9, Sachsen, 14, 0.7867, 25.2
2022-24, 5.3, Sachsen, 14, 0.7067, 30.5
2022-25, 4, Sachsen, 14, 0.5333, 34.5
2022-26, 4.5, Sachsen, 14, 0.6, 39
2022-27, 1.9, Sachsen, 14, 0.2533, 40.9
2022-28, 4.6, Sachsen, 14, 0.6133, 45.5
2022-29, 1.5, Sachsen, 14, 0.2, 47
2022-30, -3.8, Sachsen, 14, -0.4578, 43.2
2022-31, -4.5, Sachsen, 14, -0.5422, 38.7
2022-32, -2.5, Sachsen, 14, -0.3012, 36.2
2022-33, -1.1, Sachsen, 14, -0.1325, 35.1
2022-34, -5.2, Sachsen, 14, -0.6265, 29.9
2022-35, -2.4, Sachsen, 14, -0.2892, 27.5
2022-36, 0.5, Sachsen, 14, 0.0667, 28
2022-37, 3, Sachsen, 14, 0.4, 31
2022-38, 4, Sachsen, 14, 0.5333, 35
2022-39, 7.5, Sachsen, 14, 1, 42.5
2022-40, 5.9, Sachsen, 14, 0.7867, 48.4
2022-41, -2.2, Sachsen, 14, -0.2651, 46.2
2022-42, -3.8, Sachsen, 14, -0.4578, 42.4
2022-43, -8.3, Sachsen, 14, -1, 34.1
2022-44, -5.7, Sachsen, 14, -0.6867, 28.4
2022-45, -5.6, Sachsen, 14, -0.6747, 22.8
2022-46, -0.1, Sachsen, 14, -0.012, 22.7
2022-47, -0.2, Sachsen, 14, -0.0241, 22.5
2022-48, 2.6, Sachsen, 14, 0.3467, 25.1
2022-49, 0.2, Sachsen, 14, 0.0267, 25.3
2022-50, -1.5, Sachsen, 14, -0.1807, 23.8
2022-51, 1.1, Sachsen, 14, 0.1467, 24.9
2022-52, -2.3, Sachsen, 14, -0.2771, 22.6
2023-01, -4.8, Sachsen, 14, -0.5783, 17.8
2023-02, -5.4, Sachsen, 14, -0.6506, 12.4
2023-03, -2.1, Sachsen, 14, -0.253, 10.3
2023-04, -0.2, Sachsen, 14, -0.0241, 10.1
2023-05, 0.2, Sachsen, 14, 0.0267, 10.3
2023-06, -0.1, Sachsen, 14, -0.012, 10.2
2023-07, 2.8, Sachsen, 14, 0.3733, 13
2023-08, 2.1, Sachsen, 14, 0.28, 15.1
2023-09, 3.2, Sachsen, 14, 0.4267, 18.3
2023-10, 1.2, Sachsen, 14, 0.16, 19.5
