Week, difference, region, region_id, trend, value
2020-12, , Hessen, 6, , 10.5
2020-13, 1.7, Hessen, 6, 0.1635, 12.2
2020-14, -2, Hessen, 6, -0.2439, 10.2
2020-15, 0.9, Hessen, 6, 0.0865, 11.1
2020-16, -2.7, Hessen, 6, -0.3293, 8.4
2020-17, -1, Hessen, 6, -0.122, 7.4
2020-18, -1.5, Hessen, 6, -0.1829, 5.9
2020-19, -2.3, Hessen, 6, -0.2805, 3.6
2020-20, -1.1, Hessen, 6, -0.1341, 2.5
2020-21, 0.3, Hessen, 6, 0.0288, 2.8
2020-22, -1.1, Hessen, 6, -0.1341, 1.7
2020-23, -0.7, Hessen, 6, -0.0854, 1
2020-24, -0.4, Hessen, 6, -0.0488, 0.6
2020-25, 0.4, Hessen, 6, 0.0385, 1
2020-26, -0.3, Hessen, 6, -0.0366, 0.7
2020-27, 0.1, Hessen, 6, 0.0096, 0.8
2020-28, 0.1, Hessen, 6, 0.0096, 0.9
2020-29, -0.2, Hessen, 6, -0.0244, 0.7
2020-30, 0.1, Hessen, 6, 0.0096, 0.8
2020-31, 0.7, Hessen, 6, 0.0673, 1.5
2020-32, -0.3, Hessen, 6, -0.0366, 1.2
2020-33, , Hessen, 6, , 1.2
2020-34, 0.2, Hessen, 6, 0.0192, 1.4
2020-35, -0.4, Hessen, 6, -0.0488, 1
2020-36, 0.1, Hessen, 6, 0.0096, 1.1
2020-37, , Hessen, 6, , 1.1
2020-38, 0.5, Hessen, 6, 0.0481, 1.6
2020-39, 0.2, Hessen, 6, 0.0192, 1.8
2020-40, 0.5, Hessen, 6, 0.0481, 2.3
2020-41, 1.1, Hessen, 6, 0.1058, 3.4
2020-42, 2, Hessen, 6, 0.1923, 5.4
2020-43, 4.5, Hessen, 6, 0.4327, 9.9
2020-44, 0.4, Hessen, 6, 0.0385, 10.3
2020-45, 0.6, Hessen, 6, 0.0577, 10.9
2020-46, 2.2, Hessen, 6, 0.2115, 13.1
2020-47, 0.2, Hessen, 6, 0.0192, 13.3
2020-48, 1.3, Hessen, 6, 0.125, 14.6
2020-49, -0.8, Hessen, 6, -0.0976, 13.8
2020-50, 1.8, Hessen, 6, 0.1731, 15.6
