Week, difference, trend, value
2020-W10, , , 194
2020-W11, -6, -0.2929, 188
2020-W12, -9, -0.4474, 179
2020-W13, 4, 0.2335, 183
2020-W14, -10, -0.4834, 173
2020-W15, 8, 0.4393, 181
2020-W16, -7, -0.3246, 174
2020-W17, 4, 0.222, 178
2020-W18, 5, 0.2682, 183
2020-W19, 8, 0.4676, 191
2020-W20, -6, -0.2827, 185
2020-W21, 2, 0.1029, 187
2020-W22, 6, 0.3445, 193
2020-W23, 6, 0.3647, 199
2020-W24, -2, -0.1019, 197
2020-W25, -1, -0.0468, 196
2020-W26, 4, 0.2191, 200
2020-W27, 5, 0.3133, 205
2020-W28, -15, -0.7373, 190
2020-W29, 9, 0.4919, 199
2020-W30, 3, 0.1462, 201
2020-W31, -3, -0.1394, 198
2020-W32, -2, -0.1023, 196
2020-W33, -2, -0.098, 194
2020-W34, 3, 0.1942, 198
2020-W35, -7, -0.3377, 191
2020-W36, 1, 0.0405, 191
2020-W37, 1, 0.0855, 193
2020-W38, 8, 0.4896, 201
2020-W39, -9, -0.4386, 192
2020-W40, 12, 0.7058, 205
2020-W41, -2, -0.096, 203
2020-W42, -5, -0.2466, 198
2020-W43, 6, 0.363, 204
2020-W44, -10, -0.4635, 194
2020-W45, 11, 0.626, 205
2020-W46, -5, -0.2505, 200
2020-W47, -2, -0.1218, 198
2020-W48, -3, -0.1628, 194
2020-W49, 11, 0.6549, 205
2020-W50, 1, 0.0353, 206
2020-W51, 3, 0.1792, 209
2020-W52, -23, -1.1277, 186
2020-W53, 16, 0.9474, 202
2021-W01, -6, -0.2763, 197
2021-W02, -4, -0.1774, 193
2021-W03, -7, -0.3299, 186
2021-W04, 4, 0.2387, 190
2021-W05, -4, -0.2125, 186
2021-W06, 7, 0.4318, 194
2021-W07, 1, 0.078, 195
2021-W08, -6, -0.2909, 189
2021-W09, 1, 0.0815, 190
2021-W10, 1, 0.0798, 192
2021-W11, -1, -0.0253, 191
2021-W12, -2, -0.0731, 190
2021-W13, 7, 0.404, 197
2021-W14, -6, -0.2997, 191
2021-W15, 1, 0.085, 192
2021-W16, 4, 0.2185, 196
2021-W17, -2, -0.0838, 194
2021-W18, 2, 0.1104, 196
2021-W19, -4, -0.2096, 192
2021-W20, 3, 0.1988, 195
2021-W21, -1, -0.0336, 194
2021-W22, 7, 0.4069, 202
2021-W23, -15, -0.7266, 187
2021-W24, 6, 0.374, 193
2021-W25, -4, -0.1993, 189
2021-W26, -3, -0.1657, 186
2021-W27, 2, 0.1376, 188
2021-W28, 7, 0.3977, 195
2021-W29, -1, -0.0716, 193
2021-W30, -7, -0.3406, 186
2021-W31, 5, 0.2757, 191
2021-W32, 5, 0.3139, 197
2021-W33, 3, 0.1566, 199
2021-W34, -3, -0.1584, 196
2021-W35, 2, 0.1266, 198
2021-W36, 5, 0.3127, 204
2021-W37, -12, -0.577, 192
2021-W38, 6, 0.3723, 198
2021-W39, 5, 0.2711, 203
2021-W40, 11, 0.6087, 213
2021-W41, -7, -0.3455, 206
2021-W42, -4, -0.2135, 202
2021-W43, 6, 0.3434, 208
2021-W44, -4, -0.2125, 204
2021-W45, 11, 0.6312, 215
2021-W46, -9, -0.4191, 206
2021-W47, -1, -0.0599, 205
2021-W48, 6, 0.3526, 211
2021-W49, -10, -0.4678, 201
2021-W50, 13, 0.7243, 214
2021-W51, -10, -0.5049, 203
2021-W52, -17, -0.8099, 187
2022-W01, 16, 0.9364, 203
2022-W02, -5, -0.2505, 198
2022-W03, -9, -0.4625, 188
2022-W04, 4, 0.2486, 193
2022-W05, 6, 0.3526, 199
2022-W06, 3, 0.1688, 202
2022-W07, -1, -0.059, 200
2022-W08, , 0.0202, 201
2022-W09, -1, -0.0687, 199
2022-W10, -4, -0.1866, 196
2022-W11, 6, 0.3751, 202
2022-W12, 1, 0.0382, 203
2022-W13, -3, -0.1404, 200
2022-W14, 1, 0.0665, 201
2022-W15, -10, -0.4864, 191
2022-W16, 6, 0.3665, 197
2022-W17, 2, 0.115, 199
2022-W18, -5, -0.2271, 195
2022-W19, -4, -0.1983, 191
2022-W20, -4, -0.1745, 187
2022-W21, 1, 0.0682, 188
2022-W22, 9, 0.5116, 197
2022-W23, -6, -0.3109, 191
2022-W24, -3, -0.1691, 187
2022-W25, 5, 0.3127, 193
2022-W26, 8, 0.4399, 200
2022-W27, -4, -0.2013, 196
2022-W28, -1, -0.0599, 195
2022-W29, , 0.004, 195
2022-W30, -4, -0.1886, 191
2022-W31, 5, 0.2665, 196
2022-W32, -7, -0.3353, 189
2022-W33, -1, -0.0361, 188
2022-W34, 2, 0.1098, 190
2022-W35, 2, 0.0925, 192
2022-W36, 1, 0.0809, 193
2022-W37, , 0.0069, 193
2022-W38, , -0.0019, 193
2022-W39, 4, 0.2243, 197
2022-W40, 8, 0.4543, 205
2022-W41, 3, 0.1624, 208
2022-W42, -3, -0.152, 204
2022-W43, -3, -0.1408, 202
2022-W44, -7, -0.3221, 195
2022-W45, 3, 0.1919, 198
2022-W46, 4, 0.2127, 202
2022-W47, 2, 0.1399, 204
2022-W48, 6, 0.3277, 210
2022-W49, 12, 0.678, 222
2022-W50, -6, -0.2895, 216
2022-W51, , 0.0249, 216
2022-W52, -21, -1, 196
2023-W01, 7, 0.4075, 203
2023-W02, 17, 1, 220
2023-W03, -18, -0.8879, 202
2023-W04, -2, -0.0746, 200
2023-W05, 1, 0.0682, 201
2023-W06, , -0.0088, 201
2023-W07, , 0.0006, 201
2023-W08, 1, 0.0769, 203
2023-W09, 6, 0.3283, 208
2023-W10, 4, 0.2543, 213
2023-W11, , 0.0156, 213
