Meldedatum, region, region_id, value, difference, trend
2020-03-02, Sachsen, 14, , , 
2020-03-03, Sachsen, 14, , , 
2020-03-04, Sachsen, 14, , , 
2020-03-05, Sachsen, 14, , , 
2020-03-06, Sachsen, 14, , , 
2020-03-07, Sachsen, 14, 0.1, , 
2020-03-08, Sachsen, 14, 0.1, , 
2020-03-09, Sachsen, 14, 0.2, , 
2020-03-10, Sachsen, 14, 0.4, , 
2020-03-11, Sachsen, 14, 0.9, 0.371, 0.001
2020-03-12, Sachsen, 14, 1.3, 0.6926, 0.0019
2020-03-13, Sachsen, 14, 2, 1.0883, 0.003
2020-03-14, Sachsen, 14, 2.9, 2.0035, 0.0055
2020-03-15, Sachsen, 14, 3.7, 2.0777, 0.0057
2020-03-16, Sachsen, 14, 4.3, 2.2013, 0.006
2020-03-17, Sachsen, 14, 5.2, 4.0317, 0.011
2020-03-18, Sachsen, 14, 6.8, 3.6606, 0.01
2020-03-19, Sachsen, 14, 9.7, 4.8974, 0.0134
2020-03-20, Sachsen, 14, 12.9, 6.8019, 0.0186
2020-03-21, Sachsen, 14, 15.5, 9.3495, 0.0256
2020-03-22, Sachsen, 14, 17.8, 9.5226, 0.0261
2020-03-23, Sachsen, 14, 18.4, 9.8936, 0.0271
2020-03-24, Sachsen, 14, 20.4, 10.9572, 0.03
2020-03-25, Sachsen, 14, 22.3, 12.7133, 0.0348
2020-03-26, Sachsen, 14, 23.5, 12.6886, 0.0348
2020-03-27, Sachsen, 14, 23.8, 10.7593, 0.0295
2020-03-28, Sachsen, 14, 24.9, 7.2224, 0.0198
2020-03-29, Sachsen, 14, 25.8, 8.7806, 0.0241
2020-03-30, Sachsen, 14, 26.2, 11.6003, 0.0318
2020-03-31, Sachsen, 14, 26.6, 8.0386, 0.022
2020-04-01, Sachsen, 14, 27.2, 6.0599, 0.0166
2020-04-02, Sachsen, 14, 27.2, 3.7596, 0.0103
2020-04-03, Sachsen, 14, 28.6, 2.9681, 0.0081
2020-04-04, Sachsen, 14, 30.2, 4.7242, 0.0129
2020-04-05, Sachsen, 14, 29.7, 2.8444, 0.0078
2020-04-06, Sachsen, 14, 29.6, 1.7067, 0.0047
2020-04-07, Sachsen, 14, 28.2, 1.3109, 0.0036
2020-04-08, Sachsen, 14, 27.3, 0.742, 0.002
2020-04-09, Sachsen, 14, 26.6, -0.1237, -0.0002
2020-04-10, Sachsen, 14, 23.6, -1.7561, -0.003
2020-04-11, Sachsen, 14, 20.5, -5.5652, -0.0094
2020-04-12, Sachsen, 14, 19, -7.9644, -0.0134
2020-04-13, Sachsen, 14, 19.4, -10.4873, -0.0177
2020-04-14, Sachsen, 14, 18.3, -9.0032, -0.0152
2020-04-15, Sachsen, 14, 16.6, -9.8936, -0.0167
2020-04-16, Sachsen, 14, 14.1, -8.929, -0.0151
2020-04-17, Sachsen, 14, 14, -7.9149, -0.0133
2020-04-18, Sachsen, 14, 12, -6.8266, -0.0115
2020-04-19, Sachsen, 14, 11.2, -4.9716, -0.0084
2020-04-20, Sachsen, 14, 9.6, -5.9114, -0.01
2020-04-21, Sachsen, 14, 9.4, -6.7771, -0.0114
2020-04-22, Sachsen, 14, 8.9, -6.1588, -0.0104
2020-04-23, Sachsen, 14, 8.7, -5.5652, -0.0094
2020-04-24, Sachsen, 14, 7, -5.8372, -0.0098
2020-04-25, Sachsen, 14, 7, -5.12, -0.0086
2020-04-26, Sachsen, 14, 6.4, -5.0952, -0.0086
2020-04-27, Sachsen, 14, 6.3, -3.6606, -0.0062
2020-04-28, Sachsen, 14, 6, -3.1907, -0.0054
2020-04-29, Sachsen, 14, 5.6, -2.8197, -0.0048
2020-04-30, Sachsen, 14, 5.3, -2.795, -0.0047
2020-05-01, Sachsen, 14, 5.3, -1.6077, -0.0027
2020-05-02, Sachsen, 14, 4.8, -1.8056, -0.003
2020-05-03, Sachsen, 14, 4.8, -1.1625, -0.002
2020-05-04, Sachsen, 14, 4.6, -1.6819, -0.0028
2020-05-05, Sachsen, 14, 4.2, -1.5335, -0.0026
2020-05-06, Sachsen, 14, 4.8, -1.0141, -0.0017
2020-05-07, Sachsen, 14, 4.7, -0.6431, -0.0011
2020-05-08, Sachsen, 14, 4.8, -0.6926, -0.0012
2020-05-09, Sachsen, 14, 5.4, 0.1731, 0.0005
2020-05-10, Sachsen, 14, 5.4, -0.0495, -0.0001
2020-05-11, Sachsen, 14, 5.3, 0.742, 0.002
2020-05-12, Sachsen, 14, 5.7, 1.2367, 0.0034
2020-05-13, Sachsen, 14, 4.8, 0.371, 0.001
2020-05-14, Sachsen, 14, 4.8, 0.2226, 0.0006
2020-05-15, Sachsen, 14, 4.8, 0.2473, 0.0007
2020-05-16, Sachsen, 14, 4.3, -0.5936, -0.001
2020-05-17, Sachsen, 14, 4.1, -0.371, -0.0006
2020-05-18, Sachsen, 14, 4, -0.7915, -0.0013
2020-05-19, Sachsen, 14, 3.9, -1.7314, -0.0029
2020-05-20, Sachsen, 14, 4, -0.7915, -0.0013
2020-05-21, Sachsen, 14, 3.9, -0.9646, -0.0016
2020-05-22, Sachsen, 14, 3.2, -1.484, -0.0025
2020-05-23, Sachsen, 14, 2.9, -0.9646, -0.0016
2020-05-24, Sachsen, 14, 2.6, -1.3356, -0.0023
2020-05-25, Sachsen, 14, 2.6, -1.212, -0.002
2020-05-26, Sachsen, 14, 2.4, -1.2367, -0.0021
2020-05-27, Sachsen, 14, 2, -1.5582, -0.0026
2020-05-28, Sachsen, 14, 1.8, -2.0035, -0.0034
2020-05-29, Sachsen, 14, 1.8, -0.9646, -0.0016
2020-05-30, Sachsen, 14, 1.9, -1.0141, -0.0017
2020-05-31, Sachsen, 14, 1.9, -0.6431, -0.0011
2020-06-01, Sachsen, 14, 1.7, -0.841, -0.0014
2020-06-02, Sachsen, 14, 1.5, -0.7668, -0.0013
2020-06-03, Sachsen, 14, 1.2, -0.6431, -0.0011
2020-06-04, Sachsen, 14, 0.9, -0.4947, -0.0008
2020-06-05, Sachsen, 14, 0.8, -1.113, -0.0019
2020-06-06, Sachsen, 14, 0.7, -1.0883, -0.0018
2020-06-07, Sachsen, 14, 0.7, -1.212, -0.002
2020-06-08, Sachsen, 14, 0.7, -1.0141, -0.0017
2020-06-09, Sachsen, 14, 0.8, -0.6926, -0.0012
2020-06-10, Sachsen, 14, 0.9, -0.3215, -0.0005
2020-06-11, Sachsen, 14, 0.8, -0.0495, -0.0001
2020-06-12, Sachsen, 14, 0.6, 0.0495, 0.0001
2020-06-13, Sachsen, 14, 0.6, -0.0247, 
2020-06-14, Sachsen, 14, 0.4, -0.0495, -0.0001
2020-06-15, Sachsen, 14, 0.5, -0.1979, -0.0003
2020-06-16, Sachsen, 14, 0.4, -0.3215, -0.0005
2020-06-17, Sachsen, 14, 0.5, -0.4699, -0.0008
2020-06-18, Sachsen, 14, 1.2, -0.2968, -0.0005
2020-06-19, Sachsen, 14, 1.6, 0.3957, 0.0011
2020-06-20, Sachsen, 14, 1.7, 0.9894, 0.0027
2020-06-21, Sachsen, 14, 1.9, 1.0883, 0.003
2020-06-22, Sachsen, 14, 2, 1.0388, 0.0028
